"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","種類","管理者","統計年度","発着数","面積","開港","公式サイト","旅客数","貨物取扱量","最高標高","所在海域","海岸線長","所属諸島","都道府県","係留施設数","最高峰","コンテナ数"
"子ノ口港 (存在しないページ)","[子ノ口港]","https://ja.wikipedia.org/w/index.php?title=子ノ口港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"休屋","[休屋港] 休屋 （やすみや）は、 青森県 十和田市 の地名。十和田市大字 奥瀬 字十和田湖畔休屋。神田川という小さな川を挟んで 秋田県 小坂町 休平の地区が隣接している。","https://ja.wikipedia.org/wiki/休屋","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"七里長浜港 (存在しないページ)","[七里長浜港]","https://ja.wikipedia.org/w/index.php?title=七里長浜港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"仏ヶ浦","[仏ヶ浦港] 仏ヶ浦 （ほとけがうら）は、 青森県 下北半島 西岸の 下北郡 佐井村 南部に所在する 景勝地 。古くは 仏宇陀 （ほとけうた、ほとけうだ）と称した。","https://ja.wikipedia.org/wiki/仏ヶ浦","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯41度18分43.9秒 東経140度48分18.4秒","","","","","","","","","","","","","","","","","","",""
"関根浜港","[関根浜港] 関根浜港 （せきねはまこう）は、 青森県 むつ市 関根にある 地方港湾 （ 56条港湾 ）。 日本原子力研究開発機構 が所有する  。","https://ja.wikipedia.org/wiki/関根浜港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯41度21分59.1秒東経141度14分13.7秒","青森県むつ市字関根字北関根770番地","日本","地方港湾（56条港湾）","青森県","","","","1983年10月20日","青森県","","","","","","","","","",""
"節を編集: 岩手県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=4","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"宮古港","[宮古港] 宮古港 （みやここう）は、 岩手県 宮古市 にある 重要港湾 。港湾管理者は岩手県。","https://ja.wikipedia.org/wiki/宮古港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯39度37分43.6秒東経141度57分52.9秒","岩手県宮古市","日本","重要港湾","岩手県","2015年度","5,064隻（660,915総トン）","","","岩手県","112,318人","","","","","","","","",""
"大船渡港","[大船渡港] 大船渡港 （おおふなとこう）は、 太平洋 に開けた 大船渡湾 に面している、 日本 の 港湾 。 岩手県 大船渡市 に所在し、岩手県が管理する 重要港湾 である。","https://ja.wikipedia.org/wiki/大船渡港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯39度03分51.06秒東経141度43分41.40秒","岩手県大船渡市","日本","重要港湾","岩手県","2010年","","","1967年","","","2,670,755t","","","","","","","","2,839TEU、（実貨）1,860TEU"
"久慈港","[久慈港] 久慈港 （くじこう）は 岩手県 久慈市 にある港である。 重要港湾 。管理者は岩手県。","https://ja.wikipedia.org/wiki/久慈港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯40度11分30秒東経141度48分20秒","岩手県久慈市","日本","重要港湾","岩手県","","","","","","","","","","","","","","",""
"釜石港","[釜石港] 釜石港 （かまいしこう）は、 岩手県 釜石市 にある 港湾 である。港湾管理者は岩手県。 港湾法 上の 重要港湾 、 港則法 上の 特定港 に指定されている。また、第3種 漁港 である 釜石漁港 との区域が重複するいわゆる二重指定港である。","https://ja.wikipedia.org/wiki/釜石港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯39度16分09.90秒東経141度53分42.28秒","岩手県釜石市","日本","重要港湾","岩手県","2010年","","","1934年","","","2,487,138t","","","","","","","","57TEU（移出）"
"八木港 (存在しないページ)","[八木港]","https://ja.wikipedia.org/w/index.php?title=八木港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"小本港 (存在しないページ)","[小本港]","https://ja.wikipedia.org/w/index.php?title=小本港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"節を編集: 宮城県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=5","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"仙台塩釜港","[仙台塩釜港] 仙台塩釜港 （せんだいしおがまこう）は、 宮城県 の 太平洋 ・ 仙台湾 に面した 港湾 。仙台・塩釜・松島・石巻の4つの 港区 からなる。 港湾法 上の 国際拠点港湾 、 港則法 上の 特定港 に指定されている。 中核国際港湾 の1つにも指定されている。","https://ja.wikipedia.org/wiki/仙台塩釜港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯38度16分14.6秒東経141度01分28.1秒","宮城県","日本","中核国際港湾、国際拠点港湾、特定港","宮城県","2009年（平成21年）","","","奈良時代（塩釜港区）","","200万9743人","3677万トン","","","","","","","",""
"雄勝港 (存在しないページ)","[雄勝港]","https://ja.wikipedia.org/w/index.php?title=雄勝港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"荻浜港 (存在しないページ)","[荻浜港]","https://ja.wikipedia.org/w/index.php?title=荻浜港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"女川漁港","[女川港] 東日本大震災 で被害を受けたが カタール の基金から約20億円の資金援助を受けて整備した冷蔵施設「マスカー」が完成し、関係者による竣工式が2012年10月13日に開かれた  。","https://ja.wikipedia.org/wiki/女川漁港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯38度26分39秒 東経141度27分7秒","","","","","","","","","","","","","","","","","","",""
"金華山 (宮城県)","[金華山港] 金華山 （きんかさん   ）は、 宮城県 石巻市 の 太平洋 上に浮かぶ 島 である。 人口 は5人。これは全員が後述の神社の 神職 であり、他に一般の居住者はいない。対岸の 牡鹿半島 との間に 内海 「金華山瀬戸」がある。","https://ja.wikipedia.org/wiki/金華山_(宮城県)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯38度17分20秒東経141度34分12.2秒","日本･宮城県石巻市","","","","","","10.28km²","","","","","444m","太平洋","17.3km","牡鹿諸島","","","金華山",""
"気仙沼漁港","[気仙沼港] 気仙沼漁港 （けせんぬま ぎょこう）は、 太平洋 に面した 日本 の 漁港 の一つ。 宮城県 気仙沼市 の 気仙沼湾 奥部に所在する、 特定第3種漁港 である。","https://ja.wikipedia.org/wiki/気仙沼漁港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯38度54分03.7秒東経141度34分46.4秒","宮城県気仙沼市","日本","特定第3種漁港","宮城県","","","","1930年","気仙沼漁港へようこそ","","","","","","","","","",""
"御崎港 (存在しないページ)","[御崎港]","https://ja.wikipedia.org/w/index.php?title=御崎港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"表浜港 (存在しないページ)","[表浜港]","https://ja.wikipedia.org/w/index.php?title=表浜港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"節を編集: 秋田県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=6","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"秋田港","[秋田港] 秋田港 （あきたこう）は 秋田県 秋田市 の西部に位置する 港湾 。港湾管理者は秋田県であり、 重要港湾 の指定を受けている。 コンテナターミナル も整備されている。 秋田火力発電所 も隣接地に立地している。","https://ja.wikipedia.org/wiki/秋田港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯39度45分34.25秒東経140度02分33.95秒","","日本","重要港湾","秋田県","2010年","","","1965年","","77,413人","7,319,586t","","","","","","","","34,563TEU（2010年速報値）"
"船川港","[船川港] 船川港 （ふなかわこう、ふながわこう、ふなかわみなと）は、 秋田県 男鹿市 にある 港湾 で、男鹿市中心部に近い船川地区に位置する。港湾管理者は秋田県、 重要港湾 に指定されている。","https://ja.wikipedia.org/wiki/船川港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯39度52分49.76秒東経139度51分32.10秒","秋田県男鹿市","日本","重要港湾","秋田県","2010年","","","","","","335,211t","","","","","","","",""
"能代港","[能代港] 能代港 （のしろこう）は、 秋田県 能代市 にある 港湾 で、 米代川 河口に位置する。港湾管理者は秋田県。 重要港湾 に指定されている。 能代火力発電所 が隣接する。","https://ja.wikipedia.org/wiki/能代港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯40度12分58.94秒東経139度59分59.83秒","秋田県能代市","日本","重要港湾","秋田県","2011年","","","1974年","","","3,822,000トン","","","","","","","",""
"本荘港","[本荘港] 本荘港 （ほんじょうこう）は、 秋田県 由利本荘市 の 地方港湾 である。 子吉川 河口に位置し、港湾管理者は秋田県。","https://ja.wikipedia.org/wiki/本荘港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯39度23分23.23秒東経140度2分7.48秒","秋田県由利本荘市","日本","地方港湾","秋田県","2010年","","","","","","17t","","","","","","","",""
