"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","位置","種類","略称","本社所在地"
"福島今町駅","福島今町駅（ふくしまいままちえき）","https://ja.wikipedia.org/wiki/福島今町駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯31度27分24.49秒東経131度12分11.95秒","日南線","77.2 km（南宮崎起点）","九州旅客鉄道（JR九州）","地上駅","1935年（昭和10年）4月15日[1]","2面2線[1]","宮崎県串間市大字西方[1]北緯31度27分24.49秒東経131度12分11.95秒﻿ / ﻿北緯31.4568028度 東経131.2033194度﻿ /31.4568028; 131.2033194座標:北緯31度27分24.49秒東経131度12分11.95秒﻿ / ﻿北緯31.4568028度 東経131.2033194度﻿ /31.4568028; 131.2033194","無人駅[1]","","フイ","5人/日（降車客含まず）-2015年-","","","","","","","",""
"福島学院前駅","福島学院前駅（ふくしまがくいんまええき）","https://ja.wikipedia.org/wiki/福島学院前駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯37度47分56.40秒東経140度29分20.56秒","■阿武隈急行線","6.5 km（福島起点）","阿武隈急行","地上駅","2000年（平成12年）3月11日","1面1線","福島県福島市瀬上町字街道東8-3北緯37度47分56.40秒東経140度29分20.56秒﻿ / ﻿北緯37.7990000度 東経140.4890444度﻿ /37.7990000; 140.4890444座標:北緯37度47分56.40秒東経140度29分20.56秒﻿ / ﻿北緯37.7990000度 東経140.4890444度﻿ /37.7990000; 140.4890444","無人駅","","","326人/日（降車客含まず）-2016年-","","","","","","","",""
"福島口駅","福島口駅（ふくしまぐちえき）","https://ja.wikipedia.org/wiki/福島口駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度20分18.07秒東経129度47分24.90秒","■西九州線","25.3 km（有田起点）","松浦鉄道","地上駅","1990年（平成2年）3月10日","1面1線","佐賀県伊万里市山代町立岩北緯33度20分18.07秒東経129度47分24.90秒","","","","25人/日（降車客含まず）-2017年-","53人/日-2017年-","","","","","","",""
"福島高松駅","福島高松駅（ふくしまたかまつえき）","https://ja.wikipedia.org/wiki/福島高松駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯31度27分30.76秒東経131度10分41.92秒","日南線","79.6 km（南宮崎起点）","九州旅客鉄道（JR九州）","地上駅","1949年（昭和24年）9月15日[1]*","1面1線[1]","宮崎県串間市大字高松[1]北緯31度27分30.76秒東経131度10分41.92秒﻿ / ﻿北緯31.4585444度 東経131.1783111度﻿ /31.4585444; 131.1783111座標:北緯31度27分30.76秒東経131度10分41.92秒﻿ / ﻿北緯31.4585444度 東経131.1783111度﻿ /31.4585444; 131.1783111","無人駅[1]","","タマ","2人/日（降車客含まず）-2015年-","","","","","","","",""
"福島町停留場","福島町停留場（ふくしまちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/福島町停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度23分41.55秒東経132度26分2.31秒","■本線","4.7 km（広島駅起点）","広島電鉄","地上駅","1912年（大正元年）12月8日","2面2線","広島市西区福島町二丁目北緯34度23分41.55秒東経132度26分2.31秒﻿ / ﻿北緯34.3948750度 東経132.4339750度﻿ /34.3948750; 132.4339750﻿ (福島町停留場)座標:北緯34度23分41.55秒東経132度26分2.31秒﻿ / ﻿北緯34.3948750度 東経132.4339750度﻿ /34.3948750; 132.4339750﻿ (福島町停留場)","","●M18","","","1,264[1]人/日-2019年-","","","","","","",""
"福住駅","福住駅（ふくずみえき）","https://ja.wikipedia.org/wiki/福住駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","札幌市営地下鉄東豊線","13.6 km（栄町起点）","札幌市交通局","地下駅","1994年（平成6年）10月14日[1]","1面2線","","","○H14","","16,444人/日（降車客含まず）-2019年-","","","","","","","",""
"福大前駅","福大前駅（ふくだいまええき）","https://ja.wikipedia.org/wiki/福大前駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度32分50.89秒東経130度21分44.02秒","地下鉄七隈線","4.3 km（橋本起点）","福岡市交通局","地下駅","2005年（平成17年）2月3日","1面2線","福岡市城南区七隈八丁目[1]北緯33度32分50.89秒東経130度21分44.02秒﻿ / ﻿北緯33.5474694度 東経130.3622278度﻿ /33.5474694; 130.3622278﻿ (福大前駅)座標:北緯33度32分50.89秒東経130度21分44.02秒﻿ / ﻿北緯33.5474694度 東経130.3622278度﻿ /33.5474694; 130.3622278﻿ (福大前駅)","業務委託駅","○N06","","7,122人/日（降車客含まず）-2019年-","","","","","","","",""
"福大前西福井駅","福大前西福井駅（ふくだいまえにしふくいえき）","https://ja.wikipedia.org/wiki/福大前西福井駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度4分27.2秒東経136度12分37秒","■三国芦原線","2.8km（福井口起点）福井から4.3km越前武生から21.6 km","えちぜん鉄道","地上駅","1928年（昭和3年）12月30日[1][2]","2面2線","福井県福井市文京四丁目3番1号北緯36度4分27.2秒東経136度12分37秒﻿ / ﻿北緯36.074222度 東経136.21028度﻿ /36.074222; 136.21028座標:北緯36度4分27.2秒東経136度12分37秒﻿ / ﻿北緯36.074222度 東経136.21028度﻿ /36.074222; 136.21028","有人駅","○E27","","","2,072人/日-2018年-","","","","","","",""
"福田町駅","福田町駅（ふくだまちえき）","https://ja.wikipedia.org/wiki/福田町駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯38度16分29.65秒東経140度57分30.48秒","■仙石線","7.7 km（あおば通起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1925年（大正14年）6月5日","1面2線","仙台市宮城野区福田町一丁目12-1北緯38度16分29.65秒東経140度57分30.48秒﻿ / ﻿北緯38.2749028度 東経140.9584667度﻿ /38.2749028; 140.9584667﻿ (福田町駅)座標:北緯38度16分29.65秒東経140度57分30.48秒﻿ / ﻿北緯38.2749028度 東経140.9584667度﻿ /38.2749028; 140.9584667﻿ (福田町駅)","業務委託駅仙台市内駅","","フタ","3,938人/日（降車客含まず）-2019年-","","","","","","","",""
"福俵駅","福俵駅（ふくたわらえき）","https://ja.wikipedia.org/wiki/福俵駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度32分45秒東経140度20分29秒","■東金線","3.3 km（大網起点）","東日本旅客鉄道（JR東日本）","地上駅","1938年（昭和13年）3月1日*[1]","1面1線","千葉県東金市福俵62北緯35度32分45秒東経140度20分29秒﻿ / ﻿北緯35.54583度 東経140.34139度﻿ /35.54583; 140.34139﻿ (福俵駅)","無人駅（乗車駅証明書発行機 有）","","フク","578人/日（降車客含まず）-2006年-","","","","","","","",""
"福地駅","福地駅（ふくちえき）","https://ja.wikipedia.org/wiki/福地駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度50分40秒東経137度2分55秒","西尾線","17.4 km（新安城起点）","名古屋鉄道","地上駅","1915年（大正4年）2月13日","2面2線","愛知県西尾市川口町松原28北緯34度50分40秒東経137度2分55秒﻿ / ﻿北緯34.84444度 東経137.04861度﻿ /34.84444; 137.04861座標:北緯34度50分40秒東経137度2分55秒﻿ / ﻿北緯34.84444度 東経137.04861度﻿ /34.84444; 137.04861","無人駅（駅集中管理システム導入駅）*1949年一色口から改称","GN  11 ","","","1,337人/日-2019年-","","","","","","",""
"福知山駅","福知山駅（ふくちやまえき）","https://ja.wikipedia.org/wiki/福知山駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）WILLER TRAINS（京都丹後鉄道・駅詳細）","高架駅","","4面7線（JR3面5線、丹鉄1面2線）","京都府福知山市","","","","","","","","","","","",""
"福知山市民病院口駅","福知山市民病院口駅（ふくちやましみんびょういんぐちえき）","https://ja.wikipedia.org/wiki/福知山市民病院口駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度18分23.17秒東経135度6分31.03秒","宮福線","1.5 km（**福知山起点）","WILLER TRAINS（京都丹後鉄道）","地上駅","1988年（昭和63年）7月16日[1]","1面1線","京都府福知山市厚中町75北緯35度18分23.17秒東経135度6分31.03秒﻿ / ﻿北緯35.3064361度 東経135.1086194度﻿ /35.3064361; 135.1086194﻿ (福知山市民病院口駅*)座標:北緯35度18分23.17秒東経135度6分31.03秒﻿ / ﻿北緯35.3064361度 東経135.1086194度﻿ /35.3064361; 135.1086194﻿ (福知山市民病院口駅*)","無人駅*2015年に厚中問屋駅から改称** 正式な起点は宮津駅","F2","","27人/日（降車客含まず）-2018年-","","","","","","","",""
"福野駅 (富山県)","福野駅 (富山県)（ふくのえき・西日本旅客鉄道城端線）","https://ja.wikipedia.org/wiki/福野駅_(富山県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度35分18.72秒東経136度55分23.49秒","■城端線","19.4 km（高岡起点）","西日本旅客鉄道（JR西日本）*","地上駅","1897年（明治30年）5月4日","2面2線","富山県南砺市松原新1767北緯36度35分18.72秒東経136度55分23.49秒﻿ / ﻿北緯36.5885333度 東経136.9231917度﻿ /36.5885333; 136.9231917座標:北緯36度35分18.72秒東経136度55分23.49秒﻿ / ﻿北緯36.5885333度 東経136.9231917度﻿ /36.5885333; 136.9231917","簡易委託駅みどりの窓口有","","フノ","728人/日（降車客含まず）-2018年-","","","","","","","",""
"福野駅 (岐阜県)","福野駅 (岐阜県)（ふくのえき・長良川鉄道越美南線）","https://ja.wikipedia.org/wiki/福野駅_(岐阜県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度38分47.8秒東経136度57分5.9秒","越美南線","32.9 km（美濃太田起点）","長良川鉄道","地上駅","1952年7月1日[1]","1面1線","岐阜県郡上市美並町白山北緯35度38分47.8秒東経136度57分5.9秒﻿ / ﻿北緯35.646611度 東経136.951639度﻿ /35.646611; 136.951639座標:北緯35度38分47.8秒東経136度57分5.9秒﻿ / ﻿北緯35.646611度 東経136.951639度﻿ /35.646611; 136.951639","無人駅","20","フクグジョウフクノ（転換前）","28人/日（降車客含まず）-2015年-","","","","","","","",""
"福原駅","福原駅（ふくはらえき）","https://ja.wikipedia.org/wiki/福原駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度21分5.56秒東経140度11分13.87秒","■水戸線","37.0 km（小山起点）","東日本旅客鉄道（JR東日本）","地上駅","1890年（明治23年）12月1日","2面3線","茨城県笠間市福原2144北緯36度21分5.56秒東経140度11分13.87秒座標:北緯36度21分5.56秒 東経140度11分13.87秒","簡易委託駅","","フラ","148人/日（降車客含まず）-2019年-","","","","","","","",""
"福部駅","福部駅（ふくべえき）","https://ja.wikipedia.org/wiki/福部駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度32分42.82秒東経134度17分15秒","A山陰本線","219.1 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1910年（明治43年）10月10日[1]","1面2線","鳥取県鳥取市福部町栗谷398北緯35度32分42.82秒東経134度17分15秒﻿ / ﻿北緯35.5452278度 東経134.28750度﻿ /35.5452278; 134.28750﻿ (福部駅*)","無人駅","","フヘ","77人/日（降車客含まず）-2019年-","","","","","","","",""
"福間駅","福間駅（ふくまえき）","https://ja.wikipedia.org/wiki/福間駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度45分47.9秒東経130度29分9.9秒","JA鹿児島本線","56.6 km（門司港起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）","1890年（明治23年）9月28日[1]","3面5線","福岡県福津市中央三丁目1-1北緯33度45分47.9秒東経130度29分9.9秒﻿ / ﻿北緯33.763306度 東経130.486083度﻿ /33.763306; 130.486083座標:北緯33度45分47.9秒東経130度29分9.9秒﻿ / ﻿北緯33.763306度 東経130.486083度﻿ /33.763306; 130.486083","業務委託駅みどりの窓口有","JA  11 ","フク","9,148人/日（降車客含まず）-2019年-","","","","","","","",""
"福光駅","福光駅（ふくみつえき）","https://ja.wikipedia.org/wiki/福光駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度33分29.18秒東経136度52分41.35秒","■城端線","24.7 km（高岡起点）","西日本旅客鉄道（JR西日本）","地上駅","1897年（明治30年）8月18日","2面2線","富山県南砺市荒木5327北緯36度33分29.18秒東経136度52分41.35秒﻿ / ﻿北緯36.5581056度 東経136.8781528度﻿ /36.5581056; 136.8781528座標:北緯36度33分29.18秒東経136度52分41.35秒﻿ / ﻿北緯36.5581056度 東経136.8781528度﻿ /36.5581056; 136.8781528","簡易委託駅みどりの窓口有（e5489サービス対象外・カード不可）","","フク","531人/日（降車客含まず）-2018年-","","","","","","","",""
"福山駅","福山駅（ふくやまえき）","https://ja.wikipedia.org/wiki/福山駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度29分21.2秒東経133度21分41.6秒","■山陽新幹線","238.6 km（新大阪起点）東京から791.2 km","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）","高架駅","1891年（明治24年）9月11日","2面2線（新幹線）3面6線（在来線）","広島県福山市三之丸町30-1北緯34度29分21.2秒東経133度21分41.6秒﻿ / ﻿北緯34.489222度 東経133.361556度﻿ /34.489222; 133.361556座標:北緯34度29分21.2秒東経133度21分41.6秒﻿ / ﻿北緯34.489222度 東経133.361556度﻿ /34.489222; 133.361556","直営駅（管理駅）みどりの窓口有","JR-W14（岡山方面）JR-X14（三原方面）","フク","21,187人/日（降車客含まず）-2019年-","","","","","","","",""
"福用駅","福用駅（ふくようえき）","https://ja.wikipedia.org/wiki/福用駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度54分4.58秒東経138度5分22.44秒","大井川本線","12.3 km（金谷起点）","大井川鐵道","地上駅","1929年（昭和4年）12月1日","島式 1面2線","静岡県島田市高熊北緯34度54分4.58秒東経138度5分22.44秒﻿ / ﻿北緯34.9012722度 東経138.0895667度﻿ /34.9012722; 138.0895667座標:北緯34度54分4.58秒東経138度5分22.44秒﻿ / ﻿北緯34.9012722度 東経138.0895667度﻿ /34.9012722; 138.0895667","簡易委託駅","","","19人/日（降車客含まず）-2019年-","38人/日-2019年-","","","","","","",""
"福吉駅","福吉駅（ふくよしえき）","https://ja.wikipedia.org/wiki/福吉駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度30分5.59秒東経130度4分46.38秒","JK筑肥線","26.1 km（姪浜起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）","1923年（大正12年）12月5日","1面2線","福岡県糸島市二丈吉井4086-2北緯33度30分5.59秒東経130度4分46.38秒﻿ / ﻿北緯33.5015528度 東経130.0795500度﻿ /33.5015528; 130.0795500﻿ (福吉駅)","無人駅","JK  14 ","フヨ","426人/日（降車客含まず）-2019年-","","","","","","","",""
