"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","初登頂","プロミネンス","総称","所属山脈","種類","アイソレーション","山の種類","最容易,ルート","最新噴火","最新の噴火","公式サイト","翻訳","公用語","住民の呼称","海外領土"
"ジャルジンスカヤ丘陵","[208  ベラルーシジャルジンスカヤ丘陵345 m] ","https://ja.wikipedia.org/wiki/ジャルジンスカヤ丘陵","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯53度50分55秒東経27度3分55秒","345m","ベラルーシミンスク州","北緯53度50分55秒東経27度3分55秒﻿ / ﻿北緯53.84861度 東経27.06528度﻿ /53.84861; 27.06528座標:北緯53度50分55秒東経27度3分55秒﻿ / ﻿北緯53.84861度 東経27.06528度﻿ /53.84861; 27.06528","","","","","","","","","","","","","","","",""
"ヒラビー山","[209  バルバドスヒラビー山336 m標高は340mであるとする資料もある。] ヒラビー山 （ 英語 、Mount Hillaby）とは、 大西洋 の西端部に存在する、バルバドス島における 最高峰 である。ただ最高峰とは言え、山頂の標高は340m程度でしかないという、低くて小さな 山 である。","https://ja.wikipedia.org/wiki/ヒラビー山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ファールゼルベルク","[210  オランダファールゼルベルク322 m本土最高地点。2010年10月10日より、オランダ王国としての最高峰はカリブ海のサバ島にあるシーナリー山(877m) である。] 2010年にカリブ海の オランダ領アンティル が解体され、 その一部 がオランダ本国に編入されたことにより、「オランダ本国の最高峰」はファールス山から サバ島 の シーナリー山 （887 m）となった。","https://ja.wikipedia.org/wiki/ファールゼルベルク","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯50度45分17秒東経6度01分15秒","322.7 m(1,059 ft)","オランダリンブルフ州","","","","","","","","","","","","","","ファールス山(日本語)","","",""
"スールムナマギ","[212  エストニアスールムナマギ318 m] ","https://ja.wikipedia.org/wiki/スールムナマギ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯57度42分52秒東経27度03分33秒","318m"," エストニアヴォル県","北緯57度42分52秒東経27度03分33秒﻿ / ﻿北緯57.71444度 東経27.05917度﻿ /57.71444; 27.05917座標:北緯57度42分52秒東経27度03分33秒﻿ / ﻿北緯57.71444度 東経27.05917度﻿ /57.71444; 27.05917","","","","","","","","","","","","","","","",""
"Gaizinkalns","[213  ラトビアGaizinkalns312 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Gaizinkalns","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Aukštojas Hill","[216  リトアニアAukštojas Hill294 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Aukštojas_Hill","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Ta'Dmejrek","[218  マルタTa'Dmejrek253 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Ta'Dmejrek","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ゲルチェレチュース山","[219  パラオゲルチェレチュース山242 m] ","https://ja.wikipedia.org/wiki/ゲルチェレチュース山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯7度33分55秒東経134度34分10秒","242m","パラオガラスマオ州・アルモノグイ州","北緯7度33分55秒東経134度34分10秒﻿ / ﻿北緯7.56528度 東経134.56944度﻿ /7.56528; 134.56944座標:北緯7度33分55秒東経134度34分10秒﻿ / ﻿北緯7.56528度 東経134.56944度﻿ /7.56528; 134.56944","","","","","","","","","","","","","","","",""
"モレホイ","[223  デンマークモレホイ171 m] スカナボー市のアイアビェアゲ丘陵に位置し、アイア・バウネホイとは目と鼻の先にある。","https://ja.wikipedia.org/wiki/モレホイ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯55度58分37.88秒東経9度49分34.42秒","170.86 m(560.6 ft)"," デンマークスカナボー市","","","","161メートル (528 ft)","","","","171.28キロメートル (106.43 mi)","","","","","","","","",""
"ブキッ・ティマ","[224  シンガポールブキッ・ティマ164 m] シンガポールの中部地区からおよそ10キロメートルの場所に位置する丘陵で、周辺地域も含めてブキッ・ティマ、または「11区」という呼称で呼ばれる場合もある。地区としてのブキッ・ティマの範囲は次第に広がっており、上ブキッ・ティマ（Upper Bukit Timah、通称「21区」）という地域も後になって開発された地域である。","https://ja.wikipedia.org/wiki/ブキッ・ティマ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Chemin des Révoires","[225  モナコChemin des Révoires, a pathway located on the slopes ofMont Agel161 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Chemin_des_Révoires","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ドゥハーン山","[227  バーレーンドゥハーン山（英語版）134 m]","https://ja.wikipedia.org/w/index.php?title=ドゥハーン山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Qurayn Abu al Bawl","[229  カタールQurayn Abu al Bawl103 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Qurayn_Abu_al_Bawl","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"バナバ島","[230  キリバスバナバ島。頂点に特に名は無い。81 m] バナバ島 (バナバとう、Banaba Island) または オーシャン島 (オーシャンとう、Ocean Island) は、 キリバス共和国 に属する 太平洋 にある隆起した 珊瑚 の島。","https://ja.wikipedia.org/wiki/バナバ島","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Command Ridge","[233  ナウルCommand Ridge65 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Command_Ridge","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Mount Alvernia","[236  バハマMount AlverniaonCat Island63 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Mount_Alvernia","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"リキエップ環礁","[241  マーシャル諸島リキエップ環礁。頂点に特に名は無い。10 m] リキエップ環礁 は65の小島から成る 太平洋 上の 環礁 であり、国際法上は マーシャル諸島 の ラタック列島 に属している。小島の面積の合計は10.1km 2 であるが、環礁の総面積は419km 2 にもなる。環礁の人口は、1999年度で482人である。","https://ja.wikipedia.org/wiki/リキエップ環礁","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯09度54分00秒 東経169度08分00秒","","","","","","","","","","","","","","","","","","",""
"アッドゥ環礁","[245  モルディブアッドゥ環礁のVillingili島。頂点は無名。2 m] 23の島からなるが、そのうち有人島はミードゥ、ヒタドゥ、マラドゥ、フェイドゥ、 ガン 、そしてフルフドゥの6島のみ。人口はおよそ28,000人強である。1959年-1963年まで、 アドゥアン人民共和国 、次いで スバディバ連合共和国 を称しモルディブから独立を宣言していた。","https://ja.wikipedia.org/wiki/アッドゥ環礁","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"南極大陸","[29  南極（南極大陸）ヴィンソン・マシフ4,892 m] 南極大陸は、平均 気温 が最も低く、 乾燥 し、強風に晒され、また平均 海抜 も最も高い大陸である  。年間 降水 量が 海岸 部分で200 mm、 内陸 ではさらに少ない 砂漠 と考えられる  。南極大陸で観測された最低気温は、 2018年 7月に記録した −97.8  °C である。","https://ja.wikipedia.org/wiki/南極大陸","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"デンマーク","[53  グリーンランドデンマークギュンビョルン山3,700 m] この表中の各数値は、 グリーンランド と フェロー諸島 を含んでいない。","https://ja.wikipedia.org/wiki/デンマーク","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"フランス","[65  レユニオンフランスPiton des Neiges3,069 m] この表のデータは 本土 のみで、海外県・属領を含まない。","https://ja.wikipedia.org/wiki/フランス","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"イギリス","[78  サウスジョージア・サウスサンドウィッチ諸島イギリスパジェット山2,934 m] かつてのイギリスの海外領土としては 自治領 (Dominion)、 王領植民地 (Crown Colony)、 保護国 (Protectorate)、 信託統治 領 (Trusteeship)、 租借地 (leased territory) が存在した。 第二次世界大戦 以降、そのほとんどは独立国となるか、 香港 のように返還された。独立した地域には イギリス連邦 に参加する国と参加しない国があり、前者はさらに、イギリスの王を君主とする 英連邦王国 (Commonwealth realm) と、それ以外の国に分かれる。","https://ja.wikipedia.org/wiki/イギリスの海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"フランス","[118  フランス領ポリネシアフランスMont Orohena2,241 m] この表のデータは 本土 のみで、海外県・属領を含まない。","https://ja.wikipedia.org/wiki/フランス","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"イギリス","[124  セントヘレナイギリストリスタン・ダ・クーニャのクィーン・メアリー・ピーク2,060 m] かつてのイギリスの海外領土としては 自治領 (Dominion)、 王領植民地 (Crown Colony)、 保護国 (Protectorate)、 信託統治 領 (Trusteeship)、 租借地 (leased territory) が存在した。 第二次世界大戦 以降、そのほとんどは独立国となるか、 香港 のように返還された。独立した地域には イギリス連邦 に参加する国と参加しない国があり、前者はさらに、イギリスの王を君主とする 英連邦王国 (Commonwealth realm) と、それ以外の国に分かれる。","https://ja.wikipedia.org/wiki/イギリスの海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ノルウェー","[142  スヴァールバル諸島ノルウェーNewtontoppen1,717 m] 地理としては国土は南北に細長く、海岸線は 北大西洋 の複数の海域、すなわち スカゲラック海峡 、 北海 、 ノルウェー海 および バレンツ海 に面している。海岸線には、多くの フィヨルド が発達する。このほか、ノルウェー本土から約1,000 キロ 離れた北大西洋上の ヤンマイエン島 は固有の領土の一部として領有され、 スヴァールバル条約 により バレンツ海 の スヴァールバル諸島 を領有している。 南大西洋 に ブーベ島 を属領として持つ。","https://ja.wikipedia.org/wiki/ノルウェー","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯63度 東経9度","","","","","","","","","","","","","","","","","","",""
"フランス","[143  ニューカレドニアフランスパニエ山1,628 m] この表のデータは 本土 のみで、海外県・属領を含まない。","https://ja.wikipedia.org/wiki/フランス","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"フランス","[147  グアドループフランススフリエール山1,484 m] この表のデータは 本土 のみで、海外県・属領を含まない。","https://ja.wikipedia.org/wiki/フランス","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"フランス","[151  マルティニークフランスプレー山1,397 m] この表のデータは 本土 のみで、海外県・属領を含まない。","https://ja.wikipedia.org/wiki/フランス","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"アメリカ","[153  プエルトリコアメリカCerro de Punta1,338 m] 「Territory」という用語は、米国がその 領土 を拡大していた時代に名づけられたものである（和訳の「海外」というのは日本語で使用する際に便宜上つけられているもの）。非州領域、準州とも呼ばれる。非州領域は編入（incorporated）領域であるかどうか、 自治 が行われている（organized、 合衆国議会  で当該地域の 自治法 （または組織法、Organic Act）が制定されている）かどうか、の2点に着目した分類がなされる。編入され、自治法も制定されている「アメリカ合衆国自治的・編入領域」は1789年から1959年まで存在し、そのうち31の領域が正式州への昇格を果たした。また、1898年までは未編入領域という定義自体が無かったが、現在はいくつかの領域がこれに該当している。","https://ja.wikipedia.org/wiki/アメリカ合衆国の海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","英語、スペイン語、ハワイ語、チャモロ語、カロリン語、サモア語","アメリカ人","14地域および2地域（係争中） アメリカ領サモアベーカー島ハウランド島 グアムジャーヴィス島ジョンストン環礁キングマン・リーフミッドウェー島ナヴァッサ島北マリアナ諸島パルミラ環礁プエルトリコアメリカ領ヴァージン諸島ウェーク島バホヌエボ礁セラニャ礁"
"アメリカ","[170  アメリカ領サモアアメリカLata Mountain966 m] 「Territory」という用語は、米国がその 領土 を拡大していた時代に名づけられたものである（和訳の「海外」というのは日本語で使用する際に便宜上つけられているもの）。非州領域、準州とも呼ばれる。非州領域は編入（incorporated）領域であるかどうか、 自治 が行われている（organized、 合衆国議会  で当該地域の 自治法 （または組織法、Organic Act）が制定されている）かどうか、の2点に着目した分類がなされる。編入され、自治法も制定されている「アメリカ合衆国自治的・編入領域」は1789年から1959年まで存在し、そのうち31の領域が正式州への昇格を果たした。また、1898年までは未編入領域という定義自体が無かったが、現在はいくつかの領域がこれに該当している。","https://ja.wikipedia.org/wiki/アメリカ合衆国の海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","英語、スペイン語、ハワイ語、チャモロ語、カロリン語、サモア語","アメリカ人","14地域および2地域（係争中） アメリカ領サモアベーカー島ハウランド島 グアムジャーヴィス島ジョンストン環礁キングマン・リーフミッドウェー島ナヴァッサ島北マリアナ諸島パルミラ環礁プエルトリコアメリカ領ヴァージン諸島ウェーク島バホヌエボ礁セラニャ礁"
"アメリカ","[171  北マリアナ諸島アメリカアグリハン島965 m最高地点に特に名は無い。] 「Territory」という用語は、米国がその 領土 を拡大していた時代に名づけられたものである（和訳の「海外」というのは日本語で使用する際に便宜上つけられているもの）。非州領域、準州とも呼ばれる。非州領域は編入（incorporated）領域であるかどうか、 自治 が行われている（organized、 合衆国議会  で当該地域の 自治法 （または組織法、Organic Act）が制定されている）かどうか、の2点に着目した分類がなされる。編入され、自治法も制定されている「アメリカ合衆国自治的・編入領域」は1789年から1959年まで存在し、そのうち31の領域が正式州への昇格を果たした。また、1898年までは未編入領域という定義自体が無かったが、現在はいくつかの領域がこれに該当している。","https://ja.wikipedia.org/wiki/アメリカ合衆国の海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","英語、スペイン語、ハワイ語、チャモロ語、カロリン語、サモア語","アメリカ人","14地域および2地域（係争中） アメリカ領サモアベーカー島ハウランド島 グアムジャーヴィス島ジョンストン環礁キングマン・リーフミッドウェー島ナヴァッサ島北マリアナ諸島パルミラ環礁プエルトリコアメリカ領ヴァージン諸島ウェーク島バホヌエボ礁セラニャ礁"
"中華人民共和国","[172  香港中華人民共和国大帽山958 m] 中華ソビエト共和国 としてはじまった中華人民共和国は、 中華民国統治下 の中国で 1921年 7月に結党された 中国共産党 が ソビエト連邦 の支援を受けながら、 国共合作 ・ 日中戦争  ・ 国共内戦 を経て 中華民国政府 を 台湾 へ放逐  し、 1949年 10月1日 に 毛沢東 中国共産党主席 が北京市 天安門広場 で 建国宣言 を行ったことで成立した。","https://ja.wikipedia.org/wiki/中華人民共和国","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯35度 東経103度","","","","","","","","","","","","","","","","","","",""
"イギリス","[175  モントセラトイギリススーフリエール・ヒルズ火山群のChances Peak915 m] かつてのイギリスの海外領土としては 自治領 (Dominion)、 王領植民地 (Crown Colony)、 保護国 (Protectorate)、 信託統治 領 (Trusteeship)、 租借地 (leased territory) が存在した。 第二次世界大戦 以降、そのほとんどは独立国となるか、 香港 のように返還された。独立した地域には イギリス連邦 に参加する国と参加しない国があり、前者はさらに、イギリスの王を君主とする 英連邦王国 (Commonwealth realm) と、それ以外の国に分かれる。","https://ja.wikipedia.org/wiki/イギリスの海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"デンマーク","[178  フェロー諸島デンマークSlættaratindur882 m] この表中の各数値は、 グリーンランド と フェロー諸島 を含んでいない。","https://ja.wikipedia.org/wiki/デンマーク","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"オランダ","[180  オランダ領アンティルオランダサバ島のシーナリー山877 mサバ島はオランダ本国に編入されたため、オランダの最高地点でもある。2010年10月10日より、オランダ領アンティルは消滅し、サバ島、ボネール島、シント・ユースタティウス島(BES諸島)はオランダ王国に編入、キュラソー島、シント・マールテンは先に離脱したアルバ同様、個別の自治領となった。] カリブ海 の アルバ 、 キュラソー 、 シント・マールテン と共に オランダ王国 を構成している。それ以外にも、カリブ海に海外特別自治領として BES諸島 と呼ばれる、 ボネール島 、 シント・ユースタティウス島 、 サバ島 がある。","https://ja.wikipedia.org/wiki/オランダ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"フランス","[181  フランス領ギアナフランスベルヴューデリーニニ山851 m] この表のデータは 本土 のみで、海外県・属領を含まない。","https://ja.wikipedia.org/wiki/フランス","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"フランス","[186  ウォリス・フツナフランスMont Singavi765 m] この表のデータは 本土 のみで、海外県・属領を含まない。","https://ja.wikipedia.org/wiki/フランス","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"イギリス","[189  フォークランド諸島イギリスMount Usborne705 mアルゼンチンも領有権を主張している。] かつてのイギリスの海外領土としては 自治領 (Dominion)、 王領植民地 (Crown Colony)、 保護国 (Protectorate)、 信託統治 領 (Trusteeship)、 租借地 (leased territory) が存在した。 第二次世界大戦 以降、そのほとんどは独立国となるか、 香港 のように返還された。独立した地域には イギリス連邦 に参加する国と参加しない国があり、前者はさらに、イギリスの王を君主とする 英連邦王国 (Commonwealth realm) と、それ以外の国に分かれる。","https://ja.wikipedia.org/wiki/イギリスの海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"フランス","[191  マヨット島フランスBenara660 m] この表のデータは 本土 のみで、海外県・属領を含まない。","https://ja.wikipedia.org/wiki/フランス","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ニュージーランド","[193  クック諸島ニュージーランドTe Manga652 m] 島国 であり、二つの主要な島と、多くの小さな島々からなる。北西に2,000km離れた オーストラリア大陸 （ オーストラリア連邦 ）と対する。南方の 南極大陸 とは2,600km離れている。北は トンガ 、 ニューカレドニア 、 フィジー がある。 イギリス連邦 加盟国であり、 英連邦王国 の一国となっている。また、 ニュージーランド王国 を構成する最大の主体地域である。","https://ja.wikipedia.org/wiki/ニュージーランド","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯42度 東経174度","","","","","","","","","","","","","","","","","","",""
"イギリス王室","[194  マン島イギリス王室属領Snaefell621 m] 王族の範囲に関する明確な定義は存在しないが、少なくとも Her Majesty（HM, 陛下 〈王妃〉）や His/Her Royal Highness（HRH, 殿下 ）の敬称を持つ人物は、一般的に王族であると考えられている。そこで有力な指針のひとつとされているのが、 1917年 11月に ジョージ5世 により発表された、王子・王女の身分と陛下・殿下の敬称の運用方針を定めた勅許状である。これによると、王子・王女の身分と陛下・殿下の敬称は、国王、国王の子供、国王の息子の子、 プリンス・オブ・ウェールズ （王太子）の長男の長男に与えられるものとされている。","https://ja.wikipedia.org/wiki/イギリス王室","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","イギリス王室公式サイト","","","",""
"イギリス","[197  イギリス領ヴァージン諸島イギリスMount Sage521 m] かつてのイギリスの海外領土としては 自治領 (Dominion)、 王領植民地 (Crown Colony)、 保護国 (Protectorate)、 信託統治 領 (Trusteeship)、 租借地 (leased territory) が存在した。 第二次世界大戦 以降、そのほとんどは独立国となるか、 香港 のように返還された。独立した地域には イギリス連邦 に参加する国と参加しない国があり、前者はさらに、イギリスの王を君主とする 英連邦王国 (Commonwealth realm) と、それ以外の国に分かれる。","https://ja.wikipedia.org/wiki/イギリスの海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"アメリカ","[199  アメリカ領ヴァージン諸島アメリカCrown Mountain474 m] 「Territory」という用語は、米国がその 領土 を拡大していた時代に名づけられたものである（和訳の「海外」というのは日本語で使用する際に便宜上つけられているもの）。非州領域、準州とも呼ばれる。非州領域は編入（incorporated）領域であるかどうか、 自治 が行われている（organized、 合衆国議会  で当該地域の 自治法 （または組織法、Organic Act）が制定されている）かどうか、の2点に着目した分類がなされる。編入され、自治法も制定されている「アメリカ合衆国自治的・編入領域」は1789年から1959年まで存在し、そのうち31の領域が正式州への昇格を果たした。また、1898年までは未編入領域という定義自体が無かったが、現在はいくつかの領域がこれに該当している。","https://ja.wikipedia.org/wiki/アメリカ合衆国の海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","英語、スペイン語、ハワイ語、チャモロ語、カロリン語、サモア語","アメリカ人","14地域および2地域（係争中） アメリカ領サモアベーカー島ハウランド島 グアムジャーヴィス島ジョンストン環礁キングマン・リーフミッドウェー島ナヴァッサ島北マリアナ諸島パルミラ環礁プエルトリコアメリカ領ヴァージン諸島ウェーク島バホヌエボ礁セラニャ礁"
"イギリス","[202  ジブラルタルイギリスジブラルタルの岩426 m] かつてのイギリスの海外領土としては 自治領 (Dominion)、 王領植民地 (Crown Colony)、 保護国 (Protectorate)、 信託統治 領 (Trusteeship)、 租借地 (leased territory) が存在した。 第二次世界大戦 以降、そのほとんどは独立国となるか、 香港 のように返還された。独立した地域には イギリス連邦 に参加する国と参加しない国があり、前者はさらに、イギリスの王を君主とする 英連邦王国 (Commonwealth realm) と、それ以外の国に分かれる。","https://ja.wikipedia.org/wiki/イギリスの海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"フランス","[203  サン・マルタン島フランスピク・パラディ424 m] この表のデータは 本土 のみで、海外県・属領を含まない。","https://ja.wikipedia.org/wiki/フランス","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"アメリカ","[204  グアムアメリカラムラム山406 m] 「Territory」という用語は、米国がその 領土 を拡大していた時代に名づけられたものである（和訳の「海外」というのは日本語で使用する際に便宜上つけられているもの）。非州領域、準州とも呼ばれる。非州領域は編入（incorporated）領域であるかどうか、 自治 が行われている（organized、 合衆国議会  で当該地域の 自治法 （または組織法、Organic Act）が制定されている）かどうか、の2点に着目した分類がなされる。編入され、自治法も制定されている「アメリカ合衆国自治的・編入領域」は1789年から1959年まで存在し、そのうち31の領域が正式州への昇格を果たした。また、1898年までは未編入領域という定義自体が無かったが、現在はいくつかの領域がこれに該当している。","https://ja.wikipedia.org/wiki/アメリカ合衆国の海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","英語、スペイン語、ハワイ語、チャモロ語、カロリン語、サモア語","アメリカ人","14地域および2地域（係争中） アメリカ領サモアベーカー島ハウランド島 グアムジャーヴィス島ジョンストン環礁キングマン・リーフミッドウェー島ナヴァッサ島北マリアナ諸島パルミラ環礁プエルトリコアメリカ領ヴァージン諸島ウェーク島バホヌエボ礁セラニャ礁"
"オーストラリア","[206  クリスマス島オーストラリアMurray Hill361 m] オーストラリアの州と特別地域 （オーストラリアのしゅうととくべつちいき）では、 オーストラリア の 行政区画 について述べる。","https://ja.wikipedia.org/wiki/オーストラリアの州と特別地域","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"イギリス","[207  ピトケアン諸島イギリスPawala Valley Ridge347 m] かつてのイギリスの海外領土としては 自治領 (Dominion)、 王領植民地 (Crown Colony)、 保護国 (Protectorate)、 信託統治 領 (Trusteeship)、 租借地 (leased territory) が存在した。 第二次世界大戦 以降、そのほとんどは独立国となるか、 香港 のように返還された。独立した地域には イギリス連邦 に参加する国と参加しない国があり、前者はさらに、イギリスの王を君主とする 英連邦王国 (Commonwealth realm) と、それ以外の国に分かれる。","https://ja.wikipedia.org/wiki/イギリスの海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"オーストラリア","[211  ノーフォーク島オーストラリアMount Bates319 m] オーストラリアの州と特別地域 （オーストラリアのしゅうととくべつちいき）では、 オーストラリア の 行政区画 について述べる。","https://ja.wikipedia.org/wiki/オーストラリアの州と特別地域","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"フランス","[217  サン・バルテルミー島フランスMorne du Vitet286 m] この表のデータは 本土 のみで、海外県・属領を含まない。","https://ja.wikipedia.org/wiki/フランス","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"フランス","[220  サンピエール島・ミクロン島フランスMorne de la Grande Montagne240 m] この表のデータは 本土 のみで、海外県・属領を含まない。","https://ja.wikipedia.org/wiki/フランス","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"オランダ","[221  アルバオランダMount Jamanota188 m] カリブ海 の アルバ 、 キュラソー 、 シント・マールテン と共に オランダ王国 を構成している。それ以外にも、カリブ海に海外特別自治領として BES諸島 と呼ばれる、 ボネール島 、 シント・ユースタティウス島 、 サバ島 がある。","https://ja.wikipedia.org/wiki/オランダ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
