"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","泉質","交通","泉温（,摂氏,）","外部リンク","宿泊施設数","液性の分類","pH","湧出量","浸透圧の分類","総収容人員数","特記事項","年間浴客数","統計年","営業時間","温泉施設数","登録路線","登録回","登録日"
"羅臼温泉","[（らうす）温泉] 羅臼温泉 （らうすおんせん）は、 北海道 目梨郡 羅臼町 にある 温泉 。","https://ja.wikipedia.org/wiki/羅臼温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度01分54秒東経145度09分19秒","北海道目梨郡羅臼町","含硫黄ナトリウム塩化物泉","JR北海道釧網本線釧路駅より阿寒バスの定期路線を終点「羅臼」まで乗車したのち、徒歩で約20分","99°C","","6","","","","","","","","","","","","",""
"川北温泉","[川北温泉] 川北温泉 （かわきたおんせん）は、 北海道 標津郡 標津町 川北にある 温泉 である。","https://ja.wikipedia.org/wiki/川北温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度42分7秒東経144度54分49秒","北海道標津郡標津町川北","食塩硫化水素泉","標津市街から斜里町方面へ国道244号を進み、笹の沢林道に入りダートを約5km","59.6°C","川北温泉","0","","","","","","","","","","","","",""
"養老牛温泉","[養老牛温泉] 養老牛温泉 （ようろううしおんせん）は、 北海道 標津郡 中標津町 にある 温泉 。渓流沿いに立地しており、川の流れを聞きながら入る露天風呂を設けている。","https://ja.wikipedia.org/wiki/養老牛温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道標津郡中標津町養老牛","塩化物泉","鉄道-JR北海道釧網本線標茶駅バス-標茶駅より阿寒バスで約60分乗車後、計根別にて中標津町営バスに乗り継いで15分","","","1","","","","","","","","","","","","",""
"摩周温泉","[摩周温泉] 摩周温泉 （ましゅうおんせん）は、 北海道 川上郡 弟子屈町 にある 温泉 。","https://ja.wikipedia.org/wiki/摩周温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道川上郡弟子屈町","弱食塩泉","釧網本線摩周駅下車","26 - 96°C","弟子屈なび","8","","","","","","","","","","","","",""
"川湯温泉 (北海道)","[川湯温泉] 川湯温泉 （かわゆおんせん）は、 北海道 川上郡 弟子屈町 にある 温泉 である。川湯の名は、 アイヌ語 の「セセキ（熱い）ペツ（川）」を意訳したものである。温泉街のなかを高温の温泉川が流れている。","https://ja.wikipedia.org/wiki/川湯温泉_(北海道)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度38分16秒東経144度26分14秒","北海道弟子屈町","硫黄泉・酸性明礬泉など","JR北海道釧網本線川湯温泉駅より阿寒バス「川湯営業所」下車","35～65.5","","","強酸性","","","低張性","","","","","","","","",""
"屈斜路湖畔温泉郷","[屈斜路湖畔温泉郷仁伏温泉屈斜路湖温泉池の湯温泉コタン温泉三香温泉和琴温泉] 屈斜路湖畔温泉郷 （くっしゃろこはんおんせんごう）は、 北海道 川上郡 弟子屈町 屈斜路湖 畔にある温泉地の総称（ 温泉郷 ）。冬季において、砂湯・コタン温泉・池の湯などは廃湯によって湖面が氷結しないため、白鳥が集まってくる。","https://ja.wikipedia.org/wiki/屈斜路湖畔温泉郷","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道川上郡弟子屈町屈斜路湖畔","塩化物泉、硫酸塩泉、単純温泉など","JR摩周駅から阿寒バス（コタン・和琴・屈斜路温泉のみ）","","","","","","","","","","","","","","","",""
"仁伏温泉 (存在しないページ)","[仁伏温泉]","https://ja.wikipedia.org/w/index.php?title=仁伏温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"屈斜路湖温泉 (存在しないページ)","[屈斜路湖温泉]","https://ja.wikipedia.org/w/index.php?title=屈斜路湖温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"池の湯温泉 (存在しないページ)","[池の湯温泉]","https://ja.wikipedia.org/w/index.php?title=池の湯温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"コタン温泉","[コタン温泉] コタン温泉 （コタンおんせん）は、 北海道 川上郡 弟子屈町 字屈斜路にある 温泉 である。 屈斜路湖 の南東の湖畔に位置し、「コタンの湯」では24時間無料での入浴が可能。温泉の名称は地名の古丹（ コタン 。 アイヌ語 で「村」の意）に由来する。","https://ja.wikipedia.org/wiki/コタン温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道川上郡弟子屈町屈斜路","炭酸水素塩泉","JR釧網本線川湯温泉駅より阿寒バスを利用","","","","","","","","","","","","","","","",""
"三香温泉","[三香温泉] 三香温泉 （さんこうおんせん）は、 北海道 川上郡 弟子屈町 字屈斜路にある 温泉 。","https://ja.wikipedia.org/wiki/三香温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道川上郡弟子屈町字屈斜路","単純温泉","摩周駅よりバス「和琴半島]下車","52.2°C","三香温泉- Facebook","1","弱アルカリ性","8.4","160L/min","低張性","","","","","","","","",""
"和琴温泉","[和琴温泉] 和琴温泉 （わことおんせん）は、 北海道 川上郡 弟子屈町 にある温泉。 屈斜路湖 南側の 和琴半島 に位置する。","https://ja.wikipedia.org/wiki/和琴温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道川上郡弟子屈町","単純泉","JR北海道釧網本線摩周駅より車で約15分","52.5°C","","","中性","","","低張性","","","","","","","","",""
"阿寒湖温泉","[阿寒湖温泉] 阿寒湖温泉 （あかんこおんせん）は、 北海道 釧路市 阿寒町阿寒湖温泉の、 阿寒湖 畔にある 温泉 である。 温泉街 が形成されている。","https://ja.wikipedia.org/wiki/阿寒湖温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度26分0秒東経144度5分40秒","北海道釧路市阿寒町阿寒湖温泉阿寒湖温泉北海道地図","単純温泉、硫黄泉","JR北海道根室本線釧路駅より阿寒バスで約2時間","50 - 80°C","阿寒湖温泉旅館組合公式ホームページ","22","アルカリ性","","","","6606 人/日","","","","","","","",""
"雌阿寒温泉","[雌阿寒温泉] 雌阿寒温泉 （めあかんおんせん）は、 北海道 足寄郡 足寄町 にある 温泉 である。 オンネトー温泉 ともいう。","https://ja.wikipedia.org/wiki/雌阿寒温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道足寄郡足寄町","単純硫黄泉など","阿寒湖温泉よりバスで約10分","50 - 80°C","","2","弱酸性","","","","","","","","","","","",""
"オーロラ温泉","[オーロラ温泉] オーロラ温泉 （オーロラおんせん）は、 北海道 川上郡 標茶町 にある 温泉 である。","https://ja.wikipedia.org/wiki/オーロラ温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度19分30.9秒東経144度31分38.5秒","北海道川上郡標茶町字栄","アルカリ性単純温泉","JR釧網本線標茶駅から車で約10分。","43.6°C","オーロラファームヴィレッジ","","アルカリ性","9.4","94L/min （自噴）","低張性","","","","","","","","",""
"霧多布温泉","[霧多布温泉] 霧多布温泉 （きりたっぷおんせん）は、 北海道 厚岸郡 浜中町 が町民の保養・健康づくり・研修・交流、及び災害避難のため運営する施設  。正式名称は浜中町ふれあい交流・保養センター  、通称は霧多布温泉ゆうゆ  。 1999年 ( 平成 11年)に完成し  、温泉の泉質は ナトリウム-塩化物泉 （アルカリ性低張性温泉）  。","https://ja.wikipedia.org/wiki/霧多布温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度04分36秒東経145度08分03秒","北海道厚岸郡浜中町湯沸432番地","ナトリウム-塩化物泉","","","","無し","アルカリ性","","","低張性","","","","","","","","",""
"芽登温泉","[芽登温泉] 芽登温泉 （めとうおんせん）は、 北海道 足寄郡 足寄町 芽登にある 温泉 である。","https://ja.wikipedia.org/wiki/芽登温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道足寄郡足寄町芽登","単純硫黄温泉","足寄市街地から車で約40分","62°C","芽登温泉ホテル","","","","120L/分","","","飲泉可","","","","","","",""
"幌加温泉","[幌加温泉] 幌加温泉 （ほろかおんせん）は、 北海道 河東郡 上士幌町 幌加にある 温泉 。","https://ja.wikipedia.org/wiki/幌加温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","北海道河東郡上士幌町幌加","ナトリウム - 塩化物泉など","音更帯広ICから70km","","","1(素泊まりのみ)","","","","","","","","","","","","",""
"ぬかびら温泉","[ぬかびら温泉（糠平温泉）] ぬかびら温泉 （ - おんせん）は、 北海道 河東郡 上士幌町 にある 温泉 。","https://ja.wikipedia.org/wiki/ぬかびら温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度21分55.6秒東経143度11分22秒","北海道河東郡上士幌町","単純温泉、弱食塩泉、重曹泉","JR北海道根室本線帯広駅北口の帯広駅バスターミナルよりバスで約1時間30分","50〜60","ぬかびら源泉郷旅館組合","9","中性","","","低張性","","","","","","","","",""
"山田温泉 (北海道)","[山田温泉] 山田温泉 （やまだおんせん）は、 北海道 河東郡 鹿追町 北瓜幕にある 温泉 である。 然別湖 から北へ約2km進んだ 原生林 の中に立地する。","https://ja.wikipedia.org/wiki/山田温泉_(北海道)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度18分26.2秒東経143度7分35.1秒","北海道河東郡鹿追町北瓜幕無番地","単純温泉","十勝清水ICから50km","44.5°C","山田温泉","0","中性","7.0","118L/min","低張性","","","","","","","","",""
"然別湖畔温泉","[然別湖畔温泉] 然別湖畔温泉 （しかりべつこはんおんせん）は、 北海道 河東郡 鹿追町 にある 温泉 。 然別湖 の西岸にある。","https://ja.wikipedia.org/wiki/然別湖畔温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度16分23秒東経143度6分17秒","北海道河東郡鹿追町","塩化物泉・硫黄泉","バス -新得駅または帯広駅より北海道拓殖バス車 -北海道道85号鹿追糠平線","71°C","","","中性","","","低張性","","","","","","","","",""
"菅野温泉","[菅野温泉] 然別峡かんの温泉 （かんのおんせん）は、 北海道 河東郡 鹿追町 にある 温泉 。 大雪山国立公園 内にあり、 秘湯 として知られる  。","https://ja.wikipedia.org/wiki/菅野温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度19分33秒東経143度2分58秒","北海道河東郡鹿追町","旧泉質分類では 含芒硝重曹食塩鉄泉、含炭酸重曹食塩泉、重曹食塩泉、含硼酸重曹食塩泉、含石膏食塩泉、含硼酸重曹食塩泉、重曹硼酸食塩泉、含石膏食塩鉄泉平成25年9月分析　ナトリウム－塩化物・炭酸水素塩温泉","鉄道-JR北海道根室本線帯広駅より車で約1時間車-道東自動車道芽室ICより約45㎞","35 - 86℃","www.kanno-onsen.com","1","","","不明(測定できない)","","","","","","","","","",""
"鹿の湯","[鹿の湯] 鹿の湯 （しかのゆ）は 北海道 河東郡 鹿追町 北瓜幕のユーヤンベツ川河畔に湧く 温泉 （ 野湯 ）。 菅野温泉 および周辺に点在する野湯とともに然別峡温泉の名称で 国民保養温泉地 に指定されている。","https://ja.wikipedia.org/wiki/鹿の湯","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯43度19分43秒東経143度02分40秒","北海道河東郡鹿追町","含食塩重曹泉","鉄道-JR北海道根室本線帯広駅下車後タクシー利用車-道東自動車道芽室ICより約60分","47°C","","","","","","","","","","","","","","",""
