"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","種類","市場情報","本社所在地"
"八雲駅","八雲駅（やくもえき）","https://ja.wikipedia.org/wiki/八雲駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯42度15分13.56秒東経140度16分22.58秒","■函館本線","81.1 km（函館起点）","北海道旅客鉄道（JR北海道）","1903年（明治36年）11月3日","地上駅","2面3線","北海道二海郡八雲町本町125番地1北緯42度15分13.56秒東経140度16分22.58秒﻿ / ﻿北緯42.2537667度 東経140.2729389度﻿ /42.2537667; 140.2729389﻿ (八雲駅)","直営駅（管理駅）みどりの窓口 有","クモ","228人/日（降車客含まず）-2017年-","○H54","","","","","","","",""
"矢倉駅","矢倉駅（やぐらえき）","https://ja.wikipedia.org/wiki/矢倉駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度33分9.59秒東経138度47分3.41秒","■吾妻線","28.0 km（渋川起点）","東日本旅客鉄道（JR東日本）","1959年（昭和34年）11月10日[1]","地上駅","1面1線[1]","群馬県吾妻郡東吾妻町大字矢倉686北緯36度33分9.59秒東経138度47分3.41秒座標:北緯36度33分9.59秒 東経138度47分3.41秒","無人駅[1]標高：422m","クラ","42人/日（降車客含まず）-2011年-","","","","","","","","",""
"八栗駅","八栗駅（やくりえき）","https://ja.wikipedia.org/wiki/八栗駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■志度線","6.7 km（瓦町起点）","高松琴平電気鉄道","1911年（明治44年）11月18日","地上駅","相対式2面2線","","","",""," S08 ","930人/日-2018年-","","","","","","",""
"八栗口駅","八栗口駅（やくりぐちえき）","https://ja.wikipedia.org/wiki/八栗口駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■高徳線","12.3 km（高松起点）","四国旅客鉄道（JR四国）","1961年（昭和36年）9月1日","地上駅","2面2線","","無人駅","ヤク","282人/日（降車客含まず）-2018年-","○T21","490人/日-2018年-","","","","","","",""
"八栗山上駅","八栗山上駅（やくりさんじょうえき）","https://ja.wikipedia.org/wiki/八栗山上駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度21分29秒東経134度8分23.3秒","八栗ケーブル","0.7 km（八栗登山口起点）","四国ケーブル","1931年（昭和6年）2月15日","","","香川県高松市牟礼町牟礼3418番地北緯34度21分29秒東経134度8分23.3秒座標:北緯34度21分29秒 東経134度8分23.3秒","","","","","","","","","","","",""
"八栗新道駅","八栗新道駅（やくりしんみちえき）","https://ja.wikipedia.org/wiki/八栗新道駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■志度線","9.3 km（瓦町起点）","高松琴平電気鉄道","1955年（昭和30年）2月25日","地上駅","1面1線","","無人駅","",""," S11 ","195人/日-2018年-","讃岐牟礼駅（JR高徳線）","","","","","",""
"八栗登山口駅","八栗登山口駅（やくりとざんぐちえき）","https://ja.wikipedia.org/wiki/八栗登山口駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度21分18.5秒東経134度8分1.2秒","八栗ケーブル","0.0 km（八栗登山口起点）","四国ケーブル","1931年（昭和6年）2月15日","","","香川県高松市牟礼町牟礼3378番地3北緯34度21分18.5秒東経134度8分1.2秒座標:北緯34度21分18.5秒 東経134度8分1.2秒","","","","","","","","","","","",""
"焼石駅","焼石駅（やけいしえき）","https://ja.wikipedia.org/wiki/焼石駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度43分32.36秒東経137度12分1.67秒","CG高山本線","75.7 km（岐阜起点）","東海旅客鉄道（JR東海）","1929年（昭和4年）4月14日[1]","地上駅","2面2線[1]","岐阜県下呂市焼石2828北緯35度43分32.36秒東経137度12分1.67秒","無人駅[1]","ヤケ","23人/日（降車客含まず）-2019年-","","","","","","","","",""
"焼島駅","焼島駅（やけじまえき）","https://ja.wikipedia.org/wiki/焼島駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯37度55分39秒東経139度5分0.5秒","信越本線貨物支線","2.1 km（上沼垂信号場起点）","日本貨物鉄道（JR貨物）","1941年（昭和16年）9月1日","地上駅","","新潟市東区榎町北緯37度55分39秒東経139度5分0.5秒﻿ / ﻿北緯37.92750度 東経139.083472度﻿ /37.92750; 139.083472座標:北緯37度55分39秒東経139度5分0.5秒﻿ / ﻿北緯37.92750度 東経139.083472度﻿ /37.92750; 139.083472","貨物専用駅","ヤケ","","","","","","","","","",""
"矢向駅","矢向駅（やこうえき）","https://ja.wikipedia.org/wiki/矢向駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度32分20.1秒東経139度40分49.5秒","■南武線","2.6 km（川崎起点）","東日本旅客鉄道（JR東日本）","1927年（昭和2年）3月9日[1]","地上駅","2面3線","横浜市鶴見区矢向六丁目5-6北緯35度32分20.1秒東経139度40分49.5秒﻿ / ﻿北緯35.538917度 東経139.680417度﻿ /35.538917; 139.680417座標:北緯35度32分20.1秒東経139度40分49.5秒﻿ / ﻿北緯35.538917度 東経139.680417度﻿ /35.538917; 139.680417","業務委託駅横浜市内駅","ヤコ","19,449人/日（降車客含まず）-2019年-","JN03","","","","","","","",""
"矢越駅","矢越駅（やごしえき）","https://ja.wikipedia.org/wiki/矢越駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■大船渡線","47.6 km（一ノ関起点）","東日本旅客鉄道（JR東日本）","1928年（昭和3年）9月2日","地上駅（盛土上）","1面1線","","無人駅","ヤコ","59人/日（降車客含まず）-2002年-","","","","","","","","",""
"弥五島駅","弥五島駅（やごしまえき）","https://ja.wikipedia.org/wiki/弥五島駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","会津線","28.0 km（西若松起点）","会津鉄道","1934年（昭和9年）12月27日","地上駅","1面1線","","","ヤマ","36人/日（降車客含まず）-2015年-","","","","","","","","",""
"八事駅","八事駅（やごとえき）","https://ja.wikipedia.org/wiki/八事駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","鶴舞線","15.0 km（上小田井起点）","名古屋市交通局（名古屋市営地下鉄）","1977年（昭和52年）3月18日[1]","地下駅","1面2線（鶴舞線）2面2線（名城線）","","","","17,798人/日（降車客含まず）-2019年-","T15","35,805人/日-2019年-","","","","","","",""
"八事日赤駅","八事日赤駅（やごとにっせきえき）","https://ja.wikipedia.org/wiki/八事日赤駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度8分41秒東経136度57分53.6秒","名城線","7.3 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","2004年（平成16年）10月6日","地下駅","2面2線","名古屋市昭和区山手通三丁目17北緯35度8分41秒東経136度57分53.6秒﻿ / ﻿北緯35.14472度 東経136.964889度﻿ /35.14472; 136.964889座標:北緯35度8分41秒東経136度57分53.6秒﻿ / ﻿北緯35.14472度 東経136.964889度﻿ /35.14472; 136.964889","","","6,921人/日（降車客含まず）-2019年-","M19","14,225[1]人/日-2019年-","","","","","","",""
"谷在家駅","谷在家駅（やざいけえき）","https://ja.wikipedia.org/wiki/谷在家駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度47分19.6秒東経139度46分12.2秒","日暮里・舎人ライナー","6.8 km（日暮里起点）","東京都交通局","2008年（平成20年）3月30日[1]","高架駅","1面2線","東京都足立区谷在家三丁目20-23北緯35度47分19.6秒東経139度46分12.2秒﻿ / ﻿北緯35.788778度 東経139.770056度﻿ /35.788778; 139.770056﻿ (谷在家駅)座標:北緯35度47分19.6秒東経139度46分12.2秒﻿ / ﻿北緯35.788778度 東経139.770056度﻿ /35.788778; 139.770056﻿ (谷在家駅)","無人駅","谷（駅名略称）","","NT10","10,870人/日-2019年-","","","","","","",""
"八坂駅 (東京都)","八坂駅 (東京都)（やさかえき・西武多摩湖線）","https://ja.wikipedia.org/wiki/八坂駅_(東京都)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度44分42.5秒東経139度28分2.8秒","■多摩湖線","5.6 km（国分寺起点）西武新宿から24.7 km","西武鉄道","1942年（昭和17年）10月1日","高架駅","1面1線","東京都東村山市栄町三丁目18番地1号北緯35度44分42.5秒東経139度28分2.8秒﻿ / ﻿北緯35.745139度 東経139.467444度﻿ /35.745139; 139.467444座標:北緯35度44分42.5秒東経139度28分2.8秒﻿ / ﻿北緯35.745139度 東経139.467444度﻿ /35.745139; 139.467444","","","","ST05","6,171人/日-2019年-","","","","","","",""
"八坂駅 (岐阜県)","八坂駅 (岐阜県)（やさかえき・長良川鉄道越美南線）","https://ja.wikipedia.org/wiki/八坂駅_(岐阜県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度37分12.80秒東経136度56分42.01秒","越美南線","29.4 km（美濃太田起点）","長良川鉄道","1952年7月1日[1]","地上駅","1面1線","岐阜県郡上市美並町上田北緯35度37分12.80秒東経136度56分42.01秒﻿ / ﻿北緯35.6202222度 東経136.9450028度﻿ /35.6202222; 136.9450028座標:北緯35度37分12.80秒東経136度56分42.01秒﻿ / ﻿北緯35.6202222度 東経136.9450028度﻿ /35.6202222; 136.9450028","無人駅","サカ","5人/日（降車客含まず）-2015年-","17","","","","","","","",""
"八潮駅","八潮駅（やしおえき）","https://ja.wikipedia.org/wiki/八潮駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度48分27.20秒東経139度50分40.23秒","つくばエクスプレス","15.6 km（秋葉原起点）","首都圏新都市鉄道","2005年（平成17年）8月24日","高架駅","2面4線","埼玉県八潮市大瀬六丁目5番地1北緯35度48分27.20秒東経139度50分40.23秒﻿ / ﻿北緯35.8075556度 東経139.8445083度﻿ /35.8075556; 139.8445083座標:北緯35度48分27.20秒東経139度50分40.23秒﻿ / ﻿北緯35.8075556度 東経139.8445083度﻿ /35.8075556; 139.8445083","","","24,809人/日（降車客含まず）-2019年-","TX08","","","","","","","",""
"屋島駅","屋島駅（やしまえき・四国旅客鉄道高徳線）","https://ja.wikipedia.org/wiki/屋島駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度20分11.96秒東経134度6分32.77秒","■高徳線","9.5 km（高松起点）","四国旅客鉄道（JR四国）","1925年（大正14年）8月1日","地上駅","2面3線","香川県高松市高松町字帰来88-2北緯34度20分11.96秒東経134度6分32.77秒﻿ / ﻿北緯34.3366556度 東経134.1091028度﻿ /34.3366556; 134.1091028﻿ (屋島駅)","","ヤシ","664人/日（降車客含まず）-2018年-","○T23","1,250人/日-2018年-","","","","","","",""
"矢島駅","矢島駅（やしまえき・由利高原鉄道鳥海山ろく線）","https://ja.wikipedia.org/wiki/矢島駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度13分49.48秒東経140度8分19.88秒","鳥海山ろく線","23.0 km（羽後本荘起点）","由利高原鉄道","1938年（昭和13年）10月21日[1]","地上駅","1面1線","秋田県由利本荘市矢島町七日町字羽坂北緯39度13分49.48秒東経140度8分19.88秒﻿ / ﻿北緯39.2304111度 東経140.1388556度﻿ /39.2304111; 140.1388556座標:北緯39度13分49.48秒東経140度8分19.88秒﻿ / ﻿北緯39.2304111度 東経140.1388556度﻿ /39.2304111; 140.1388556","車両配置駅","ヤマ","","","284人/日-2018年-","","","","","","",""
"野州大塚駅","野州大塚駅（やしゅうおおつかえき）","https://ja.wikipedia.org/wiki/野州大塚駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度24分31.89秒東経139度46分23.31秒","■宇都宮線","3.9 km（新栃木起点）","東武鉄道","1931年（昭和6年）11月1日","地上駅","2面2線","栃木県栃木市大塚町1258-10北緯36度24分31.89秒東経139度46分23.31秒﻿ / ﻿北緯36.4088583度 東経139.7731417度﻿ /36.4088583; 139.7731417﻿ (野州大塚駅)座標:北緯36度24分31.89秒東経139度46分23.31秒﻿ / ﻿北緯36.4088583度 東経139.7731417度﻿ /36.4088583; 139.7731417﻿ (野州大塚駅)","","オツ","","TN32","513人/日-2019年-","","","","","","",""
"野州平川駅","野州平川駅（やしゅうひらかわえき）","https://ja.wikipedia.org/wiki/野州平川駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度24分6.29秒東経139度45分13.80秒","■宇都宮線","2.0 km（新栃木起点）","東武鉄道","1944年（昭和19年）10月1日","地上駅","2面2線","栃木県栃木市大宮町229-19北緯36度24分6.29秒東経139度45分13.80秒﻿ / ﻿北緯36.4017472度 東経139.7538333度﻿ /36.4017472; 139.7538333﻿ (野州平川駅)座標:北緯36度24分6.29秒東経139度45分13.80秒﻿ / ﻿北緯36.4017472度 東経139.7538333度﻿ /36.4017472; 139.7538333﻿ (野州平川駅)","","ヒラ","","TN31","1,009人/日-2019年-","","","","","","",""
"野州山辺駅","野州山辺駅（やしゅうやまべえき）","https://ja.wikipedia.org/wiki/野州山辺駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度19分34.78秒東経139度25分54.84秒","■伊勢崎線","88.5 km（浅草起点）","東武鉄道","1925年（大正14年）7月20日","高架駅","1面2線","栃木県足利市八幡町637北緯36度19分34.78秒東経139度25分54.84秒﻿ / ﻿北緯36.3263278度 東経139.4319000度﻿ /36.3263278; 139.4319000﻿ (野州山辺駅)座標:北緯36度19分34.78秒東経139度25分54.84秒﻿ / ﻿北緯36.3263278度 東経139.4319000度﻿ /36.3263278; 139.4319000﻿ (野州山辺駅)","無人駅","ヤマ","","TI16","895人/日-2019年-","","","","","","",""
"屋代駅","屋代駅（やしろえき）","https://ja.wikipedia.org/wiki/屋代駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度31分55.3秒東経138度7分41.2秒","■しなの鉄道線","59.9 km（軽井沢起点）","しなの鉄道[1]日本貨物鉄道（JR貨物）[1]","1888年（明治21年）8月15日[1]","地上駅","2面3線[1]","長野県千曲市大字小島[1]3139北緯36度31分55.3秒東経138度7分41.2秒﻿ / ﻿北緯36.532028度 東経138.128111度﻿ /36.532028; 138.128111﻿ (屋代駅)座標:北緯36度31分55.3秒東経138度7分41.2秒﻿ / ﻿北緯36.532028度 東経138.128111度﻿ /36.532028; 138.128111﻿ (屋代駅)","終日駅員配置[1]しなの鉄道の管轄駅標高：361m[1]","ヤシ[1]","2,155人/日（降車客含まず）-2017年-","","","","","","","","",""
