"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","駅数","開業","標高","標高差"
"鶯巣駅","鶯巣駅（うぐすえき）","https://ja.wikipedia.org/wiki/鶯巣駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度16分2.41秒東経137度49分57.39秒","CD飯田線","91.7 km（豊橋起点）","東海旅客鉄道（JR東海）","1936年（昭和11年）12月30日[1]","地上駅","長野県下伊那郡天龍村平岡[1]1592北緯35度16分2.41秒東経137度49分57.39秒﻿ / ﻿北緯35.2673361度 東経137.8326083度﻿ /35.2673361; 137.8326083座標:北緯35度16分2.41秒東経137度49分57.39秒﻿ / ﻿北緯35.2673361度 東経137.8326083度﻿ /35.2673361; 137.8326083","1面1線[1]","駅員無配置駅[1]標高：303m[1]","ウク[1]","3人/日（降車客含まず）-2018年-","","","","","","","","",""
"有家駅 (岩手県)","有家駅（うげえき）","https://ja.wikipedia.org/wiki/有家駅_(岩手県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯40度19分26.05秒東経141度46分22.96秒","■八戸線","45.8 km（八戸起点）","東日本旅客鉄道（JR東日本）","1961年（昭和36年）12月25日[1]","地上駅","岩手県九戸郡洋野町有家第2地割46-7北緯40度19分26.05秒東経141度46分22.96秒座標:北緯40度19分26.05秒 東経141度46分22.96秒","1面1線","無人駅","ウケ","","","","","","","","","",""
"羽後飯塚駅","羽後飯塚駅（うごいいづかえき）","https://ja.wikipedia.org/wiki/羽後飯塚駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯39度53分57.2秒東経140度4分24.6秒","■奥羽本線","322.2 km（福島起点）","東日本旅客鉄道（JR東日本）","1927年（昭和2年）11月17日[1]","地上駅","秋田県潟上市飯田川飯塚字中谷地45北緯39度53分57.2秒東経140度4分24.6秒座標:北緯39度53分57.2秒 東経140度4分24.6秒","2面3線","簡易委託駅","ウイ","101人/日（降車客含まず）-2019年-","","","","","","","","",""
"羽後岩谷駅","羽後岩谷駅（うごいわやえき）","https://ja.wikipedia.org/wiki/羽後岩谷駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","■羽越本線","236.0 km（新津起点）","東日本旅客鉄道（JR東日本）","1922年（大正11年）10月16日[1]","地上駅","","2面2線","簡易委託駅[2]","ワヤ","131人/日（降車客含まず）-2019年-","","","","","","","","",""
"羽後牛島駅","羽後牛島駅（うごうしじまえき）","https://ja.wikipedia.org/wiki/羽後牛島駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯39度41分46.16秒東経140度6分58.43秒","■羽越本線","269.0 km（新津起点）","東日本旅客鉄道（JR東日本）","1921年（大正10年）7月31日[1]","地上駅","秋田県秋田市牛島西一丁目4-17北緯39度41分46.16秒東経140度6分58.43秒座標:北緯39度41分46.16秒 東経140度6分58.43秒","1面2線","業務委託駅みどりの窓口有","ウシ","787人/日（降車客含まず）-2019年-","","","","","","","","",""
"羽後太田駅","羽後太田駅（うごおおたえき）","https://ja.wikipedia.org/wiki/羽後太田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯39度37分37.61秒東経140度34分27.21秒","■秋田内陸線","89.9 km（鷹巣起点）","秋田内陸縦貫鉄道","1970年（昭和45年）11月1日","地上駅","秋田県仙北市田沢湖角館東前郷字折橋北緯39度37分37.61秒東経140度34分27.21秒﻿ / ﻿北緯39.6271139度 東経140.5742250度﻿ /39.6271139; 140.5742250座標:北緯39度37分37.61秒東経140度34分27.21秒﻿ / ﻿北緯39.6271139度 東経140.5742250度﻿ /39.6271139; 140.5742250","1面1線","無人駅","ウオ","","","1人/日-2018年-","","","","","","",""
"羽後亀田駅","羽後亀田駅（うごかめだえき）","https://ja.wikipedia.org/wiki/羽後亀田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯39度29分37.8秒東経140度3分46.9秒","■羽越本線","243.7 km（新津起点）","東日本旅客鉄道（JR東日本）","1920年（大正9年）7月30日[1]","地上駅","秋田県由利本荘市松ヶ崎字高野62北緯39度29分37.8秒東経140度3分46.9秒座標:北緯39度29分37.8秒 東経140度3分46.9秒","2面3線","簡易委託駅[2]","カメ","53人/日（降車客含まず）-2019年-","","","","","","","","",""
"羽後境駅","羽後境駅（うごさかいえき）","https://ja.wikipedia.org/wiki/羽後境駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯39度37分7.2秒東経140度19分14.6秒","■奥羽本線","271.9 km（福島起点）","東日本旅客鉄道（JR東日本）","1904年（明治37年）8月21日","地上駅","秋田県大仙市協和境字野田128-1北緯39度37分7.2秒東経140度19分14.6秒座標:北緯39度37分7.2秒 東経140度19分14.6秒","1面2線","簡易委託駅*1919年に境駅から改称。","ウヒ","202人/日（降車客含まず）-2019年-","","","","","","","","",""
"羽後中里駅","羽後中里駅（うごなかざとえき）","https://ja.wikipedia.org/wiki/羽後中里駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯39度46分16.18秒東経140度36分10.07秒","■秋田内陸線","71.7 km（鷹巣起点）","秋田内陸縦貫鉄道","1989年（平成元年）4月1日","地上駅","秋田県仙北市西木町桧木内字中里北緯39度46分16.18秒東経140度36分10.07秒﻿ / ﻿北緯39.7711611度 東経140.6027972度﻿ /39.7711611; 140.6027972座標:北緯39度46分16.18秒東経140度36分10.07秒﻿ / ﻿北緯39.7711611度 東経140.6027972度﻿ /39.7711611; 140.6027972","1面1線","無人駅","","","","3人/日-2018年-","","","","","","",""
"羽後長戸呂駅","羽後長戸呂駅（うごながとろえき）","https://ja.wikipedia.org/wiki/羽後長戸呂駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯39度43分39.79秒東経140度33分55.77秒","■秋田内陸線","77.9 km（鷹巣起点）","秋田内陸縦貫鉄道","1970年（昭和45年）11月1日","地上駅","秋田県仙北市西木町桧木内字長戸呂北緯39度43分39.79秒東経140度33分55.77秒﻿ / ﻿北緯39.7277194度 東経140.5654917度﻿ /39.7277194; 140.5654917座標:北緯39度43分39.79秒東経140度33分55.77秒﻿ / ﻿北緯39.7277194度 東経140.5654917度﻿ /39.7277194; 140.5654917","1面1線","無人駅","ウロ","","","8人/日-2018年-","","","","","","",""
"羽後長野駅","羽後長野駅（うごながのえき）","https://ja.wikipedia.org/wiki/羽後長野駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯39度32分45.3秒東経140度32分26.1秒","■田沢湖線","11.0 km（大曲起点）","東日本旅客鉄道（JR東日本）","1921年（大正10年）7月30日[1]","地上駅","秋田県大仙市長野字柳田199-2北緯39度32分45.3秒東経140度32分26.1秒﻿ / ﻿北緯39.545917度 東経140.540583度﻿ /39.545917; 140.540583座標:北緯39度32分45.3秒東経140度32分26.1秒﻿ / ﻿北緯39.545917度 東経140.540583度﻿ /39.545917; 140.540583","2面2線","簡易委託駅","ウカ","99人/日（降車客含まず）-2019年-","","","","","","","","",""
"羽後本荘駅","羽後本荘駅（うごほんじょうえき）","https://ja.wikipedia.org/wiki/羽後本荘駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯39度23分11.8秒東経140度3分26秒","■羽越本線（JR東日本）","228.9 km（新津起点）","東日本旅客鉄道（JR東日本）由利高原鉄道","1922年（大正11年）6月30日[1]","地上駅","秋田県由利本荘市西梵天85-1北緯39度23分11.8秒東経140度3分26秒﻿ / ﻿北緯39.386611度 東経140.05722度﻿ /39.386611; 140.05722座標:北緯39度23分11.8秒東経140度3分26秒﻿ / ﻿北緯39.386611度 東経140.05722度﻿ /39.386611; 140.05722","2面4線","共同使用駅JR東日本：直営駅（管理駅）JR東日本：みどりの窓口有","ホン","（JR東日本）-2019年-1,064人/日（降車客含まず）","","（由利高原鉄道）-2018年-277人/日","","","","","","",""
"羽後四ツ屋駅","羽後四ツ屋駅（うごよつやえき）","https://ja.wikipedia.org/wiki/羽後四ツ屋駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯39度30分6.3秒東経140度30分42.9秒","■田沢湖線","5.4 km（大曲起点）","東日本旅客鉄道（JR東日本）","1921年（大正10年）7月30日","地上駅","秋田県大仙市四ツ屋字前田433北緯39度30分6.3秒東経140度30分42.9秒﻿ / ﻿北緯39.501750度 東経140.511917度﻿ /39.501750; 140.511917座標:北緯39度30分6.3秒東経140度30分42.9秒﻿ / ﻿北緯39.501750度 東経140.511917度﻿ /39.501750; 140.511917","2面2線","無人駅","ウヨ","26人/日（降車客含まず）-2005年-","","","","","","","","",""
"宇佐駅","宇佐駅（うさえき）","https://ja.wikipedia.org/wiki/宇佐駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度31分55.86秒東経131度24分42.94秒","■日豊本線","75.8 km（小倉起点）","九州旅客鉄道（JR九州）","1909年（明治42年）12月21日[2]","地上駅","大分県宇佐市大字岩崎[1]1218-6北緯33度31分55.86秒東経131度24分42.94秒","2面3線[1]","業務委託駅みどりの窓口有","ウサ","427人/日（降車客含まず）-2019年-","","","","","","","","",""
"宇佐美駅","宇佐美駅（うさみえき）","https://ja.wikipedia.org/wiki/宇佐美駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度0分21.35秒東経139度4分47.51秒","■伊東線[1][2]","13.0 km（熱海起点）東京から117.6 km","東日本旅客鉄道（JR東日本）","1938年（昭和13年）12月15日","地上駅","静岡県伊東市宇佐美1818番地北緯35度0分21.35秒東経139度4分47.51秒﻿ / ﻿北緯35.0059306度 東経139.0798639度﻿ /35.0059306; 139.0798639座標:北緯35度0分21.35秒東経139度4分47.51秒﻿ / ﻿北緯35.0059306度 東経139.0798639度﻿ /35.0059306; 139.0798639","2面2線","無人駅[3]（伊東駅の被管理駅）","サミ","1,254人/日（降車客含まず）-2013年-","JT25","","","","","","","",""
"宇治駅 (JR西日本)","宇治駅 (JR西日本)（うじえき・西日本旅客鉄道奈良線）","https://ja.wikipedia.org/wiki/宇治駅_(JR西日本)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度53分25.45秒東経135度48分2.19秒","D奈良線","19.8 km（木津起点）","西日本旅客鉄道（JR西日本）","1896年（明治29年）1月25日","地上駅（橋上駅）[1]","京都府宇治市宇治宇文字16北緯34度53分25.45秒東経135度48分2.19秒﻿ / ﻿北緯34.8904028度 東経135.8006083度﻿ /34.8904028; 135.8006083﻿ (宇治駅)座標:北緯34度53分25.45秒東経135度48分2.19秒﻿ / ﻿北緯34.8904028度 東経135.8006083度﻿ /34.8904028; 135.8006083﻿ (宇治駅)","2面4線","直営駅（管理駅）みどりの窓口有","ウチ","8,413人/日（降車客含まず）-2019年-","JR-D09","","","","","","","",""
"宇治駅 (京阪)","宇治駅 (京阪)（うじえき・京阪宇治線）","https://ja.wikipedia.org/wiki/宇治駅_(京阪)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度53分40.5秒東経135度48分22.81秒","■宇治線","7.6 km（中書島起点）","京阪電気鉄道","1913年（大正2年）6月1日","地上駅","京都府宇治市宇治乙方18-5北緯34度53分40.5秒東経135度48分22.81秒﻿ / ﻿北緯34.894583度 東経135.8063361度﻿ /34.894583; 135.8063361﻿ (宇治駅)","1面2線","","宇（駅名略称方式）","（全日） 2,560人/日（降車客含まず）-2019年-","KH  77","","","","（特定日） 2,923人/日（降車客含まず）-2019年-","","","",""
"氏家駅","氏家駅（うじいええき）","https://ja.wikipedia.org/wiki/氏家駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度40分53.50秒東経139度57分44.23秒","■東北本線（宇都宮線）","127.1km（東京起点）東京から尾久経由で127.3 km","東日本旅客鉄道（JR東日本）","1897年（明治30年）2月25日","地上駅","栃木県さくら市氏家2344北緯36度40分53.50秒東経139度57分44.23秒座標:北緯36度40分53.50秒 東経139度57分44.23秒","2面3線","業務委託駅","イエ","3,222人/日（降車客含まず）-2019年-","","","","","","","","",""
"牛ケ原駅","牛ケ原駅（うしがはらえき）","https://ja.wikipedia.org/wiki/牛ケ原駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度59分55.06秒東経136度28分3.69秒","■越美北線（九頭竜線）","越前花堂駅（起点）から27.6km福井駅から30.2 km","西日本旅客鉄道（JR西日本）","1960年（昭和35年）12月15日","地上駅","福井県大野市牛ケ原53字下正角1-5北緯35度59分55.06秒東経136度28分3.69秒﻿ / ﻿北緯35.9986278度 東経136.4676917度﻿ /35.9986278; 136.4676917座標:北緯35度59分55.06秒東経136度28分3.69秒﻿ / ﻿北緯35.9986278度 東経136.4676917度﻿ /35.9986278; 136.4676917","1面1線","無人駅","ウラ","3人/日（降車客含まず）-2017年-","","","","","","","","",""
"牛久駅","牛久駅（うしくえき）","https://ja.wikipedia.org/wiki/牛久駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度58分32.16秒東経140度8分27.60秒","■常磐線","50.6 km（日暮里起点）","東日本旅客鉄道（JR東日本）","1896年（明治29年）12月25日","地上駅（橋上駅）","茨城県牛久市牛久町282北緯35度58分32.16秒東経140度8分27.60秒座標:北緯35度58分32.16秒 東経140度8分27.60秒","2面2線","業務委託駅[1]みどりの窓口有","ウク","12,444人/日（降車客含まず）-2019年-","","","","","","","","",""
"牛久保駅","牛久保駅（うしくぼえき）","https://ja.wikipedia.org/wiki/牛久保駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度48分32秒東経137度22分55.3秒","CD飯田線","6.6 km（豊橋起点）","東海旅客鉄道（JR東海）","1897年（明治30年）7月15日","地上駅","愛知県豊川市牛久保町城跡55北緯34度48分32秒東経137度22分55.3秒﻿ / ﻿北緯34.80889度 東経137.382028度﻿ /34.80889; 137.382028座標:北緯34度48分32秒東経137度22分55.3秒﻿ / ﻿北緯34.80889度 東経137.382028度﻿ /34.80889; 137.382028","2面2線","業務委託駅（夜間無人駅）みどりの窓口有","クホ","877人/日（降車客含まず）-2017年-","CD  04 ","","","","","","","",""
"牛込神楽坂駅","牛込神楽坂駅（うしごめかぐらざかえき）","https://ja.wikipedia.org/wiki/牛込神楽坂駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度42分3.1秒東経139度44分8.8秒","●[1]大江戸線","4.8 km（都庁前起点）","東京都交通局（都営地下鉄）","2000年（平成12年）12月12日","地下駅","東京都新宿区箪笥町15北緯35度42分3.1秒東経139度44分8.8秒﻿ / ﻿北緯35.700861度 東経139.735778度﻿ /35.700861; 139.735778座標:北緯35度42分3.1秒東経139度44分8.8秒﻿ / ﻿北緯35.700861度 東経139.735778度﻿ /35.700861; 139.735778","1面2線","直営駅","込（駅名略称）","","E05[1]","15,243人/日-2019年-","","","","","","",""
