"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","地図","規模","築造時期","史跡","形状","法人番号","文化財","出土品","山号","宗派","埋葬施設","本尊","別名","創建年","城郭構造","築城主","遺構"
"佐貫石仏","[佐貫石仏（さぬきせきぶつ）〔塩谷郡塩谷町〕] 佐貫石仏 （さぬきせきぶつ）は、 栃木県 塩谷郡 塩谷町 佐貫にある 大日如来 の 磨崖仏 である。 凝灰岩 の山肌に線刻された仏像で風化が甚だしいが、像高60 尺 の巨大石仏のひとつとして 1926年 （ 大正 15年 2月24日 ）に国の史跡に指定されている。 観音岩 と呼ばれる大岩に線刻された佐貫石仏の尊像は、その洞窟内に奉安され観音岩の呼称の由来ともなった 観音菩薩 像と合わせて、一般的に 佐貫観音 と呼ばれることがあるが、本磨崖仏は 大日如来坐像 であり史跡名も 佐貫石仏 とされている。観音菩薩像については 佐貫観音院 の項を参照のこと。","https://ja.wikipedia.org/wiki/佐貫石仏","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日光山内","[日光山内（にっこうさんない）〔日光市〕 -日光東照宮、輪王寺、日光二荒山神社をはじめとする山内地区50.8ha（世界遺産「日光の社寺」の構成資産を含む）] 日光の社寺 （にっこうのしゃじ）は、 栃木県 日光市 にある 寺社 などから構成される ユネスコ の 世界遺産 である。 日光山内 （にっこうさんない）、 二社一寺 （にしゃいちじ）とも称される。","https://ja.wikipedia.org/wiki/日光山内","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上神主・茂原官衙遺跡","[上神主・茂原官衙遺跡（かみこうぬし・もばらかんがいせき）〔宇都宮市〕] 上神主・茂原官衙遺跡 （かみこうぬし・もばらかんがいせき）は、 栃木県 宇都宮市 茂原町・ 河内郡 上三川町 （かみのかわまち）上神主にある 官衙 遺跡 。 2003年 （平成15年） 8月27日 、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/上神主・茂原官衙遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度27分54秒東経139度53分01秒","日本栃木県宇都宮市茂原町・河内郡上三川町上神主","","","","","","","","","","","","","","","","","",""
"飛山城","[飛山城跡（とびやまじょうせき）〔宇都宮市〕] 飛山城 （とびやまじょう）は、 下野国 （現在の 栃木県 宇都宮市 竹下町）にあった中世の 日本の城 である。 宇都宮氏 の家臣・ 芳賀氏 の居城であった。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/飛山城","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度33分20.1秒東経139度57分57.6秒","","北緯36度33分20.1秒東経139度57分57.6秒﻿ / ﻿北緯36.555583度 東経139.966000度﻿ /36.555583; 139.966000座標:北緯36度33分20.1秒東経139度57分57.6秒﻿ / ﻿北緯36.555583度 東経139.966000度﻿ /36.555583; 139.966000","飛山城","","","","","","","","","","","","","","平山城","芳賀高俊","土塁、空堀"
"根古谷台遺跡","[根古谷台遺跡（ねごやだいいせき）〔宇都宮市〕] 根古谷台遺跡 （ねごやだいいせき）は、 栃木県 宇都宮市 上欠町にある 縄文時代 前期の集落遺跡。別名 聖山公園遺跡 （せいざんこうえんいせき）。1988年5月17日に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/根古谷台遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度32分6秒 東経139度49分59秒","","","","","","","","","","","","","","","","","","",""
"愛宕塚古墳 (壬生町)","[愛宕塚古墳（あたごづかこふん）〔下都賀郡壬生町〕] 愛宕塚古墳 （あたごづかこふん）は、 栃木県 下都賀郡 壬生町 壬生甲にある 前方後円墳 。1926年（ 大正 15年）に国の 史跡 に指定された  。周辺には 牛塚古墳 ・ 車塚古墳 （共に国の史跡）が所在する。","https://ja.wikipedia.org/wiki/愛宕塚古墳_(壬生町)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度25分57.7秒東経139度48分35.9秒","栃木県下都賀郡壬生町壬生甲","北緯36度25分57.7秒東経139度48分35.9秒﻿ / ﻿北緯36.432694度 東経139.809972度﻿ /36.432694; 139.809972座標:北緯36度25分57.7秒東経139度48分35.9秒﻿ / ﻿北緯36.432694度 東経139.809972度﻿ /36.432694; 139.809972","愛宕塚古墳栃木県内の位置","墳長65m、後円部高5.5m、前方部高6.5m","6世紀中頃","1926年（大正15年）2月24日国指定","前方後円墳","","","埴輪","","","不明","","","","","",""
"牛塚古墳 (壬生町)","[牛塚古墳（うしづかこふん）〔下都賀郡壬生町〕] 牛塚古墳 （うしづかこふん）は、 栃木県 下都賀郡 壬生町 壬生甲にある 帆立貝形古墳 である。 大正15年 ( 1926年 )国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/牛塚古墳_(壬生町)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度26分14.3秒 東経139度48分27.6秒","","","","","","","","","","","","","","","","","","",""
"車塚古墳 (壬生町)","[車塚古墳（くるまづかこふん）〔下都賀郡壬生町〕] 車塚古墳 （くるまづかこふん、壬生車塚古墳）は、 栃木県 下都賀郡 壬生町 壬生甲にある 古墳 。形状は 円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/車塚古墳_(壬生町)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度26分13.9秒 東経139度48分34.0秒","","","","","","","","","","","","","","","","","","",""
"茶臼山古墳 (壬生町)","[茶臼山古墳（ちゃうすやまこふん）〔下都賀郡壬生町〕] 茶臼山古墳 （ちゃうすやまこふん）は、 栃木県 下都賀郡 壬生町 羽生田にある 前方後円墳 である。同名の古墳が各地にあるため、 羽生田茶臼山古墳 と呼ばれることもある。 1958年 （ 昭和 33年）に国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/茶臼山古墳_(壬生町)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度29分22.1秒東経139度46分41.2秒","栃木県下都賀郡壬生町羽生田","北緯36度29分22.1秒東経139度46分41.2秒﻿ / ﻿北緯36.489472度 東経139.778111度﻿ /36.489472; 139.778111座標:北緯36度29分22.1秒東経139度46分41.2秒﻿ / ﻿北緯36.489472度 東経139.778111度﻿ /36.489472; 139.778111","茶臼山古墳","長さ91メートル・高さ12メートル","6世紀後半","1958年（昭和33年）6月28日国指定","前方後円墳","","","","","","","","羽生田茶臼山古墳","","","",""
"壬生一里塚","[壬生一里塚（みぶいちりづか）〔下都賀郡壬生町〕] 壬生一里塚 （みぶいちりづか）は、 栃木県 下都賀郡 壬生町 壬生にある 日光街道 の 一里塚 である。江戸日本橋から23里余（約90km）の地点にあたる。1604年に 徳川家康 の命令によって 日光西街道 に築かれたもの。1928年3月24日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/壬生一里塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度24分57秒 東経139度48分12秒","","","","","","","","","","","","","","","","","","",""
"吾妻古墳","[吾妻古墳（あづまこふん）〔栃木市・下都賀郡壬生町〕] 吾妻古墳 （あづまこふん / あずまこふん）は、 栃木県 栃木市 大光寺町吾妻・栃木県 下都賀郡 壬生町 藤井吾妻原にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/吾妻古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度24分15.16秒東経139度48分41.13秒","栃木県栃木市大光寺町吾妻栃木県下都賀郡壬生町藤井吾妻原","北緯36度24分15.16秒東経139度48分41.13秒﻿ / ﻿北緯36.4042111度 東経139.8114250度﻿ /36.4042111; 139.8114250﻿ (吾妻古墳)座標:北緯36度24分15.16秒東経139度48分41.13秒﻿ / ﻿北緯36.4042111度 東経139.8114250度﻿ /36.4042111; 139.8114250﻿ (吾妻古墳)","摩利支天塚・琵琶塚吾妻古墳","墳丘長127.85m","6世紀後半","国の史跡「吾妻古墳」","前方後円墳（下野型古墳）","","","埴輪等","","","横穴式石室","","","","","",""
"下野国庁跡","[下野国庁跡（しもつけこくちょうあと）〔栃木市〕] 下野国庁跡 （しもつけこくちょうあと）は、 栃木県 栃木市 田村町・宮ノ辺に所在する 律令制 下の地方 国庁 跡である。 1982年 （ 昭和 57年） 10月12日 に、国の史跡に指定された。","https://ja.wikipedia.org/wiki/下野国庁跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度22分47.5秒 東経139度47分6.3秒","","","","","","","","","","","","","","","","","","",""
"小金井一里塚","[小金井一里塚（こがねいいちりづか）〔下野市〕] 小金井一里塚 （こがねいいちりづか）は、 栃木県 下野市 小金井にある、 日光街道 の 一里塚 である。日本橋から22里（約86km）目に当たる。1922年3月8日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/小金井一里塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度22分40秒 東経139度50分28秒","","","","","","","","","","","","","","","","","","",""
"下野国分寺跡","[下野国分寺跡（しもつけこくぶんじあと）〔下野市〕] 下野国分寺跡 （しもつけこくぶんじあと）は、 栃木県 下野市 にある古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/下野国分寺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度23分06.21秒 東経139度48分21.95秒","","","","","","","","","","","","","","","","","","",""
"下野国分尼寺跡","[下野国分尼寺跡（しもつけこくぶんにじあと）〔下野市〕] 下野国分寺跡 （しもつけこくぶんじあと）は、 栃木県 下野市 にある古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/下野国分尼寺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度23分06.21秒 東経139度48分21.95秒","","","","","","","","","","","","","","","","","","",""
"下野薬師寺跡","[下野薬師寺跡（しもつけやくしじあと））〔下野市〕1921年3月3日] 下野薬師寺跡 （しもつけやくしじあと）は、 栃木県 下野市 にある古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/下野薬師寺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度24分07.04秒 東経139度52分33.94秒","","","","","","","","","","","","","","","","","","",""
"桜町陣屋跡","[桜町陣屋跡（さくらまちじんやあと）〔真岡市〕] 桜町陣屋跡 （さくらまちじんやあと）は、 栃木県 真岡市 物井にある 江戸時代 の 陣屋 遺跡である。1932年3月25日に 国史跡 に指定され、2005年7月14日に追加指定が行われた。 二宮尊徳 が36年間過ごした陣屋跡である。周辺は史跡公園として整備されている。尊徳資料館が隣接している。","https://ja.wikipedia.org/wiki/桜町陣屋跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度24分29秒 東経140度00分53秒","","","","","","","","","","","","","","","","","","",""
"専修寺","[専修寺境内（せんじゅじけいだい）〔真岡市〕] 専修寺 （せんじゅじ）は、 栃木県 真岡市 高田にある 真宗高田派 の本寺。 山号 は高田山。 本尊 は 善光寺式阿弥陀三尊 （一光三尊仏）。 本寺専修寺 と呼ばれている。","https://ja.wikipedia.org/wiki/専修寺","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","栃木県真岡市高田1482","","","","","","","7190005000763","如来堂、御影堂、楼門、総門など（重要文化財）","","高田山","真宗高田派","","善光寺式阿弥陀三尊（一光三尊仏）","","嘉禄元年（1225年）","","",""
"乙女不動原瓦窯跡","[乙女不動原瓦窯跡（おとめふどうはらかわらかまあと）〔小山市〕] 乙女不動原瓦窯跡 （おとめふどうはらかわらがまあと）は、 栃木県 小山市 乙女にある 奈良時代 の 窯跡 。 1978年 （昭和52年）5月11日に国の 史跡 に指定されている。 奈良時代 に、 下野薬師寺 に瓦を供給した瓦窯跡として注目されていた   。","https://ja.wikipedia.org/wiki/乙女不動原瓦窯跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度15分44秒 東経139度45分22秒","","","","","","","","","","","","","","","","","","",""
"鷲城","[鷲城跡（わしじょうあと）] 鷲城 （わしじょう）は 下野国 小山荘（現在の 栃木県 小山市 外城）にあった 日本の城 。","https://ja.wikipedia.org/wiki/鷲城","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度18分16.2秒東経139度47分5.3秒","","北緯36度18分16.2秒東経139度47分5.3秒﻿ / ﻿北緯36.304500度 東経139.784806度﻿ /36.304500; 139.784806座標:北緯36度18分16.2秒東経139度47分5.3秒﻿ / ﻿北緯36.304500度 東経139.784806度﻿ /36.304500; 139.784806","鷲城","","","","","","","","","","","","","","平城","不詳","櫓台、土塁、堀"
