"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","主祭神","位置","社格,等","例祭","創建","本殿の,様式","地図","主な神事","別名","札所等","神体","法人番号","国","地方","面積","総人口","人口密度","外部リンク"
"天石立神社","[天石立神社（奈良県奈良市）] 天石立神社 （あまのいわたてじんじゃ）は 奈良県 奈良市 柳生町の岩戸谷にある 神社 。戸岩山という小高い山の北麓、標高330 メートル の山中に 本殿 を有たず、鎮座する巨岩を直接拝する形態をとる。『 延喜式神名帳 』に「 天乃石立神社 」と記載される 式内小社 で 旧社格 は 村社 。","https://ja.wikipedia.org/wiki/天石立神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度43分37.6秒東経135度57分33.0秒","奈良県奈良市柳生町柳生字岩戸谷789","豊磐牖命櫛磐牖命天岩戸別命天照大姫命","北緯34度43分37.6秒東経135度57分33.0秒﻿ / ﻿北緯34.727111度 東経135.959167度﻿ /34.727111; 135.959167座標:北緯34度43分37.6秒東経135度57分33.0秒﻿ / ﻿北緯34.727111度 東経135.959167度﻿ /34.727111; 135.959167","式内小社・旧村社","7月28日","不明","なし","","","","","","","","","","","",""
"有鹿神社","[有鹿神社（神奈川県海老名市）] 有鹿神社 （あるかじんじゃ）は、 神奈川県 県央に流れる有鹿河（出典：『惣国風土記』による。現在の 鳩川 ）沿いに形成された地域（有鹿 郷 ）に鎮座する 神社 。奥宮は相模原市南区磯部に鎮座している。「お有鹿様」とも呼ばれる。一説には 阿波 の 忌部氏 が当地にて祖先を祀ったのがはじまりとされる  。","https://ja.wikipedia.org/wiki/有鹿神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度27分13.00秒東経139度22分38.30秒","神奈川県海老名市上郷1-4-41","有鹿比古命有鹿比女命大日靈貴命","北緯35度27分13.00秒東経139度22分38.30秒﻿ / ﻿北緯35.4536111度 東経139.3773056度﻿ /35.4536111; 139.3773056﻿ (有鹿神社)座標:北緯35度27分13.00秒東経139度22分38.30秒﻿ / ﻿北緯35.4536111度 東経139.3773056度﻿ /35.4536111; 139.3773056﻿ (有鹿神社)","式内社（小）旧郷社","7月14日（例大祭）","不詳","春日造、権現造","有鹿神社","水引祭","お有鹿様","","","","","","","","",""
"天久宮","[天久宮（沖縄県那覇市）] 天久宮 （あめくぐう）は、 沖縄県 那覇市 にある 神社 。 琉球八社 の一つで、 明治 の 近代社格制度 では 無格社 。","https://ja.wikipedia.org/wiki/天久宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯26度13分41.9秒東経127度40分57.4秒","沖縄県那覇市泊3丁目19-3","伊弉冉尊速玉男尊事解男尊","北緯26度13分41.9秒東経127度40分57.4秒﻿ / ﻿北緯26.228306度 東経127.682611度﻿ /26.228306; 127.682611﻿ (天久宮)座標:北緯26度13分41.9秒東経127度40分57.4秒﻿ / ﻿北緯26.228306度 東経127.682611度﻿ /26.228306; 127.682611﻿ (天久宮)","旧無格社","5月15日（旧暦4月5日）","成化年間（1465年 - 1487年）","神明造","天久宮","","","琉球八社","","","","","","","",""
"天穂日命神社","[天穂日命神社（鳥取県鳥取市）] 天穂日命神社 （あめのほひのみことじんじゃ）は 鳥取県 鳥取市 福井にある 神社 。 式内小社 で、旧 社格 は 郷社 。","https://ja.wikipedia.org/wiki/天穂日命神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度30分15.6秒東経134度7分31.3秒","鳥取県鳥取市福井字宮ノ谷361","天穂日命","北緯35度30分15.6秒東経134度7分31.3秒﻿ / ﻿北緯35.504333度 東経134.125361度﻿ /35.504333; 134.125361座標:北緯35度30分15.6秒東経134度7分31.3秒﻿ / ﻿北緯35.504333度 東経134.125361度﻿ /35.504333; 134.125361","式内社（小）旧郷社","4月17日","不詳","流造","","","","","","","","","","","",""
"荒島神社 (存在しないページ)","[荒島神社（和歌山県田辺市龍神村）]","https://ja.wikipedia.org/w/index.php?title=荒島神社&amp;action=edit&amp;redlink=1","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"有明山神社","[有明山神社（長野県安曇野市）] 有明山神社 （ありあけやまじんじゃ  ）は、 長野県 安曇野市 穂高有明にある 神社 。 有明山 を 御神体 とする 山岳信仰 の神社で、本宮（里宮）のほか、有明山山頂（中岳・南岳）に奥大宮がある。","https://ja.wikipedia.org/wiki/有明山神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯36度23分1.99秒東経137度49分6.14秒","長野県安曇野市穂高有明宮城7271（里宮）長野県安曇野市穂高有明（有明山頂）（嶺宮）","手力雄命八意思兼命大己貴命天照大神天鈿女命金毘羅権現","北緯36度23分1.99秒東経137度49分6.14秒﻿ / ﻿北緯36.3838861度 東経137.8183722度﻿ /36.3838861; 137.8183722﻿ (有明山神社)座標:北緯36度23分1.99秒東経137度49分6.14秒﻿ / ﻿北緯36.3838861度 東経137.8183722度﻿ /36.3838861; 137.8183722﻿ (有明山神社)","","4月28日（例大祭）","","","","","","","","","","","","","",""
"阿禮神社","[阿禮神社（長野県塩尻市）] 阿禮神社 （あれいじんじゃ、阿礼神社）は、 長野県 塩尻市 にある 神社 。『 延喜式神名帳 』に記載される 式内社 であり、 旧社格 は 県社 。","https://ja.wikipedia.org/wiki/阿禮神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯36度6分21.5秒東経137度58分20.5秒","（前宮）長野県塩尻市塩尻町433-1","須佐之男命、大己貴命、誉田別天皇","北緯36度6分21.5秒東経137度58分20.5秒﻿ / ﻿北緯36.105972度 東経137.972361度﻿ /36.105972; 137.972361","県社","7月10日・11日　","","","","五百砥祭（5月1日）奥社祭（6月29日）","","","","","","","","","",""
"安房神社","[安房神社（千葉県館山市）] 安房神社 （あわじんじゃ）は、 千葉県 館山市 大神宮にある 神社 。 式内社 （ 名神大社 ）、 安房国 一宮 。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/安房神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度55分20.80秒東経139度50分12.25秒","千葉県館山市大神宮589","天太玉命","北緯34度55分20.80秒東経139度50分12.25秒﻿ / ﻿北緯34.9224444度 東経139.8367361度﻿ /34.9224444; 139.8367361﻿ (安房神社)座標:北緯34度55分20.80秒東経139度50分12.25秒﻿ / ﻿北緯34.9224444度 東経139.8367361度﻿ /34.9224444; 139.8367361﻿ (安房神社)","式内社（名神大）安房国一宮旧官幣大社別表神社","8月10日","（伝）初代神武天皇元年","神明造","安房神社","置炭神事（1月14日）粥占神事（1月15日）神狩祭（12月26日）","大神宮","","","","","","","","",""
"安閑神社 (高島市)","[安閑神社（滋賀県高島市）] 創祀年代や由緒は不詳である。","https://ja.wikipedia.org/wiki/安閑神社_(高島市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度19分33秒東経136度00分55秒","滋賀県高島市安曇川町三尾里","安閑天皇","北緯35度19分33秒東経136度00分55秒﻿ / ﻿北緯35.32583度 東経136.01528度﻿ /35.32583; 136.01528","無格社","","創祀年代不詳","","","","","","","","","","","","",""
"淡海國玉神社","[淡海國玉神社（磐田市馬場町）] 淡海國玉神社 （おうみくにたまじんじゃ）は、 静岡県 磐田市 見付にある 神社 。 式内社 、 遠江国 総社 で、 旧社格 は旧 県社 。","https://ja.wikipedia.org/wiki/淡海國玉神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度43分40.1秒東経137度51分25.7秒","静岡県磐田市見付2451","大國主命","北緯34度43分40.1秒東経137度51分25.7秒﻿ / ﻿北緯34.727806度 東経137.857139度﻿ /34.727806; 137.857139﻿ (淡海國玉神社)座標:北緯34度43分40.1秒東経137度51分25.7秒﻿ / ﻿北緯34.727806度 東経137.857139度﻿ /34.727806; 137.857139﻿ (淡海國玉神社)","式内社（小）遠江国総社旧県社","7月13日・14日・15日","不詳","流造","淡海國玉神社","","","","","","","","","","",""
"飯生神社","[飯生神社（北海道長万部町）] 飯生神社 （いいなりじんじゃ）は、 北海道 山越郡 長万部町 陣屋町にある 神社 。 旧社格 は 村社 。","https://ja.wikipedia.org/wiki/飯生神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","北海道山越郡長万部町字長万部379","天照大神大国主命倉稲魂命","","旧村社","8月9,10,11日","1773年（安永2年）","神明造","","","","","","","","","","","",""
"井伊谷宮","[井伊谷宮（静岡県浜松市北区）] 井伊谷宮 （いいのやぐう）は、 静岡県 浜松市 北区 の 井伊谷 にある 神社 である。旧 社格 は 官幣中社 。 建武中興十五社 の一社である。","https://ja.wikipedia.org/wiki/井伊谷宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度49分45.26秒東経137度40分4.27秒","静岡県浜松市北区引佐町井伊谷1991-1","宗良親王","北緯34度49分45.26秒東経137度40分4.27秒﻿ / ﻿北緯34.8292389度 東経137.6678528度﻿ /34.8292389; 137.6678528﻿ (井伊谷宮)座標:北緯34度49分45.26秒東経137度40分4.27秒﻿ / ﻿北緯34.8292389度 東経137.6678528度﻿ /34.8292389; 137.6678528﻿ (井伊谷宮)","旧官幣中社別表神社","9月22日","明治5年（1872年）","","","","","","","","","","","","",""
"粒坐天照神社","[粒坐天照神社（兵庫県たつの市）] 粒坐天照神社 （いいぼにますあまてらすじんじゃ）は 兵庫県 たつの市 の日山（白鷺山）に鎮座する 神社 。 伊和神社 、 海神社 とともに播磨三大社とされる。 旧県社 。現在、鎮座する天神山が「龍が坐った形に似ている」ことからついた旧称の 龍座神社 として地域で広く親しまれている。","https://ja.wikipedia.org/wiki/粒坐天照神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度51分49.6秒東経134度32分25.1秒","兵庫県たつの市龍野町日山449-1","天照国照彦火明神","北緯34度51分49.6秒東経134度32分25.1秒﻿ / ﻿北緯34.863778度 東経134.540306度﻿ /34.863778; 134.540306座標:北緯34度51分49.6秒東経134度32分25.1秒﻿ / ﻿北緯34.863778度 東経134.540306度﻿ /34.863778; 134.540306","式内社（名神大）旧県社","10月体育の日の前日","（伝）推古天皇2年（594年）","流造","粒坐天照神社","","","播磨三大社","","","","","","","",""
"伊香具神社","[伊香具神社（滋賀県長浜市）] 伊香具神社 （いかぐじんじゃ）は、 滋賀県 長浜市 木之本町大音にある 神社 。 式内社 （ 名神大社 ）で、 旧社格 は 県社 。神紋は「上藤」。","https://ja.wikipedia.org/wiki/伊香具神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度30分16.2秒東経136度12分07.6秒","滋賀県長浜市木之本町大音688","伊香津臣命","北緯35度30分16.2秒東経136度12分07.6秒﻿ / ﻿北緯35.504500度 東経136.202111度﻿ /35.504500; 136.202111座標:北緯35度30分16.2秒東経136度12分07.6秒﻿ / ﻿北緯35.504500度 東経136.202111度﻿ /35.504500; 136.202111","式内社（名神大）旧県社","4月6日","（伝）天武天皇白鳳10年以前","一間社流造","","オコナイ（2月24日）","","","","","","","","","",""
"坐摩神社","[坐摩神社（大阪市中央区）] 坐摩神社 （いかすりじんじゃ、ざまじんじゃ）は、 大阪市 中央区 久太郎町 4丁目渡辺にある 神社 。 式内社 （大社）で、 摂津国 一宮 を称する。 旧社格 は 官幣中社 で、現在は 神社本庁 の 別表神社 。神紋は「白鷺」。","https://ja.wikipedia.org/wiki/坐摩神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度40分51秒東経135度29分55秒","大阪府大阪市中央区久太郎町4丁目渡辺3号","坐摩神（生井神、福井神、綱長井神、波比岐神、阿須波神の総称）","北緯34度40分51秒東経135度29分55秒﻿ / ﻿北緯34.68083度 東経135.49861度﻿ /34.68083; 135.49861﻿ (坐摩神社)座標:北緯34度40分51秒東経135度29分55秒﻿ / ﻿北緯34.68083度 東経135.49861度﻿ /34.68083; 135.49861﻿ (坐摩神社)","式内社（大）（称）摂津国一宮旧官幣中社別表神社","4月22日（花祭）","神功皇后年間","","坐摩神社","懸鳥祭（12月2日）","","神仏霊場巡拝の道第49番（大阪第8番）","","","","","","","",""
"一休神社 (存在しないページ)","[一休神社　（京都府福知山市）]","https://ja.wikipedia.org/w/index.php?title=一休神社&amp;action=edit&amp;redlink=1","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"生国魂神社","[生国魂神社（大阪市天王寺区）] 生國魂神社 （いくくにたまじんじゃ、 新字体 ：生国魂神社）は、 大阪府 大阪市 天王寺区 生玉町 にある 神社 。「いくたまさん」と呼ばれる。","https://ja.wikipedia.org/wiki/生国魂神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度39分54.41秒東経135度30分45.65秒","大阪府大阪市天王寺区生玉町13-9","生島大神足島大神","北緯34度39分54.41秒東経135度30分45.65秒﻿ / ﻿北緯34.6651139度 東経135.5126806度﻿ /34.6651139; 135.5126806﻿ (生國魂神社)座標:北緯34度39分54.41秒東経135度30分45.65秒﻿ / ﻿北緯34.6651139度 東経135.5126806度﻿ /34.6651139; 135.5126806﻿ (生國魂神社)","式内社（名神大2座）旧官幣大社別表神社","9月9日","（伝）神武天皇即位前頃","生國魂造","","夏祭（7月11日・12日）","難波大社、いくたまさん","神仏霊場巡拝の道第48番（大阪第7番）","","","","","","","",""
"生島足島神社","[生島足島神社（長野県上田市）] 生島足島神社 （いくしまたるしまじんじゃ）は、 長野県 上田市 下之郷 にある 神社 。 式内社 （ 名神大社 ）。 旧社格 は 国幣中社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/生島足島神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯36度21分36.90秒東経138度13分5.50秒","長野県上田市下之郷中池西701","生島大神足島大神","北緯36度21分36.90秒東経138度13分5.50秒﻿ / ﻿北緯36.3602500度 東経138.2181944度﻿ /36.3602500; 138.2181944﻿ (生島足島神社)座標:北緯36度21分36.90秒東経138度13分5.50秒﻿ / ﻿北緯36.3602500度 東経138.2181944度﻿ /36.3602500; 138.2181944﻿ (生島足島神社)","式内社（名神大2座）旧国幣中社別表神社","9月19日","不詳","権現造","生島足島神社","御柱祭（6年に1度）御籠祭（11月3日-翌4月13日）","","","本殿内殿内陣の土間","","","","","","",""
