"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","駅番号","備考","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"修善寺駅","修善寺駅（しゅぜんじえき）","https://ja.wikipedia.org/wiki/修善寺駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度58分44.73秒東経138度57分1.93秒","■駿豆線","19.8 km（三島起点）","伊豆箱根鉄道","静岡県伊豆市柏久保631番地の7北緯34度58分44.73秒東経138度57分1.93秒﻿ / ﻿北緯34.9790917度 東経138.9505361度﻿ /34.9790917; 138.9505361座標:北緯34度58分44.73秒東経138度57分1.93秒﻿ / ﻿北緯34.9790917度 東経138.9505361度﻿ /34.9790917; 138.9505361","地上駅","1924年（大正13年）8月1日","3面5線","IS13","","","2,168人/日（降車客含まず）-2019年-","","","","","","","",""
"縮景園前停留場","縮景園前停留場（しゅっけいえんまえていりゅうじょう）","https://ja.wikipedia.org/wiki/縮景園前停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度23分58.77秒東経132度27分54.93秒","■白島線","0.7 km（八丁堀起点）","広島電鉄","広島市中区上幟町北緯34度23分58.77秒東経132度27分54.93秒﻿ / ﻿北緯34.3996583度 東経132.4652583度﻿ /34.3996583; 132.4652583﻿ (縮景園前停留場)座標:北緯34度23分58.77秒東経132度27分54.93秒﻿ / ﻿北緯34.3996583度 東経132.4652583度﻿ /34.3996583; 132.4652583﻿ (縮景園前停留場)","地上駅","1952年（昭和27年）6月10日","2面2線","●W3","","","","769[1]人/日-2019年-","","","","","","",""
"伊豆箱根鉄道十国鋼索線","十国峠駅（じゅっこくとうげえき）","https://ja.wikipedia.org/wiki/伊豆箱根鉄道十国鋼索線","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊豆箱根鉄道十国鋼索線","十国登り口駅（じゅっこくのぼりぐちえき）","https://ja.wikipedia.org/wiki/伊豆箱根鉄道十国鋼索線","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蔵王ロープウェイ","樹氷高原駅（じゅひょうこうげんえき）","https://ja.wikipedia.org/wiki/蔵王ロープウェイ","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","","","","","","","","","","","","","株式会社","日本〒990-2301山形県山形市蔵王温泉229番地","1961年（昭和36年）8月","陸運業","9390001000654"
"首里駅","首里駅（しゅりえき）","https://ja.wikipedia.org/wiki/首里駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯26度13分9.03秒東経127度43分31.82秒","■沖縄都市モノレール線（ゆいレール）","12.9 km（那覇空港起点）","沖縄都市モノレール","沖縄県那覇市首里汀良町三丁目19北緯26度13分9.03秒東経127度43分31.82秒﻿ / ﻿北緯26.2191750度 東経127.7255056度﻿ /26.2191750; 127.7255056座標:北緯26度13分9.03秒東経127度43分31.82秒﻿ / ﻿北緯26.2191750度 東経127.7255056度﻿ /26.2191750; 127.7255056","高架駅","2003年（平成15年）8月10日[1][2]","2面2線","15","","","1,583人/日（降車客含まず）-2020年-","","","","","","","",""
"純心学園前停留場","純心学園前停留場（じゅんしんがくえんまえていりゅうじょう）","https://ja.wikipedia.org/wiki/純心学園前停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯31度34分0.01秒東経130度32分34.01秒","鹿児島市電唐湊線（2系統）","1.9km（鹿児島中央駅前起点）鹿児島駅前から4.9 km","鹿児島市交通局","鹿児島県鹿児島市郡元一丁目北緯31度34分0.01秒東経130度32分34.01秒﻿ / ﻿北緯31.5666694度 東経130.5427806度﻿ /31.5666694; 130.5427806﻿ (純心学園前停留場)","地上駅","1959年12月20日","2面2線","●N18","","","","1,501人/日-2015年-","","","","","","",""
"俊徳道駅","俊徳道駅（しゅんとくみちえき）","https://ja.wikipedia.org/wiki/俊徳道駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度39分29.89秒東経135度34分18.61秒","D大阪線","5.1 km（大阪上本町起点）","近畿日本鉄道（近鉄）","大阪府東大阪市荒川二丁目70北緯34度39分29.89秒東経135度34分18.61秒﻿ / ﻿北緯34.6583028度 東経135.5718361度﻿ /34.6583028; 135.5718361座標:北緯34度39分29.89秒東経135度34分18.61秒﻿ / ﻿北緯34.6583028度 東経135.5718361度﻿ /34.6583028; 135.5718361","高架駅","1926年（昭和元年）12月30日","2面2線"," D07 ","","シユン","","6,699人/日-2018年-","JR俊徳道駅（おおさか東線）","","","","","",""
"松陰神社前駅","松陰神社前駅（しょういんじんじゃまええき）","https://ja.wikipedia.org/wiki/松陰神社前駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度38分38.3秒東経139度39分18.9秒","■世田谷線","1.4 km（三軒茶屋起点）","東急電鉄","東京都世田谷区若林四丁目21-16北緯35度38分38.3秒東経139度39分18.9秒﻿ / ﻿北緯35.643972度 東経139.655250度﻿ /35.643972; 139.655250座標:北緯35度38分38.3秒東経139度39分18.9秒﻿ / ﻿北緯35.643972度 東経139.655250度﻿ /35.643972; 139.655250","地上駅","1925年（大正14年）1月18日","2面2線","SG04","","","","","","","","","","",""
"常永駅","常永駅（じょうえいえき）","https://ja.wikipedia.org/wiki/常永駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度37分0.07秒東経138度31分57.14秒","CC身延線","78.9 km（富士起点）","東海旅客鉄道（JR東海）","山梨県中巨摩郡昭和町上河東922北緯35度37分0.07秒東経138度31分57.14秒﻿ / ﻿北緯35.6166861度 東経138.5325389度﻿ /35.6166861; 138.5325389座標:北緯35度37分0.07秒東経138度31分57.14秒﻿ / ﻿北緯35.6166861度 東経138.5325389度﻿ /35.6166861; 138.5325389","地上駅","1928年（昭和3年）3月30日[1]","1面2線","","無人駅*1938年に西条常永駅から改称","シエ","429人/日（降車客含まず）-2018年-","","","","","","","",""
"上越国際スキー場前駅","上越国際スキー場前駅（じょうえつこくさいスキーじょうまええき）","https://ja.wikipedia.org/wiki/上越国際スキー場前駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯37度1分44.2秒東経138度49分43秒","■上越線**","105.6 km（高崎起点）","東日本旅客鉄道（JR東日本）","新潟県南魚沼市樺野沢北緯37度1分44.2秒東経138度49分43秒﻿ / ﻿北緯37.028944度 東経138.82861度﻿ /37.028944; 138.82861﻿ (上越国際スキー場前駅)座標:北緯37度1分44.2秒東経138度49分43秒﻿ / ﻿北緯37.028944度 東経138.82861度﻿ /37.028944; 138.82861﻿ (上越国際スキー場前駅)","高架駅（盛土上）","1997年（平成9年）12月27日[1]","2面2線[1]","","無人駅[1]（乗車駅証明書発行機 有）","コサ","","","","","","","","",""
"上越妙高駅","上越妙高駅（じょうえつみょうこうえき）","https://ja.wikipedia.org/wiki/上越妙高駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）西日本旅客鉄道（JR西日本・駅詳細）えちごトキめき鉄道（駅詳細）","新潟県上越市大和二丁目[News 1]","","","","","* 北陸新幹線開業に伴い、脇野田駅から改称。","","","","","","","","","",""
"城ヶ崎海岸駅","城ヶ崎海岸駅（じょうがさきかいがんえき）","https://ja.wikipedia.org/wiki/城ヶ崎海岸駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度53分22.23秒東経139度7分17.59秒","■伊豆急行線","13.9 km（伊東起点）熱海から30.8 km","伊豆急行","静岡県伊東市富戸919番地の8北緯34度53分22.23秒東経139度7分17.59秒﻿ / ﻿北緯34.8895083度 東経139.1215528度﻿ /34.8895083; 139.1215528座標:北緯34度53分22.23秒東経139度7分17.59秒﻿ / ﻿北緯34.8895083度 東経139.1215528度﻿ /34.8895083; 139.1215528","地上駅","1972年（昭和47年）3月15日","1面1線","IZ05","無人駅[1]","","359人/日（降車客含まず）-2019年-","","","","","","","",""
"庄川口駅","庄川口駅（しょうがわぐちえき）","https://ja.wikipedia.org/wiki/庄川口駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度47分4.40秒東経137度4分14.42秒","新湊港線","4.3 km（越ノ潟起点）","万葉線","富山県射水市庄川本町北緯36度47分4.40秒東経137度4分14.42秒﻿ / ﻿北緯36.7845556度 東経137.0706722度﻿ /36.7845556; 137.0706722座標:北緯36度47分4.40秒東経137度4分14.42秒﻿ / ﻿北緯36.7845556度 東経137.0706722度﻿ /36.7845556; 137.0706722","地上駅","1932年（昭和7年）11月9日","2面1線","","","","","258人/日-2016年[1]-","","","","","","",""
"城川原駅","城川原駅（じょうがわらえき）","https://ja.wikipedia.org/wiki/城川原駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度43分52.3秒東経137度13分33.7秒","■富山港線","4.3 km（富山駅起点）","富山地方鉄道","富山県富山市城川原北緯36度43分52.3秒東経137度13分33.7秒﻿ / ﻿北緯36.731194度 東経137.226028度﻿ /36.731194; 137.226028﻿ (城川原駅)座標:北緯36度43分52.3秒東経137度13分33.7秒﻿ / ﻿北緯36.731194度 東経137.226028度﻿ /36.731194; 137.226028﻿ (城川原駅)","地上駅","2006年4月29日","2面2線","C33","旧駅は1924年7月23日開業、2006年3月1日廃止","セワ（転換前）","","363[1]人/日-2019年-","","","","","","",""
"商業高校前停留場","商業高校前停留場（しょうぎょうこうこうまえていりゅうじょう）","https://ja.wikipedia.org/wiki/商業高校前停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","健軍線（■A系統・■B系統）","0.8km（水前寺公園起点）田崎橋から7.0 km","熊本市交通局","","地上駅","1950年（昭和25年）","2面2線","□20","","","","996人/日-2015年-","","","","","","",""
"上下駅","上下駅（じょうげえき）","https://ja.wikipedia.org/wiki/上下駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度41分41.82秒東経133度7分3.35秒","Z福塩線","50.3 km（福山起点）","西日本旅客鉄道（JR西日本）","広島県府中市上下町上下847-2北緯34度41分41.82秒東経133度7分3.35秒﻿ / ﻿北緯34.6949500度 東経133.1175972度﻿ /34.6949500; 133.1175972﻿ (上下駅)","地上駅","1935年（昭和10年）11月15日","2面2線","","簡易委託駅","シケ","62人/日（降車客含まず）-2019年-","","","","","","","",""
"上下浜駅","上下浜駅（じょうげはまえき）","https://ja.wikipedia.org/wiki/上下浜駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯37度15分8.47秒東経138度21分41.48秒","■信越本線","14.0 km（直江津起点）","東日本旅客鉄道（JR東日本）","新潟県上越市柿崎区上下浜[1]583北緯37度15分8.47秒東経138度21分41.48秒座標:北緯37度15分8.47秒 東経138度21分41.48秒","地上駅","1952年（昭和27年）7月25日[1][2]","2面2線[1]","","無人駅[1]（自動券売機 有）","シケ","141人/日（降車客含まず）-2010年-","","","","","","","",""
"上戸駅 (福島県)","上戸駅（じょうこえき）","https://ja.wikipedia.org/wiki/上戸駅_(福島県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","■磐越西線","27.3 km（郡山起点）","東日本旅客鉄道（JR東日本）","","地上駅","1899年（明治32年）3月10日[1]","1面1線[2]","","無人駅[2]","セコ","60人/日（降車客含まず）-2004年-","","","","","","","",""
"商工会議所前駅","商工会議所前駅（しょうこうかいぎしょまええき）","https://ja.wikipedia.org/wiki/商工会議所前駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度3分12秒東経136度12分54秒","福武線","18.4 km（越前武生駅起点）","福井鉄道","福井県福井市西木田北緯36度3分12秒東経136度12分54秒﻿ / ﻿北緯36.05333度 東経136.21500度﻿ /36.05333; 136.21500座標:北緯36度3分12秒東経136度12分54秒﻿ / ﻿北緯36.05333度 東経136.21500度﻿ /36.05333; 136.21500","地上駅","1933年（昭和8年）10月15日[1][2]","2面2線","○F19","無人駅*2016年（平成28年）3月27日、駅名を木田四ツ辻駅から改称。","","","40人/日-2019年-","","","","","","",""
"定光寺駅","定光寺駅（じょうこうじえき）","https://ja.wikipedia.org/wiki/定光寺駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度16分41.62秒東経137度4分51.88秒","CF中央本線（名古屋地区）","368.8km（東京起点）名古屋から28.1 km","東海旅客鉄道（JR東海）","愛知県春日井市玉野町北緯35度16分41.62秒東経137度4分51.88秒","地上駅","1924年（大正13年）1月1日","2面2線","CF  10 ","駅員無配置駅","テイ","154人/日（降車客含まず）-2019年-","","","","","","","",""
"商工センター入口駅","商工センター入口駅（しょうこうセンターいりぐちえき）","https://ja.wikipedia.org/wiki/商工センター入口駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度22分32.86秒東経132度23分33.72秒","■宮島線","4.2 km（広電西広島起点）","広島電鉄","広島市西区草津南三丁目9-2[1]北緯34度22分32.86秒東経132度23分33.72秒﻿ / ﻿北緯34.3757944度 東経132.3927000度﻿ /34.3757944; 132.3927000﻿ (商工センター入口駅)座標:北緯34度22分32.86秒東経132度23分33.72秒﻿ / ﻿北緯34.3757944度 東経132.3927000度﻿ /34.3757944; 132.3927000﻿ (商工センター入口駅)","地上駅","1960年（昭和35年）9月1日","2面2線","●M25","","","3,243人/日（降車客含まず）-2019年-","","山陽本線（西日本旅客鉄道）新井口駅","","","","","",""
