"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜"
"千城台駅","千城台駅（ちしろだいえき）","https://ja.wikipedia.org/wiki/千城台駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度37分20.5秒東経140度11分18.5秒","■2号線","12.0 km（千葉起点）","千葉都市モノレール","千葉市若葉区千城台北三丁目1-418北緯35度37分20.5秒東経140度11分18.5秒﻿ / ﻿北緯35.622361度 東経140.188472度﻿ /35.622361; 140.188472座標:北緯35度37分20.5秒東経140度11分18.5秒﻿ / ﻿北緯35.622361度 東経140.188472度﻿ /35.622361; 140.188472","高架駅","1988年（昭和63年）3月28日[1]","相対式、2面2線","","CM15","","4,142人/日（降車客含まず）-2018年-","","","","","","","",""
"千城台北駅","千城台北駅（ちしろだいきたえき）","https://ja.wikipedia.org/wiki/千城台北駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度37分38.7秒東経140度10分55.2秒","■2号線","11.2 km（千葉起点）","千葉都市モノレール","千葉市若葉区千城台北一丁目2-2北緯35度37分38.7秒東経140度10分55.2秒座標:北緯35度37分38.7秒 東経140度10分55.2秒","高架駅","1988年（昭和63年）3月28日[1]","相対式、2面2線","無人駅","CM14","","1,045人/日（降車客含まず）-2018年-","","","","","","","",""
"智頭駅","智頭駅（ちずえき）","https://ja.wikipedia.org/wiki/智頭駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","B因美線（JR西日本）","31.9 km（鳥取起点）","西日本旅客鉄道（JR西日本）*智頭急行*","","地上駅","1923年（大正12年）6月5日","2面3線（JR）1面2線（智頭急行）","共同使用駅両会社とも直営駅JR駅舎にみどりの窓口あり","","チツ","","（JR西日本）-2018年-2,760/日（智頭急行）-2017年-118人/日","","","","","","",""
"知多駅","知多駅（ちたえき）","https://ja.wikipedia.org/wiki/知多駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度59分30秒東経136度51分29.9秒","南港線","11.3 km（東港起点）","名古屋臨海鉄道","愛知県知多市北浜町北緯34度59分30秒東経136度51分29.9秒座標:北緯34度59分30秒 東経136度51分29.9秒","地上駅","1969年（昭和44年）6月25日","","貨物専用駅（休止中）","","","","","","","","","","",""
"知多奥田駅","知多奥田駅（ちたおくだえき）","https://ja.wikipedia.org/wiki/知多奥田駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度47分13秒東経136度51分52.5秒","名鉄知多新線","8.1 km（富貴起点）","名古屋鉄道","知多郡美浜町奥田森越70-3北緯34度47分13秒東経136度51分52.5秒﻿ / ﻿北緯34.78694度 東経136.864583度﻿ /34.78694; 136.864583座標:北緯34度47分13秒東経136度51分52.5秒﻿ / ﻿北緯34.78694度 東経136.864583度﻿ /34.78694; 136.864583","高架駅","1975年7月6日","2面2線","終日駅員配置駅","KC  22 ","","","5,559人/日-2019年[1]-","","","","","","",""
"知多武豊駅","知多武豊駅（ちたたけとよえき）","https://ja.wikipedia.org/wiki/知多武豊駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度51分2.3秒東経136度54分59.4秒","河和線","19.8 km（太田川起点）","名古屋鉄道","知多郡武豊町道崎43-8北緯34度51分2.3秒東経136度54分59.4秒﻿ / ﻿北緯34.850639度 東経136.916500度﻿ /34.850639; 136.916500座標:北緯34度51分2.3秒東経136度54分59.4秒﻿ / ﻿北緯34.850639度 東経136.916500度﻿ /34.850639; 136.916500","地上駅","1932年（昭和7年）7月1日","2面2線","終日駅員配置駅","KC  16 ","","","6,260人/日-2019年[1]-","武豊駅（東口から徒歩15分程度）","","","","","",""
"知多半田駅","知多半田駅（ちたはんだえき）","https://ja.wikipedia.org/wiki/知多半田駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度53分39秒東経136度55分33秒","河和線","14.8 km（太田川起点）","名古屋鉄道","愛知県半田市広小路町128-1北緯34度53分39秒東経136度55分33秒﻿ / ﻿北緯34.89417度 東経136.92583度﻿ /34.89417; 136.92583座標:北緯34度53分39秒東経136度55分33秒﻿ / ﻿北緯34.89417度 東経136.92583度﻿ /34.89417; 136.92583","地上駅（橋上駅）","1931年（昭和6年）4月1日","2面3線","有人駅","KC  12 ","","","11,939人/日-2019年[1]-","JR武豊線（半田駅）徒歩8分","","","","","",""
"秩父駅","秩父駅（ちちぶえき）","https://ja.wikipedia.org/wiki/秩父駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度59分55.67秒東経139度5分8.93秒","■秩父本線","59.0 km（羽生起点）","秩父鉄道","埼玉県秩父市宮側町1-8北緯35度59分55.67秒東経139度5分8.93秒﻿ / ﻿北緯35.9987972度 東経139.0858139度﻿ /35.9987972; 139.0858139座標:北緯35度59分55.67秒東経139度5分8.93秒﻿ / ﻿北緯35.9987972度 東経139.0858139度﻿ /35.9987972; 139.0858139","地上駅","1914年（大正3年）10月27日","1面2線","直営駅（管理駅）","","チチ","558人/日（降車客含まず）-2019年-","1,100人/日-2019年-","","","","","","",""
"秩父別駅","秩父別駅（ちっぷべつえき）","https://ja.wikipedia.org/wiki/秩父別駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯43度46分7.52秒東経141度58分3.99秒","留萌本線","8.8 km（深川起点）","北海道旅客鉄道（JR北海道）","北海道雨竜郡秩父別町二条北緯43度46分7.52秒東経141度58分3.99秒﻿ / ﻿北緯43.7687556度 東経141.9677750度﻿ /43.7687556; 141.9677750座標:北緯43度46分7.52秒東経141度58分3.99秒﻿ / ﻿北緯43.7687556度 東経141.9677750度﻿ /43.7687556; 141.9677750","地上駅","1910年（明治43年）11月23日","1面1線","無人駅","","チツチシ（改称前）","","106人/日-2014年-","","","","","","",""
"地鉄ビル前停留場","地鉄ビル前停留場（ちてつビルまえていりゅうじょう）","https://ja.wikipedia.org/wiki/地鉄ビル前停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度41分55.40秒東経137度12分57.85秒","富山軌道線（本線）","3.3 km（南富山駅前起点）","富山地方鉄道","富山県富山市桜橋通り北緯36度41分55.40秒東経137度12分57.85秒﻿ / ﻿北緯36.6987222度 東経137.2160694度﻿ /36.6987222; 137.2160694﻿ (地鉄ビル前停留場)","地上駅","1934年（昭和9年）頃","相対式2面2線","","C13","","","363[1]人/日-2019年-","","","","","","",""
"千歳駅 (千葉県)","千歳駅 (千葉県)（ちとせえき・東日本旅客鉄道内房線）","https://ja.wikipedia.org/wiki/千歳駅_(千葉県)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度59分29.9秒東経139度57分59.3秒","■内房線","98.6 km（蘇我起点）千葉から102.4 km","東日本旅客鉄道（JR東日本）","千葉県南房総市千倉町白子524北緯34度59分29.9秒東経139度57分59.3秒座標:北緯34度59分29.9秒 東経139度57分59.3秒","地上駅","1927年（昭和2年）5月20日[1]","1面1線","無人駅（乗車駅証明書発行機 有）","","チセ","62人/日（降車客含まず）-2006年-","","","","","","","",""
"千歳駅 (北海道)","千歳駅 (北海道)（ちとせえき・北海道旅客鉄道千歳線）","https://ja.wikipedia.org/wiki/千歳駅_(北海道)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯42度49分42.38秒東経141度39分6.29秒","■千歳線（■石勝線直通含む）","21.4 km（沼ノ端起点）","北海道旅客鉄道（JR北海道）","北海道千歳市千代田町7丁目北緯42度49分42.38秒東経141度39分6.29秒﻿ / ﻿北緯42.8284389度 東経141.6517472度﻿ /42.8284389; 141.6517472座標:北緯42度49分42.38秒東経141度39分6.29秒﻿ / ﻿北緯42.8284389度 東経141.6517472度﻿ /42.8284389; 141.6517472","高架駅","1926年（大正15年）8月21日","2面4線","直営駅（管理駅）みどりの窓口有話せる券売機設置駅[1][報道 1]","○H13","チセ","9,075人/日（降車客含まず）-2019年-","","","","","","","",""
"千年駅","千年駅（ちとせえき）","https://ja.wikipedia.org/wiki/千年駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯40度34分1.63秒東経140度28分50.52秒","大鰐線","10.0 km（大鰐起点）","弘南鉄道","青森県弘前市松原西三丁目3番8号北緯40度34分1.63秒東経140度28分50.52秒﻿ / ﻿北緯40.5671194度 東経140.4807000度﻿ /40.5671194; 140.4807000座標:北緯40度34分1.63秒東経140度28分50.52秒﻿ / ﻿北緯40.5671194度 東経140.4807000度﻿ /40.5671194; 140.4807000","地上駅","1952年1月26日","1面2線","無人駅津軽千年駅として開業。","KW 05","","","179人/日-2017年-","","","","","","",""
"千歳烏山駅","千歳烏山駅（ちとせからすやまえき）","https://ja.wikipedia.org/wiki/千歳烏山駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度40分5.5秒東経139度36分4秒","■京王線","9.9 km（新宿起点）","京王電鉄","東京都世田谷区南烏山六丁目1番1号北緯35度40分5.5秒東経139度36分4秒﻿ / ﻿北緯35.668194度 東経139.60111度﻿ /35.668194; 139.60111座標:北緯35度40分5.5秒東経139度36分4秒﻿ / ﻿北緯35.668194度 東経139.60111度﻿ /35.668194; 139.60111","地上駅","1913年（大正2年）4月15日","2面2線","","KO12","","","83,257人/日-2019年-","","","","","","",""
"千歳町停留場 (北海道)","千歳町停留場 (北海道)（ちとせちょうていりゅうじょう・函館市企業局交通部湯の川線）","https://ja.wikipedia.org/wiki/千歳町停留場_(北海道)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯41度46分32.82秒東経140度44分17.21秒","函館市電湯の川線","5.3 km（湯の川起点）","函館市企業局交通部","北海道函館市千歳町27-4先、新川町23-17先北緯41度46分32.82秒東経140度44分17.21秒﻿ / ﻿北緯41.7757833度 東経140.7381139度﻿ /41.7757833; 140.7381139﻿ (千歳町停留場)座標:北緯41度46分32.82秒東経140度44分17.21秒﻿ / ﻿北緯41.7757833度 東経140.7381139度﻿ /41.7757833; 140.7381139﻿ (千歳町停留場)","地上駅（停留場）","1913年6月29日","2面2線","","DY14","","","320[1]人/日-2019年-","","","","","","",""
"千歳船橋駅","千歳船橋駅（ちとせふなばしえき）","https://ja.wikipedia.org/wiki/千歳船橋駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度38分50.5秒東経139度37分26秒","小田原線","9.2 km（新宿起点）","小田急電鉄","東京都世田谷区船橋一丁目1番5号北緯35度38分50.5秒東経139度37分26秒﻿ / ﻿北緯35.647361度 東経139.62389度﻿ /35.647361; 139.62389座標:北緯35度38分50.5秒東経139度37分26秒﻿ / ﻿北緯35.647361度 東経139.62389度﻿ /35.647361; 139.62389","高架駅","1927年（昭和2年）4月1日","2面4線*","*通過線2線含む","OH12","","","60,683人/日-2019年-","","","","","","",""
"千歳町停留場 (長崎県)","千歳町停留場 (長崎県)（ちとせまちていりゅうじょう・長崎電気軌道本線）","https://ja.wikipedia.org/wiki/千歳町停留場_(長崎県)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯32度47分22.5秒東経129度51分39.8秒","本線（■1号系統・□2号系統・■3号系統）","0.4km（住吉起点）赤迫から0.6 km","長崎電気軌道","長崎県長崎市若葉町10番3号先北緯32度47分22.5秒東経129度51分39.8秒﻿ / ﻿北緯32.789583度 東経129.861056度﻿ /32.789583; 129.861056﻿ (千歳町停留場)","地上駅","1998年（平成10年）5月7日","2面2線","","13","","","3,500人/日-2015年-","","","","","","",""
"千鳥駅","千鳥駅（ちどりえき）","https://ja.wikipedia.org/wiki/千鳥駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度44分55.064秒東経130度28分33.96秒","JA鹿児島本線","58.5 km（門司港起点）","九州旅客鉄道（JR九州）","福岡県古賀市千鳥五丁目9-1北緯33度44分55.064秒東経130度28分33.96秒﻿ / ﻿北緯33.74862889度 東経130.4761000度﻿ /33.74862889; 130.4761000座標:北緯33度44分55.064秒東経130度28分33.96秒﻿ / ﻿北緯33.74862889度 東経130.4761000度﻿ /33.74862889; 130.4761000","地上駅（橋上駅）","1991年（平成3年）9月30日[1]","2面2線","業務委託駅みどりの窓口有","JA  10 ","チト","3,776人/日（降車客含まず）-2019年-","","","","","","","",""
"千鳥町駅 (東京都)","千鳥町駅 (東京都)（ちどりちょうえき・東急池上線）","https://ja.wikipedia.org/wiki/千鳥町駅_(東京都)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度34分22.5秒東経139度41分29.2秒","■池上線","8.0 km（五反田起点）","東急電鉄","東京都大田区千鳥一丁目20番1号北緯35度34分22.5秒東経139度41分29.2秒﻿ / ﻿北緯35.572917度 東経139.691444度﻿ /35.572917; 139.691444座標:北緯35度34分22.5秒東経139度41分29.2秒﻿ / ﻿北緯35.572917度 東経139.691444度﻿ /35.572917; 139.691444","地上駅","1926年（大正15年）8月6日[1]","2面2線","","IK12","","","12,216人/日-2020年-","","","","","","",""
"千鳥町駅 (神奈川県)","千鳥町駅 (神奈川県)（ちどりちょうえき・神奈川臨海鉄道千鳥線）","https://ja.wikipedia.org/wiki/千鳥町駅_(神奈川県)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度31分9.462秒東経139度45分4.842秒","千鳥線","4.2 km（川崎貨物起点）","神奈川臨海鉄道","川崎市川崎区千鳥町北緯35度31分9.462秒東経139度45分4.842秒﻿ / ﻿北緯35.51929500度 東経139.75134500度﻿ /35.51929500; 139.75134500座標:北緯35度31分9.462秒東経139度45分4.842秒﻿ / ﻿北緯35.51929500度 東経139.75134500度﻿ /35.51929500; 139.75134500","地上駅","1964年（昭和39年）3月25日","","貨物専用駅","","","","","","","","","","",""
"千鳥橋駅","千鳥橋駅（ちどりばしえき）","https://ja.wikipedia.org/wiki/千鳥橋駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度41分7.81秒東経135度27分28.2秒","阪神なんば線","5.5 km（尼崎起点）","阪神電気鉄道","大阪市此花区四貫島一丁目1-43北緯34度41分7.81秒東経135度27分28.2秒﻿ / ﻿北緯34.6855028度 東経135.457833度﻿ /34.6855028; 135.457833座標:北緯34度41分7.81秒東経135度27分28.2秒﻿ / ﻿北緯34.6855028度 東経135.457833度﻿ /34.6855028; 135.457833","高架駅","1924年（大正13年）8月1日","2面2線","","HS46","","","","","9,515人/日-2019年-","","","","",""
