"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","管理運営","事業主体","専門分野","公式サイト","正式名称","アクセス","面積","愛称","種数","館長","前身","頭数","主な飼育動物","水槽総容量","最大水槽容量","来園者数"
"鴨川シーワールド","[鴨川シーワールド（千葉県鴨川市）★] 鴨川シーワールド （かもがわシーワールド、 Kamogawa Seaworld ）は、 千葉県 鴨川市 の東条海岸と 国道128号 に挟まれて立地する、大規模な 総合海洋レジャーセンター ・ 博物館 相当施設。 グランビスタ ホテル&リゾート が運営している。","https://ja.wikipedia.org/wiki/鴨川シーワールド","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度6分58.11秒 東経140度7分14.1秒","〒296-0041千葉県鴨川市東町1464-1","","1970年10月1日","株式会社グランビスタ ホテル&リゾート（旧八洲観光→三井観光開発）","民間","総合/シャチの飼育・海獣全般の繁殖","","","","","シーワールド・鴨シー","","","","","","","",""
"千葉大学","[千葉大学海洋バイオシステム研究センター水族館（千葉県鴨川市、小湊臨海実験所付属）] 千葉大学は、 1949年 （ 昭和 24年）に 千葉医科大学 ・同附属医学専門部・同附属薬学専門部、 千葉師範学校 、 千葉青年師範学校 、 東京工業専門学校 、 千葉農業専門学校 を包括して 新制 の 国立大学 として発足した。 国立大学法人法 により、2004年度には 国立大学法人 千葉大学となる。","https://ja.wikipedia.org/wiki/千葉大学","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度37分35.4秒東経140度6分8.8秒","","","","","","","","","","","","","","","","","","",""
"世界一ちっちゃな水族館","[世界一ちっちゃな水族館（千葉県銚子市、銚子海洋研究所内）] 世界一ちっちゃな水族館 （せかいいちちっちゃなすいぞくかん）は、 千葉県 銚子市 潮見町 の 銚子海洋研究所 社屋内にある 水族館 。","https://ja.wikipedia.org/wiki/世界一ちっちゃな水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度42分26秒東経140度50分26秒","〒288-0025千葉県銚子市潮見町15-9","北緯35度42分26秒東経140度50分26秒﻿ / ﻿北緯35.70711度 東経140.84042度﻿ /35.70711; 140.84042座標:北緯35度42分26秒東経140度50分26秒﻿ / ﻿北緯35.70711度 東経140.84042度﻿ /35.70711; 140.84042","2019年4月25日","銚子海洋研究所","民間","軟体動物、有櫛動物等","","","","","","","","","","","","",""
"サンシャイン水族館","[サンシャイン水族館（東京都豊島区、サンシャインシティ内）★] サンシャイン水族館 （サンシャインすいぞくかん、 英語 ：Sunshine Aquarium）は、 東京都 豊島区 東池袋 ・ サンシャインシティ 内のワールドインポートマートにある 水族館 。 1978年 10月 開館。株式会社サンシャインエンタプライズが運営している。旧称は サンシャイン国際水族館 。","https://ja.wikipedia.org/wiki/サンシャイン水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度43分45秒東経139度43分11.3秒","〒170-0013東京都豊島区東池袋３丁目１ サンシャインシティ ワールドインポートマートビル 屋上","北緯35度43分45秒東経139度43分11.3秒﻿ / ﻿北緯35.72917度 東経139.719806度﻿ /35.72917; 139.719806座標:北緯35度43分45秒東経139度43分11.3秒﻿ / ﻿北緯35.72917度 東経139.719806度﻿ /35.72917; 139.719806","1978年10月","株式会社サンシャインエンタプライズ","民間","総合","https://sunshinecity.jp/aquarium/","","池袋駅（JR・東京メトロ・西武線・東武線）35番出口より徒歩約8分","約7,765㎡","","約550種","丸山 克志","サンシャイン国際水族館","約23,000匹","","約770 t","240t(サンシャインラグーン)","197万人(2017)"
"板橋区立熱帯環境植物館","[板橋区立熱帯環境植物館（東京都板橋区）（植物園）] 板橋清掃工場 の 余熱 を活用した施設であり、従来の温室植物園を改修して 1994年 （平成6年）9月に開館した。開館と同時期に、板橋区は マレーシア の ペナン州 政府と「友好提携に関する共同声明」に調印した。2005年からは 指定管理者 制度が導入され、 西武造園 ・ 横浜八景島 ・ 西武緑化管理 の共同企業体が受託している  。2020年9月より改修工事を開始し、2021年4月に工事完了、2021年4月21日にリニューアルオープンした。","https://ja.wikipedia.org/wiki/板橋区立熱帯環境植物館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度47分31秒東経139度39分50.8秒","〒175-0082東京都板橋区高島平八丁目29番2号","北緯35度47分31秒東経139度39分50.8秒﻿ / ﻿北緯35.79194度 東経139.664111度﻿ /35.79194; 139.664111座標:北緯35度47分31秒東経139度39分50.8秒﻿ / ﻿北緯35.79194度 東経139.664111度﻿ /35.79194; 139.664111","","西武造園・横浜八景島・西武緑化管理（指定管理者）","","熱帯雨林、東南アジアの植生、熱帯魚","www.seibu-la.co.jp/nettaikan/","","","","","","","温室植物園","","","","",""
"アクアパーク品川","[マクセル アクアパーク品川（東京都港区、ステラボール併設）★] マクセル アクアパーク品川 （マクセル アクアパークしながわ）は、 品川プリンスホテル の敷地内に所在する 水族館 を核とする屋内型 テーマパーク である。旧称は エプソン アクアパーク品川 、 エプソン 品川アクアスタジアム 。","https://ja.wikipedia.org/wiki/アクアパーク品川","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度37分40.184秒東経139度44分6.313秒","〒108-8611東京都港区高輪4丁目10-30","北緯35度37分40.184秒東経139度44分6.313秒﻿ / ﻿北緯35.62782889度 東経139.73508694度﻿ /35.62782889; 139.73508694座標:北緯35度37分40.184秒東経139度44分6.313秒﻿ / ﻿北緯35.62782889度 東経139.73508694度﻿ /35.62782889; 139.73508694","2005年4月8日","横浜八景島","民間（プリンスホテルズ&リゾーツ系）","総合","マクセル アクアパーク品川","品川プリンス アクアパーク","品川駅高輪口より徒歩2分","11,535㎡","","約450種","","エプソン品川アクアスタジアム、エプソンアクアパーク品川","18,000匹","カマイルカ、バンドウイルカ、オキゴンドウ、ナンヨウマンタ、グリーンソーフィッシュ、ドワーフソーフィッシュ","4,800t","","174万人(2017年)"
"しながわ水族館","[しながわ水族館（東京都品川区）★] しながわ水族館 （しながわすいぞくかん、SHINAGAWA AQUARIUM）は、 東京都 品川区 の しながわ区民公園 内南端にある 水族館 。","https://ja.wikipedia.org/wiki/しながわ水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度35分18.5秒東経139度44分15秒","東京都品川区勝島3-2-1","北緯35度35分18.5秒東経139度44分15秒﻿ / ﻿北緯35.588472度 東経139.73750度﻿ /35.588472; 139.73750座標:北緯35度35分18.5秒東経139度44分15秒﻿ / ﻿北緯35.588472度 東経139.73750度﻿ /35.588472; 139.73750","1991年10月","株式会社サンシャインエンタプライズ","品川区","総合","","","","","","約530種","","","約13000匹","","","",""
"足立区生物園","[足立区生物園（東京都足立区）（動物園・水族館）] 足立区生物園 （あだちくせいぶつえん）は、 東京都 足立区 の 元渕江公園 内にある 生物園 （ 動物園 ・ 水族館 ）。","https://ja.wikipedia.org/wiki/足立区生物園","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度47分32.8秒東経139度48分26秒","〒121-0064東京都足立区保木間二丁目17番1号","北緯35度47分32.8秒東経139度48分26秒﻿ / ﻿北緯35.792444度 東経139.80722度﻿ /35.792444; 139.80722座標:北緯35度47分32.8秒東経139度48分26秒﻿ / ﻿北緯35.792444度 東経139.80722度﻿ /35.792444; 139.80722","","体験型いきものパークマネジメント共同事業体（株式会社自然教育研究センター、東武緑地株式会社、株式会社松竹園）","","","http://www1.adachi.ne.jp/seibutu/","足立区生物園","","7,200m2","生物園","","","","","","","",""
"すみだ水族館","[すみだ水族館（東京都墨田区、東京スカイツリータウン内）★] すみだ水族館 （すみだすいぞくかん）は、 東京都 墨田区 押上 1-1-2の 東京スカイツリータウン ・ ソラマチ 5Fと6Fにある 水族館 。 2012年 5月22日 に開業した  。","https://ja.wikipedia.org/wiki/すみだ水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度42分35.6秒東経139度48分35.5秒","〒131-0045東京都墨田区押上一丁目1番2号東京スカイツリータウン・ソラマチ5F・6F","北緯35度42分35.6秒東経139度48分35.5秒﻿ / ﻿北緯35.709889度 東経139.809861度﻿ /35.709889; 139.809861座標:北緯35度42分35.6秒東経139度48分35.5秒﻿ / ﻿北緯35.709889度 東経139.809861度﻿ /35.709889; 139.809861","2012年5月22日","オリックス不動産","","","www.sumida-aquarium.com","","東武スカイツリーライン「とうきょうスカイツリー」駅 すぐ","約3万6900平方メートル","","約260種","","","約7,000匹","マゼランペンギン、ミナミアメリカオットセイ、シロワニ、チンアナゴなど","約700t","350t（ペンギン屋内プール)",""
"葛西臨海水族園","[葛西臨海水族園（東京都江戸川区、葛西臨海公園内）★] 葛西臨海水族園 （かさいりんかいすいぞくえん）は、 東京都 江戸川区 臨海町 の 葛西臨海公園 内にある 水族館  。1989年10月10日に開園した。設計は 谷口吉生 。園長は田畑直樹（2014年4月から）。 東京都建設局 が所管していたが、 指定管理者制度 により 公益財団法人 東京動物園協会 に運営が引き継がれた。","https://ja.wikipedia.org/wiki/葛西臨海水族園","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度38分24.3秒東経139度51分43.8秒","〒134-0086東京都江戸川区臨海町6-2-3","北緯35度38分24.3秒東経139度51分43.8秒﻿ / ﻿北緯35.640083度 東経139.862167度﻿ /35.640083; 139.862167座標:北緯35度38分24.3秒東経139度51分43.8秒﻿ / ﻿北緯35.640083度 東経139.862167度﻿ /35.640083; 139.862167","1989年10月10日","東京動物園協会2011～2015年度指定管理者","東京都","総合","http://www.tokyo-zoo.net/zoo/kasai/","","","","","","田畑直樹","","","","3,160t","2,200t",""
"井の頭自然文化園","[井の頭自然文化園付属水生物館（東京都武蔵野市）（動物園）] 井の頭自然文化園 （いのかしらしぜんぶんかえん）は、 東京都 武蔵野市 （分園は 三鷹市 ）にある都立の 動物園 。 井の頭公園 の一角にある。開園は 1942年 5月17日 。","https://ja.wikipedia.org/wiki/井の頭自然文化園","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度42分3秒東経139度34分21.9秒","東京都武蔵野市御殿山1-17-6","北緯35度42分3秒東経139度34分21.9秒﻿ / ﻿北緯35.70083度 東経139.572750度﻿ /35.70083; 139.572750座標:北緯35度42分3秒東経139度34分21.9秒﻿ / ﻿北緯35.70083度 東経139.572750度﻿ /35.70083; 139.572750","","東京動物園協会2011～2015年度指定管理者","","総合","http://www.tokyo-zoo.net/zoo/ino/","","","115,500m2","","","","","","","","",""
"小笠原海洋センター (存在しないページ)","[小笠原海洋センター（東京都小笠原村）]","https://ja.wikipedia.org/w/index.php?title=小笠原海洋センター&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小さな水族館 (存在しないページ)","[小さな水族館（東京都小笠原村、小笠原水産センター付属）]","https://ja.wikipedia.org/w/index.php?title=小さな水族館&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横浜・八景島シーパラダイス","[横浜・八景島シーパラダイス（神奈川県横浜市、アクアリゾーツ内、プレジャーランド併設）★] 横浜・八景島シーパラダイス （よこはまはっけいじまシーパラダイス）は、 神奈川県 横浜市 金沢区 八景島 にある 水族館 ・ 遊園地 ・ ショッピングモール ・ ホテル ・ マリーナ などで構成した複合型海洋 レジャー施設 である。","https://ja.wikipedia.org/wiki/横浜・八景島シーパラダイス","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度20分9.8秒東経139度38分40.5秒","〒236-0006神奈川県横浜市金沢区八景島","北緯35度20分9.8秒東経139度38分40.5秒﻿ / ﻿北緯35.336056度 東経139.644583度﻿ /35.336056; 139.644583座標:北緯35度20分9.8秒東経139度38分40.5秒﻿ / ﻿北緯35.336056度 東経139.644583度﻿ /35.336056; 139.644583","","株式会社 横浜八景島","株式会社 横浜八景島","","http://www.seaparadise.co.jp/","","","76,385.68m²","シーパラ、八景島","","","","","","","","4,500,000人"
