"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","所在海域","海岸線長","所属諸島","最高峰","人口","都道府県","場所","最大都市","主要な島","時間帯","市町村","諸島","島数","人口密度","言語","郡"
"桧原湖","[糠塚島 -桧原湖の湖中島。] 桧原湖 （ひばらこ）は、 福島県 耶麻郡 北塩原村 にある 湖 。 磐梯朝日国立公園 に属する。","https://ja.wikipedia.org/wiki/桧原湖","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯37度40分30秒東経140度03分15秒","日本福島県耶麻郡北塩原村","10.70km2","","","","","","","","","","","","","","","","",""
"浮島 (群馬県)","[浮島-利根川水系片品川の中洲にある島。] 浮島 （うきしま）は、 群馬県 沼田市 ・ 片品渓谷 （ 利根川 水系）にある 中州 の 島 。","https://ja.wikipedia.org/wiki/浮島_(群馬県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯36度42分13.55秒東経139度12分28.59秒","日本（群馬県）","","","片品渓谷","","","","","","","","","","","","","","",""
"上野島","[上野島-中禅寺湖の湖中島。] 上野島 （こうずけしま）は栃木県の 中禅寺湖 に存在する円形の 無人島 である。","https://ja.wikipedia.org/wiki/上野島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯36度43分48秒東経139度28分02秒","日本（栃木県）","0.0003km²","","中禅寺湖","0.07km","","","","","","","","","","","","","",""
"二ツ島","[二ツ島] 二ツ島 （ふたつしま）は、 茨城県 北茨城市 の磯原海岸沖合にある 無人島 （岩礁）。夏季に多くの海水浴客で賑わいを見せる磯原海岸の沖合に大小2つの島が海中からそびえ立つ姿が特徴で 茨城百景  にも選定されており、北茨城市の ランドマーク 的な存在となっている。","https://ja.wikipedia.org/wiki/二ツ島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯36度48分20秒東経140度45分45秒","日本茨城県北茨城市","","","太平洋","","","","","","","","","","","","","","",""
"仁右衛門島","[仁右衛門島] 仁右衛門島 （にえもんじま）は、 千葉県 鴨川市 太海の沖合約200mにある 島 。全島 砂岩 よりなる周囲約4kmの島で、千葉県では最も大きな島かつ唯一の有人島である。 源頼朝 や 日蓮 の 伝説 で知られ、個人所有ではあるが千葉県指定 名勝 となっているほか、 新日本百景 にも選ばれている。","https://ja.wikipedia.org/wiki/仁右衛門島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯35度4分36秒東経140度6分16秒","日本千葉県鴨川市","約0.03km²","","太平洋","約4km","","","","","","","","","","","","","",""
"浮島 (千葉県)","[浮島] 浮島 （うきしま）は、 千葉県 安房郡 鋸南町 沿岸の 東京湾 にある 島 である。","https://ja.wikipedia.org/wiki/浮島_(千葉県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯35度6分36.5秒東経139度48分52.5秒","日本(千葉県)","","60m","東京湾(浦賀水道)","0.792km","","","","","","","","","","","","","",""
"海堡","[第一海堡、第二海堡 -富津市にある人工の洋上要塞跡。] 海堡 （かいほう、かいほ）は、海上に人工的に造成した 島 に 砲台 を配置した、洋上にある 要塞 の一つである。 日本 では 東京湾 に 明治 と 大正 に建設された複数の海堡が存在している。","https://ja.wikipedia.org/wiki/海堡","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中の島 (千葉県)","[中の島] 中の島 （なかのしま）は、 千葉県 木更津市 の 木更津港 に浮かぶ人工島である。","https://ja.wikipedia.org/wiki/中の島_(千葉県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯35度23分6.2秒東経139度54分41.7秒","日本","","","木更津港（東京湾）","","","","","","","","","","","","","","",""
"伊豆大島","[大島- 90.73km2[11] 伊豆大島 （いずおおしま）は、日本の 伊豆諸島 北部に位置する伊豆諸島最大の 島 。 本州 で最も近い 伊豆半島 からは南東方約25kmに位置する。面積は91.06 km 2 。行政区域は、 東京都 大島町 である。","https://ja.wikipedia.org/wiki/伊豆大島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度44分0秒東経139度24分0秒","日本　東京都大島町","91.06km²","758m","太平洋","52km","","三原新山","","","","","","","","","","","",""
"八丈島","[八丈島- 69.11km2[11] 八丈島 （はちじょうじま）は、 伊豆諸島 の 火山島 で、日本の 気象庁 によると火山活動度ランクCの 活火山 である。隣の 八丈小島 と区別するため、 八丈本島 もしくは 八丈大島 と呼ばれることもある。東京都心から南方287kmの海上にあり、行政区分は 東京都 八丈町 であるが国政選挙など、一部の行政は 品川区 が行なっており、 自動車 の登録も 品川ナンバー である。 くさや 、 明日葉 、 ハイビスカス 、 島焼酎 が 特産品 で、 1964年 には 富士箱根伊豆国立公園 に指定された。","https://ja.wikipedia.org/wiki/八丈島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度06分34秒東経139度47分29秒","日本（東京都）","69.11km²","854.3m","太平洋（フィリピン海）","58.91km","伊豆諸島","八丈富士","","","","","","","","","","","",""
"三宅島","[三宅島- 55.20km2[11] 三宅島 （みやけじま）は、 伊豆諸島 の 島 。 雄山 （おやま）を中心としてしばしば激しく 噴火 をすることで知られ、 火山噴火予知連絡会 によって火山防災のために監視・観測体制の充実等の必要がある火山に選定されている  。また、 日本 の 気象庁 によって火山活動度ランクAの 活火山 、常時観測対象火山に指定されている。島の全域が 富士箱根伊豆国立公園 となっており、行政区画は島全体が 東京都 三宅村 に属する。","https://ja.wikipedia.org/wiki/三宅島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度04分55秒東経139度31分35秒","日本・東京都","55.44km²","775.1m","太平洋（フィリピン海）","38.3km","伊豆諸島","雄山","","","","三宅村","","","","","","","",""
"硫黄島 (東京都)","[硫黄島- 23.73km2[11] 硫黄島 （いおうとう）とは、 小笠原諸島 の南端近くに所在する、東西8 km 、南北4 kmの 島 である。","https://ja.wikipedia.org/wiki/硫黄島_(東京都)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯24度45分29秒東経141度17分14秒","日本（東京都）","23.73km²","170m","太平洋（フィリピン海）","約22km","","摺鉢山（パイプ山）","","","","","","","","","","","",""
"父島","[父島- 23.45km2[11] 父島 （ちちじま）は、 東京都 ・ 小笠原諸島 の 父島列島 の 島 。 東京都島嶼部 に属する。東京都 小笠原村 の中心的機能を担う島であり、小笠原村 役場 はこの島に所在する。","https://ja.wikipedia.org/wiki/父島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯27度4分40秒東経142度13分00秒","日本（東京都小笠原村）","23.45km²","326m","太平洋","","","","","","","","","","","","","","",""
"新島","[新島- 22.97km2[11] 新島 （にいじま）は、 伊豆諸島 を構成する 島 の一つであり、東京から南に約160km、 静岡県 下田市 から南東に36kmの位置にある。行政上の所属は 東京都 新島村 。 サーファー や 海水浴 客などに主眼を置いた 観光業 、 漁業 などが盛んである。","https://ja.wikipedia.org/wiki/新島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度22分東経139度16分","日本（東京都）","23.17km²","432m","太平洋","","","宮塚山","","","","","","","","","","","",""
"御蔵島","[御蔵島- 20.51km2[11] 御蔵島 （みくらじま）は、 伊豆諸島 に属する日本の 島 。 伊豆七島 の一島。 行政区画 は 東京都 御蔵島村 。","https://ja.wikipedia.org/wiki/御蔵島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度52分27秒東経139度36分7秒","日本東京都御蔵島村","20.55km²","851m","太平洋（フィリピン海）","16.4km","伊豆諸島","御山","","","","","","","","","","","",""
"母島","[母島- 19.88km2[11] 母島 （ははじま）は、 小笠原諸島 の 島 。周囲の 姉島 、 妹島 などの島とともに 母島列島 を形成する。 東京都 小笠原村 所属。小笠原村で一般住民が居住するのは 父島 とこの母島だけである。","https://ja.wikipedia.org/wiki/母島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯26度39分50秒東経142度9分30秒","日本（東京都小笠原村）","19.88km²","462m","太平洋","","小笠原諸島","乳房山","","","","","","","","","","","",""
"神津島","[神津島- 18.24km2[11] 神津島 （こうづしま）は、 伊豆諸島 の 島 の一つで、 活火山 の 火山島 。 東京都 神津島村 に属する。キャラクターは かんむりん とかんむりーな。","https://ja.wikipedia.org/wiki/神津島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度13分1秒東経139度9分15秒","日本東京都神津島村","18.48km²","572m","太平洋","22km","伊豆諸島","天上山","","","","","","","","","","","",""
"兄島","[兄島- 7.88km2[11] 兄島 （あにじま）は、 小笠原諸島 の 父島列島 の一部をなし、 東京都 小笠原村 に属する 無人島 。","https://ja.wikipedia.org/wiki/兄島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯27度7分17秒東経142度12分51秒","日本（東京都）","7.87km²","254m","太平洋","","小笠原諸島","見返山","","","","","","","","","","","",""
"青ヶ島","[青ヶ島- 5.96km2[11] 青ヶ島 （あおがしま）は、 伊豆諸島 に属する 火山島 で、本諸島の有人島としては最南端にある。日本の 気象庁 によって火山活動度ランクCの 活火山 に指定されており  、また、 常時観測火山 にも選定されている   。全島が 青ヶ島村 に属するが、産業に乏しく 本土 との往来も難しいため、人口減少が続いており、 2019年 においては170人程度しか 定住 していない。","https://ja.wikipedia.org/wiki/青ヶ島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度27分28秒東経139度45分33秒","日本東京都青ヶ島村","5.97km²","423m","太平洋(フィリピン海)","9km","伊豆諸島","大凸部","170人","","","","","","","","","35.8人/ｋm²","",""
"北硫黄島","[北硫黄島- 5.56km2[11] 北硫黄島 （きたいおうとう）とは、 小笠原諸島 の 火山列島 の一部をなし、後述する噴火浅根を火山体とした頂上部分が海上に出た 火山島 である。 東京都 小笠原村 に属するが現在は 無人 。欧名はサン・アレキサンドロ島。","https://ja.wikipedia.org/wiki/北硫黄島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯25度26分0秒東経141度16分55秒","日本","5.57km²","792m","太平洋","8.8km","小笠原諸島・火山列島（硫黄列島）","榊ヶ峰","","","","","","","","","","","",""
