"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","コース数","標高","標高差","索道数","公式サイト","最大傾斜","最長滑走距離","コース面積","テレインパーク","開業日","運営者","造設地形","旧名","所有者","正式名称","指定管理者","ナイター営業","面積"
"旭岳スキーコース","[旭岳スキーコース] 旭岳スキーコース （あさひだけスキーコース）は、 北海道 上川郡 東川町 にある スキー場 である。経営は ワカサリゾート 。ワカサリゾートのホームページではかつては「旭岳スキーコース」と称していたが  、近年は「旭岳エリア」の名称を用いている  。また、旭岳スキー場と呼ばれることもある。","https://ja.wikipedia.org/wiki/旭岳スキーコース","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","北海道上川郡東川町旭岳温泉","4本","1,600 m - 1,100 m","500 m","1本","大雪山旭岳ロープウェイ","35度","3,500 m","- ha","-","","","","","","","","",""
"旭山市民スキー場 (存在しないページ)","[旭山市民スキー場]","https://ja.wikipedia.org/w/index.php?title=旭山市民スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊ノ沢市民スキー場","[伊ノ沢市民スキー場] 伊ノ沢市民スキー場 （いのさわしみんスキーじょう）は、 北海道 旭川市 にある スキー場 。","https://ja.wikipedia.org/wiki/伊ノ沢市民スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度44分54秒東経142度20分02秒","〒070-8017北海道旭川市神居7条18丁目","1本","","56 m","1本","伊ノ沢市民スキー場","17度","240 m","","","","","","","","","","",""
"音威富士スキー場 (存在しないページ)","[音威富士スキー場]","https://ja.wikipedia.org/w/index.php?title=音威富士スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上川町営中山スキー場 (存在しないページ)","[上川町営中山スキー場]","https://ja.wikipedia.org/w/index.php?title=上川町営中山スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"カムイスキーリンクス","[カムイスキーリンクス] 神居山 の斜面にコースがあり、「国設神居山スキー場」を前身としている  。上川地方で最大規模のスキー場であり、市街地近郊にありながらパウダースノー（シルキースノー）を楽しむことができるスキー場となっている  。これまでに『 全日本スキー選手権大会 』（ アルペン競技 ）   、『 全日本学生スキー選手権大会 』( アルペンスキー )を開催している  。夏期には パラグライダー 、 グラススキー や マウンテンバイク 、 キャンプ などのアクティビティを楽しむことができる  。","https://ja.wikipedia.org/wiki/カムイスキーリンクス","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度42分14秒東経142度11分12秒","〒074-1181北海道旭川市神居町西丘112","25本","751 m - 150 m","601 m","6本","カムイスキーリンクス","35度","","165 ha","","","","","","","","","",""
"キャンモアスキービレッジ","[キャンモアスキービレッジ] 1969年 （ 昭和 44年）に「 東川町営岐登牛スキー場 」として開設し  、 1973年 （昭和48年）にはリフトが完成した  。 1991年 （ 平成 3年）には東川町の「姉妹都市」である カナダ カンモア町との交流を記念し、 キトウシ国際スキー場 としていた名称を「キャンモアスキービレッジ」と改称した  。スキー場は旭川グリーンカントリー倶楽部が運営していたが、 2000年 （平成12年）に東川振興公社へ売却した  。なお、 2001年 （平成13年）のコート旭川カントリークラブ（旧旭川グリーンカントリー倶楽部）自己破産後、ゴルフ場を買収した ワカサリゾート が運営していた時期もあったが  、賃借契約満了により再び東川振興公社による運営となった  。","https://ja.wikipedia.org/wiki/キャンモアスキービレッジ","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度43分49秒東経142度32分20秒","〒071-1405北海道上川郡東川町西5号北44","6本","456 m - 246 m","210 m","2本","canmore-ski.jp","29度","1,570 m","","","1969年","","岐登牛山","東川町営岐登牛スキー場キトウシ国際スキー場","","","","",""
"剣淵町びばからすスキー場 (存在しないページ)","[剣淵町びばからすスキー場（2007年廃止）]","https://ja.wikipedia.org/w/index.php?title=剣淵町びばからすスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"国設占冠中央スキー場 (存在しないページ)","[国設占冠中央スキー場]","https://ja.wikipedia.org/w/index.php?title=国設占冠中央スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"国設南ふらのスキー場 (存在しないページ)","[国設南ふらのスキー場]","https://ja.wikipedia.org/w/index.php?title=国設南ふらのスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"サンタプレゼントパーク・マロースゲレンデ","[サンタプレゼントパーク・マロースゲレンデ] 旭川市街から車で15分程の距離にあり、気軽に スキー や スノーボード を楽しむことができる。 1999年 （ 平成 11年）、 2001年 （平成13年）、 2015年 （平成27年）には 国際スキー連盟 による『 スノーボード・ワールドカップ 』（ FIS Snowboard World Cup ）を開催している    。","https://ja.wikipedia.org/wiki/サンタプレゼントパーク・マロースゲレンデ","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度45分39秒東経142度18分10秒","〒070-8025北海道旭川市神居町富岡555-2","6本","330 m - 170 m","160 m","3本","サンタプレゼントパーク","25度","1,000 m","","","","","","","","","","",""
"士別市あさひスキー場 (存在しないページ)","[士別市あさひスキー場]","https://ja.wikipedia.org/w/index.php?title=士別市あさひスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"士別市日向スキー場 (存在しないページ)","[士別市日向スキー場]","https://ja.wikipedia.org/w/index.php?title=士別市日向スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"下川スキー場 (存在しないページ)","[下川スキー場]","https://ja.wikipedia.org/w/index.php?title=下川スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白金スキーハイランドパークヒルバレー (存在しないページ)","[白金スキーハイランドパークヒルバレー（2012年休業）]","https://ja.wikipedia.org/w/index.php?title=白金スキーハイランドパークヒルバレー&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大雪山黒岳スキー場","[大雪山黒岳スキー場] 大雪山黒岳スキー場 は 北海道 の 上川総合振興局 管内、 上川町 にある スキー場 である。","https://ja.wikipedia.org/wiki/大雪山黒岳スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","北海道上川郡上川町層雲峡","3本","1,520 m - 670 m","850 m","2本","大雪山黒岳スキー場","40度","4,000 m","- ha","なし","","","","","","","","",""
"当麻町営スキー場 (存在しないページ)","[当麻町営スキー場]","https://ja.wikipedia.org/w/index.php?title=当麻町営スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中川町民スキー場 (存在しないページ)","[中川町民スキー場]","https://ja.wikipedia.org/w/index.php?title=中川町民スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中富良野北星スキー場 (存在しないページ)","[中富良野北星スキー場]","https://ja.wikipedia.org/w/index.php?title=中富良野北星スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"名寄ピヤシリスキー場","[名寄ピヤシリスキー場] 名寄市街の北東部に位置する ピヤシリ山 西麓の 九度山 の南斜面にあり  、 北海道道939号日進名寄線 を挟んで、 宿泊施設 、 体育館 、ピヤシリシャンツェがある。 名寄市 が施設を所有し、名寄振興公社が運営する 公設民営方式 となっている  。","https://ja.wikipedia.org/wiki/名寄ピヤシリスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯44度24分16秒東経142度30分48秒","〒096-0066北海道名寄市日進","9本","673 m - 193 m","480 m","4本","名寄ピヤシリスキー場","35度","2,000 m","","2","","","","","","","","",""
"美瑛町民スキー場 (存在しないページ)","[美瑛町民スキー場]","https://ja.wikipedia.org/w/index.php?title=美瑛町民スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
