"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","種類","管理者","漁港番号","開港","公式サイト","漁業協同組合"," • 合計","統計年度","都道府県","等時帯","郵便番号","市外局番","ナンバープレート","市町村","総陸揚量","陸揚金額","標高"
"豊岬漁港 (存在しないページ)","[豊岬漁港（とよさき - ）苫前郡初山別村]","https://ja.wikipedia.org/w/index.php?title=豊岬漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"初浦漁港 (存在しないページ)","[初浦漁港（はつうら - ）苫前郡初山別村]","https://ja.wikipedia.org/w/index.php?title=初浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西浦漁港 (北海道) (存在しないページ)","[西浦漁港（にしうら - ）苫前郡羽幌町（焼尻島）]","https://ja.wikipedia.org/w/index.php?title=西浦漁港_(北海道)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"前浜漁港 (存在しないページ)","[前浜漁港（まえはま - ）苫前郡羽幌町（天売島）]","https://ja.wikipedia.org/w/index.php?title=前浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"力昼漁港 (存在しないページ)","[力昼漁港（りきびる - ）苫前郡苫前町]","https://ja.wikipedia.org/w/index.php?title=力昼漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"臼谷漁港 (存在しないページ)","[臼谷漁港（うすや - ）留萌郡小平町]","https://ja.wikipedia.org/w/index.php?title=臼谷漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三泊漁港 (存在しないページ)","[三泊漁港（さんどまり - ）留萌市]","https://ja.wikipedia.org/w/index.php?title=三泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"礼受漁港 (存在しないページ)","[礼受漁港（れうけ - ）留萌市]","https://ja.wikipedia.org/w/index.php?title=礼受漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿分漁港 (存在しないページ)","[阿分漁港（あふん - ）増毛郡増毛町]","https://ja.wikipedia.org/w/index.php?title=阿分漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"別苅漁港 (存在しないページ)","[別苅漁港（べつかり - ）増毛郡増毛町]","https://ja.wikipedia.org/w/index.php?title=別苅漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩老漁港 (存在しないページ)","[岩老漁港（いわおい - ）増毛郡増毛町]","https://ja.wikipedia.org/w/index.php?title=岩老漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"濃昼漁港 (存在しないページ)","[濃昼漁港（ごきびる - ）石狩市]","https://ja.wikipedia.org/w/index.php?title=濃昼漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"厚田漁港 (存在しないページ)","[厚田漁港（あつた - ）石狩市]","https://ja.wikipedia.org/w/index.php?title=厚田漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"古潭漁港 (存在しないページ)","[古潭漁港（こたん - ）石狩市]","https://ja.wikipedia.org/w/index.php?title=古潭漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"祝津漁港 (存在しないページ)","[祝津漁港（しゅくつ - ）小樽市]","https://ja.wikipedia.org/w/index.php?title=祝津漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"塩谷漁港 (存在しないページ)","[塩谷漁港（しおや - ）小樽市]","https://ja.wikipedia.org/w/index.php?title=塩谷漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"忍路漁港 (存在しないページ)","[忍路漁港（おしょろ - ）小樽市]","https://ja.wikipedia.org/w/index.php?title=忍路漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"余市漁港 (存在しないページ)","[余市漁港（よいち - ）余市郡余市町]","https://ja.wikipedia.org/w/index.php?title=余市漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"幌武意漁港 (存在しないページ)","[幌武意漁港（ほろむい - ）積丹郡積丹町]","https://ja.wikipedia.org/w/index.php?title=幌武意漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"入舸漁港 (存在しないページ)","[入舸漁港（いりか - ）積丹郡積丹町]","https://ja.wikipedia.org/w/index.php?title=入舸漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日司漁港 (存在しないページ)","[日司漁港（ひづか - ）積丹郡積丹町]","https://ja.wikipedia.org/w/index.php?title=日司漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"野塚漁港 (存在しないページ)","[野塚漁港（のづか - ）積丹郡積丹町]","https://ja.wikipedia.org/w/index.php?title=野塚漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神岬漁港","[神岬漁港（こうざき - ）積丹郡積丹町] 神岬漁港 （こうざきぎょこう）は、 北海道 積丹郡 積丹町 大字神岬町にある第1種 漁港 である。","https://ja.wikipedia.org/wiki/神岬漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"川白漁港 (存在しないページ)","[川白漁港（かわしら - ）古宇郡神恵内村]","https://ja.wikipedia.org/w/index.php?title=川白漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"珊内漁港 (存在しないページ)","[珊内漁港（さんない - ）古宇郡神恵内村]","https://ja.wikipedia.org/w/index.php?title=珊内漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"赤石漁港 (存在しないページ)","[赤石漁港（あかいし - ）古宇郡神恵内村]","https://ja.wikipedia.org/w/index.php?title=赤石漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"盃漁港 (存在しないページ)","[盃漁港（さかずき - ）古宇郡泊村]","https://ja.wikipedia.org/w/index.php?title=盃漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"茶津漁港 (存在しないページ)","[茶津漁港（ちゃつ - ）古宇郡泊村]","https://ja.wikipedia.org/w/index.php?title=茶津漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"敷島内漁港 (存在しないページ)","[敷島内漁港（しきしまない - ）岩内郡岩内町]","https://ja.wikipedia.org/w/index.php?title=敷島内漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"尻別漁港 (存在しないページ)","[尻別漁港（しりべつ - ）磯谷郡蘭越町]","https://ja.wikipedia.org/w/index.php?title=尻別漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横澗漁港 (存在しないページ)","[横澗漁港（よこま - ）寿都郡寿都町]","https://ja.wikipedia.org/w/index.php?title=横澗漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鮫泊漁港 (存在しないページ)","[鮫泊漁港（さめどまり - ）寿都郡寿都町]","https://ja.wikipedia.org/w/index.php?title=鮫泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"美谷漁港 (存在しないページ)","[美谷(歌棄)漁港（びや（うたすつ） - ）寿都郡寿都町]","https://ja.wikipedia.org/w/index.php?title=美谷漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"有戸漁港 (存在しないページ)","[有戸漁港（ありと - ）寿都郡寿都町]","https://ja.wikipedia.org/w/index.php?title=有戸漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"樽岸漁港 (存在しないページ)","[樽岸漁港（たるきし - ）寿都郡寿都町]","https://ja.wikipedia.org/w/index.php?title=樽岸漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"政泊漁港 (存在しないページ)","[政泊漁港（まさどまり - ）寿都郡寿都町]","https://ja.wikipedia.org/w/index.php?title=政泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"歌島漁港 (存在しないページ)","[歌島漁港（うたしま - ）島牧郡島牧村]","https://ja.wikipedia.org/w/index.php?title=歌島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"厚瀬漁港 (存在しないページ)","[厚瀬漁港（あっちゃせ - ）島牧郡島牧村]","https://ja.wikipedia.org/w/index.php?title=厚瀬漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"軽臼漁港 (存在しないページ)","[軽臼漁港（かるうす - ）島牧郡島牧村]","https://ja.wikipedia.org/w/index.php?title=軽臼漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
