"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","面積","地方","総人口","都道府県","外部リンク","法人番号","人口密度","市町村コード","隣接自治体","市長","市の花","市の木","郡","町長","町の木","町の花","市の鳥"
"池田町 (北海道)","[池田（文化） -ワイン城など。] 池田町 （いけだちょう）は、 北海道 十勝総合振興局 管内の 中川郡 にある町。町営でブドウ栽培・ワイン醸造を行っており、「 ワイン の町」として知られている。","https://ja.wikipedia.org/wiki/池田町_(北海道)","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒083-8650北海道中川郡池田町字西1条7丁目11番地","371.79km2","北海道地方","6,355人（住民基本台帳人口、2021年5月31日）","北海道（十勝総合振興局）","池田町","1000020016446","17.1人/km2","01644-6","中川郡幕別町、豊頃町、本別町、十勝郡浦幌町、河東郡士幌町、音更町","","","","中川郡","安井美裕","サクラカシワ","ツツジ",""
"青森市","[青森（文化・自然・保養） -ねぶた、浅虫温泉、三内丸山遺跡、八甲田連峰など] 青森市 （あおもりし）は、 青森県 の 津軽地方  ・ 東青地域 に位置する 市 。青森県の 県庁所在地 であり、 中核市 に指定されている。 青森湾 に臨む交通の要地。江戸初期に 港町 として発展。 三内丸山遺跡 や 青森ねぶた祭 が知られる。","https://ja.wikipedia.org/wiki/青森市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯40度49分20.4秒東経140度44分50.6秒","日本","〒030-8555青森県青森市中央一丁目22番5号北緯40度49分20.4秒東経140度44分50.6秒﻿ / ﻿北緯40.822333度 東経140.747389度﻿ /40.822333; 140.747389﻿ (青森市)座標:北緯40度49分20.4秒東経140度44分50.6秒﻿ / ﻿北緯40.822333度 東経140.747389度﻿ /40.822333; 140.747389﻿ (青森市)青森市役所庁舎","824.61km2","東北地方","270,902人（推計人口、2021年5月1日）","青森県","公式ウェブサイト","4000020022012","329人/km2","02201-2","黒石市、五所川原市、十和田市、平川市、東津軽郡平内町、蓬田村、南津軽郡藤崎町、北津軽郡板柳町、上北郡七戸町","小野寺晃彦","はまなすの花","あおもりとどまつ","","","","",""
"むつ市","[むつ市・大間・東通など下北半島（自然・文化・保養） -恐山、仏ヶ浦、大間崎、尻屋崎、薬研温泉など。] むつ市 （むつし）は、 青森県 東北部、 下北地方 に位置する 市 である。","https://ja.wikipedia.org/wiki/むつ市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯41度17分34.2秒東経141度11分1秒","日本","〒035-8686青森県むつ市中央一丁目8番1号北緯41度17分34.2秒東経141度11分1秒﻿ / ﻿北緯41.292833度 東経141.18361度﻿ /41.292833; 141.18361むつ市役所 新庁舎（2009年8月5日撮影）","864.12km2","東北地方","52,867人（推計人口、2021年5月1日）","青森県","むつ市","1000020022080","61.2人/km2","02208-0","上北郡横浜町、下北郡大間町、東通村、風間浦村、佐井村","宮下宗一郎","はまなす","ヒバ","","","","","オオハクチョウ"
"弘前市","[弘前（文化・町並・自然） -弘前城（国史跡）、重伝建地区、神社・寺院、洋風建築、弘前ねぷた、岩木山など] 弘前市 （ひろさきし）は、 青森県 西部にある 市 である。日本で最初に 市制 を施行した都市の一つ。 弘前藩 の 城下町 として発展し、現在も 津軽地方 の中心都市として、周辺 自治体 に広がる人口約30万人（2010年）の 弘前都市圏 を形成している。青森県唯一の 国立大学 である 弘前大学 が設置されている。","https://ja.wikipedia.org/wiki/弘前市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯40度36分11.2秒東経140度27分49.8秒","日本","〒036-8551青森県弘前市大字上白銀町1-1北緯40度36分11.2秒東経140度27分49.8秒﻿ / ﻿北緯40.603111度 東経140.463833度﻿ /40.603111; 140.463833﻿ (弘前市)座標:北緯40度36分11.2秒東経140度27分49.8秒﻿ / ﻿北緯40.603111度 東経140.463833度﻿ /40.603111; 140.463833﻿ (弘前市)","524.20km2","東北地方","167,534人（推計人口、2021年5月1日）","青森県","公式ウェブサイト","3000020022021","320人/km2","02202-1","つがる市、平川市、南津軽郡大鰐町、藤崎町、田舎館村、北津軽郡板柳町、鶴田町、西津軽郡鰺ヶ沢町、中津軽郡西目屋村秋田県大館市","櫻田宏","さくら（2006年11月15日制定）","りんご（2006年11月15日制定）","","","","",""
"十和田市","[青森県十和田市・秋田県小坂（自然・保養） -十和田湖、奥入瀬渓流、十和田湖畔温泉。] 十和田市 （とわだし）は、 青森県 の 南部地方 、内陸部に位置する 市 である。旧上北郡。 十和田八幡平国立公園 があり、 十和田湖 や 奥入瀬渓流 といった景勝地で知られる。県内では第4位の人口を有しており  、上北地域の中心都市でもある  。","https://ja.wikipedia.org/wiki/十和田市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯40度36分45.7秒東経141度12分21.1秒","日本","〒034-8615青森県十和田市西十二番町6番1号北緯40度36分45.7秒東経141度12分21.1秒﻿ / ﻿北緯40.612694度 東経141.205861度﻿ /40.612694; 141.205861","725.65km2","東北地方","59,832人（推計人口、2021年5月1日）","青森県","公式ウェブサイト","2000020022063","82.5人/km2","02206-3","青森市、平川市、上北郡六戸町、七戸町、東北町、三戸郡五戸町、新郷村秋田県：鹿角市、鹿角郡小坂町","小山田久","さくら","もみじ","","","","",""
"八峰町","[秋田県八峰・青森県西目屋・深浦・鯵ヶ沢（自然・保養） - 赤石渓流やブナ原生林など白神山地、十二湖、日本キャニオン。] 八峰町 （はっぽうちょう）は、 秋田県 北西部に位置し、 山本郡 に属する 町 。","https://ja.wikipedia.org/wiki/八峰町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯40度19分8秒東経140度2分18.8秒","日本","〒018-2502秋田県山本郡八峰町峰浜目名潟字目長田118番地北緯40度19分8秒東経140度2分18.8秒﻿ / ﻿北緯40.31889度 東経140.038556度﻿ /40.31889; 140.038556座標:北緯40度19分8秒東経140度2分18.8秒﻿ / ﻿北緯40.31889度 東経140.038556度﻿ /40.31889; 140.038556","234.14km2","東北地方","6,365人（推計人口、2021年6月1日）","秋田県","公式ウェブサイト","8000020053490","27.2人/km2","05349-0","能代市、山本郡藤里町青森県：西津軽郡深浦町、鯵ヶ沢町","","","","山本郡","森田新一郎","ブナ","カタクリ",""
"男鹿市","[男鹿（自然・文化） - 入道崎・一ノ目潟・二ノ目潟・寒風山・なまはげ] 男鹿市 （おがし）は、 秋田県 西部に位置する 日本海 に面した 市 。 男鹿半島 の大半を占める。","https://ja.wikipedia.org/wiki/男鹿市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯39度53分12.3秒東経139度50分51.2秒","日本","〒010-0511秋田県男鹿市船川港船川字泉台66-1北緯39度53分12.3秒東経139度50分51.2秒﻿ / ﻿北緯39.886750度 東経139.847556度﻿ /39.886750; 139.847556座標:北緯39度53分12.3秒東経139度50分51.2秒﻿ / ﻿北緯39.886750度 東経139.847556度﻿ /39.886750; 139.847556","241.09km2","東北地方","24,440人（推計人口、2021年6月1日）","秋田県","公式ウェブサイト","2000020052060","101人/km2","05206-0","潟上市、山本郡三種町、南秋田郡大潟村","菅原広二","ツバキ","杉","","","","","アオサギ"
"横手市","[横手（文化） -かまくら、真人公園など] 横手市 （よこてし）は、 秋田県 東南部に位置する 市 。旧横手市と旧 平鹿郡 町村の 市町村合併 で発足した。","https://ja.wikipedia.org/wiki/横手市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯39度18分40.4秒東経140度33分11.2秒","日本","〒013-8601秋田県横手市中央町8番2号（2014年3月31日から）北緯39度18分40.4秒東経140度33分11.2秒﻿ / ﻿北緯39.311222度 東経140.553111度﻿ /39.311222; 140.553111座標:北緯39度18分40.4秒東経140度33分11.2秒﻿ / ﻿北緯39.311222度 東経140.553111度﻿ /39.311222; 140.553111","692.80km2","東北地方","83,990人（推計人口、2021年6月1日）","秋田県","公式ウェブサイト","3000020052035","121人/km2","05203-5","大仙市、由利本荘市、湯沢市、雄勝郡羽後町、東成瀬村、仙北郡美郷町岩手県和賀郡西和賀町","高橋大","桜","りんご","","","","","白鳥"
"大仙市","[大仙市（文化・自然・温泉） - 大曲花火大会、秋ノ宮温泉郷など。] 大仙市 （だいせんし）は、 秋田県 の南東部に位置する 市 である。","https://ja.wikipedia.org/wiki/大仙市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯39度27分11秒東経140度28分31.6秒","日本","〒014-8601秋田県大仙市大曲花園町1-1北緯39度27分11秒東経140度28分31.6秒﻿ / ﻿北緯39.45306度 東経140.475444度﻿ /39.45306; 140.475444座標:北緯39度27分11秒東経140度28分31.6秒﻿ / ﻿北緯39.45306度 東経140.475444度﻿ /39.45306; 140.475444","866.79km2","東北地方","75,590人（推計人口、2021年6月1日）","秋田県","公式ウェブサイト","5000020052124","87.2人/km2","05212-4","秋田市由利本荘市横手市仙北市仙北郡美郷町岩手県和賀郡西和賀町","老松博行","コスモス","ケヤキ","","","","",""
"仙北市","[北部を除く仙北市（歴史遺産・町並・自然・保養） -角館の武家屋敷通り、田沢湖、乳頭温泉郷などの温泉。] 仙北市 （せんぼくし）は、 秋田県 の東部に位置する 市 である。","https://ja.wikipedia.org/wiki/仙北市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯39度42分0.3秒東経140度43分50.1秒","日本","〒014-1298秋田県仙北市田沢湖生保内字宮ノ後30北緯39度42分0.3秒東経140度43分50.1秒﻿ / ﻿北緯39.700083度 東経140.730583度﻿ /39.700083; 140.730583座標:北緯39度42分0.3秒東経140度43分50.1秒﻿ / ﻿北緯39.700083度 東経140.730583度﻿ /39.700083; 140.730583","1,093.56km2","東北地方","24,337人（推計人口、2021年6月1日）","秋田県","公式ウェブサイト","3000020052159","22.3人/km2","05215-9","秋田市鹿角市北秋田市大仙市岩手県八幡平市岩手郡雫石町和賀郡西和賀町","門脇光浩","","","","","","",""
"八幡平市","[岩手県八幡平市・秋田県鹿角・仙北市北部などの八幡平周辺（自然・保養） -安比高原などの高原、スキー場、八幡平温泉郷・玉川温泉など温泉。] 八幡平市 （はちまんたいし）は、 岩手県 の北西部に位置する 市 である。 東北自動車道 と 八戸自動車道 が分岐する 交通 の要所である。","https://ja.wikipedia.org/wiki/八幡平市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯39度57分22秒東経141度04分16秒","日本","〒028-7397岩手県八幡平市野駄第21地割170番地北緯39度57分22秒東経141度04分16秒﻿ / ﻿北緯39.95611度 東経141.07111度﻿ /39.95611; 141.07111","862.30km2","東北地方","23,676人（推計人口、2021年6月1日）","岩手県","公式ウェブサイト","7000020032140","27.5人/km2","03214-0","盛岡市、二戸市、滝沢市、岩手郡岩手町、雫石町、二戸郡一戸町秋田県：鹿角市、仙北市青森県三戸郡田子町","田村正彦","リンドウ","アカマツ","","","","","ヤマドリ"
