"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","築造時期","規模","形状","史跡","出土品","地図","埋葬施設","所属","被葬者","特記事項","別名","有形文化財","外部リンク","国","都道府県","面積","地方"
"羽山横穴","[羽山横穴（南相馬市、横穴古墳、国の史跡）] 羽山横穴 （はやまよこあな）は、 福島県 南相馬市 原町区 中太田にある横穴古墳（ 横穴墓 )。彩色壁画を有することで知られる。 1974年 12月23日 国の史跡に指定された。","https://ja.wikipedia.org/wiki/羽山横穴","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯37度36分51.8秒 東経140度57分26.5秒","","","","","","","","","","","","","","","","","","",""
"真野古墳群","[真野古墳群（南相馬市、円墳ほか、国の史跡）] 真野古墳群 （まのこふんぐん）は、 福島県 南相馬市 鹿島区 寺内・小池に所在する 前方後円墳 と多数の小 円墳 で構成される大規模 古墳群 である。別称としては、真野古墳群A地区（八幡林・大谷地古墳群）と真野古墳群B地区（小池原古墳群）とがある。 1979年 （ 昭和 54年） 10月24日 に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/真野古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯37度41分50秒 東経140度57分07秒","","","","","","","","","","","","","","","","","","",""
"二子塚古墳","[二子塚古墳（大玉村、前方後円墳、県史跡）] 二子塚古墳 （ふたごづかこふん）","https://ja.wikipedia.org/wiki/二子塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"傾城壇古墳 (存在しないページ)","[傾城壇古墳（大玉村、前方後円墳、県史跡）]","https://ja.wikipedia.org/w/index.php?title=傾城壇古墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白河舟田・本沼遺跡群","[谷地久保古墳（白河市、円墳、県史跡）] 白河舟田・本沼遺跡群 （しらかわふなだ・もとぬまいせきぐん）は、下総塚古墳、谷地久保古墳、舟田中道遺跡で構成されている遺跡群で、 福島県 白河市 北部に位置する。 2005年 （ 平成 17年） 5月 に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/白河舟田・本沼遺跡群#谷地久保古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"国見八幡塚古墳 (存在しないページ)","[国見八幡塚古墳（国見町、前方後円墳、県史跡）]","https://ja.wikipedia.org/w/index.php?title=国見八幡塚古墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"愛宕山古墳 (水戸市)","[愛宕山古墳（水戸市、前方後円墳、国の史跡）] 愛宕山古墳 （あたごやまこふん）は、 茨城県 水戸市 愛宕町にある 前方後円墳 。国の 史跡 に指定されている（ 1934年 （昭和9年） 5月1日 指定）。","https://ja.wikipedia.org/wiki/愛宕山古墳_(水戸市)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯36度23分47.04秒 東経140度27分5.95秒","","","","","","","","","","","","","","","","","","",""
"吉田古墳","[吉田古墳（水戸市、八角墳、国の史跡）] 吉田古墳は、水戸市街地と相対する吉田の台地上に所在する古墳。当初 方墳 か 円墳 と考えられていたが、 2005年 （ 平成17年 ）以降続けられた調査により八角墳であることが確認された   。墳丘は近世以降削平され、往時の姿を止めていない。","https://ja.wikipedia.org/wiki/吉田古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯36度21分31.1秒東経140度28分30.6秒","茨城県水戸市元吉田町","北緯36度21分31.1秒東経140度28分30.6秒﻿ / ﻿北緯36.358639度 東経140.475167度﻿ /36.358639; 140.475167﻿ (吉田古墳)","7世紀中頃","対辺間26メートル","八角墳","国の史跡。1922年（大正11年）3月8日指定、2010年（平成22年）8月5日追加、2012年（平成24年）9月19日追加。","金環・鉄鏃・直刀・勾玉・土器","吉田古墳","袖無型横穴式石室","","","石室奥壁に線刻壁画","","","","","","",""
"虎塚古墳","[虎塚古墳（ひたちなか市、県最後の前方後円墳、装飾古墳、国の史跡）] 虎塚古墳群、笠谷古墳群が形成されている標高20メートルほどの台地上の山林に虎塚古墳が位置している。この周辺には県指定史跡の 十五郎横穴群 も所在する。","https://ja.wikipedia.org/wiki/虎塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯36度22分24.7秒東経140度34分10.7秒","茨城県ひたちなか市中根字指渋","北緯36度22分24.7秒東経140度34分10.7秒﻿ / ﻿北緯36.373528度 東経140.569639度﻿ /36.373528; 140.569639座標:北緯36度22分24.7秒東経140度34分10.7秒﻿ / ﻿北緯36.373528度 東経140.569639度﻿ /36.373528; 140.569639","7世紀前半","全長56.5m、高さ5.5m","前方後円墳、装飾古墳","1974年（昭和49年）国指定","漆塗小大刀、毛抜形鉄製品、鑓鉋、鉄鏃など","虎塚古墳","横穴式石室","虎塚古墳群","","","","","","","","",""
"十五郎穴","[十五郎穴（ひたちなか市、横穴墓群、県史跡）] 十五郎穴は 古墳時代 終末期から 奈良時代 にかけて作られたと見られる横穴墓群で、 虎塚古墳 が存在する指渋（さしぶ）地区、虎塚古墳群2号墳が存在する館出（たてだし）地区、笠谷古墳群が存在する笠谷（かさや）地区にそれぞれ存在する3つの支群から構成される  。 2014年度（ 平成 26年度）までの調査で計272基の横穴墓が確認されており、総数は300基を超えると推測されているが、正確な数はわかっていない  。 1940年（ 昭和 15年）3月11日に、館出支群の一部（34基）が茨城県の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/十五郎穴","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯36度22分17.076秒東経140度34分12.554秒","茨城県ひたちなか市中根3490-イ","北緯36度22分17.076秒東経140度34分12.554秒﻿ / ﻿北緯36.37141000度 東経140.57015389度﻿ /36.37141000; 140.57015389座標:北緯36度22分17.076秒東経140度34分12.554秒﻿ / ﻿北緯36.37141000度 東経140.57015389度﻿ /36.37141000; 140.57015389","古墳時代終末期～奈良時代","（約300基の横穴墓群）","横穴墓","茨城県指定","方頭大刀、蕨手刀、須恵器、勾玉など","十五郎穴","","十五郎穴横穴墓群","","周辺に虎塚古墳群及び、笠谷古墳群","","","","","","",""
"磯浜古墳群","[磯浜古墳群（東茨城郡大洗町、国史跡）車塚古墳（円墳、国史跡）日下ヶ塚古墳（別名：常陸鏡塚古墳、前方後円墳、国史跡）] 茨城県中部、那珂台地の磯浜支丘末端部の 太平洋 （ 鹿島灘 ）に面する位置に営造された古墳群である  。 前方後円墳 2基（日下ヶ塚・坊主山）・ 前方後方墳 1基（姫塚）・ 円墳 1基（車塚）・墳形不明2基（五本松・五本松下）の計6基が遺存する  。 1949年 （ 昭和 24年）に日下ヶ塚古墳の発掘調査が実施されているほか  、近年に測量調査・発掘調査が実施されている。","https://ja.wikipedia.org/wiki/磯浜古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯36度18分57.60秒東経140度34分13.33秒","茨城県東茨城郡大洗町磯浜町","北緯36度18分57.60秒東経140度34分13.33秒﻿ / ﻿北緯36.3160000度 東経140.5703694度﻿ /36.3160000; 140.5703694﻿ (磯浜古墳群)座標:北緯36度18分57.60秒東経140度34分13.33秒﻿ / ﻿北緯36.3160000度 東経140.5703694度﻿ /36.3160000; 140.5703694﻿ (磯浜古墳群)","3世紀中頃-4世紀後半","古墳6基：前方後円墳2・前方後方墳1・円墳1・墳形不明2","","国の史跡「磯浜古墳群」","","磯浜古墳群茨城県内の位置","","","","","","","","","","",""
"石岡市","[舟塚山古墳群（石岡市）舟塚山古墳（墳丘長186メートルの前方後円墳、国の史跡）府中愛宕山古墳（前方後円墳、県史跡）] 常陸国 の 国府 が置かれた都市で、長らく 常陸府中 （ひたちふちゅう）や 常府 （じょうふ）などと呼ばれた茨城県名発祥の地でもある。 1869年 （ 明治 2年）の 版籍奉還 の際に 石岡 と改名されたが、「石岡」の由来は定かではない。","https://ja.wikipedia.org/wiki/石岡市","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯36度11分27秒東経140度17分14秒","〒315-8640茨城県石岡市石岡一丁目1番地1北緯36度11分27秒東経140度17分14秒﻿ / ﻿北緯36.19083度 東経140.28722度﻿ /36.19083; 140.28722","","","","","","","","","","","世帯数:28,148世帯","","","公式ウェブサイト","日本","茨城県","215.53km2","関東地方"
"舟塚山古墳","[舟塚山古墳（墳丘長186メートルの前方後円墳、国の史跡）] 茨城県では最大、関東地方では第2位の規模の古墳で  、 5世紀 後半（ 古墳時代 中期）頃の築造と推定される。","https://ja.wikipedia.org/wiki/舟塚山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯36度10分3.83秒東経140度17分22.66秒","茨城県石岡市北根本","北緯36度10分3.83秒東経140度17分22.66秒﻿ / ﻿北緯36.1677306度 東経140.2896278度﻿ /36.1677306; 140.2896278座標:北緯36度10分3.83秒東経140度17分22.66秒﻿ / ﻿北緯36.1677306度 東経140.2896278度﻿ /36.1677306; 140.2896278","5世紀後半","墳丘長186m高さ11m（後円部）","前方後円墳","国の史跡「舟塚山古墳」","円筒埴輪","太田天神山舟塚山浅間山舟塚山古墳","不明","舟塚山古墳群","","関東地方第2位/茨城県第1位の規模","","","","","","",""
"府中愛宕山古墳","[府中愛宕山古墳（前方後円墳、県史跡）] 茨城県中部、 恋瀬川 流域の台地上に築造された古墳である。南西約300メートルには 舟塚山古墳 があり、 霞ヶ浦 との位置関係から愛宕山古墳は「出舟（出船）」、舟塚山古墳は「入舟（入船）」と通称される  。愛宕山古墳については 1897年 （ 明治 30年）に発掘調査が実施されているほか、 1979年 （ 昭和 54年）に周溝確認の発掘調査が実施されている  。","https://ja.wikipedia.org/wiki/府中愛宕山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯36度10分12.60秒東経140度17分36.06秒","茨城県石岡市北根本","北緯36度10分12.60秒東経140度17分36.06秒﻿ / ﻿北緯36.1701667度 東経140.2933500度﻿ /36.1701667; 140.2933500座標:北緯36度10分12.60秒東経140度17分36.06秒﻿ / ﻿北緯36.1701667度 東経140.2933500度﻿ /36.1701667; 140.2933500","6世紀初頭","墳丘長96.6m高さ8.5m（後円部）","前方後円墳","茨城県指定史跡「府中愛宕山古墳」","土師器壺・埴輪","府中愛宕山古墳","不明","舟塚山古墳群","","","","","","","","",""
"丸山古墳 (石岡市) (存在しないページ)","[丸山古墳（石岡市、前方後方墳、県史跡）]","https://ja.wikipedia.org/w/index.php?title=丸山古墳_(石岡市)&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"梵天山古墳群","[梵天山古墳群（常陸太田市、県史跡）梵天山古墳（常陸太田市、古墳時代初期[1] 常陸太田市 常陸太田地区   の 島町 は 標高 30メートル前後の 台地  である独立 丘陵 上にあるが、梵天山古墳群は常陸太田市の南西端   、この丘陵全体に形成された古墳群である  。13基の 高塚墳 と「島の百穴」か単に「百穴」と呼ばれる 横穴 群からなる   。この横穴は約100基  または60数基にのぼるが、現在開口しているものは約30基である  。また梵天山古墳群は前述のように茨城県第2位の大きさを誇る 前方後円墳 の 梵天山古墳 を主墳としており、その他の高塚墳は 円墳 である。その円墳はいずれも直径30メートルに及ぶ大規模なものである  。","https://ja.wikipedia.org/wiki/梵天山古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯36度30分33.98秒東経140度29分32.43秒","茨城県常陸太田市島町2317外もしくは島町岡町2324外","北緯36度30分33.98秒東経140度29分32.43秒﻿ / ﻿北緯36.5094389度 東経140.4923417度﻿ /36.5094389; 140.4923417﻿ (梵天山古墳群)座標:北緯36度30分33.98秒東経140度29分32.43秒﻿ / ﻿北緯36.5094389度 東経140.4923417度﻿ /36.5094389; 140.4923417﻿ (梵天山古墳群)","","梵天山古墳：墳丘長151mもしくは全長160m高さ13m","前方後円墳1基、円墳12基、横穴墓60数基","茨城県指定史跡「梵天山古墳群」（高塚墳のうち2基は除く）","","梵天山古墳群梵天山古墳群の位置","","","梵天山古墳：（伝）船瀬足尼（初代久自国造）","","","","","","","",""
