"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","国・地域","運営者","標高","方向","運用時間","公式サイト","敷地面積","開港","旅客数","貨物取扱量","所有者","母都市","発着回数","所在部隊","開設","面積","国"
"東京ヘリポート","[関東：東京ヘリポート、利島ヘリポート、御蔵島ヘリポート、青ヶ島ヘリポート、群馬ヘリポート、高崎ヘリポート、栃木ヘリポート、つくばヘリポート] 東京ヘリポート （とうきょうヘリポート）は、 東京都 江東区 新木場 にある公共用 ヘリポート 。東京都営 空港 の一つ。正式名称は 東京都東京ヘリポート （とうきょうと とうきょうヘリポート）。","https://ja.wikipedia.org/wiki/東京ヘリポート","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度38分10秒東経139度50分22秒","東京都江東区新木場四丁目7番28号","公共","日本","東京都港湾局","5m","","8:30 - 16:30 (JST)","","","","","","東京都","東京","","警視庁航空隊東京消防庁航空隊川崎市消防航空隊","","",""
"静岡ヘリポート","[中部：静岡ヘリポート、津市伊勢湾ヘリポート、若狭ヘリポート] 静岡ヘリポート （しずおかヘリポート）は、 静岡県 静岡市 葵区 諏訪8番地の10にある公共用 ヘリポート 。敷地面積は3.57ヘクタール。","https://ja.wikipedia.org/wiki/静岡ヘリポート","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度01分28秒東経138度24分31秒","静岡県静岡市葵区諏訪8番地の10","","日本","財団法人静岡市まちづくり公社","10.5m(34ft)","","午前7時から午後7時 (JST)(日没が午後7時前のときは日没まで)","静岡ヘリポート","","1992年8月20日届出は6月1日付","","","静岡市","","","静岡県消防防災航空隊静岡市消防航空隊","","",""
"奈良県ヘリポート","[近畿：奈良県ヘリポート、舞洲ヘリポート] 奈良県ヘリポート （ならけんヘリポート）は、 奈良県 奈良市 矢田原町および菩提山町にまたがる位置にある公共用 ヘリポート 。","https://ja.wikipedia.org/wiki/奈良県ヘリポート","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度39分23秒東経135度53分05秒","奈良県奈良市菩提山町","公共","日本","奈良県","453.5m(1,487.9ft)","","7:00 - 20:00 JST","奈良県ヘリポート","","1998年12月","","","","","","奈良県防災航空隊奈良県警察航空隊","","",""
"広島ヘリポート","[中国：広島ヘリポート] 広島西飛行場 （ひろしまにしひこうじょう、 Hiroshima-Nishi Airport ）は、 広島県 広島市 西区 観音新町 にかつて存在した 飛行場 である。 1993年 の 広島空港 開港まではこの飛行場が広島空港を名乗った。","https://ja.wikipedia.org/wiki/広島ヘリポート","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度22分17秒東経132度25分04秒","広島県広島市","公共ヘリポート","日本","広島県","3m(9ft)","04/22","","広島ヘリポート","","","","","","","","","","",""
"奈多ヘリポート","[九州：奈多ヘリポート（福岡空港奈多地区）、佐伯ヘリポート、枕崎ヘリポート] 奈多ヘリポート (なたヘリポート、英:Nata Heliport)は 福岡県 福岡市 東区 奈多 にある ヘリポート 、正式名称は 福岡空港 (奈多地区) (ふくおかくうこう なたちく、英:Fukuoka Ariport Nata Area)と呼び、法令上は 福岡空港 の一部とされる  。へリポート運営者は福岡空港の運営者である 福岡国際空港 。","https://ja.wikipedia.org/wiki/奈多ヘリポート","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度40分39秒東経130度23分27秒","福岡市東区大字奈多字小瀬抜1302番地47","公共用","日本","福岡国際空港","6.2m","","7:00 - 21:00(JST)","https://www.fukuoka-airport.jp/heriport/","9.08ha","","","","","福岡市","","","2020-3-26","",""
"北海道警察","[北海道 :北海道警察ヘリポート] 北海道警察 （ほっかいどうけいさつ、 Hokkaido Prefectural Police ）は、 北海道 が設置した、北海道内を管轄区域とする 警察 組織。 道警、北海道警 と略称する。 警察法 上、 北海道公安委員会 の管理を受けるが、 給与 支払者は北海道 知事 である。本部所在地は 札幌市 中央区 北2条西7丁目 。","https://ja.wikipedia.org/wiki/北海道警察","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯43度3分47.54秒東経141度20分46.12秒","北海道札幌市中央区北2条西7丁目北緯43度3分47.54秒東経141度20分46.12秒﻿ / ﻿北緯43.0632056度 東経141.3461444度﻿ /43.0632056; 141.3461444座標:北緯43度3分47.54秒東経141度20分46.12秒﻿ / ﻿北緯43.0632056度 東経141.3461444度﻿ /43.0632056; 141.3461444","","","","","","","","","","","","","","","","","",""
"青森県庁","[東北 :青森県庁ヘリポート、岩手県警察盛岡ヘリポート、宮城県庁ヘリポート、仙台合同庁舎東北地方整備局ヘリポート、福島県警察ヘリポート] 青森県庁 （あおもりけんちょう）は 地方公共団体 である 青森県 の 行政機関 （ 役所 ）である。","https://ja.wikipedia.org/wiki/青森県庁","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯40度49分28.6秒東経140度44分26.0秒","青森県青森市長島一丁目1番1号北緯40度49分28.6秒東経140度44分26.0秒﻿ / ﻿北緯40.824611度 東経140.740556度﻿ /40.824611; 140.740556座標:北緯40度49分28.6秒東経140度44分26.0秒﻿ / ﻿北緯40.824611度 東経140.740556度﻿ /40.824611; 140.740556","","","","","","","","","","","","","","","","","",""
"茨城県庁","[関東 :茨城県庁ヘリポート、前山下妻ヘリポート、みかもヘリポート、群馬県警察ヘリポート、プラスヘリポート、さいたま広域防災拠点ヘリポート、朝日・川越ヘリポート、千葉市消防局ヘリポート、千葉西総合病院ヘリポート、浦安ヘリポート、アークヒルズヘリポート、警視庁本部屋上ヘリポート、中央合同庁舎第2号館ヘリポート、東京朝日ヘリポート、芝浦ヘリポート、第三管区海上保安本部横浜海上防災基地ヘリポート、神奈川県警察ヘリポート、横浜ヘリポート] 茨城県庁 （いばらきけんちょう）は、 地方公共団体 である 茨城県 の 行政機関 （ 役所 ）である。","https://ja.wikipedia.org/wiki/茨城県庁","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度20分30.2秒東経140度26分48.6秒","茨城県水戸市笠原町978番地6号北緯36度20分30.2秒東経140度26分48.6秒﻿ / ﻿北緯36.341722度 東経140.446833度﻿ /36.341722; 140.446833座標:北緯36度20分30.2秒東経140度26分48.6秒﻿ / ﻿北緯36.341722度 東経140.446833度﻿ /36.341722; 140.446833","","","","","","","","","","","","","","","","","",""
"静岡新聞","[中部 :SBS沼津ヘリポート、SBS静岡ヘリポート、浜松市消防ヘリポート、山梨県警察ヘリポート、山梨県立中央病院ヘリポート、日本航空学園双葉ヘリポート、佐久総合病院佐久医療センターヘリポート、富山県立中央病院ヘリポート、富山市民病院ヘリポート、砺波総合病院ヘリポート、高岡市民病院屋上ヘリポート、石川県警察ヘリポート、白山ヘリポート、福井県立病院ヘリポート、岐阜県総合医療センターヘリポート、大垣市民病院ヘリポート、岐阜県立多治見病院ヘリポート、岐阜県警察ヘリポート、中濃厚生病院ヘリポート、愛知県警察ヘリポート、トヨタ名駅ヘリポート、アルペン丸の内ヘリポート、アイシン安城ヘリポート、三重県警察ヘリポート、三重県立志摩病院ヘリポート、三重県立総合医療センターヘリポート] 静岡新聞 （しずおかしんぶん）は、静岡新聞社（ 静岡県 静岡市 駿河区 ）が発行する 地方紙 である。略称は「 静新 （しずしん）」。","https://ja.wikipedia.org/wiki/静岡新聞","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度57分36.619秒 東経138度24分17.668秒","","日刊紙","","","","","","","","","","","","","","","","",""
"滋賀県警察","[近畿 :滋賀県警察ヘリポート、滋賀県警察本部ヘリポート、大阪航空日野ヘリポート、京都府警察ヘリポート、京都府ヘリポート、京都消防ヘリポート、大阪府警察本部ヘリポート、NHK大阪ヘリポート、兵庫県庁ヘリポート、兵庫県警察ヘリポート、兵庫県立災害医療センターヘリポート、神戸消防ヘリポート、NTT神戸中央ビルヘリポート、三木防災ヘリポート、明石川崎ヘリポート、和歌山県立医科大学附属病院ヘリポート、島精機ヘリポート、小倉C・Cヘリポート、紀南ヘリポート] 警察署 数は12。警察車両の ナンバー 地名はすべて「 滋賀 」である。","https://ja.wikipedia.org/wiki/滋賀県警察","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度0分27秒 東経135度52分22.9秒","滋賀県大津市打出浜1番10号","","","","","","","","","","","","","","","","","",""
"島根県立中央病院","[中国 :島根県立中央病院ヘリポート、岡山県庁ヘリポート、NHK広島ヘリポート、周南ヘリポート] 島根県立中央病院 （しまねけんりつちゅうおうびょういん）は、 島根県 出雲市 姫原町にある医療機関。島根県病院事業の設置等に関する条例（昭和41年12月23日島根県条例第61号）により設置された県立の 病院 である。","https://ja.wikipedia.org/wiki/島根県立中央病院","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度22分30秒東経132度45分17秒","〒693-8555島根県出雲市姫原町四丁目1番地1","","","","","","","","","","","","","","","","","",""
"徳島県警察","[四国 :徳島県警察ヘリポート、高知県警察本部ヘリポート、高知医療センターヘリポート、土佐清水ヘリポート] 徳島県警察 （とくしまけんけいさつ）は、 徳島県 が設置した 警察 組織。徳島県内を管轄区域とし、 徳島県警 と略称する。 警察法 上、 徳島県公安委員会 の管理を受けるが、 給与 支払者は 徳島県知事 である。 警察庁 中国四国管区警察局 管内。本部所在地は 徳島市 万代町 二丁目5番地1。シンボルマスコットはうずしお君。","https://ja.wikipedia.org/wiki/徳島県警察","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","徳島県徳島市万代町2丁目5番地1","","","","","","","","","","","","","","","","","",""
"NHK福岡","[九州 : 西日本ヘリポート、NHK福岡ヘリポート、福岡県済生会福岡総合病院ヘリポート、福岡和白病院ヘリポート、九州大学病院ヘリポート、福岡市立こども病院ヘリポート、久留米大学ヘリポート、聖マリア病院ヘリポート、佐賀大学医学部附属病院ヘリポート、長崎医療センターヘリポート、宮崎病院ヘリポート、熊本県警察ヘリポート、済生会熊本病院ヘリポート、大分県庁ヘリポート、米盛病院ヘリポート、沖縄県警察ヘリポート] NHK福岡放送局 （エヌエイチケイふくおかほうそうきょく）は、 福岡県 の西部（ 福岡地方 ・ 筑後地方 ）を 放送対象地域 とする 日本放送協会 （NHK）の 地域放送局 である。現在の正式名称は NHK福岡拠点放送局 である  が、従来の\"拠点\"を省いた名称も広く使用されている。","https://ja.wikipedia.org/wiki/NHK福岡","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度34分54秒 東経130度22分46秒","〒810-8577","","","","","","","","","","","","","","","","","",""
