"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","交差物件","全長","形式","幅","建設","最大支間長","材料","路線名","用途","高さ","管理者","開通","竣工","着工","施工者","起点","終点"
"日本橋 (福島県)","[日本橋（ひもと、郡山市・本宮市）] 日本橋 （ひもとばし）は、 福島県 郡山市 と 本宮市 に跨る 道路橋 である。 国道4号 あさか野バイパス を通す。","https://ja.wikipedia.org/wiki/日本橋_(福島県)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度28分35.2秒東経140度22分43.1秒","福島県郡山市・本宮市","日本","五百川","158.0m（上り）、161.6 m（下り）","鋼連続箱桁橋","12.25 m×2","","","","国道4号あさか野バイパス","道路橋","","","1998年（上り）、2000年（下り）","","","","",""
"大仏橋","[大仏橋（福島市）] 大仏橋 （おさらぎばし）は、 福島県 福島市 にある 道路橋 である。","https://ja.wikipedia.org/wiki/大仏橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度45分1.5秒 東経140度28分17.4秒","","","","","","","","","","","","","","","","","","",""
"松齢橋","[松齢橋（福島市）] 松齢橋 （しょうれいばし）は、 福島県 福島市 にある 道路橋 である。","https://ja.wikipedia.org/wiki/松齢橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度45分2.2秒 東経140度28分19.8秒","","","","","","","","","","","","","","","","","","",""
"弁天橋","[弁天橋（福島市）] 弁天橋 （べんてんばし）とよばれる 橋 は日本全国に存在する。","https://ja.wikipedia.org/wiki/弁天橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"十綱橋","[十綱橋（福島市）] 十綱橋 （とつなばし）は 福島県 福島市 にある 摺上川 に架かる 橋 である。","https://ja.wikipedia.org/wiki/十綱橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度49分50.4秒 東経140度27分18.4秒","","","","","","","","","","","","","","","","","","",""
"新飯野橋","[新飯野橋（福島市・二本松市）] 新飯野橋 （しんいいのばし）は、 福島県 福島市 と 二本松市 に跨る 道路橋 である。","https://ja.wikipedia.org/wiki/新飯野橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度38分50.7秒 東経140度31分36.4秒","","","","","","","","","","","","","","","","","","",""
"鮫川大橋","[鮫川大橋（いわき市）] 鮫川大橋 （さめかわおおはし）は、 福島県 いわき市 の 鮫川 にかかる 国道6号 常磐バイパス の 橋 。当項目では旧道にあたる 鮫川橋 も扱う。","https://ja.wikipedia.org/wiki/鮫川大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度54分45.0秒 東経140度47分33.7秒","","","","","","","","","","","","","","","","","","",""
"阿賀野川釜ノ脇橋梁","[阿賀野川釜ノ脇橋梁（喜多方市）、阿賀野川徳沢橋梁（耶麻郡西会津町・新潟県東蒲原郡阿賀町） - 2橋とも、カレンチレバー橋として日本初] 阿賀野川釜ノ脇橋梁 （あがのがわかまのわききょうりょう）は、 福島県 喜多方市 の 阿賀川 に架かる 東日本旅客鉄道 （JR東日本） 磐越西線 の 鉄道橋 である。","https://ja.wikipedia.org/wiki/阿賀野川釜ノ脇橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度36分47.9秒東経139度42分9.8秒","福島県喜多方市","日本","阿賀川","158.800 m","トラス橋","","","90.678 m","鋼","磐越西線","鉄道橋","","東日本旅客鉄道","1913年（大正2年）8月1日","","","アメリカン・ブリッジ","",""
"荒川 (関東)","[荒川 (関東)#橋梁] 荒川 （あらかわ）は、 埼玉県 および 東京都 を流れ 東京湾 に注ぐ 河川 である。 一級水系 である荒川水系の本流で 一級河川 に指定されている。 水系 として、流路延長173 km 、 流域面積 2,940 km 2 。川幅（両岸の 堤防 間の 距離 ）は 御成橋 （埼玉県 鴻巣市 ・ 吉見町 ）付近で2,537 m になり、 日本最大 である   。 江戸時代 に行われた 河川改修 である荒川西遷事業により流れを変えられた歴史を持つ。","https://ja.wikipedia.org/wiki/荒川_(関東)#橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"江戸川","[江戸川#橋梁] 江戸川 （えどがわ）は、 関東地方 を流れる 一級河川 。 利根川 水系 の分流（ 派川 ）である。流路延長59.5km（旧江戸川河口より）、 流域面積 約200 km 2 。流域は、 茨城県 、 埼玉県 、 千葉県 、 東京都 の1都3県におよぶ。","https://ja.wikipedia.org/wiki/江戸川#橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度40分14秒 東経139度57分02秒","","","","","","","","","","","","","","","","","","",""
"鶴見川","[鶴見川#橋梁] 鶴見川 （つるみがわ）は、 東京都 および 神奈川県 を流れる 川 。鶴見川水系の幹川で、 一級河川 に指定されている。 東京都 町田市 上小山田町 の泉を源流とし、神奈川県 横浜市 鶴見区 の河口から 東京湾 に注ぐ。全長42.5 km 、流域面積235 km 2 、支川数は10。 2005年 （平成17年）4月に 特定都市河川 に指定された。","https://ja.wikipedia.org/wiki/鶴見川#橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"渡良瀬川","[渡良瀬川#橋梁] 渡良瀬川 （わたらせがわ）は、 北関東 を流れる 利根川 水系 利根川支流の 一級河川 である。流路延長107.6kmは利根川の支流中で、 鬼怒川 、 小貝川 に次いで第3位の長さを持つ。流域面積2,621km 2 は利根川の支流中では最大である。","https://ja.wikipedia.org/wiki/渡良瀬川#橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"Template:利根川の橋","[Template:利根川の橋] (源流 大水上山 ) - ( 矢木沢ダム ) - 矢木沢ダム作業橋 - ビンズル橋 - 須田貝ダム - 屋倉橋 - 須田貝発電所 設備巡視用吊り橋 - (水上発電所取水堰) - 奥利根橋 - 宝川橋 - 藤原湖大橋 - ( 藤原ダム ) - 藤原橋 - ( 林道 の橋) - (小森ダム) - (導水管) - 向山橋 - 旧向山橋 - 廣瀬橋 - (小松発電所堰) - 第八利根川橋梁（ 上越線 ） - 紅葉峡遊歩道橋 - 大鹿橋 - 第七利根川橋梁（上越線） - 第六利根川橋梁（上越線） - 谷川橋 - 水上諏訪原公園吊り橋 - 湯原橋 - 水上橋 - 紅葉橋 - 笹笛橋 - 諏訪峡大橋 - 銚子橋 - 吾妻橋 - 上牧夢のブリッジ - 利根橋 - (岩本発電所取水堰) - 辧天橋 - 大峰橋 - 矢瀬橋 - 月夜野橋 - ふれあい橋 - 月夜野大橋 - 地蔵橋 - 沼田大橋 - 鷺石橋 - 新鷺石橋 - 第五利根川橋梁（上越線） - 戸鹿野橋 - 久呂保橋 - ( 綾戸ダム ) - 第四利根川橋梁（上越線） - (綾戸橋) - 第三利根川橋梁（上越線） - 第二利根川橋梁（上越線） - 利根川サイホン水管橋 - 敷島橋 - 宮田橋 - 第一利根川橋梁（上越線） - 大正橋 - 利根川橋（ 関越自動車道 ） - 坂東橋 - 新坂東橋 - 上毛大橋 - 大渡橋 - 中央大橋 - 群馬大橋 - 利根橋 - 利根川橋梁（ 両毛線 ） - 平成大橋 - 南部大橋 - 昭和大橋 - 横手大橋 - 利根川橋（ 北関東自動車道 ） - 福島橋 - 玉村大橋 - 伊勢玉大橋 - 五料橋 - 坂東大橋 - （ 島村渡船 ） - 上武大橋 - 新上武大橋 - 刀水橋 - （ 赤岩渡船 ） - 武蔵大橋 - 昭和橋 - 利根川橋梁（ 東武伊勢崎線 ） - ( 千津井下の渡し ) - 利根川橋（ 東北自動車道 ） - 埼玉大橋 - 利根川橋梁（ 東武日光線 ） - 利根川橋梁 （ 東北本線 ） - 利根川橋 （ 国道4号 ） - 利根川橋梁（ 東北新幹線 ） - 新利根川橋 （国道4号） - (境の渡し) - 圏央利根川橋 - 境大橋 - 下総利根大橋 - 芽吹大橋 - (利根運河分岐点) - 利根川橋（常磐自動車道） - 利根川橋梁（ つくばエクスプレス ） - 新大利根橋 - 大利根橋 （ 国道6号 ） - 常磐線利根川橋梁 - ( 小堀の渡し ) - 栄橋 - 若草大橋 - 長豊橋 - 常総大橋 - 新利根川橋（ 首都圏中央連絡自動車道 ） - 神崎大橋 - 水郷大橋 - (横利根川合流点) - 鹿島線利根川橋梁 - 利根川橋 （ 東関東自動車道 ） - ( 富田渡船 ) - 小見川大橋 - 利根川大橋 - (常陸利根川合流点) - 利根かもめ大橋 - 銚子大橋 - (河口 太平洋 )","https://ja.wikipedia.org/wiki/Template:利根川の橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"若草大橋","[若草大橋（利根町、千葉県栄町）] 若草大橋有料道路 （わかくさおおはしゆうりょうどうろ）は、 千葉県 印旛郡 栄町 と 茨城県 北相馬郡 利根町 を 利根川 を跨いで結ぶ、 茨城県道路公社 管理の 有料道路 である。","https://ja.wikipedia.org/wiki/若草大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度51分43秒 東経140度12分28秒","","","","","","","","","","","","","","","","","","",""
"水郷大橋","[水郷大橋（稲敷市、千葉県香取市）] 水郷大橋 （すいごうおおはし）は、 国道51号 の 利根川 に架かる橋長535.25 メートル の 斜張橋 である。 千葉県 香取市 と 茨城県 稲敷市 を結ぶ。","https://ja.wikipedia.org/wiki/水郷大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度54分29秒 東経140度29分27秒","","","","","","","","","","","","","","","","","","",""
"海門橋","[海門橋（ひたちなか市、東茨城郡大洗町）] 海門橋 （かいもんばし）は、 一級河川 那珂川 の河口付近を渡河し、 茨城県 ひたちなか市 海門町 と同県 東茨城郡 大洗町 磯浜町とを結ぶ道路橋  。橋長407.8  m  、幅員7.5  +2.0 m、鋼単純下路 ランガー 、鋼単純合成鈑桁の道路橋。史上3回落橋しており、現在の橋は5代目にあたる  。","https://ja.wikipedia.org/wiki/海門橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度20分10.1秒東経140度35分26.6秒","（右岸）茨城県ひたちなか市（左岸）茨城県東茨城郡大洗町","日本","那珂川","407.8 m","単純下路ランガー、単純合成鈑桁","（竣工時）7.5 m（歩道追加後）9.0 m","","90 m","鋼","茨城県道108号那珂湊大洗線","道路橋","","茨城県","1959年7月20日","1959年6月30日","1957年3月27日","日本道路公団","",""
"古分屋敷橋","[古分屋敷橋（久慈郡大子町）] 古分屋敷橋 （こぶやしきばし）は、 茨城県 久慈郡 大子町 にある 奥久慈パノラマライン の 橋 である。","https://ja.wikipedia.org/wiki/古分屋敷橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度42分51.2秒 東経140度25分12.2秒","","","","","","","","","","","","","","","","","","",""
"岩井橋 (渡良瀬川)","[岩井橋 (渡良瀬川)] 岩井橋 （いわいばし）は 栃木県 足利市 寿町と同市岩井町の中洲を結ぶ 渡良瀬川 の 橋 。足利市道岩井橋通り線 を通す。橋長253.9m、幅員5.5m  。","https://ja.wikipedia.org/wiki/岩井橋_(渡良瀬川)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度19分25.4秒 東経139度27分45.5秒","","","","","","","","","","","","","","","","","","",""
"田中橋 (渡良瀬川)","[田中橋 (渡良瀬川)] 田中橋 （たなかばし）は、 栃木県 足利市 の 渡良瀬川 に架かる 橋 である。","https://ja.wikipedia.org/wiki/田中橋_(渡良瀬川)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度19分44.4秒 東経139度27分12.7秒","","","","","","","","","","","","","","","","","","",""
