"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"西相生駅","西相生駅（にしあいおいえき）","https://ja.wikipedia.org/wiki/西相生駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度48分5.67秒東経134度27分3.45秒","A赤穂線","3.0km（相生起点）姫路から23.7km大阪から111.6 km","西日本旅客鉄道（JR西日本）","地上駅（盛土上）[1]","1951年（昭和26年）12月12日[2]","兵庫県相生市千尋町22[1]北緯34度48分5.67秒東経134度27分3.45秒﻿ / ﻿北緯34.8015750度 東経134.4509583度﻿ /34.8015750; 134.4509583座標:北緯34度48分5.67秒東経134度27分3.45秒﻿ / ﻿北緯34.8015750度 東経134.4509583度﻿ /34.8015750; 134.4509583","1面1線[1]","業務委託駅[1]POS端末設置","","ニイ","867人/日（降車客含まず）-2019年-","","","","","","","",""
"西青山駅","西青山駅（にしあおやまえき）","https://ja.wikipedia.org/wiki/西青山駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度40分35.48秒東経136度14分16.75秒","D大阪線","83.8 km（大阪上本町起点）","近畿日本鉄道（近鉄）","高架駅","1930年（昭和5年）12月20日","三重県伊賀市伊勢路字青山1353-4北緯34度40分35.48秒東経136度14分16.75秒﻿ / ﻿北緯34.6765222度 東経136.2379861度﻿ /34.6765222; 136.2379861座標:北緯34度40分35.48秒東経136度14分16.75秒﻿ / ﻿北緯34.6765222度 東経136.2379861度﻿ /34.6765222; 136.2379861","2面2線","無人駅"," D55 ","ニア","26人/日（降車客含まず）-2019年-","","","","","","","",""
"西明石駅","西明石駅（にしあかしえき）","https://ja.wikipedia.org/wiki/西明石駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度40分0.67秒東経134度57分37.94秒","山陽新幹線","59.7km（新大阪起点）東京から612.3 km","西日本旅客鉄道（JR西日本）","高架駅（新幹線）[1]地上駅（橋上駅）（在来線）[2]","1944年（昭和19年）4月1日*[2]","兵庫県明石市小久保二丁目7-20[1][2]北緯34度40分0.67秒東経134度57分37.94秒﻿ / ﻿北緯34.6668528度 東経134.9605389度﻿ /34.6668528; 134.9605389座標:北緯34度40分0.67秒東経134度57分37.94秒﻿ / ﻿北緯34.6668528度 東経134.9605389度﻿ /34.6668528; 134.9605389","2面4線(うち2線は番号付番無しの通過線)（新幹線）[1]3面6線（在来線）[2]","直営駅[1][2]（管理駅）みどりの窓口有","JR-A74","ニア","32,049人/日（降車客含まず）-2019年-","","","","","","","",""
"西吾野駅","西吾野駅（にしあがのえき）","https://ja.wikipedia.org/wiki/西吾野駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度55分35.02秒東経139度12分7.9秒","■西武秩父線","3.6 km（吾野起点）池袋から61.4 km","西武鉄道","地上駅","1969年（昭和44年）10月14日","埼玉県飯能市吾野下ノ平579北緯35度55分35.02秒東経139度12分7.9秒﻿ / ﻿北緯35.9263944度 東経139.202194度﻿ /35.9263944; 139.202194﻿ (西吾野駅)座標:北緯35度55分35.02秒東経139度12分7.9秒﻿ / ﻿北緯35.9263944度 東経139.202194度﻿ /35.9263944; 139.202194﻿ (西吾野駅)","1面2線","","SI32","","","343人/日-2019年-","","","","","","",""
"西海鹿島駅","西海鹿島駅（にしあしかじまえき）","https://ja.wikipedia.org/wiki/西海鹿島駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度43分31.5秒東経140度51分35.3秒","■銚子電気鉄道線","3.2 km（銚子起点）","銚子電気鉄道","地上駅","1970年（昭和45年）3月1日","千葉県銚子市海鹿島町5212北緯35度43分31.5秒東経140度51分35.3秒座標:北緯35度43分31.5秒 東経140度51分35.3秒","1面1線","無人駅","CD06","","30人/日（降車客含まず）-2018年-","","","","","","","",""
"西阿知駅","西阿知駅（にしあちえき）","https://ja.wikipedia.org/wiki/西阿知駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度35分9.4秒東経133度43分39.70秒","W山陽本線","163.3 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅","1920年（大正9年）5月25日","岡山県倉敷市西阿知町1049北緯34度35分9.4秒東経133度43分39.70秒﻿ / ﻿北緯34.585944度 東経133.7276944度﻿ /34.585944; 133.7276944座標:北緯34度35分9.4秒東経133度43分39.70秒﻿ / ﻿北緯34.585944度 東経133.7276944度﻿ /34.585944; 133.7276944","1面2線","無人駅[1]みどりの券売機設置駅","JR-W06","ニア","3,185人/日（降車客含まず）-2019年-","","","","","","","",""
"西新井駅","西新井駅（にしあらいえき）","https://ja.wikipedia.org/wiki/西新井駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度46分38秒東経139度47分25.6秒","■伊勢崎線（東武スカイツリーライン）","11.3 km（浅草起点）","東武鉄道","地上駅","1899年（明治32年）8月27日","東京都足立区西新井栄町二丁目1-1北緯35度46分38秒東経139度47分25.6秒﻿ / ﻿北緯35.77722度 東経139.790444度﻿ /35.77722; 139.790444座標:北緯35度46分38秒東経139度47分25.6秒﻿ / ﻿北緯35.77722度 東経139.790444度﻿ /35.77722; 139.790444","3面6線","","TS13","ニシ","","66,712人/日-2019年-","","","","","","",""
"西新井大師西駅","西新井大師西駅（にしあらいだいしにしえき）","https://ja.wikipedia.org/wiki/西新井大師西駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度46分53.3秒東経139度46分12.2秒","日暮里・舎人ライナー","6.0 km（日暮里起点）","東京都交通局","高架駅","2008年（平成20年）3月30日[1]","東京都足立区江北六丁目30-23北緯35度46分53.3秒東経139度46分12.2秒﻿ / ﻿北緯35.781472度 東経139.770056度﻿ /35.781472; 139.770056﻿ (西新井大師西駅)座標:北緯35度46分53.3秒東経139度46分12.2秒﻿ / ﻿北緯35.781472度 東経139.770056度﻿ /35.781472; 139.770056﻿ (西新井大師西駅)","1面2線","無人駅","NT09","新（駅名略称）","","12,163人/日-2019年-","","","","","","",""
"西有田駅","西有田駅（にしありたえき）","https://ja.wikipedia.org/wiki/西有田駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度12分36.35秒東経129度51分0.01秒","■西九州線","4.8 km（有田起点）","松浦鉄道","地上駅","1996年（平成8年）3月16日","佐賀県西松浦郡有田町立部北緯33度12分36.35秒東経129度51分0.01秒","1面1線","","","","48人/日（降車客含まず）-2017年-","122人/日-2017年-","","","","","","",""
"西粟倉駅","西粟倉駅（にしあわくらえき）","https://ja.wikipedia.org/wiki/西粟倉駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度9分39.7秒東経134度20分9秒","智頭線","37.4 km（上郡起点）","智頭急行","高架駅","1994年（平成6年）12月3日","岡山県英田郡西粟倉村長尾794-3北緯35度9分39.7秒東経134度20分9秒﻿ / ﻿北緯35.161028度 東経134.33583度﻿ /35.161028; 134.33583座標:北緯35度9分39.7秒東経134度20分9秒﻿ / ﻿北緯35.161028度 東経134.33583度﻿ /35.161028; 134.33583","1面1線","無人駅","","ニシ","","5人/日-2018年-","","","","","","",""
"西諫早駅","西諫早駅（にしいさはやえき）","https://ja.wikipedia.org/wiki/西諫早駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯32度50分23.49秒東経130度1分16.03秒","■長崎本線","103.2 km（鳥栖起点）","九州旅客鉄道（JR九州）","地上駅","1985年（昭和60年）3月14日","長崎県諫早市馬渡町8-2北緯32度50分23.49秒東経130度1分16.03秒﻿ / ﻿北緯32.8398583度 東経130.0211194度﻿ /32.8398583; 130.0211194﻿ (西諫早駅)","2面2線","業務委託駅","","ニハ","1,149人/日（降車客含まず）-2018年-","","","","","","","",""
"西出水駅","西出水駅（にしいずみえき・肥薩おれんじ鉄道線）","https://ja.wikipedia.org/wiki/西出水駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯32度4分31.11秒東経130度20分21.07秒","肥薩おれんじ鉄道線","68.3km(八代起点）300.6 km（門司港起点）","肥薩おれんじ鉄道","地上駅","1923年（大正12年）10月15日","鹿児島県出水市西出水町北緯32度4分31.11秒東経130度20分21.07秒﻿ / ﻿北緯32.0753083度 東経130.3391861度﻿ /32.0753083; 130.3391861座標:北緯32度4分31.11秒東経130度20分21.07秒﻿ / ﻿北緯32.0753083度 東経130.3391861度﻿ /32.0753083; 130.3391861","島式 1面2線","簡易委託駅（平日朝夕のみ）","OR17","オレニミ","253人/日（降車客含まず）-2018年-","","","","","","","",""
"西泉駅","西泉駅（にしいずみえき・北陸鉄道石川線）","https://ja.wikipedia.org/wiki/西泉駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度33分12.35秒東経136度38分1.01秒","■石川線","1.0 km（野町起点）","北陸鉄道","地上駅","1934年（昭和9年）12月1日","石川県金沢市泉本町7丁目11-1北緯36度33分12.35秒東経136度38分1.01秒﻿ / ﻿北緯36.5534306度 東経136.6336139度﻿ /36.5534306; 136.6336139座標:北緯36度33分12.35秒東経136度38分1.01秒﻿ / ﻿北緯36.5534306度 東経136.6336139度﻿ /36.5534306; 136.6336139","単式 1面1線","","○I02","","","244人/日-2017年-","","","","","","",""
"西出雲駅","西出雲駅（にしいずもえき）","https://ja.wikipedia.org/wiki/西出雲駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度20分5.62秒東経132度43分18.54秒","D山陰本線","389.4 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1913年（大正2年）11月21日","島根県出雲市知井宮町嘉儀985北緯35度20分5.62秒東経132度43分18.54秒﻿ / ﻿北緯35.3348944度 東経132.7218167度﻿ /35.3348944; 132.7218167﻿ (西出雲駅*)","1面2線","無人駅（自動券売機 有）*1993年に知井宮駅から改称[1]。","","ニモミチ（知井宮駅時代）","284人/日（降車客含まず）-2018年-","","","","","","","",""
"西一宮駅","西一宮駅（にしいちのみやえき）","https://ja.wikipedia.org/wiki/西一宮駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度18分26.8秒東経136度47分32秒","尾西線","26.0 km（弥富起点）","名古屋鉄道","高架駅","1914年（大正3年）8月4日","愛知県一宮市天王一丁目3-1北緯35度18分26.8秒東経136度47分32秒﻿ / ﻿北緯35.307444度 東経136.79222度﻿ /35.307444; 136.79222座標:北緯35度18分26.8秒東経136度47分32秒﻿ / ﻿北緯35.307444度 東経136.79222度﻿ /35.307444; 136.79222","1面1線","無人駅管理駅：名鉄一宮駅","BS  21 ","","","475人/日-2019年[1]-","","","","","","",""
"西岩国駅","西岩国駅（にしいわくにえき）","https://ja.wikipedia.org/wiki/西岩国駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度9分46.16秒東経132度11分42.57秒","■岩徳線（■錦川鉄道錦川清流線直通含む）","3.7 km（岩国起点）","西日本旅客鉄道（JR西日本）","地上駅","1929年（昭和4年）4月5日","山口県岩国市錦見六丁目15-3北緯34度9分46.16秒東経132度11分42.57秒﻿ / ﻿北緯34.1628222度 東経132.1951583度﻿ /34.1628222; 132.1951583座標:北緯34度9分46.16秒東経132度11分42.57秒﻿ / ﻿北緯34.1628222度 東経132.1951583度﻿ /34.1628222; 132.1951583","2面2線","簡易委託駅*1942年に岩国駅から改称。","","ニイ","373人/日（降車客含まず）-2019年-","","","","","","","",""
"西上田駅","西上田駅（にしうえだえき）","https://ja.wikipedia.org/wiki/西上田駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度25分2.15秒東経138度12分30.84秒","■しなの鉄道線","44.4 km（軽井沢起点）","しなの鉄道日本貨物鉄道（JR貨物）","地上駅","1920年（大正9年）6月1日[1]","長野県上田市下塩尻[1]341-2北緯36度25分2.15秒東経138度12分30.84秒﻿ / ﻿北緯36.4172639度 東経138.2085667度﻿ /36.4172639; 138.2085667座標:北緯36度25分2.15秒東経138度12分30.84秒﻿ / ﻿北緯36.4172639度 東経138.2085667度﻿ /36.4172639; 138.2085667","2面3線[1]","終日駅員配置[1]標高：421m[1]","","ニシ[1]キシ（改称前）","978人/日（降車客含まず）-2017年-","1,959人/日-2017年-","","","","","","",""
"西魚津駅","西魚津駅（にしうおづえき）","https://ja.wikipedia.org/wiki/西魚津駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度48分14.89秒東経137度23分41.13秒","■本線","27.6 km（電鉄富山起点）","富山地方鉄道","地上駅","1936年（昭和11年）6月5日","富山県魚津市住吉3363-7北緯36度48分14.89秒東経137度23分41.13秒﻿ / ﻿北緯36.8041361度 東経137.3947583度﻿ /36.8041361; 137.3947583﻿ (西魚津駅)座標:北緯36度48分14.89秒東経137度23分41.13秒﻿ / ﻿北緯36.8041361度 東経137.3947583度﻿ /36.8041361; 137.3947583﻿ (西魚津駅)","2面2線","","T22","","74人/日（降車客含まず）-2017年-","","","","","","","",""
"西梅田駅","西梅田駅（にしうめだえき）","https://ja.wikipedia.org/wiki/西梅田駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度41分58.5秒東経135度29分44.4秒","●四つ橋線","0.0 km（西梅田起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1965年（昭和40年）10月1日","大阪市北区梅田二丁目北緯34度41分58.5秒東経135度29分44.4秒﻿ / ﻿北緯34.699583度 東経135.495667度﻿ /34.699583; 135.495667﻿ (西梅田駅)座標:北緯34度41分58.5秒東経135度29分44.4秒﻿ / ﻿北緯34.699583度 東経135.495667度﻿ /34.699583; 135.495667﻿ (西梅田駅)","1面2線",""," Y11 ","","49,996人/日（降車客含まず）-2020年-","95,280人/日-2020年-","梅田駅（地下鉄御堂筋線）東梅田駅（地下鉄谷町線）大阪梅田駅（阪急神戸本線・宝塚本線・京都本線）大阪梅田駅（阪神本線）大阪駅（JR神戸線・JR京都線・大阪環状線）北新地駅（JR東西線）","","","","","",""
"西浦駅","西浦駅（にしうらえき）","https://ja.wikipedia.org/wiki/西浦駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度47分23.7秒東経137度10分42.8秒","蒲郡線","10.5 km（吉良吉田起点）","名古屋鉄道","地上駅","1936年（昭和11年）7月24日","愛知県蒲郡市西浦町馬々48-1北緯34度47分23.7秒東経137度10分42.8秒﻿ / ﻿北緯34.789917度 東経137.178556度﻿ /34.789917; 137.178556座標:北緯34度47分23.7秒東経137度10分42.8秒﻿ / ﻿北緯34.789917度 東経137.178556度﻿ /34.789917; 137.178556","1面2線","駅員無配置駅","GN  18 ","","","776人/日-2019年-","","","","","","",""
