"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","公式サイト","事業主体","位置","専門分野","管理運営","学校種別","設置者","本部所在地","学部","ウェブサイト","面積","研究科","正式名称","前身","キャンパス","分類","運営者"
"東山動植物園","[東山植物園（愛知県名古屋市千種区）] 東山動植物園 （ひがしやまどうしょくぶつえん）は、 愛知県 名古屋市 千種区 東山元町 の 東山公園 内にある市営動植物園。 1937年 （ 昭和 12年）に開園した。","https://ja.wikipedia.org/wiki/東山動植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度9分16.28秒東経136度58分52.97秒","〒464-0804愛知県名古屋市千種区東山元町3-70東山動植物園 (愛知県)愛知県の地図を表示東山動植物園 (名古屋市)名古屋市の地図を表示","1937年（昭和12年）3月","公式ウェブサイト（日本語）","","北緯35度9分16.28秒東経136度58分52.97秒﻿ / ﻿北緯35.1545222度 東経136.9813806度﻿ /35.1545222; 136.9813806座標:北緯35度9分16.28秒東経136度58分52.97秒﻿ / ﻿北緯35.1545222度 東経136.9813806度﻿ /35.1545222; 136.9813806","総合","名古屋市緑政土木局東山総合公園","","","","","","","","名古屋市東山公園 動植物園","名古屋市立鶴舞公園付属動物園","","",""
"名古屋市緑化センター (存在しないページ)","[名古屋市緑化センター（愛知県名古屋市昭和区）]","https://ja.wikipedia.org/w/index.php?title=名古屋市緑化センター&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安城産業文化公園デンパーク","[安城産業文化公園デンパーク（愛知県安城市）] 安城産業文化公園デンパーク （あんじょうさんぎょうぶんかこうえん デンパーク）は、 公益財団法人 安城都市農業振興協会が指定管理者となり管理運営を行う 愛知県 安城市 の市立公園である  。正式名称は「安城産業文化公園」で、愛称が「デンパーク」   。名称は、一般公募により決定し、戦前における安城市の異名「日本デンマーク」  と公園を意味する英語「パーク」に由来するが、「デン」には「田園」や「伝統」の意も込められている  。","https://ja.wikipedia.org/wiki/安城産業文化公園デンパーク","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度55分48.78秒東経137度3分38.68秒","〒446-0046愛知県安城市赤松町梶1","1997年（平成9年）4月29日","http://denpark.jp/","安城市","北緯34度55分48.78秒東経137度3分38.68秒﻿ / ﻿北緯34.9302167度 東経137.0607444度﻿ /34.9302167; 137.0607444座標:北緯34度55分48.78秒東経137度3分38.68秒﻿ / ﻿北緯34.9302167度 東経137.0607444度﻿ /34.9302167; 137.0607444","","公益財団法人安城都市農業振興協会（指定管理者）","","","","","","131,000m2","","","","","",""
"豊橋総合動植物公園","[豊橋総合動植物公園（愛知県豊橋市）] 豊橋総合動植物公園 （とよはしそうごうどうしょくぶつこうえん）は、愛知県豊橋市にある動物園・植物園・遊園地・ 自然史博物館 の4ゾーンで構成される複合施設であり、愛称は『 のんほいパーク 』。「のん」（ですね）と「ほい」（やあ、おい）は 東三河地方の方言 。","https://ja.wikipedia.org/wiki/豊橋総合動植物公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度43分16秒東経137度25分55秒","〒441-3147愛知県豊橋市大岩町字大穴1-238","","","","","","総合動植物公園管理事務所財団法人豊橋みどりの協会","","","","","","","","","","","",""
"草津市立水生植物公園みずの森","[草津市立水生植物公園みずの森（滋賀県草津市）] 草津市立水生植物公園みずの森 （くさつしりつすいせいしょくぶつこうえんみずのもり）は、 滋賀県 草津市 の 烏丸半島 にある 植物園 である。 1996年 （平成8年）に開園した、面積3.7haの小さな植物園。","https://ja.wikipedia.org/wiki/草津市立水生植物公園みずの森","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度04分27秒 東経135度56分26秒","","","","","","","","","","","","","","","","","","",""
"京都府立植物園","[京都府立植物園（京都府京都市左京区）] 京都府立植物園 （きょうとふりつしょくぶつえん）とは、 京都市 左京区 にある 植物園 。","https://ja.wikipedia.org/wiki/京都府立植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度2分53.7秒東経135度45分39.86秒","〒606-0823京都府京都市左京区下鴨半木町","1924年1月1日","京都府立植物園","京都府","北緯35度2分53.7秒東経135度45分39.86秒﻿ / ﻿北緯35.048250度 東経135.7610722度﻿ /35.048250; 135.7610722座標:北緯35度2分53.7秒東経135度45分39.86秒﻿ / ﻿北緯35.048250度 東経135.7610722度﻿ /35.048250; 135.7610722","総合","京都府","","","","","","","","京都府立植物園","","","",""
"宇治市植物公園","[宇治市植物公園（京都府宇治市）] 宇治市植物公園 （うじししょくぶつこうえん）は、 京都府 宇治市 にある 植物園 。面積10ヘクタールの敷地に約1,450種類、約3,200本の 植物 が植えられている。山野草展、木の実展、春蘭展など、植物に関するさまざまな展示会を年間25回展示開催している。","https://ja.wikipedia.org/wiki/宇治市植物公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","〒611-0031京都府宇治市広野町八軒屋谷25-1","1996年10月26日","宇治市植物公園","宇治市","","総合","宇治市公園公社","","","","","","","","","","","",""
"大阪市立長居植物園","[大阪市立長居植物園（大阪府大阪市住吉区）] 大阪市立長居植物園 （おおさかしりつながいしょくぶつえん）は、 大阪府 大阪市 東住吉区 の 長居公園 内にある 大阪市 立の 植物園 。","https://ja.wikipedia.org/wiki/大阪市立長居植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度36分37.8秒東経135度31分17.7秒","〒546－0034大阪府大阪市東住吉区長居公園1-23","1974年4月","","大阪市","北緯34度36分37.8秒東経135度31分17.7秒﻿ / ﻿北緯34.610500度 東経135.521583度﻿ /34.610500; 135.521583座標:北緯34度36分37.8秒東経135度31分17.7秒﻿ / ﻿北緯34.610500度 東経135.521583度﻿ /34.610500; 135.521583","植物","（一財）大阪スポーツみどり財団（わくわくパークプロジェクトチーム）","","","","","","","","","","","",""
"大阪府立花の文化園","[大阪府立花の文化園（大阪府河内長野市）] 大阪府立花の文化園 （おおさかふりつはなのぶんかえん、英:Osaka Prefectural Flower Garden）は、 大阪府 河内長野市 にある 植物園 である。","https://ja.wikipedia.org/wiki/大阪府立花の文化園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度26分3.4秒東経135度33分12.6秒","〒586-0036大阪府河内長野市高向2292-1","1990年9月","","大阪府","北緯34度26分3.4秒東経135度33分12.6秒﻿ / ﻿北緯34.434278度 東経135.553500度﻿ /34.434278; 135.553500","植物","住友林業緑化・E-DESIGN共同企業体","","","","","","","","","","","",""
"咲くやこの花館","[咲くやこの花館（大阪府大阪市鶴見区）] 咲くやこの花館 （さくやこのはなかん）は、 大阪市 鶴見区 の 花博記念公園鶴見緑地 内にある屋内 植物園 。日本最大の 温室 （延床面積6900 m 2 ）を有する。","https://ja.wikipedia.org/wiki/咲くやこの花館","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度42分36.2秒東経135度34分24.8秒","〒538-0036大阪府大阪市鶴見区緑地公園2-163","1990年","大阪の植物園 ‐ 咲くやこの花館","大阪市","北緯34度42分36.2秒東経135度34分24.8秒﻿ / ﻿北緯34.710056度 東経135.573556度﻿ /34.710056; 135.573556座標:北緯34度42分36.2秒東経135度34分24.8秒﻿ / ﻿北緯34.710056度 東経135.573556度﻿ /34.710056; 135.573556","植物","一般財団法人大阪スポーツみどり財団","","","","","","","","","","","",""
"服部緑地都市緑化植物園","[服部緑地都市緑化植物園] 服部緑地都市緑化植物園 （はっとりりょくちとしりょっかしょくぶつえん）は、 大阪府 豊中市 寺内1丁目13番2号にある、 服部緑地 内にある 植物園 。","https://ja.wikipedia.org/wiki/服部緑地都市緑化植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度46分13.02秒 東経135度29分27.62秒","","","","","","","","","","","","","","","","","","",""
"神戸市立森林植物園","[神戸市立森林植物園（兵庫県神戸市北区）] 神戸市立森林植物園 （こうべしりつしんりんしょくぶつえん）は、 兵庫県 神戸市 北区 にある 植物園 。 1940年 に開館した。 六甲山地 は 摩耶山 の西、 再度山 の北に位置する総面積142.6haという広大な樹木植物園で、周辺は 瀬戸内海国立公園 に指定されている。標高は最も高いところにある正門周辺で海抜440メートル。","https://ja.wikipedia.org/wiki/神戸市立森林植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度44分15.4秒東経135度10分51.6秒","〒651-1102兵庫県神戸市北区山田町上谷上字長尾1-2","1940年","神戸市立森林植物園","兵庫県神戸市","北緯34度44分15.4秒東経135度10分51.6秒﻿ / ﻿北緯34.737611度 東経135.181000度﻿ /34.737611; 135.181000座標:北緯34度44分15.4秒東経135度10分51.6秒﻿ / ﻿北緯34.737611度 東経135.181000度﻿ /34.737611; 135.181000","植物","財団法人神戸市公園緑化協会","","","","","","","","","","","",""
"兵庫県立フラワーセンター","[兵庫県立フラワーセンター（兵庫県加西市）] 兵庫県立フラワーセンター （ひょうごけんりつフラワーセンター）は、 兵庫県 加西市 に位置する 植物園 。 加西フラワーセンター 、あるいは単に フラワーセンター とも呼ばれる。","https://ja.wikipedia.org/wiki/兵庫県立フラワーセンター","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度54分27.9秒東経134度51分33.5秒","〒679-0187兵庫県加西市豊倉町飯倉1282-1","1976年（昭和51年）","","兵庫県","北緯34度54分27.9秒東経134度51分33.5秒﻿ / ﻿北緯34.907750度 東経134.859306度﻿ /34.907750; 134.859306座標:北緯34度54分27.9秒東経134度51分33.5秒﻿ / ﻿北緯34.907750度 東経134.859306度﻿ /34.907750; 134.859306","植物","公益財団法人兵庫県園芸・公園協会","","","","","","","","","","","",""
"尼崎市都市緑化植物園 (存在しないページ)","[尼崎市都市緑化植物園（兵庫県尼崎市）]","https://ja.wikipedia.org/w/index.php?title=尼崎市都市緑化植物園&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奇跡の星の植物館","[奇跡の星の植物館（兵庫県淡路市）] 兵庫県立淡路夢舞台温室 奇跡の星の植物館 （ひょうごけんりつあわじゆめぶたいおんしつ きせきのほしのしょくぶつかん）は、 兵庫県 淡路市 にある 淡路夢舞台 内にある屋内 植物園 。","https://ja.wikipedia.org/wiki/奇跡の星の植物館","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度33分42.4秒東経135度0分30.3秒","〒656-2306兵庫県淡路市夢舞台4番地","2000年3月18日","","兵庫県","北緯34度33分42.4秒東経135度0分30.3秒﻿ / ﻿北緯34.561778度 東経135.008417度﻿ /34.561778; 135.008417座標:北緯34度33分42.4秒東経135度0分30.3秒﻿ / ﻿北緯34.561778度 東経135.008417度﻿ /34.561778; 135.008417","植物","","","","","","","","","兵庫県立淡路夢舞台温室 奇跡の星の植物館","","","",""
