"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"羽倉崎駅","羽倉崎駅（はぐらざきえき）","https://ja.wikipedia.org/wiki/羽倉崎駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度23分57.63秒東経135度17分58.21秒","■南海本線","36.1 km（難波起点）","南海電気鉄道","地上駅","1942年（昭和17年）2月1日","2面3線","大阪府泉佐野市羽倉崎一丁目1番24号北緯34度23分57.63秒東経135度17分58.21秒﻿ / ﻿北緯34.3993417度 東経135.2995028度﻿ /34.3993417; 135.2995028座標:北緯34度23分57.63秒東経135度17分58.21秒﻿ / ﻿北緯34.3993417度 東経135.2995028度﻿ /34.3993417; 135.2995028","","NK 33","ハグ","","","","6,190人/日-2019年-","","","","",""
"柏林台駅","柏林台駅（はくりんだいえき）","https://ja.wikipedia.org/wiki/柏林台駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯42度55分43.87秒東経143度9分52.2秒","■根室本線","176.6 km（滝川起点）","北海道旅客鉄道（JR北海道）","高架駅","1986年（昭和61年）11月1日","1面1線","北海道帯広市西17条南1丁目北緯42度55分43.87秒東経143度9分52.2秒﻿ / ﻿北緯42.9288528度 東経143.164500度﻿ /42.9288528; 143.164500﻿ (柏林台駅)","無人駅","○K30","リン","","296人/日-2014年-","","","","","","",""
"波久礼駅","波久礼駅（はぐれえき）","https://ja.wikipedia.org/wiki/波久礼駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度7分35.27秒東経139度9分28.59秒","■秩父本線","37.7 km（羽生起点）","秩父鉄道","地上駅","1903年（明治36年）4月1日","1面2線","埼玉県大里郡寄居町大字末野81-1北緯36度7分35.27秒東経139度9分28.59秒﻿ / ﻿北緯36.1264639度 東経139.1579417度﻿ /36.1264639; 139.1579417座標:北緯36度7分35.27秒東経139度9分28.59秒﻿ / ﻿北緯36.1264639度 東経139.1579417度﻿ /36.1264639; 139.1579417","","","グレ","103人/日（降車客含まず）-2019年-","220人/日-2019年-","","","","","","",""
"羽黒駅 (茨城県)","羽黒駅 (茨城県)（はぐろえき・東日本旅客鉄道水戸線）","https://ja.wikipedia.org/wiki/羽黒駅_(茨城県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度21分19.17秒東経140度8分36.39秒","■水戸線","32.8 km（小山起点）","東日本旅客鉄道（JR東日本）","地上駅","1904年（明治37年）4月1日","1面2線","茨城県桜川市友部1553北緯36度21分19.17秒東経140度8分36.39秒座標:北緯36度21分19.17秒 東経140度8分36.39秒","無人駅","","ハク","671人/日（降車客含まず）-2018年-","","","","","","","",""
"羽黒駅 (愛知県)","羽黒駅 (愛知県)（はぐろえき・名古屋鉄道小牧線）","https://ja.wikipedia.org/wiki/羽黒駅_(愛知県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度21分5秒東経136度57分9秒","小牧線","17.2 km（上飯田起点）","名古屋鉄道","地上駅","1931年（昭和6年）4月29日","1面1線","愛知県犬山市羽黒古市場75-1北緯35度21分5秒東経136度57分9秒﻿ / ﻿北緯35.35139度 東経136.95250度﻿ /35.35139; 136.95250座標:北緯35度21分5秒東経136度57分9秒﻿ / ﻿北緯35.35139度 東経136.95250度﻿ /35.35139; 136.95250","無人駅（駅集中管理システム導入駅）*1985年明治村口より改称犬山駅までの間に五郎丸信号場あり（当駅より1.7km先）","KM  01 ","","","3,456人/日-2019年-","","","","","","",""
"博労町駅","博労町駅（ばくろうまちえき）","https://ja.wikipedia.org/wiki/博労町駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度25分51.81秒東経133度20分24.63秒","C境線","1.0 km（米子起点）","西日本旅客鉄道（JR西日本）","地上駅","1952年（昭和27年）7月1日","1面1線","鳥取県米子市博労町一丁目58北緯35度25分51.81秒東経133度20分24.63秒座標:北緯35度25分51.81秒 東経133度20分24.63秒","無人駅（自動券売機 有）","","ハロ","","470人/日-2018年-","","","","","","",""
"羽黒下駅","羽黒下駅（はぐろしたえき）","https://ja.wikipedia.org/wiki/羽黒下駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","■小海線","57.8 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","地上駅","1915年（大正4年）12月28日[1]","2面2線[1]","","簡易委託駅[1]標高：740.7m[1]","","ハシ[1]","87人/日（降車客含まず）-2019年-","","","","","","","",""
"馬喰町駅","馬喰町駅（ばくろちょうえき）","https://ja.wikipedia.org/wiki/馬喰町駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度41分36.1秒東経139度46分56.6秒","■総武線（快速）（正式には総武本線）","2.3 km（東京起点）","東日本旅客鉄道（JR東日本）","地下駅","1972年（昭和47年）7月15日","1面2線","東京都中央区日本橋馬喰町一丁目11北緯35度41分36.1秒東経139度46分56.6秒﻿ / ﻿北緯35.693361度 東経139.782389度﻿ /35.693361; 139.782389﻿ (馬喰町駅)座標:北緯35度41分36.1秒東経139度46分56.6秒﻿ / ﻿北緯35.693361度 東経139.782389度﻿ /35.693361; 139.782389﻿ (馬喰町駅)","業務委託駅[3]東京都区内駅","JO21","ハク","26,183人/日（降車客含まず）-2019年-","","S09[1]馬喰横山駅（都営地下鉄新宿線）[2]A15[1]東日本橋駅（都営地下鉄浅草線）[2]","","","","","",""
"馬喰横山駅","馬喰横山駅（ばくろよこやまえき）","https://ja.wikipedia.org/wiki/馬喰横山駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度41分31.6秒東経139度46分58秒","●[1]新宿線","8.1 km（新宿起点）","東京都交通局（都営地下鉄）","地下駅","1978年（昭和53年）12月21日","2面2線","東京都中央区日本橋横山町4-13北緯35度41分31.6秒東経139度46分58秒﻿ / ﻿北緯35.692111度 東経139.78278度﻿ /35.692111; 139.78278﻿ (馬喰横山駅)座標:北緯35度41分31.6秒東経139度46分58秒﻿ / ﻿北緯35.692111度 東経139.78278度﻿ /35.692111; 139.78278﻿ (馬喰横山駅)","駅務管区所在駅","S09[1]","馬（駅名略称）","","118,024人/日-2019年-","A15[1]東日本橋駅（都営地下鉄浅草線）馬喰町駅（JR総武快速線）","","","","","",""
"半家駅","半家駅（はげえき）","https://ja.wikipedia.org/wiki/半家駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度12分6.30秒東経132度47分30.74秒","■予土線","38.9 km（若井起点）","四国旅客鉄道（JR四国）","地上駅","1974年（昭和49年）3月1日","1面1線","高知県四万十市西土佐半家北緯33度12分6.30秒東経132度47分30.74秒﻿ / ﻿北緯33.2017500度 東経132.7918722度﻿ /33.2017500; 132.7918722座標:北緯33度12分6.30秒東経132度47分30.74秒﻿ / ﻿北緯33.2017500度 東経132.7918722度﻿ /33.2017500; 132.7918722","無人駅","○G33","ハケ","","6人/日-2018年-","","","","","","",""
"八景水谷駅","八景水谷駅（はけのみやえき）","https://ja.wikipedia.org/wiki/八景水谷駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯32度50分29.06秒東経130度43分22.12秒","■菊池線","5.0km（上熊本起点）藤崎宮前から3.9 km","熊本電気鉄道","地上駅","1913年（大正2年）8月26日","1面1線","熊本県熊本市北区清水亀井町275-5北緯32度50分29.06秒東経130度43分22.12秒﻿ / ﻿北緯32.8414056度 東経130.7228111度﻿ /32.8414056; 130.7228111座標:北緯32度50分29.06秒東経130度43分22.12秒﻿ / ﻿北緯32.8414056度 東経130.7228111度﻿ /32.8414056; 130.7228111","無人駅","KD11","","","286人/日-2018年-","","","","","","",""
"箱石駅","箱石駅（はこいしえき）","https://ja.wikipedia.org/wiki/箱石駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯39度37分1.35秒東経141度37分33.17秒","■山田線","65.7 km（盛岡起点）","東日本旅客鉄道（JR東日本）","地上駅","1933年（昭和8年）11月30日[1]","1面1線","岩手県宮古市箱石北緯39度37分1.35秒東経141度37分33.17秒座標:北緯39度37分1.35秒 東経141度37分33.17秒","無人駅","","ハイ","","","","","","","","",""
"箱崎駅","箱崎駅（はこざきえき）","https://ja.wikipedia.org/wiki/箱崎駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度37分5.2秒東経130度25分37.23秒","JA鹿児島本線","75.0 km（門司港起点）","九州旅客鉄道（JR九州）","高架駅","1890年（明治23年）9月28日","2面3線","福岡市東区筥松二丁目32北緯33度37分5.2秒東経130度25分37.23秒﻿ / ﻿北緯33.618111度 東経130.4270083度﻿ /33.618111; 130.4270083﻿ (箱崎駅)座標:北緯33度37分5.2秒東経130度25分37.23秒﻿ / ﻿北緯33.618111度 東経130.4270083度﻿ /33.618111; 130.4270083﻿ (箱崎駅)","業務委託駅みどりの窓口有福岡市内駅","JA  02 ","ハキ","6,141人/日（降車客含まず）-2019年-","","","","","","","",""
"箱崎九大前駅","箱崎九大前駅（はこざききゅうだいまええき）","https://ja.wikipedia.org/wiki/箱崎九大前駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度37分19.60秒東経130度25分15.74秒","箱崎線","3.7km（中洲川端起点）姪浜から11.8 km","福岡市交通局","地下駅","1986年（昭和61年）1月31日[1]","1面2線","福岡市東区箱崎三丁目北緯33度37分19.60秒東経130度25分15.74秒﻿ / ﻿北緯33.6221111度 東経130.4210389度﻿ /33.6221111; 130.4210389座標:北緯33度37分19.60秒東経130度25分15.74秒﻿ / ﻿北緯33.6221111度 東経130.4210389度﻿ /33.6221111; 130.4210389","","○H06","","3,218人/日（降車客含まず）-2018年-","","","","","","","",""
"箱崎宮前駅","箱崎宮前駅（はこざきみやまええき）","https://ja.wikipedia.org/wiki/箱崎宮前駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度36分57.00秒東経130度25分10.49秒","箱崎線","2.90km（中洲川端起点）姪浜から11.0 km","福岡市交通局","地下駅","1986年（昭和61年）1月31日[1]","1面2線","福岡市東区馬出四丁目北緯33度36分57.00秒東経130度25分10.49秒﻿ / ﻿北緯33.6158333度 東経130.4195806度﻿ /33.6158333; 130.4195806座標:北緯33度36分57.00秒東経130度25分10.49秒﻿ / ﻿北緯33.6158333度 東経130.4195806度﻿ /33.6158333; 130.4195806","","○H05","","4,580人/日（降車客含まず）-2018年-","","箱崎駅（JR鹿児島本線）","","","","","",""
"函館駅","函館駅（はこだてえき）","https://ja.wikipedia.org/wiki/函館駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","北海道旅客鉄道（JR北海道・駅詳細）函館市企業局交通部（函館市電・駅詳細）","","","","北海道函館市若松町","","","","","","","","","","","",""
"函館アリーナ前停留場","函館アリーナ前停留場（はこだてアリーナまえていりゅうじょう）","https://ja.wikipedia.org/wiki/函館アリーナ前停留場","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯41度46分54.82秒東経140度46分56.4秒","函館市電湯の川線","0.8 km（湯の川起点）","函館市企業局交通部","地上駅（停留場）","1913年6月29日","2面2線","北海道函館市湯川町1丁目34-17先、32-3先北緯41度46分54.82秒東経140度46分56.4秒﻿ / ﻿北緯41.7818944度 東経140.782333度﻿ /41.7818944; 140.782333﻿ (函館アリーナ前停留場)座標:北緯41度46分54.82秒東経140度46分56.4秒﻿ / ﻿北緯41.7818944度 東経140.782333度﻿ /41.7818944; 140.782333﻿ (函館アリーナ前停留場)","","DY03","","","1,110[1]人/日-2019年-","","","","","","",""
"函館駅","函館駅前停留場（はこだてえきまえていりゅうじょう）","https://ja.wikipedia.org/wiki/函館駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","北海道旅客鉄道（JR北海道・駅詳細）函館市企業局交通部（函館市電・駅詳細）","","","","北海道函館市若松町","","","","","","","","","","","",""
"五稜郭駅","函館貨物駅（はこだてかもつえき）","https://ja.wikipedia.org/wiki/五稜郭駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","北海道旅客鉄道（JR北海道・駅詳細）道南いさりび鉄道（駅詳細）日本貨物鉄道（JR貨物・駅詳細）","","","","北海道函館市","","","","","","","","","","","",""
"函館どつく前停留場","函館どつく前停留場（はこだてどつくまえていりゅうじょう）","https://ja.wikipedia.org/wiki/函館どつく前停留場","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯41度46分23.28秒東経140度42分15.46秒","本線","2.8km（函館駅前起点）湯の川より9.3 km","函館市企業局交通部","地上駅（停留場）","1913年10月30日","2面1線","北海道函館市入舟町6-17先、1-6先北緯41度46分23.28秒東経140度42分15.46秒﻿ / ﻿北緯41.7731333度 東経140.7042944度﻿ /41.7731333; 140.7042944﻿ (函館どつく前停留場)座標:北緯41度46分23.28秒東経140度42分15.46秒﻿ / ﻿北緯41.7731333度 東経140.7042944度﻿ /41.7731333; 140.7042944﻿ (函館どつく前停留場)","","D23","","","478[1]人/日-2019年-","","","","","","",""
"箱作駅","箱作駅（はこつくりえき）","https://ja.wikipedia.org/wiki/箱作駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度20分29.23秒東経135度12分47.1秒","■南海本線","46.6 km（難波起点）","南海電気鉄道","地上駅","1898年（明治31年）10月22日","2面2線","大阪府阪南市箱作320番地北緯34度20分29.23秒東経135度12分47.1秒﻿ / ﻿北緯34.3414528度 東経135.213083度﻿ /34.3414528; 135.213083座標:北緯34度20分29.23秒東経135度12分47.1秒﻿ / ﻿北緯34.3414528度 東経135.213083度﻿ /34.3414528; 135.213083","","NK 39","ハコ","","","","4,972人/日-2019年-","","","","",""
"箱根板橋駅","箱根板橋駅（はこねいたばしえき）","https://ja.wikipedia.org/wiki/箱根板橋駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度14分43.5秒東経139度8分41.4秒","鉄道線（箱根登山電車）","1.7 km（小田原起点）","箱根登山鉄道","地上駅","1935年（昭和10年）10月1日","2面2線（うち1面は不使用）","神奈川県小田原市板橋150-2北緯35度14分43.5秒東経139度8分41.4秒﻿ / ﻿北緯35.245417度 東経139.144833度﻿ /35.245417; 139.144833座標:北緯35度14分43.5秒東経139度8分41.4秒﻿ / ﻿北緯35.245417度 東経139.144833度﻿ /35.245417; 139.144833","標高16m[2]簡易PASMO改札機設置","OH48","","1,188人/日（降車客含まず）-2018年-","2,362[1]人/日-2018年-","","","","","","",""
