"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","正式名称","愛称","専門分野"
"丸の内停留場","丸の内停留場（まるのうちていりゅうじょう・富山地方鉄道富山市内軌道線）","https://ja.wikipedia.org/wiki/丸の内停留場","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度41分33.08秒東経137度12分32.15秒","富山軌道線（支線）","1.0km（電鉄富山駅・エスタ前起点）南富山駅前から4.6 km","富山地方鉄道","富山県富山市丸の内一丁目北緯36度41分33.08秒東経137度12分32.15秒﻿ / ﻿北緯36.6925222度 東経137.2089306度﻿ /36.6925222; 137.2089306座標:北緯36度41分33.08秒東経137度12分32.15秒﻿ / ﻿北緯36.6925222度 東経137.2089306度﻿ /36.6925222; 137.2089306","地上駅","1913年（大正2年）9月1日","相対式2面2線","","","C18","","","","","","","","",""
"丸の内駅","丸の内駅（まるのうちえき・名古屋市営地下鉄鶴舞線・桜通線）","https://ja.wikipedia.org/wiki/丸の内駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度10分24秒東経136度53分50秒","鶴舞線","6.3 km（上小田井起点）","名古屋市交通局（名古屋市営地下鉄）","名古屋市中区丸の内二丁目16-1北緯35度10分24秒東経136度53分50秒﻿ / ﻿北緯35.17333度 東経136.89722度﻿ /35.17333; 136.89722座標:北緯35度10分24秒東経136度53分50秒﻿ / ﻿北緯35.17333度 東経136.89722度﻿ /35.17333; 136.89722","地下駅","1981年（昭和56年）11月27日","各1面2線（計2面4線）","","","T06","19,723人/日（降車客含まず）-2019年-","41,836[1]人/日-2019年-","","","","","","",""
"丸ノ内駅","丸ノ内駅（まるのうちえき・名鉄名古屋本線）","https://ja.wikipedia.org/wiki/丸ノ内駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度12分15秒東経136度50分32秒","名古屋本線","74.3 km（豊橋起点）","名古屋鉄道","愛知県清須市清洲1942-7北緯35度12分15秒東経136度50分32秒﻿ / ﻿北緯35.20417度 東経136.84222度﻿ /35.20417; 136.84222座標:北緯35度12分15秒東経136度50分32秒﻿ / ﻿北緯35.20417度 東経136.84222度﻿ /35.20417; 136.84222","地上駅","1914年（大正3年）9月22日","2面2線","無人駅（駅集中管理システム導入駅）","","NH  43 ","","1,148人/日-2019年[1]-","","","","","","",""
"丸渕駅","丸渕駅（まるぶちえき）","https://ja.wikipedia.org/wiki/丸渕駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度13分21.35秒東経136度43分44.55秒","尾西線","13.4 km（弥富起点）","名古屋鉄道","愛知県稲沢市祖父江町三丸渕駅通184番地北緯35度13分21.35秒東経136度43分44.55秒﻿ / ﻿北緯35.2225972度 東経136.7290417度﻿ /35.2225972; 136.7290417座標:北緯35度13分21.35秒東経136度43分44.55秒﻿ / ﻿北緯35.2225972度 東経136.7290417度﻿ /35.2225972; 136.7290417","地上駅","1912年（明治45年）2月18日","1面2線","無人駅（駅集中管理システム導入駅）","","BS  04 ","","763人/日-2019年-","","","","","","",""
"丸森駅","丸森駅（まるもりえき）","https://ja.wikipedia.org/wiki/丸森駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯37度55分50.4秒東経140度45分42.5秒","■阿武隈急行線","37.5 km（福島起点）","阿武隈急行","宮城県伊具郡丸森町舘矢間山田北緯37度55分50.4秒東経140度45分42.5秒﻿ / ﻿北緯37.930667度 東経140.761806度﻿ /37.930667; 140.761806座標:北緯37度55分50.4秒東経140度45分42.5秒﻿ / ﻿北緯37.930667度 東経140.761806度﻿ /37.930667; 140.761806","地上駅","1968年（昭和43年）4月1日","1面2線","","","","","452人/日-2018年-","","","","","","",""
"丸山駅 (埼玉県)","丸山駅 (埼玉県)（まるやまえき・埼玉新都市交通伊奈線）","https://ja.wikipedia.org/wiki/丸山駅_(埼玉県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度58分47.8秒東経139度37分29.1秒","■伊奈線（ニューシャトル）","8.2 km（大宮起点）","埼玉新都市交通","埼玉県北足立郡伊奈町大字小室北緯35度58分47.8秒東経139度37分29.1秒﻿ / ﻿北緯35.979944度 東経139.624750度﻿ /35.979944; 139.624750座標:北緯35度58分47.8秒東経139度37分29.1秒﻿ / ﻿北緯35.979944度 東経139.624750度﻿ /35.979944; 139.624750","高架駅","1983年（昭和58年）12月22日[1]","2面3線","始発､当駅止まり列車一部あり","","NS09","","2,912人/日-2016年-","","","","","","",""
"丸山駅 (三重県)","丸山駅 (三重県)（まるやまえき・伊賀鉄道伊賀線）","https://ja.wikipedia.org/wiki/丸山駅_(三重県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度42分15.63秒東経136度9分26.61秒","■伊賀線","11.9 km（伊賀上野起点）","伊賀鉄道","三重県伊賀市才良北緯34度42分15.63秒東経136度9分26.61秒﻿ / ﻿北緯34.7043417度 東経136.1573917度﻿ /34.7043417; 136.1573917座標:北緯34度42分15.63秒東経136度9分26.61秒﻿ / ﻿北緯34.7043417度 東経136.1573917度﻿ /34.7043417; 136.1573917","地上駅","1922年（大正11年）7月18日","1面2線","無人駅","","","37人/日（降車客含まず）-2019年-","","","","","","","",""
"丸山駅 (兵庫県)","丸山駅 (兵庫県)（まるやまえき・神戸電鉄有馬線）","https://ja.wikipedia.org/wiki/丸山駅_(兵庫県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","有馬線","2.6km（湊川起点）新開地から3.0 km","神戸電鉄","","地上駅[1]","1928年（昭和3年）11月28日[1]","2面2線[1]","無人駅[1]","","○KB04","560人/日（降車客含まず）-2019年-","1,028[2]人/日-2019年-","","","","","","",""
"碓氷峠鉄道文化むら","まるやま駅（碓氷峠交流記念財団シェルパ君・休止中）","https://ja.wikipedia.org/wiki/碓氷峠鉄道文化むら#トロッコ列車・シェルパ君","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度20分11.07秒東経138度44分1.13秒","","","","〒379-0301群馬県安中市松井田町横川407-16","","","","","","","","","","","","","碓氷峠鉄道文化むら","PoppoTown","鉄道"
"円山公園駅","円山公園駅（まるやまこうえんえき）","https://ja.wikipedia.org/wiki/円山公園駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯43度3分20.3秒東経141度19分7.8秒","東西線","5.7 km（宮の沢起点）","札幌市交通局","札幌市中央区南1条西25丁目北緯43度3分20.3秒東経141度19分7.8秒﻿ / ﻿北緯43.055639度 東経141.318833度﻿ /43.055639; 141.318833座標:北緯43度3分20.3秒東経141度19分7.8秒﻿ / ﻿北緯43.055639度 東経141.318833度﻿ /43.055639; 141.318833","地下駅","1976年（昭和51年）6月10日","2面2線","","","○T06","15,252人/日（降車客含まず）-2019年-","","","","","","","",""
"鬼怒川温泉ロープウェイ","丸山山頂駅（まるやまさんちょうえき）","https://ja.wikipedia.org/wiki/鬼怒川温泉ロープウェイ","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"丸山下駅","丸山下駅（まるやましたえき）","https://ja.wikipedia.org/wiki/丸山下駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度25分0.49秒東経139度19分18.06秒","■上毛線","24.3 km（中央前橋起点）","上毛電気鉄道","群馬県桐生市堤町三丁目9-1北緯36度25分0.49秒東経139度19分18.06秒﻿ / ﻿北緯36.4168028度 東経139.3216833度﻿ /36.4168028; 139.3216833﻿ (丸山下駅)座標:北緯36度25分0.49秒東経139度19分18.06秒﻿ / ﻿北緯36.4168028度 東経139.3216833度﻿ /36.4168028; 139.3216833﻿ (丸山下駅)","地上駅","1928年（昭和3年）11月10日","1面1線","","","","","53人/日-2019年（令和元年）-","","","","","","",""
"赤沢自然休養林","丸山渡駅（まるやまどえき）","https://ja.wikipedia.org/wiki/赤沢自然休養林#森林鉄道","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"稀府駅","稀府駅（まれっぷえき）","https://ja.wikipedia.org/wiki/稀府駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯42度25分33.25秒東経140度53分56.06秒","■室蘭本線","60.6 km（長万部起点）","北海道旅客鉄道（JR北海道）","北海道伊達市南稀府町北緯42度25分33.25秒東経140度53分56.06秒﻿ / ﻿北緯42.4259028度 東経140.8989056度﻿ /42.4259028; 140.8989056﻿ (稀府駅)","地上駅","1925年（大正14年）8月20日","2面3線","無人駅","マレ","○H36","","382人/日-2014年-","","","","","","",""
"万ケ塚駅","万ケ塚駅（まんがつかえき）","https://ja.wikipedia.org/wiki/万ケ塚駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯31度49分2.50秒東経131度3分50.12秒","吉都線","51.0 km（吉松起点）","九州旅客鉄道（JR九州）","宮崎県都城市丸谷町454北緯31度49分2.50秒東経131度3分50.12秒","地上駅","1947年（昭和22年）3月1日[1]","1面1線","無人駅","マン","","31人/日（降車客含まず）-2015年-","","","","","","","",""
"万願寺駅","万願寺駅（まんがんじえき）","https://ja.wikipedia.org/wiki/万願寺駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度40分16.28秒東経139度25分12.19秒","多摩都市モノレール線","9.3 km（上北台起点）","多摩都市モノレール","東京都日野市大字新井124番地先北緯35度40分16.28秒東経139度25分12.19秒﻿ / ﻿北緯35.6711889度 東経139.4200528度﻿ /35.6711889; 139.4200528座標:北緯35度40分16.28秒東経139度25分12.19秒﻿ / ﻿北緯35.6711889度 東経139.4200528度﻿ /35.6711889; 139.4200528","高架駅","2000年（平成12年）1月10日[1]","2面2線","","","TT08","","8,108人/日-2019年-","","","","","","",""
"万石浦駅","万石浦駅（まんごくうらえき）","https://ja.wikipedia.org/wiki/万石浦駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯38度25分44.6秒東経141度22分8.2秒","■石巻線（■■仙石東北ライン含む）","37.0km（小牛田起点）仙台から塩釜・矢本経由で56.3 km","東日本旅客鉄道（JR東日本）","宮城県石巻市流留字垂水169北緯38度25分44.6秒東経141度22分8.2秒座標:北緯38度25分44.6秒 東経141度22分8.2秒","地上駅","1989年（平成元年）4月26日[1]","1面1線[1]","無人駅[1]","マン","","","","","","","","","",""
"万座・鹿沢口駅","万座・鹿沢口駅（まんざ・かざわぐちえき）","https://ja.wikipedia.org/wiki/万座・鹿沢口駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度31分54.19秒東経138度33分3.33秒","■吾妻線","52.2 km（渋川起点）","東日本旅客鉄道（JR東日本）","群馬県吾妻郡嬬恋村大字鎌原字笹平710-38北緯36度31分54.19秒東経138度33分3.33秒座標:北緯36度31分54.19秒 東経138度33分3.33秒","高架駅","1971年（昭和46年）3月7日[1]","1面1線[1]","無人駅（自動券売機 有）","マカ","","205人/日（降車客含まず）-2015年-","","","","","","","",""
"万富駅","万富駅（まんとみえき）","https://ja.wikipedia.org/wiki/万富駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度45分30.34秒東経134度4分49.85秒","S山陽本線","123.5 km（神戸起点）","西日本旅客鉄道（JR西日本）","岡山市東区瀬戸町万富329-2北緯34度45分30.34秒東経134度4分49.85秒﻿ / ﻿北緯34.7584278度 東経134.0805139度﻿ /34.7584278; 134.0805139座標:北緯34度45分30.34秒東経134度4分49.85秒﻿ / ﻿北緯34.7584278度 東経134.0805139度﻿ /34.7584278; 134.0805139","地上駅","1897年（明治30年）12月26日","2面3線","無人駅（自動券売機 有）","マト","JR-S07","631人/日（降車客含まず）-2019年-","","","","","","","",""
"万場駅","万場駅（まんばえき）","https://ja.wikipedia.org/wiki/万場駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度50分1.36秒東経136度52分59.33秒","越美南線","59.7 km（美濃太田起点）","長良川鉄道","岐阜県郡上市大和町万場北緯35度50分1.36秒東経136度52分59.33秒﻿ / ﻿北緯35.8337111度 東経136.8831472度﻿ /35.8337111; 136.8831472座標:北緯35度50分1.36秒東経136度52分59.33秒﻿ / ﻿北緯35.8337111度 東経136.8831472度﻿ /35.8337111; 136.8831472","地上駅","1955年3月1日[1]","1面1線","無人駅","マハマンバ（転換前）","30","6人/日（降車客含まず）-2015年-","","","","","","","",""
