"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","通称","種別","起終点","駅数","開業"
"塩田町駅","塩田町駅（しおだまちえき）","https://ja.wikipedia.org/wiki/塩田町駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度21分39.47秒東経138度11分55.31秒","別所線","8.0 km（上田起点）","上田電鉄","1934年（昭和9年）7月14日[1][2][3]","地上駅","長野県上田市中野字兼田40-2北緯36度21分39.47秒東経138度11分55.31秒﻿ / ﻿北緯36.3609639度 東経138.1986972度﻿ /36.3609639; 138.1986972座標:北緯36度21分39.47秒東経138度11分55.31秒﻿ / ﻿北緯36.3609639度 東経138.1986972度﻿ /36.3609639; 138.1986972","単式1面1線[1]","無人駅[1]","","161人/日（降車客含まず）-2017年-","BE11","","","","","","","",""
"四方津駅","四方津駅（しおつえき）","https://ja.wikipedia.org/wiki/四方津駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度36分51.3秒東経139度4分21.4秒","■■中央本線","63.7km（新宿起点）東京から74.0 km","東日本旅客鉄道（JR東日本）","1910年（明治43年）12月15日[1]","地上駅","山梨県上野原市四方津1981北緯35度36分51.3秒東経139度4分21.4秒座標:北緯35度36分51.3秒 東経139度4分21.4秒","2面3線[1]","業務委託駅","ホツ","1,525人/日（降車客含まず）-2019年-","JC28","","","","","","","",""
"塩塚駅","塩塚駅（しおつかえき）","https://ja.wikipedia.org/wiki/塩塚駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度8分36.25秒東経130度25分52.22秒","■天神大牟田線","61.1 km（西鉄福岡（天神）起点）","西日本鉄道","1938年（昭和13年）9月1日","地上駅","福岡県柳川市大和町塩塚北緯33度8分36.25秒東経130度25分52.22秒﻿ / ﻿北緯33.1434028度 東経130.4311722度﻿ /33.1434028; 130.4311722座標:北緯33度8分36.25秒東経130度25分52.22秒﻿ / ﻿北緯33.1434028度 東経130.4311722度﻿ /33.1434028; 130.4311722","1面2線","","","","T  41 ","419人/日-2019年-","","","","","","",""
"汐留駅","汐留駅（しおどめえき）","https://ja.wikipedia.org/wiki/汐留駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度39分46.5秒東経139度45分35.9秒","","","東京都交通局（駅詳細）ゆりかもめ（駅詳細）","","","東京都港区東新橋一丁目北緯35度39分46.5秒東経139度45分35.9秒﻿ / ﻿北緯35.662917度 東経139.759972度﻿ /35.662917; 139.759972座標:北緯35度39分46.5秒東経139度45分35.9秒﻿ / ﻿北緯35.662917度 東経139.759972度﻿ /35.662917; 139.759972","","","","","","","","","","","","",""
"塩之沢駅","塩之沢駅（しおのさわえき）","https://ja.wikipedia.org/wiki/塩之沢駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度22分46.61秒東経138度27分13.81秒","CC身延線","45.7 km（富士起点）","東海旅客鉄道（JR東海）","1933年（昭和8年）9月1日[1]","地上駅","山梨県南巨摩郡身延町帯金北緯35度22分46.61秒東経138度27分13.81秒﻿ / ﻿北緯35.3796139度 東経138.4538361度﻿ /35.3796139; 138.4538361座標:北緯35度22分46.61秒東経138度27分13.81秒﻿ / ﻿北緯35.3796139度 東経138.4538361度﻿ /35.3796139; 138.4538361","1面1線","無人駅","シオ","9人/日（降車客含まず）-2018年-","","","","","","","","",""
"汐ノ宮駅","汐ノ宮駅（しおのみやえき）","https://ja.wikipedia.org/wiki/汐ノ宮駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度28分1.5秒東経135度34分45.4秒","O長野線","10.5km（古市起点）大阪阿部野橋から28.8 km","近畿日本鉄道（近鉄）","1911年（明治44年）8月15日[1]","地上駅","大阪府河内長野市汐の宮町1-3北緯34度28分1.5秒東経135度34分45.4秒﻿ / ﻿北緯34.467083度 東経135.579278度﻿ /34.467083; 135.579278座標:北緯34度28分1.5秒東経135度34分45.4秒﻿ / ﻿北緯34.467083度 東経135.579278度﻿ /34.467083; 135.579278","1面1線*","無人駅*1966年6月まで相対式2面2線","シオノ","（全日）1,079人/日（降車客含まず）-2019年-"," O22 ","","","","","","","",""
"塩浜駅","塩浜駅（しおはまえき）","https://ja.wikipedia.org/wiki/塩浜駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","","","近畿日本鉄道（近鉄・駅詳細）日本貨物鉄道（JR貨物・駅詳細）","","","三重県四日市市","","","","","","","","","","","","",""
"塩町駅","塩町駅（しおまちえき）","https://ja.wikipedia.org/wiki/塩町駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度46分27.91秒東経132度54分50.01秒","P芸備線","83.2km（備中神代起点）新見から89.6 km","西日本旅客鉄道（JR西日本）","1930年（昭和5年）4月22日","地上駅","広島県三次市塩町2183北緯34度46分27.91秒東経132度54分50.01秒﻿ / ﻿北緯34.7744194度 東経132.9138917度﻿ /34.7744194; 132.9138917座標:北緯34度46分27.91秒東経132度54分50.01秒﻿ / ﻿北緯34.7744194度 東経132.9138917度﻿ /34.7744194; 132.9138917","1面2線","無人駅","シチ","134人/日（降車客含まず）-2018年-","","","","","","","","",""
"潮見駅","潮見駅（しおみえき）","https://ja.wikipedia.org/wiki/潮見駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度39分31.4秒東経139度49分2.4秒","■京葉線（■武蔵野線直通含む）","5.4 km（東京起点）","東日本旅客鉄道（JR東日本）","1990年（平成2年）3月10日[1]","高架駅","東京都江東区潮見二丁目7-20北緯35度39分31.4秒東経139度49分2.4秒座標:北緯35度39分31.4秒 東経139度49分2.4秒","1面2線","業務委託駅東京都区内駅","シオ","13,798人/日（降車客含まず）-2019年-","JE04","","","","","","","",""
"汐見町駅","汐見町駅（しおみちょうえき・休止中）","https://ja.wikipedia.org/wiki/汐見町駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度4分12.9秒東経136度52分41.6秒","汐見町線","3.0 km（東港起点）","名古屋臨海鉄道","1965年（昭和40年）8月20日","地上駅","愛知県名古屋市港区潮見町北緯35度4分12.9秒東経136度52分41.6秒座標:北緯35度4分12.9秒 東経136度52分41.6秒","","貨物専用駅（休止中）","","","","","","","","","","",""
"汐見橋駅","汐見橋駅（しおみばしえき）","https://ja.wikipedia.org/wiki/汐見橋駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度40分5.66秒東経135度29分10.2秒","■高野線（汐見橋線）","0.0 km（汐見橋起点）","南海電気鉄道","1900年（明治33年）9月3日","地上駅","大阪市浪速区桜川三丁目8-74北緯34度40分5.66秒東経135度29分10.2秒﻿ / ﻿北緯34.6682389度 東経135.486167度﻿ /34.6682389; 135.486167﻿ (汐見橋駅*)座標:北緯34度40分5.66秒東経135度29分10.2秒﻿ / ﻿北緯34.6682389度 東経135.486167度﻿ /34.6682389; 135.486167﻿ (汐見橋駅*)","1面2線","*1901年に道頓堀駅から改称","シオ","","NK 06-5","","桜川駅（千日前線・阪神なんば線）","646人/日-2019年-","","","","",""
"塩屋駅 (兵庫県)","塩屋駅 (兵庫県)（しおやえき・西日本旅客鉄道山陽本線）","https://ja.wikipedia.org/wiki/塩屋駅_(兵庫県)","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度38分0.96秒東経135度5分0.14秒","A山陽本線（JR神戸線）","10.2km（神戸起点）大阪から43.3 km","西日本旅客鉄道（JR西日本）","1896年（明治29年）7月1日*[1]","地上駅（橋上駅）[1]","神戸市垂水区塩屋町一丁目2-16[1]北緯34度38分0.96秒東経135度5分0.14秒﻿ / ﻿北緯34.6336000度 東経135.0833722度﻿ /34.6336000; 135.0833722座標:北緯34度38分0.96秒東経135度5分0.14秒﻿ / ﻿北緯34.6336000度 東経135.0833722度﻿ /34.6336000; 135.0833722","2面2線[1]","業務委託駅[1]みどりの窓口有神戸市内駅","シヤ","6,640人/日（降車客含まず）-2019年-","JR-A69","","山陽塩屋駅（山陽電気鉄道本線）[1]","","","","","",""
"塩屋駅 (香川県)","塩屋駅 (香川県)（しおやえき・高松琴平電気鉄道志度線）","https://ja.wikipedia.org/wiki/塩屋駅_(香川県)","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度20分8.2秒東経134度9分18.7秒","■志度線","10.0 km（瓦町起点）","高松琴平電気鉄道","1911年（明治44年）11月18日","地上駅","香川県高松市牟礼町大町北緯34度20分8.2秒東経134度9分18.7秒﻿ / ﻿北緯34.335611度 東経134.155194度﻿ /34.335611; 134.155194座標:北緯34度20分8.2秒東経134度9分18.7秒﻿ / ﻿北緯34.335611度 東経134.155194度﻿ /34.335611; 134.155194","1面1線","無人駅","",""," S12 ","127人/日-2018年-","","","","","","",""
"塩谷駅","塩谷駅（しおやえき・北海道旅客鉄道函館本線）","https://ja.wikipedia.org/wiki/塩谷駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯43度12分9.46秒東経140度55分29.18秒","■函館本線","244.8 km（函館起点）","北海道旅客鉄道（JR北海道）","1903年（明治36年）6月28日","地上駅","北海道小樽市塩谷2丁目北緯43度12分9.46秒東経140度55分29.18秒","2面2線","無人駅","シホ","","○S16","78人/日-2014年-","","","","","","",""
"志賀駅","志賀駅（しがえき）","https://ja.wikipedia.org/wiki/志賀駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度12分7.33秒東経135度55分28.74秒","B湖西線","27.3km（山科起点）京都から32.8 km","西日本旅客鉄道（JR西日本）","1974年（昭和49年）7月20日","高架駅","滋賀県大津市木戸字前田107北緯35度12分7.33秒東経135度55分28.74秒﻿ / ﻿北緯35.2020361度 東経135.9246500度﻿ /35.2020361; 135.9246500座標:北緯35度12分7.33秒東経135度55分28.74秒﻿ / ﻿北緯35.2020361度 東経135.9246500度﻿ /35.2020361; 135.9246500","2面2線","業務委託駅","シカ","1,063人/日（降車客含まず）-2019年-","JR-B21","","","","","","","",""
"鹿討駅","鹿討駅（しかうちえき）","https://ja.wikipedia.org/wiki/鹿討駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯43度23分15.05秒東経142度24分17.47秒","■富良野線","49.7 km（旭川起点）","北海道旅客鉄道（JR北海道）","1958年（昭和33年）3月25日","地上駅","北海道空知郡中富良野町字中富良野北緯43度23分15.05秒東経142度24分17.47秒﻿ / ﻿北緯43.3875139度 東経142.4048528度﻿ /43.3875139; 142.4048528﻿ (鹿討駅)","1面1線","無人駅","シカ","","○F43","2人/日-2014年-","","","","","","",""
"鹿家駅","鹿家駅（しかかえき）","https://ja.wikipedia.org/wiki/鹿家駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度29分3.87秒東経130度2分50.71秒","JK筑肥線","30.2 km（姪浜起点）","九州旅客鉄道（JR九州）","1923年（大正12年）12月5日","地上駅","福岡県糸島市二丈鹿家1799北緯33度29分3.87秒東経130度2分50.71秒﻿ / ﻿北緯33.4844083度 東経130.0474194度﻿ /33.4844083; 130.0474194﻿ (鹿家駅)","1面2線","無人駅","シカ","63人/日（降車客含まず）-2016年-","JK  15 ","131人/日-2016年-","","","","","","",""
"滋賀里駅","滋賀里駅（しがさとえき）","https://ja.wikipedia.org/wiki/滋賀里駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度2分36.17秒東経135度51分32.54秒","▼石山坂本線","10.8 km（石山寺起点）","京阪電気鉄道","1927年（昭和2年）5月15日","地上駅","滋賀県大津市見世二丁目14-7北緯35度2分36.17秒東経135度51分32.54秒﻿ / ﻿北緯35.0433806度 東経135.8590389度﻿ /35.0433806; 135.8590389座標:北緯35度2分36.17秒東経135度51分32.54秒﻿ / ﻿北緯35.0433806度 東経135.8590389度﻿ /35.0433806; 135.8590389","2面2線","無人駅","","929人/日（降車客含まず）-2019年-","OT  18","1,981人/日-2019年-","","","","","","",""
"鹿部駅","鹿部駅（しかべえき）","https://ja.wikipedia.org/wiki/鹿部駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯42度3分51.8秒東経140度46分17.02秒","■函館本線（砂原支線）","14.6 km（大沼起点）","北海道旅客鉄道（JR北海道）","1945年（昭和20年）6月1日","地上駅","北海道茅部郡鹿部町本別北緯42度3分51.8秒東経140度46分17.02秒﻿ / ﻿北緯42.064389度 東経140.7713944度﻿ /42.064389; 140.7713944﻿ (鹿部駅)","1面2線","無人駅","タチ（改称前：鷹待駅）カヘ（改称後：鹿部駅）","","○N68","","","","","","","",""
"志賀本通駅","志賀本通駅（しがほんどおりえき）","https://ja.wikipedia.org/wiki/志賀本通駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度11分47秒東経136度55分16秒","名城線","1.8 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","1971年（昭和46年）12月20日","地下駅","名古屋市北区志賀本通二丁目47北緯35度11分47秒東経136度55分16秒﻿ / ﻿北緯35.19639度 東経136.92111度﻿ /35.19639; 136.92111座標:北緯35度11分47秒東経136度55分16秒﻿ / ﻿北緯35.19639度 東経136.92111度﻿ /35.19639; 136.92111","2面2線","","","7,291人/日（降車客含まず）-2019年-","M10","14,242[1]人/日-2019年-","","","","","","",""
"飾磨駅","飾磨駅（しかまえき）","https://ja.wikipedia.org/wiki/飾磨駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度47分59.27秒東経134度40分29.45秒","本線","50.9km（西代起点）梅田から88.0 km","山陽電気鉄道","1923年（大正12年）8月19日[1][2]","地上駅[1]","兵庫県姫路市飾磨区清水40[1]北緯34度47分59.27秒東経134度40分29.45秒﻿ / ﻿北緯34.7997972度 東経134.6748472度﻿ /34.7997972; 134.6748472﻿ (飾磨駅*)座標:北緯34度47分59.27秒東経134度40分29.45秒﻿ / ﻿北緯34.7997972度 東経134.6748472度﻿ /34.7997972; 134.6748472﻿ (飾磨駅*)","2面3線[1]","*1991年に電鉄飾磨駅から改称[1][2]","","4,670人/日（降車客含まず）-2017年-","●SY 40","","","","","","","",""
