"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","種類","市場情報","本社所在地","設立"
"東城駅","東城駅（とうじょうえき・西日本旅客鉄道芸備線）","https://ja.wikipedia.org/wiki/東城駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度54分5.68秒東経133度16分25.71秒","P芸備線","18.8km（備中神代起点）新見から25.2 km","西日本旅客鉄道（JR西日本）","広島県庄原市東城町川東160-3北緯34度54分5.68秒東経133度16分25.71秒﻿ / ﻿北緯34.9015778度 東経133.2738083度﻿ /34.9015778; 133.2738083座標:北緯34度54分5.68秒東経133度16分25.71秒﻿ / ﻿北緯34.9015778度 東経133.2738083度﻿ /34.9015778; 133.2738083","地上駅","1930年（昭和5年）11月25日","1面1線","簡易委託駅","トセ","","","11人/日（降車客含まず）-2018年-","","","","","","",""
"東上駅","東上駅（とうじょうえき・東海旅客鉄道飯田線）","https://ja.wikipedia.org/wiki/東上駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度52分34.34秒東経137度27分18.28秒","CD飯田線","17.0 km（豊橋起点）","東海旅客鉄道（JR東海）","愛知県豊川市東上町東京寺46北緯34度52分34.34秒東経137度27分18.28秒﻿ / ﻿北緯34.8762056度 東経137.4550778度﻿ /34.8762056; 137.4550778座標:北緯34度52分34.34秒東経137度27分18.28秒﻿ / ﻿北緯34.8762056度 東経137.4550778度﻿ /34.8762056; 137.4550778","地上駅","1898年（明治31年）4月25日","2面2線","駅員無配置駅","トセ","","","167人/日（降車客含まず）-2017年-","","","","","","",""
"道場駅","道場駅（どうじょうえき）","https://ja.wikipedia.org/wiki/道場駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度52分2.02秒東経135度15分20.26秒","G福知山線（JR宝塚線）","30.1km（尼崎起点）大阪から37.8 km","西日本旅客鉄道（JR西日本）","神戸市北区道場町生野70[1]北緯34度52分2.02秒東経135度15分20.26秒﻿ / ﻿北緯34.8672278度 東経135.2556278度﻿ /34.8672278; 135.2556278座標:北緯34度52分2.02秒東経135度15分20.26秒﻿ / ﻿北緯34.8672278度 東経135.2556278度﻿ /34.8672278; 135.2556278","地上駅[1]","1899年（明治32年）1月25日[1]","2面2線[1]","無人駅（自動券売機 有）[1]","タウ","JR-G60","","911人/日（降車客含まず）-2019年-","","","","","","",""
"東照宮駅","東照宮駅（とうしょうぐうえき）","https://ja.wikipedia.org/wiki/東照宮駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯38度16分38.32秒東経140度53分11.76秒","■仙山線","3.2 km（仙台起点）","東日本旅客鉄道（JR東日本）","仙台市青葉区宮町五丁目18北緯38度16分38.32秒東経140度53分11.76秒座標:北緯38度16分38.32秒 東経140度53分11.76秒","地上駅（盛土上）","1988年（昭和63年）11月18日[1]","1面1線[1]","業務委託駅仙台市内駅","クウ","","","3,509人/日（降車客含まず）-2019年-","","","","","","",""
"道成寺駅","道成寺駅（どうじょうじえき）","https://ja.wikipedia.org/wiki/道成寺駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度54分40.44秒東経135度10分33.36秒","W紀勢本線（きのくに線）","324.7km（亀山起点）新宮から144.5 km","西日本旅客鉄道（JR西日本）","和歌山県御坊市藤田町藤井1865-4北緯33度54分40.44秒東経135度10分33.36秒","地上駅","1930年（昭和5年）12月14日[1]","2面2線","無人駅","トシ","","","80人/日（降車客含まず）-2019年-","","","","","","",""
"道場南口駅","道場南口駅（どうじょうみなみぐちえき）","https://ja.wikipedia.org/wiki/道場南口駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","三田線","7.3km（有馬口起点）湊川から27.3km新開地から27.7 km","神戸電鉄","","地上駅[1]","1928年（昭和3年）12月18日[1]","1面2線[1]","無人駅[1]","","○KB25","2,780[2]人/日-2019年-","1,628人/日（降車客含まず）-2019年-","","","","","","",""
"動植物園入口停留場","動植物園入口停留場（どうしょくぶつえんいりぐちていりゅうじょう）","https://ja.wikipedia.org/wiki/動植物園入口停留場","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","健軍線（■A系統・■B系統）","2.4km（水前寺公園起点）田崎橋から8.6 km","熊本市交通局","","地上駅","1969年（昭和44年）4月1日","2面2線","","","□24","741人/日-2015年-","","","","","","","",""
"唐人町駅","唐人町駅（とうじんまちえき）","https://ja.wikipedia.org/wiki/唐人町駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度35分24.95秒東経130度22分13.92秒","空港線","4.6 km（姪浜起点）","福岡市交通局","福岡市中央区黒門北緯33度35分24.95秒東経130度22分13.92秒﻿ / ﻿北緯33.5902639度 東経130.3705333度﻿ /33.5902639; 130.3705333座標:北緯33度35分24.95秒東経130度22分13.92秒﻿ / ﻿北緯33.5902639度 東経130.3705333度﻿ /33.5902639; 130.3705333","地下駅","1981年（昭和56年）7月26日","1面2線","業務委託駅","","○K05","","12,126人/日（降車客含まず）-2018年-","","","","","","",""
"洞泉駅","洞泉駅（どうせんえき）","https://ja.wikipedia.org/wiki/洞泉駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯39度15分2.40秒東経141度45分37.52秒","■釜石線","79.6 km（花巻起点）","東日本旅客鉄道（JR東日本）","岩手県釜石市甲子町4-195北緯39度15分2.40秒東経141度45分37.52秒座標:北緯39度15分2.40秒 東経141度45分37.52秒","地上駅","1945年（昭和20年）6月15日[1]","1面1線","無人駅","トセ","","","","","","","","","",""
"東大前駅","東大前駅（とうだいまええき）","https://ja.wikipedia.org/wiki/東大前駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度43分3.5秒東経139度45分28.9秒","●[1]南北線","12.7 km（目黒起点）","東京地下鉄（東京メトロ）","東京都文京区向丘一丁目19-2北緯35度43分3.5秒東経139度45分28.9秒﻿ / ﻿北緯35.717639度 東経139.758028度﻿ /35.717639; 139.758028﻿ (東大前駅)座標:北緯35度43分3.5秒東経139度45分28.9秒﻿ / ﻿北緯35.717639度 東経139.758028度﻿ /35.717639; 139.758028﻿ (東大前駅)","地下駅","1996年（平成8年）3月26日[2]","1面2線","業務委託駅（メトロコマース）","トタ","N12[1]","29,051人/日-2019年-","","","","","","","",""
"塔寺駅","塔寺駅（とうでらえき）","https://ja.wikipedia.org/wiki/塔寺駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","■只見線","26.0 km（会津若松起点）","東日本旅客鉄道（JR東日本）","","地上駅（盛土上）","1928年（昭和3年）11月20日","1面1線","無人駅","トラ","","","8人/日（降車客含まず）-2004年-","","","","","","",""
"道徳駅","道徳駅（どうとくえき）","https://ja.wikipedia.org/wiki/道徳駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度6分21秒東経136度54分34秒","常滑線","2.4 km（神宮前起点）","名古屋鉄道","名古屋市南区豊田一丁目12-10北緯35度6分21秒東経136度54分34秒﻿ / ﻿北緯35.10583度 東経136.90944度﻿ /35.10583; 136.90944座標:北緯35度6分21秒東経136度54分34秒﻿ / ﻿北緯35.10583度 東経136.90944度﻿ /35.10583; 136.90944","高架駅","1912年（明治45年）2月18日","相対式 2面2線","無人駅","","TA  02 ","5,835人/日-2019年[1]-","","","","","","","",""
"東名駅","東名駅（とうなえき）","https://ja.wikipedia.org/wiki/東名駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯38度22分31.1秒東経141度8分38.3秒","■仙石線","32.2km（あおば通起点）仙台から塩釜・高城町経由で30.4 km","東日本旅客鉄道（JR東日本）","宮城県東松島市野蒜ケ丘三丁目北緯38度22分31.1秒東経141度8分38.3秒﻿ / ﻿北緯38.375306度 東経141.143972度﻿ /38.375306; 141.143972﻿ (東名駅)座標:北緯38度22分31.1秒東経141度8分38.3秒﻿ / ﻿北緯38.375306度 東経141.143972度﻿ /38.375306; 141.143972﻿ (東名駅)","地上駅","1931年（昭和6年）12月1日","1面1線","無人駅2015年　現在地に移設","トナ","","","","","","","","","",""
"唐丹駅","唐丹駅（とうにえき）","https://ja.wikipedia.org/wiki/唐丹駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯39度12分7.13秒東経141度51分40.68秒","リアス線","27.7 km（盛起点）","三陸鉄道","岩手県釜石市唐丹町北緯39度12分7.13秒東経141度51分40.68秒座標:北緯39度12分7.13秒 東経141度51分40.68秒","高架駅","1984年（昭和59年）4月1日","1面2線","無人駅","トウ","","","16人/日（降車客含まず）-2019-","","","","","","",""
"塔ノ沢駅","塔ノ沢駅（とうのさわえき）","https://ja.wikipedia.org/wiki/塔ノ沢駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度14分4.0秒東経139度5分38.5秒","鉄道線（箱根登山電車）","7.1 km（小田原起点）","箱根登山鉄道","神奈川県足柄下郡箱根町塔之澤46-2北緯35度14分4.0秒東経139度5分38.5秒﻿ / ﻿北緯35.234444度 東経139.094028度﻿ /35.234444; 139.094028座標:北緯35度14分4.0秒東経139度5分38.5秒﻿ / ﻿北緯35.234444度 東経139.094028度﻿ /35.234444; 139.094028","地上駅","1920年（大正9年）10月21日","2面2線","標高153m[2]*この先に出山信号場あり（当駅から1.2km先）。","","OH52","111人/日-2018年[1]-","37人/日（降車客含まず）-2018年[1]-","","","","","","",""
"唐浜駅","唐浜駅（とうのはまえき）","https://ja.wikipedia.org/wiki/唐浜駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度26分46.00秒東経133度57分57.84秒","■ごめん・なはり線","37.0 km（後免起点）","土佐くろしお鉄道（TKT）","高知県安芸郡安田町唐浜北緯33度26分46.00秒東経133度57分57.84秒","地上駅（盛土上）","2002年（平成14年）7月1日","1面1線","無人駅","ハマ","○GN24","29[1]人/日-2019年-","","","","","","","",""
"唐の原駅","唐の原駅（とうのはるえき）","https://ja.wikipedia.org/wiki/唐の原駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度40分48.18秒東経130度26分4.22秒","■西鉄貝塚線","6.1 km（貝塚起点）","西日本鉄道","福岡市東区和白四丁目北緯33度40分48.18秒東経130度26分4.22秒﻿ / ﻿北緯33.6800500度 東経130.4345056度﻿ /33.6800500; 130.4345056座標:北緯33度40分48.18秒東経130度26分4.22秒﻿ / ﻿北緯33.6800500度 東経130.4345056度﻿ /33.6800500; 130.4345056","地上駅","1986年（昭和61年）11月1日","1面2線","駅員無配置駅","","NK  07 ","1,134人/日-2019年-","","","","","","","",""
"塔のへつり駅","塔のへつり駅（とうのへつりえき）","https://ja.wikipedia.org/wiki/塔のへつり駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","会津線","26.5 km（西若松起点）","会津鉄道","","地上駅","1988年（昭和63年）4月27日","1面1線","","ヘリ","","","33人/日（降車客含まず）-2015年-","","","","","","",""
"東武和泉駅","東武和泉駅（とうぶいずみえき）","https://ja.wikipedia.org/wiki/東武和泉駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度18分54.43秒東経139度27分19.21秒","■伊勢崎線","85.1 km（浅草起点）","東武鉄道","栃木県足利市福居町2149北緯36度18分54.43秒東経139度27分19.21秒﻿ / ﻿北緯36.3151194度 東経139.4553361度﻿ /36.3151194; 139.4553361﻿ (東武和泉駅)座標:北緯36度18分54.43秒東経139度27分19.21秒﻿ / ﻿北緯36.3151194度 東経139.4553361度﻿ /36.3151194; 139.4553361﻿ (東武和泉駅)","地上駅","1935年（昭和10年）9月20日","1面1線","無人駅","イス","TI14","969人/日-2019年-","","","","","","","",""
"東武宇都宮駅","東武宇都宮駅（とうぶうつのみやえき）","https://ja.wikipedia.org/wiki/東武宇都宮駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度33分32.64秒東経139度52分49.44秒","■宇都宮線","24.3 km（新栃木起点）","東武鉄道","栃木県宇都宮市宮園町5-4北緯36度33分32.64秒東経139度52分49.44秒﻿ / ﻿北緯36.5590667度 東経139.8804000度﻿ /36.5590667; 139.8804000﻿ (東武宇都宮駅)座標:北緯36度33分32.64秒東経139度52分49.44秒﻿ / ﻿北緯36.5590667度 東経139.8804000度﻿ /36.5590667; 139.8804000﻿ (東武宇都宮駅)","高架駅","1931年（昭和6年）8月11日","1面2線","","ウツ","TN40","9,604人/日-2019年-","","","","","","","",""
"東武金崎駅","東武金崎駅（とうぶかなさきえき）","https://ja.wikipedia.org/wiki/東武金崎駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度27分58.82秒東経139度44分58.07秒","■日光線","56.6 km（東武動物公園起点）","東武鉄道","栃木県栃木市西方町金崎243-2北緯36度27分58.82秒東経139度44分58.07秒﻿ / ﻿北緯36.4663389度 東経139.7494639度﻿ /36.4663389; 139.7494639﻿ (東武金崎駅)座標:北緯36度27分58.82秒東経139度44分58.07秒﻿ / ﻿北緯36.4663389度 東経139.7494639度﻿ /36.4663389; 139.7494639﻿ (東武金崎駅)","地上駅","1929年（昭和4年）4月1日","1面4線","","カナ","TN15","545人/日-2019年-","","","","","","","",""
"東福寺駅","東福寺駅（とうふくじえき）","https://ja.wikipedia.org/wiki/東福寺駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","","","京阪電気鉄道（駅詳細）西日本旅客鉄道（JR西日本・駅詳細）","京都市東山区本町十二丁目224","","","","","","","","","","","","","","",""
