"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","城郭構造","築城年","廃城年","指定文化財","形状","規模","別名","築城主","遺構","史跡","主な城主","法人番号","天守構造","埋葬施設","出土品"
"大日古墳","[大日古墳（だいにちこふん）〔防府市〕] 大日古墳 （だいにちこふん）は、 山口県 防府市 高井にある 古墳 。形状は一説に 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/大日古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度4分20.53秒東経131度32分51.50秒","北緯34度4分20.53秒東経131度32分51.50秒﻿ / ﻿北緯34.0723694度 東経131.5476389度﻿ /34.0723694; 131.5476389座標:北緯34度4分20.53秒東経131度32分51.50秒﻿ / ﻿北緯34.0723694度 東経131.5476389度﻿ /34.0723694; 131.5476389","山口県防府市大字高井字大日","大日古墳","7世紀後半","","","","","（一説）前方後円墳","墳丘長40m?","","","","国の史跡「大日古墳」","","","","両袖式横穴式石室（岩屋山式）（内部に刳抜式家形石棺）",""
"朝田墳墓群","[朝田墳墓群（あさだふんぼぐん）〔山口市〕] 朝田墳墓群 （あさだふんぼぐん）は、 山口県 山口市 朝田・吉敷に所在する 弥生の墳墓 から 古墳 への過渡期の墓制の変遷がたどれる遺跡である。別称は、朝田墳墓群第I地区という。 1982年 （ 昭和 57年）4月30日、国の史跡に指定された。","https://ja.wikipedia.org/wiki/朝田墳墓群","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度9分16.6秒 東経131度25分54.9秒","","","","","","","","","","","","","","","","","","",""
"大内館","[大内館跡（おおうちしやかたあと）〔山口市〕] 大内氏館 （おおうちしやかた  ）は、 山口県 山口市 大殿大路に建てられた城館で、 周防国 ・ 長門国 を本拠とした 大内氏 の居館（ 守護館 ）である。「大内氏遺跡 附（つけたり）凌雲寺跡」  として国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/大内館","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度11分2.8秒東経131度28分49.6秒","北緯34度11分2.8秒東経131度28分49.6秒﻿ / ﻿北緯34.184111度 東経131.480444度﻿ /34.184111; 131.480444","","大内氏館","","城館","14世紀中期～15世紀中期か？","弘治3年（1557年）","国の史跡","","","","大内弘世？大内教弘？","","","大内氏","","","",""
"築山館 (存在しないページ)","[築山館跡（つきやまやかたあと）〔山口市〕]","https://ja.wikipedia.org/w/index.php?title=築山館&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高嶺城","[高嶺城跡（こうのみねじょうあと）〔山口市〕] 高嶺城 （こうのみねじょう）は、現在の 山口県 山口市 上宇野令字高嶺にあった 日本の城 （ 山城 ）。 鴻の峰城 ・ 鴻之峯城 とも記される。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/高嶺城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度11分3.3秒東経131度27分45.0秒","北緯34度11分3.3秒東経131度27分45.0秒﻿ / ﻿北緯34.184250度 東経131.462500度﻿ /34.184250; 131.462500","","高嶺城","","山城","弘治2年（1556年）","寛永15年（1638年）","国の史跡","","","鴻の峰城、鴻之峯城","大内義長、毛利元就","石垣、郭、井戸","","大内義長、市川経好柳沢元政、佐世元嘉","","不明","",""
"大内氏遺跡凌雲寺跡","[凌雲寺跡（りょううんじあと）〔山口市〕] 大内氏遺跡凌雲寺跡 （おおうちしいせきりょううんじあと）は、 山口県 山口市 にある、 周防国 の 戦国大名 大内氏 の当主 大内義興 の 菩提寺 であった凌雲寺の遺跡である。国の 史跡 。","https://ja.wikipedia.org/wiki/大内氏遺跡凌雲寺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度11分54.0秒東経131度26分10.4秒","北緯34度11分54.0秒東経131度26分10.4秒﻿ / ﻿北緯34.198333度 東経131.436222度﻿ /34.198333; 131.436222","山口県山口市中尾","","","","","","","","","","","","","","","","",""
"大村益次郎","[大村益次郎墓（おおむらますじろうはか）〔山口市〕] 大村 益次郎 （おおむら ますじろう、 文政 7年 5月3日 〈 1824年 5月30日 〉 - 明治 2年 11月5日 〈 1869年 12月7日 〉  ）は、 幕末 期の 長州藩 の医師、西洋学者、 兵学者 。 維新の十傑 の一人。","https://ja.wikipedia.org/wiki/大村益次郎","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"佐波川","[佐波川関水（さばがわせきみず）〔山口市〕] 佐波川 （さばがわ）は、 山口県 中部を流れる佐波川水系の本流で、 一級河川 である。 鯖川 とも呼ばれる。","https://ja.wikipedia.org/wiki/佐波川","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"常栄寺庭園","[常栄寺庭園（じょうえいじていえん）〔山口市〕] 常栄寺 （じょうえいじ）は、 山口県 山口市 宮野下平野にある 臨済宗 東福寺派の寺院。山号は香山。後庭は 雪舟 等楊の作と伝えられ、「常栄寺庭園」（通称:雪舟庭）として、国の 史跡 および 名勝 に指定されている。","https://ja.wikipedia.org/wiki/常栄寺庭園","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度11分52.861秒東経131度29分23.528秒","北緯34度11分52.861秒東経131度29分23.528秒﻿ / ﻿北緯34.19801694度 東経131.48986889度﻿ /34.19801694; 131.48986889座標:北緯34度11分52.861秒東経131度29分23.528秒﻿ / ﻿北緯34.19801694度 東経131.48986889度﻿ /34.19801694; 131.48986889","〒753-0011 山口県山口市宮野下2001","","","","","","","","","","","","","","3250005000257","","",""
"周防国","[周防鋳銭司跡（すおうちゅうせんしあと）〔山口市〕] 周防国 （すおうのくに）は、かつて 日本 の地方行政区分だった 令制国 の一つ。 山陽道 に属する。","https://ja.wikipedia.org/wiki/周防国","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長登銅山","[長登銅山跡（ながのぼりどうざんあと）〔美祢市美東町〕] 長登銅山 （ながのぼりどうざん）は 山口県 美祢市 の 秋吉台 南東に隣接する 銅 鉱山 である。長登銅山では 7世紀 末ないし 8世紀 初頭から銅を中心とした鉱物の採掘が始まり、特に 奈良時代 には 東大寺の大仏 に使われた銅の産地であった可能性が高いことで名高い。その後も 1960年 （昭和35年）の閉山まで、断続的に操業が続けられた。","https://ja.wikipedia.org/wiki/長登銅山","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度14分41.8秒 東経131度20分10.0秒","","","","","","","","","","","","","","","","","","",""
"綾羅木郷遺跡","[綾羅木郷遺跡（あやらぎごういせき）〔下関市〕] 綾羅木郷遺跡 （あやらぎごういせき）は、 山口県 下関市 綾羅木 にある、 弥生時代 前期を中心とする 複合遺跡 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/綾羅木郷遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度0分46.0秒東経130度55分28.3秒","","山口県下関市綾羅木","","","","","","","","","","","","","","","","",""
"仁馬山古墳","[仁馬山古墳（じんまやまこふん）〔下関市〕] 仁馬山古墳 （じんばやまこふん  /じんまやまこふん  ）は、 山口県 下関市 延行にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/仁馬山古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度0分49.87秒東経130度56分31.93秒","北緯34度0分49.87秒東経130度56分31.93秒﻿ / ﻿北緯34.0138528度 東経130.9422028度﻿ /34.0138528; 130.9422028座標:北緯34度0分49.87秒東経130度56分31.93秒﻿ / ﻿北緯34.0138528度 東経130.9422028度﻿ /34.0138528; 130.9422028","山口県下関市延行","柳井茶臼山古墳仁馬山古墳白鳥古墳","4世紀後半","","","","","前方後円墳","墳丘長75m高さ8m（後円部）","","","","国の史跡「仁馬山古墳」","","","","粘土槨（内部に割竹形木棺）","埴輪片"
"高杉晋作","[高杉晋作墓（たかすぎしんさくはか）〔下関市〕] 高杉 晋作 （たかすぎ しんさく、 天保 10年 8月20日 （ 1839年 9月27日 ）- 慶應 3年 4月14日 （ 1867年 5月17日 ））は、 江戸時代 末期の 長州藩 士。 幕末 長州藩の 尊王攘夷 志士 として活躍。 奇兵隊 など 諸隊 を創設し、長州藩を 倒幕 に方向付けた。","https://ja.wikipedia.org/wiki/高杉晋作","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長州藩下関前田台場跡","[長州藩下関前田台場跡（ちょうしゅうはんしものせきまえだだいばあと）〔下関市〕] 長州藩下関前田台場跡 （ちょうしゅうはんしものせきまえだだいばあと）は、 山口県 下関市 前田にある幕末の台場跡。2010年8月5日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/長州藩下関前田台場跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯33度58分27秒 東経130度58分17秒","","","","","","","","","","","","","","","","","","",""
"土井ヶ浜遺跡","[土井ヶ浜遺跡（どいがはまいせき）〔下関市〕] 土井ヶ浜遺跡 （どいがはまいせき）は、 山口県 下関市 豊北町 土井ヶ浜にある 弥生時代 前期から中期の墓地遺跡である。「戦士の墓」あるいは「英雄の墓」などと呼ばれる。","https://ja.wikipedia.org/wiki/土井ヶ浜遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度17分36.7秒 東経130度53分10.4秒","","","","","","","","","","","","","","","","","","",""
"長門国","[長門鋳銭所跡（ながとちゅうせんしょあと）〔下関市〕] 長門国 （ながとのくに）は、かつて 日本 の地方行政区分だった 令制国 の一つ。 山陽道 に属する。","https://ja.wikipedia.org/wiki/長門国","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中山忠光","[中山忠光墓（なかやまただみつはか）〔下関市〕] 中山 忠光 （なかやま ただみつ）は、 江戸時代 後期（ 幕末 期）の 公家 。 孝明天皇 の 侍従 。 天誅組 の主将。","https://ja.wikipedia.org/wiki/中山忠光","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長門市","[大日比ナツミカン原樹（おおひびなつみかんげんじゅ）〔長門市〕] 長門市 （ながとし）は、 山口県 北部、 日本海 に面した 市 。","https://ja.wikipedia.org/wiki/長門市","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度22分15.4秒東経131度10分55.9秒","","〒759-4192山口県長門市東深川1339番地2北緯34度22分15.4秒東経131度10分55.9秒﻿ / ﻿北緯34.370944度 東経131.182194度﻿ /34.370944; 131.182194﻿ (長門市)座標:北緯34度22分15.4秒東経131度10分55.9秒﻿ / ﻿北緯34.370944度 東経131.182194度﻿ /34.370944; 131.182194﻿ (長門市)市庁舎位置","","","","","","","","","","","","","","5000020352110","","",""
"青海島","[青海島鯨墓（おおみじまくじらばか）〔長門市〕] 青海島 （おおみじま、おうみじま）は、 山口県 長門市 の北、 日本海 に浮かぶ 島 である。","https://ja.wikipedia.org/wiki/青海島","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度25分44.2秒東経131度13分19.8秒","","日本山口県長門市","","","","","","","","","","","","","","","","",""
"村田清風","[村田清風旧宅及び墓（むらたせいふうきゅうたくおよびはか）〔長門市〕] 村田 清風 （むらた せいふう）は、 江戸時代 後期の 長州藩 士（ 家老 ）。 家格 大組（別名 馬廻 ）。藩主 毛利敬親 の信任の下で、長州藩の藩政改革を主導した。","https://ja.wikipedia.org/wiki/村田清風","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","通称：亀之助、四郎左衛門、織部、諱：順之、号：清風、松斎、梅堂","","","","","","","",""
"伊藤博文","[伊藤博文旧宅（いとうひろぶみきゅうたく）〔萩市〕] 伊藤 博文 （いとう ひろぶみ、 1841年 10月16日 〈 天保 12年 9月2日 〉- 1909年 〈 明治 42年〉 10月26日 ）は、 日本 の 政治家 。 位階 勲等 爵位 は 従一位 大勲位 公爵 。","https://ja.wikipedia.org/wiki/伊藤博文","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大板山たたら製鉄遺跡","[大板山たたら製鉄遺跡（おおいたやまたたらせいてついせき）〔萩市〕2012年9月19日 （世界遺産「明治日本の産業革命遺産 製鉄・製鋼、造船、石炭産業」の構成資産）] 大板山たたら製鉄遺跡 （おおいたやまたたらせいてついせき、 英語 ：Ohitayama-tatara Iron Works  ）は、 山口県 萩市 にある 江戸時代 の 製鉄所 跡である。国の 史跡 、世界遺産構成資産。","https://ja.wikipedia.org/wiki/大板山たたら製鉄遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度30分21.6秒 東経131度32分17.7秒","","","","","","","","","","","","","","","","","","",""
"木戸孝允","[木戸孝允旧宅（きどたかよしきゅうたく）〔萩市〕] 木戸 孝允 （きど たかよし、 天保 4年 6月26日 （ 1833年 8月11日 ） - 明治 10年（ 1877年 ） 5月26日 ）は、 日本 の 幕末 から 明治時代 にかけての 政治家  。号は松菊、竿鈴  。","https://ja.wikipedia.org/wiki/木戸孝允","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松下村塾","[松下村塾（しょうかそんじゅく）〔萩市〕（「明治日本の産業革命遺産 製鉄・製鋼、造船、石炭産業」の構成資産）] 松下村塾 （しょうかそんじゅく）は、 江戸時代 末期（ 幕末 ）に、 長州 萩城 下の松本村（現在の 山口県 萩市 ）に存在した 私塾 である。","https://ja.wikipedia.org/wiki/松下村塾","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度24分43.81秒 東経131度25分02.44秒","","","","","","","","","","","","","","","","","","",""
"明倫館","[旧萩藩校明倫館（きゅうはぎはんこうめいりんかん）〔萩市〕 - 水練池、有備館、明倫館碑] 明倫館 （めいりんかん）は、 長州藩 の 藩校 。 水戸藩 の 弘道館 、 岡山藩 の 閑谷黌 と並び、日本三大学府の一つと称された。","https://ja.wikipedia.org/wiki/明倫館","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度24分33.82秒 東経131度23分56.65秒","","","","","","","","","","","","","","","","","","",""
"萩往還","[萩往還（はぎおうかん）〔萩市・山口市・防府市〕] 萩往還 （はぎおうかん）は、 江戸時代 に整備された 街道 の一つ。 長門国 の 城下町 である萩（現在の 山口県 萩市 ）と 周防国 三田尻 （現在の山口県 防府市 ）とをほぼ直線に結ぶ全長約53km（厳密には52.7km  ）の街道であった。","https://ja.wikipedia.org/wiki/萩往還","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"萩城","[萩城跡（はぎじょうあと）〔萩市〕] 萩城 （はぎじょう）は、 山口県 萩市 にあった 日本の城 である。別名・指月城（しづきじょう）。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/萩城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度25分3.33秒東経131度22分56.92秒","北緯34度25分3.33秒東経131度22分56.92秒﻿ / ﻿北緯34.4175917度 東経131.3824778度﻿ /34.4175917; 131.3824778座標:北緯34度25分3.33秒東経131度22分56.92秒﻿ / ﻿北緯34.4175917度 東経131.3824778度﻿ /34.4175917; 131.3824778","","萩城","","梯郭式平山城（指月山）","慶長9年（1604年）","明治7年（1874年）","国の重要文化財（厚狭毛利家長屋）国の史跡","","","指月城","毛利輝元","長屋、石垣、堀","","毛利氏","","複合式望楼型5層5階（1608年築・非現存）","",""
"萩城下町","[萩城城下町（はぎじょうじょうかまち）〔萩市〕（「明治日本の産業革命遺産 製鉄・製鋼、造船、石炭産業」の構成資産）] 1603年 （ 慶長 8年）9月、 徳川家康 より築城の許可を得た 毛利輝元 は、10月、山口に帰着すると、藩府の候補地に防府の 桑山 、山口の 鴻ノ峰 、萩の指月山を選定。 福原広俊 を江戸に上らせ、老中 本多正信 と折衝させる。当初、福原は 山陽道 沿いの桑山、桑山が不可なら鴻ノ峰をと希望し「引こみ過ぎたる所」として指月に難色を示したが、本多は「当時の御分際にては成らざる山に候。ただ指月然るべき所に候」として指月が選定された  。町割は萩城の築城と並行して行われたと考えられ、家臣の宅地は、 1605年 （ 慶長 10年）に定められている。その前年、萩に入城した毛利輝元の命により、狩野太郎左衛門に命じて作らせた絵図が都市設計の原型となったと考えられる  。町割は道路を基本として、二の丸南門から始まる御成道が幹線道路として機能し、そこから古萩・堀内の町割を行ったものと考えられている。一方、江向や平安古地区では、御成道と道が平行しておらず、江向では御許町筋、平安古では、郊外の山田条里を基軸に採用したと「萩図誌」は言う。江向の市民会館の横の原標石は、市民会館建設の際に10メートルほど東南の現在の場所に移されたものであるが、町割の際の基準点となったものである。これらを基準に碁盤の目状に町割がなされたのであるが、平安古の鍵曲（かいまがり）や古萩の寺町一帯を始めとして城下町の防衛上の配慮から意図的に基軸からずらされた場所も散見される  。町割の頃の萩は「長門金匱」が「其の節萩は以ての外田舎にて、川上より今の御城下までは竹木茂り、堀内より浜崎までは松原にて、（中略）、今の田町通りより南東は皆沼にて、芦原の水溜まりなり、田も聢々これ無く、よき道もなし。」とあるように、城下の竹木や松原、沼地を開拓しなければならず、かなりの労を要したと考えられており  、毎年の幕府に対する普請や旧領6ヶ国の既収租米を新領主に弁済しなければならない、いわゆる「六ヶ国返租問題」でただでさえ火の車であった藩の財政悪化に拍車をかけることとなった  。","https://ja.wikipedia.org/wiki/萩城下町","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"萩反射炉","[萩反射炉（はぎはんしゃろ）〔萩市〕（「明治日本の産業革命遺産 製鉄・製鋼、造船、石炭産業」の構成資産）] 萩反射炉 （ はぎはんしゃろ 、 英語 ：Hagi Reverberatory furnace  ）は、 山口県 萩市 にある 反射炉 跡である。 煙突 部の 遺構 が現存しており、国の 史跡 に指定されている。世界遺産「 明治日本の産業革命遺産 製鉄・製鋼、造船、石炭産業 」の構成資産のひとつである。","https://ja.wikipedia.org/wiki/萩反射炉","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度25分41.35秒 東経131度25分5.87秒","","","","","","","","","","","","","","","","","","",""
"長州藩","[萩藩主毛利家墓所（はぎはんしゅもうりけぼしょ）〔萩市・山口市〕 - 天樹院墓所（毛利輝元墓所）、大照院墓所、東光寺墓所、香山墓所] 長州藩 （ちょうしゅうはん）は、 江戸時代 に 周防国 と 長門国 を領国とした 外様大名 ・ 毛利家 を藩主とする 藩 。家格は 国主 ・ 大広間 詰。","https://ja.wikipedia.org/wiki/長州藩","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"見島ジーコンボ古墳群","[見島ジーコンボ古墳群（みしまじーこんぼこふんぐん）〔萩市〕] 見島ジーコンボ古墳群 （みしまジーコンボこふんぐん）は、 山口県 萩市 見島 字片尻に所在する200基にのぼる 積石塚 の 群集墳 である。1984年（昭和59年）7月25日に、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/見島ジーコンボ古墳群","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度45分49秒東経131度09分34秒","北緯34度45分49秒東経131度09分34秒﻿ / ﻿北緯34.76361度 東経131.15944度﻿ /34.76361; 131.15944座標:北緯34度45分49秒東経131度09分34秒﻿ / ﻿北緯34.76361度 東経131.15944度﻿ /34.76361; 131.15944","〒758-0701山口県萩市見島字片尻","ジーコンボ古墳群","8世紀初頭から9世紀","","","","","積石塚","約200基","","","","国の史跡1984年（昭和59年）7月25日","","","","横穴式石室、箱式石棺","鉄製武器、農具、工具、装身具、陶器、銭貨等"
"吉田松陰","[吉田松陰幽囚ノ旧宅（よしだしょういんゆうしゅうのきゅうたく）〔萩市〕] 吉田 松陰 （よしだ しょういん）は、 日本 の 武士 （ 長州 藩士 ）、 思想家 、 教育者 。 山鹿流 兵学師範。 明治維新 の精神的 指導者 ・ 理論 者。「 松下村塾 」で 明治維新 に重要な働きをする多くの若者へ影響を与えた。","https://ja.wikipedia.org/wiki/吉田松陰","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿武郡","[白須たたら製鉄遺跡（しらすたたらせいてついせき）〔阿武郡阿武町〕] 阿武郡 （あぶぐん）は、 山口県 （ 長門国 ）の 郡 。","https://ja.wikipedia.org/wiki/阿武郡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
