"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"豪渓駅","豪渓駅（ごうけいえき）","https://ja.wikipedia.org/wiki/豪渓駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度42分23.07秒東経133度43分21.09秒","V伯備線","15.3km（倉敷起点）岡山から31.2 km","西日本旅客鉄道（JR西日本）","地上駅","1925年（大正14年）2月17日","2面3線","岡山県総社市宍粟362-2北緯34度42分23.07秒東経133度43分21.09秒﻿ / ﻿北緯34.7064083度 東経133.7225250度﻿ /34.7064083; 133.7225250﻿ (豪渓駅*)","無人駅（自動券売機 有）*1935年に宍粟駅から改称。","JR-V08","コケ","131人/日（降車客含まず）-2019年-","","","","","","","",""
"香西駅","香西駅（こうざいえき）","https://ja.wikipedia.org/wiki/香西駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度20分27.09秒東経134度0分34.29秒","■予讃線","3.4 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1952年（昭和27年）1月27日","2面2線","香川県高松市香西東町599-2北緯34度20分27.09秒東経134度0分34.29秒﻿ / ﻿北緯34.3408583度 東経134.0095250度﻿ /34.3408583; 134.0095250座標:北緯34度20分27.09秒東経134度0分34.29秒﻿ / ﻿北緯34.3408583度 東経134.0095250度﻿ /34.3408583; 134.0095250","無人駅（自動券売機 有）","○Y01","コサ","569人/日（降車客含まず）-2019年-","","","","","","","",""
"幸崎駅","幸崎駅（こうざきえき・九州旅客鉄道日豊本線）","https://ja.wikipedia.org/wiki/幸崎駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度14分1.85秒東経131度47分43.36秒","■日豊本線","151.8 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅","1914年（大正3年）4月1日[3]","2面3線[1]","大分県大分市大字本神崎260[1][2]北緯33度14分1.85秒東経131度47分43.36秒","無人駅[4][5]駅集中管理システム（Smart Support Station）採用","","コオ←コヲ","306人/日（降車客含まず）-2019年-","","","","","","","",""
"神前駅 (和歌山県)","神前駅 (和歌山県)（こうざきえき・和歌山電鐵貴志川線）","https://ja.wikipedia.org/wiki/神前駅_(和歌山県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度12分47.97秒東経135度12分18.5秒","貴志川線","2.9 km（和歌山起点）","和歌山電鐵","地上駅","1916年（大正5年）2月15日","1面1線","和歌山県和歌山市神前北緯34度12分47.97秒東経135度12分18.5秒座標:北緯34度12分47.97秒 東経135度12分18.5秒","無人駅","○04","コサ","","575人/日-2019年-","","","","","","",""
"高座渋谷駅","高座渋谷駅（こうざしぶやえき）","https://ja.wikipedia.org/wiki/高座渋谷駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度25分57秒東経139度27分53秒","江ノ島線","11.8 km（相模大野起点）新宿から44.1 km","小田急電鉄","地上駅","1929年（昭和4年）4月1日","2面2線","神奈川県大和市渋谷六丁目16番地2北緯35度25分57秒東経139度27分53秒﻿ / ﻿北緯35.43250度 東経139.46472度﻿ /35.43250; 139.46472座標:北緯35度25分57秒東経139度27分53秒﻿ / ﻿北緯35.43250度 東経139.46472度﻿ /35.43250; 139.46472","","OE07","","","25,520人/日-2019年-","","","","","","",""
"郷沢駅","郷沢駅（ごうさわえき）","https://ja.wikipedia.org/wiki/郷沢駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","■津軽線","21.1 km（青森起点）","東日本旅客鉄道（JR東日本）","地上駅","1959年（昭和34年）11月25日[1]","2面2線[1]","","無人駅[1]","","コサ","","","","","","","","",""
"剛志駅","剛志駅（ごうしえき）","https://ja.wikipedia.org/wiki/剛志駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度17分44.00秒東経139度13分26.34秒","■伊勢崎線","110.0 km（浅草起点）","東武鉄道","地上駅","1910年（明治43年）3月27日","1面2線","群馬県伊勢崎市境保泉1164-4北緯36度17分44.00秒東経139度13分26.34秒﻿ / ﻿北緯36.2955556度 東経139.2239833度﻿ /36.2955556; 139.2239833﻿ (剛志駅)座標:北緯36度17分44.00秒東経139度13分26.34秒﻿ / ﻿北緯36.2955556度 東経139.2239833度﻿ /36.2955556; 139.2239833﻿ (剛志駅)","簡易委託駅","TI23","コシ","","1,575人/日-2019年-","","","","","","",""
"甲子園駅","甲子園駅（こうしえんえき）","https://ja.wikipedia.org/wiki/甲子園駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度43分26.07秒東経135度21分47.49秒","本線*","14.1 km（大阪梅田起点）","阪神電気鉄道","高架駅[1]","1924年（大正13年）8月1日**[1]","3面4線","兵庫県西宮市甲子園七番町1-1北緯34度43分26.07秒東経135度21分47.49秒﻿ / ﻿北緯34.7239083度 東経135.3631917度﻿ /34.7239083; 135.3631917﻿ (甲子園駅)座標:北緯34度43分26.07秒東経135度21分47.49秒﻿ / ﻿北緯34.7239083度 東経135.3631917度﻿ /34.7239083; 135.3631917﻿ (甲子園駅)","","○HS 14","","","","","","26,970人/日（降車客含まず）-2019年-","","","",""
"甲子園口駅","甲子園口駅（こうしえんぐちえき）","https://ja.wikipedia.org/wiki/甲子園口駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度44分20.23秒東経135度22分28.93秒","A東海道本線（JR神戸線）","569.3km（東京起点）大阪から12.9 km","西日本旅客鉄道（JR西日本）","高架駅（盛土上）[1]","1934年（昭和9年）7月20日[1]","2面4線[1]（乗降は2面3線のみ）","兵庫県西宮市甲子園口二丁目1-36[1]北緯34度44分20.23秒東経135度22分28.93秒﻿ / ﻿北緯34.7389528度 東経135.3747028度﻿ /34.7389528; 135.3747028座標:北緯34度44分20.23秒東経135度22分28.93秒﻿ / ﻿北緯34.7389528度 東経135.3747028度﻿ /34.7389528; 135.3747028","直営駅[1]みどりの窓口有","JR-A51","コシ","18,735人/日（降車客含まず）-2019年-","","","","","","","",""
"麹町駅","麹町駅（こうじまちえき）","https://ja.wikipedia.org/wiki/麹町駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度41分2.5秒東経139度44分15.6秒","●[1]有楽町線","18.4 km（和光市起点）","東京地下鉄（東京メトロ）","地下駅","1974年（昭和49年）10月30日","2面2線（2層式）","東京都千代田区麹町三丁目2北緯35度41分2.5秒東経139度44分15.6秒﻿ / ﻿北緯35.684028度 東経139.737667度﻿ /35.684028; 139.737667座標:北緯35度41分2.5秒東経139度44分15.6秒﻿ / ﻿北緯35.684028度 東経139.737667度﻿ /35.684028; 139.737667","","Y15[1]","コウ","","65,607人/日-2019年-","","","","","","",""
"糀谷駅","糀谷駅（こうじやえき）","https://ja.wikipedia.org/wiki/糀谷駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度33分16.4秒東経139度43分47秒","■空港線","0.9 km（京急蒲田起点）","京浜急行電鉄","高架駅","1902年（明治35年）6月28日","相対式 2面2線","東京都大田区西糀谷四丁目13-19北緯35度33分16.4秒東経139度43分47秒﻿ / ﻿北緯35.554556度 東経139.72972度﻿ /35.554556; 139.72972座標:北緯35度33分16.4秒東経139度43分47秒﻿ / ﻿北緯35.554556度 東経139.72972度﻿ /35.554556; 139.72972","","KK12","","","28,843人/日-2019年-","","","","","","",""
"神志山駅","神志山駅（こうしやまえき）","https://ja.wikipedia.org/wiki/神志山駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","紀勢本線","164.1 km（亀山起点）","東海旅客鉄道（JR東海）","地上駅","1940年（昭和15年）8月8日[1]","2面2線","","駅員無配置駅","","コシ","84人/日（降車客含まず）-2019年-","","","","","","","",""
"甲州街道駅","甲州街道駅（こうしゅうかいどうえき）","https://ja.wikipedia.org/wiki/甲州街道駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度40分41.90秒東経139度24分32.88秒","多摩都市モノレール線","8.0 km（上北台起点）","多摩都市モノレール","高架駅","2000年（平成12年）1月10日[1]","2面2線","東京都日野市大字日野1030番地北緯35度40分41.90秒東経139度24分32.88秒﻿ / ﻿北緯35.6783056度 東経139.4091333度﻿ /35.6783056; 139.4091333座標:北緯35度40分41.90秒東経139度24分32.88秒﻿ / ﻿北緯35.6783056度 東経139.4091333度﻿ /35.6783056; 139.4091333","","TT09","","","9,087人/日-2019年-","","","","","","",""
"光珠内駅","光珠内駅（こうしゅないえき）","https://ja.wikipedia.org/wiki/光珠内駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯43度17分33.3秒東経141度50分41.2秒","■函館本線","339.8 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1948年（昭和23年）11月5日","2面3線","北海道美唄市光珠内町北北緯43度17分33.3秒東経141度50分41.2秒","無人駅","○A15","コウ","21人/日（降車客含まず）-2014年-","","","","","","","",""
"神代駅 (山口県)","神代駅 (山口県)（こうじろえき・西日本旅客鉄道山陽本線）","https://ja.wikipedia.org/wiki/神代駅_(山口県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度59分55秒東経132度12分31.27秒","■山陽本線","366.8 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅","1944年（昭和19年）10月11日*","2面2線","山口県岩国市由宇町神東区原北緯33度59分55秒東経132度12分31.27秒﻿ / ﻿北緯33.99861度 東経132.2086861度﻿ /33.99861; 132.2086861座標:北緯33度59分55秒東経132度12分31.27秒﻿ / ﻿北緯33.99861度 東経132.2086861度﻿ /33.99861; 132.2086861","無人駅（自動券売機 有）","","コロ","69人/日（降車客含まず）-2019年-","","","","","","","",""
"神代駅 (長崎県)","神代駅 (長崎県)（こうじろえき・島原鉄道）","https://ja.wikipedia.org/wiki/神代駅_(長崎県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯32度52分17.82秒東経130度16分11.16秒","■島原鉄道線","25.5 km（諫早起点）","島原鉄道","地上駅","1912年（大正元年）10月10日","2面2線","長崎県雲仙市国見町川北北緯32度52分17.82秒東経130度16分11.16秒﻿ / ﻿北緯32.8716167度 東経130.2697667度﻿ /32.8716167; 130.2697667﻿ (神代駅)","* 年間乗車人員を日数で除算","","","*79人/日（降車客含まず）-2017年-","152人/日-2017年-","","","","","","",""
"庚申塚停留場","庚申塚停留場（こうしんづかていりゅうじょう）","https://ja.wikipedia.org/wiki/庚申塚停留場","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度44分22.3秒東経139度43分46.7秒","都電荒川線（東京さくらトラム）","7.8 km（三ノ輪橋起点）","東京都交通局","地上駅","1911年（明治44年）8月20日","2面2線","東京都豊島区西巣鴨二丁目北緯35度44分22.3秒東経139度43分46.7秒﻿ / ﻿北緯35.739528度 東経139.729639度﻿ /35.739528; 139.729639座標:北緯35度44分22.3秒東経139度43分46.7秒﻿ / ﻿北緯35.739528度 東経139.729639度﻿ /35.739528; 139.729639","","SA21","","","2,450[1]人/日-2019年-","","","","","","",""
"甲西駅","甲西駅（こうせいえき）","https://ja.wikipedia.org/wiki/甲西駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度0分2.29秒東経136度4分56.57秒","C草津線","24.3 km（柘植起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1981年（昭和56年）10月1日","1面1線","滋賀県湖南市平松20-14北緯35度0分2.29秒東経136度4分56.57秒﻿ / ﻿北緯35.0006361度 東経136.0823806度﻿ /35.0006361; 136.0823806座標:北緯35度0分2.29秒東経136度4分56.57秒﻿ / ﻿北緯35.0006361度 東経136.0823806度﻿ /35.0006361; 136.0823806","業務委託駅","","セイ","2,318人/日（降車客含まず）-2019年-","","","","","","","",""
"光善寺駅","光善寺駅（こうぜんじえき）","https://ja.wikipedia.org/wiki/光善寺駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度47分52.51秒東経135度37分48.8秒","■京阪本線","19.1 km（淀屋橋起点）","京阪電気鉄道","地上駅（橋上駅）","1910年（明治43年）12月15日","2面2線","大阪府枚方市北中振一丁目17-15北緯34度47分52.51秒東経135度37分48.8秒﻿ / ﻿北緯34.7979194度 東経135.630222度﻿ /34.7979194; 135.630222﻿ (光善寺駅)","","KH  19","光（駅名略称形式）","","21,799人/日-2019年-","","","","","","",""
"高蔵寺駅","高蔵寺駅（こうぞうじえき）","https://ja.wikipedia.org/wiki/高蔵寺駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","CF中央本線（名古屋地区）","372.9 km（東京起点）名古屋から24.0 km","東海旅客鉄道（JR東海）愛知環状鉄道（愛環）","地上駅（盛土上）","1900年（明治33年）7月25日","3面5線","","共同使用駅（JR東海の管轄駅）駅長配置駅（管理駅）JR全線きっぷうりば有","CF  09 ","コソ","（JR東海）20,403人/日（降車客含まず）-2019年-","（愛環）11,129人/日-2019年-","","","","","","",""
"高速神戸駅","高速神戸駅（こうそくこうべえき）","https://ja.wikipedia.org/wiki/高速神戸駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度40分45.7秒東経135度10分27.98秒","■阪神神戸高速線（東西線）","3.5km（西代起点**）大阪梅田から33.6 km","阪神電気鉄道*阪急電鉄*（神戸高速鉄道）","地下駅[1]","1968年（昭和43年）4月7日[1]","2面4線[1]","神戸市中央区多聞通三丁目3-13[1]北緯34度40分45.7秒東経135度10分27.98秒﻿ / ﻿北緯34.679361度 東経135.1744389度﻿ /34.679361; 135.1744389﻿ (高速神戸駅)座標:北緯34度40分45.7秒東経135度10分27.98秒﻿ / ﻿北緯34.679361度 東経135.1744389度﻿ /34.679361; 135.1744389﻿ (高速神戸駅)","*共同使用駅（阪神の管轄駅）** 起点→終点の方向が上りとなる*** 当駅 - 新開地間は阪神・阪急の重複区間","HS35","","16,219人/日（降車客含まず）-2019年-","","JR西日本神戸駅神戸市営地下鉄海岸線ハーバーランド駅","","","","","",""
