"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","駅番号","備考","電報略号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","通称","国","種類","起点","終点","駅数"
"串本駅","串本駅（くしもとえき）","https://ja.wikipedia.org/wiki/串本駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度28分31.74秒東経135度46分54.88秒","W紀勢本線（きのくに線）","221.8km（亀山起点）新宮から41.6 km","西日本旅客鉄道（JR西日本）","地上駅","1936年（昭和11年）12月11日[1]","和歌山県東牟婁郡串本町串本33-2北緯33度28分31.74秒東経135度46分54.88秒","2面3線","","直営駅みどりの窓口有","クト","","328人/日（降車客含まず）-2019年-","","","","","","",""
"九条駅 (奈良県)","九条駅 (奈良県)（くじょうえき・近鉄橿原線）","https://ja.wikipedia.org/wiki/九条駅_(奈良県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度39分33.48秒東経135度46分58.87秒","B橿原線","4.0km（大和西大寺起点）京都から38.6 km","近畿日本鉄道（近鉄）","地上駅（地下駅舎）","1921年（大正10年）4月1日","奈良県大和郡山市九条町出口375北緯34度39分33.48秒東経135度46分58.87秒﻿ / ﻿北緯34.6593000度 東経135.7830194度﻿ /34.6593000; 135.7830194座標:北緯34度39分33.48秒東経135度46分58.87秒﻿ / ﻿北緯34.6593000度 東経135.7830194度﻿ /34.6593000; 135.7830194","2面2線"," B29 ","","クシヨ","","2,323人/日（降車客含まず）-2018年-","","","","","","",""
"九条駅 (京都府)","九条駅 (京都府)（くじょうえき・京都市営地下鉄烏丸線）","https://ja.wikipedia.org/wiki/九条駅_(京都府)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度58分44.63秒東経135度45分34.79秒","烏丸線","11.1 km（国際会館起点）","京都市交通局（京都市営地下鉄）","地下駅","1988年（昭和63年）6月11日","京都市南区東九条南烏丸町北緯34度58分44.63秒東経135度45分34.79秒﻿ / ﻿北緯34.9790639度 東経135.7596639度﻿ /34.9790639; 135.7596639座標:北緯34度58分44.63秒東経135度45分34.79秒﻿ / ﻿北緯34.9790639度 東経135.7596639度﻿ /34.9790639; 135.7596639","1面2線","●K12","","","5,400人/日-2019年-","","","","","","","",""
"九条駅 (大阪府)","九条駅 (大阪府)（くじょうえき・大阪メトロ中央線・阪神なんば線）","https://ja.wikipedia.org/wiki/九条駅_(大阪府)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","大阪市高速電気軌道（駅詳細）阪神電気鉄道（駅詳細）","","","大阪市西区九条一丁目","","","","","","","","","","","","",""
"公庄駅","公庄駅（ぐじょうえき）","https://ja.wikipedia.org/wiki/公庄駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度22分18.63秒東経135度7分45.48秒","宮福線","10.0 km（*福知山起点）","WILLER TRAINS（京都丹後鉄道）","地上駅（ホームは盛土上）","1988年（昭和63年）7月16日[1]","京都府福知山市大江町公庄北緯35度22分18.63秒東経135度7分45.48秒﻿ / ﻿北緯35.3718417度 東経135.1293000度﻿ /35.3718417; 135.1293000﻿ (公庄駅)座標:北緯35度22分18.63秒東経135度7分45.48秒﻿ / ﻿北緯35.3718417度 東経135.1293000度﻿ /35.3718417; 135.1293000﻿ (公庄駅)","1面1線","F6","無人駅* 正式な起点は宮津駅","","","0人/日（降車客含まず）-2018年-","","","","","","",""
"郡上八幡駅","郡上八幡駅（ぐじょうはちまんえき）","https://ja.wikipedia.org/wiki/郡上八幡駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度44分30.95秒東経136度56分50.63秒","越美南線[1]","46.9 km（美濃太田起点）","長良川鉄道[1]","地上駅","1929年12月8日[2]","岐阜県郡上市八幡町稲成北緯35度44分30.95秒東経136度56分50.63秒﻿ / ﻿北緯35.7419306度 東経136.9473972度﻿ /35.7419306; 136.9473972座標:北緯35度44分30.95秒東経136度56分50.63秒﻿ / ﻿北緯35.7419306度 東経136.9473972度﻿ /35.7419306; 136.9473972","2面3線","25","駅員配置駅（自動券売機設置）","マン","","137人/日（降車客含まず）-2015年-","","","","","","",""
"郡上大和駅","郡上大和駅（ぐじょうやまとえき）","https://ja.wikipedia.org/wiki/郡上大和駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度48分54.82秒東経136度53分41.64秒","越美南線","57.3 km（美濃太田起点）","長良川鉄道","地上駅","1932年7月9日[1]","岐阜県郡上市大和町剣字小倉北緯35度48分54.82秒東経136度53分41.64秒﻿ / ﻿北緯35.8152278度 東経136.8949000度﻿ /35.8152278; 136.8949000座標:北緯35度48分54.82秒東経136度53分41.64秒﻿ / ﻿北緯35.8152278度 東経136.8949000度﻿ /35.8152278; 136.8949000","2面2線","29","","マトヤミ（転換前）","","13人/日（降車客含まず）-2015年-","","","","","","",""
"鯨波駅","鯨波駅（くじらなみえき）","https://ja.wikipedia.org/wiki/鯨波駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯37度21分21.32秒東経138度31分4.66秒","■信越本線","32.6 km（直江津起点）","東日本旅客鉄道（JR東日本）","地上駅（盛土上）","1904年（明治37年）4月1日[1]","新潟県柏崎市鯨波[1]一丁目3北緯37度21分21.32秒東経138度31分4.66秒座標:北緯37度21分21.32秒 東経138度31分4.66秒","2面2線[1]","","無人駅[1]（自動券売機 有）","クナ","","","","","","","","",""
"釧路駅","釧路駅（くしろえき・北海道旅客鉄道根室本線）","https://ja.wikipedia.org/wiki/釧路駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯42度59分24.9秒東経144度22分56.1秒","■根室本線*（■釧網本線直通含む）","308.4 km（滝川起点）","北海道旅客鉄道（JR北海道）","地上駅","1901年（明治34年）7月20日[1]（初代）1917年（大正6年）12月1日（2代目）[1]","北海道釧路市黒金町（初代）[1]北大通14丁目5（2代目）北緯42度59分24.9秒東経144度22分56.1秒﻿ / ﻿北緯42.990250度 東経144.382250度﻿ /42.990250; 144.382250﻿ (釧路駅)","3面5線","○K53","直営駅（管理駅）みどりの窓口有","クシ","","977人/日（降車客含まず）-2019年-","","","","","","",""
"久代駅","久代駅（くしろえき・西日本旅客鉄道山陰本線）","https://ja.wikipedia.org/wiki/久代駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度56分58.52秒東経132度8分20.96秒","D山陰本線","465.6 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1959年（昭和34年）3月1日","島根県浜田市久代町221北緯34度56分58.52秒東経132度8分20.96秒﻿ / ﻿北緯34.9495889度 東経132.1391556度﻿ /34.9495889; 132.1391556﻿ (久代駅)","1面1線","","無人駅","クシ","","3人/日（降車客含まず）-2018年-","","","","","","",""
"新富士駅 (北海道)","釧路貨物駅（くしろかもつえき）","https://ja.wikipedia.org/wiki/新富士駅_(北海道)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯43度0分6.43秒東経144度20分59.41秒","■根室本線","305.7 km（滝川起点）","北海道旅客鉄道（JR北海道）","地上駅","1923年（大正12年）12月25日[1]","北海道釧路市新富士町3丁目北緯43度0分6.43秒東経144度20分59.41秒﻿ / ﻿北緯43.0017861度 東経144.3498361度﻿ /43.0017861; 144.3498361﻿ (新富士駅)座標:北緯43度0分6.43秒東経144度20分59.41秒﻿ / ﻿北緯43.0017861度 東経144.3498361度﻿ /43.0017861; 144.3498361﻿ (新富士駅)","1面2線","○K52","無人駅","シフ","42人/日-2014年-","","","","","","","",""
"釧路湿原駅","釧路湿原駅（くしろしつげんえき）","https://ja.wikipedia.org/wiki/釧路湿原駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯43度6分2.3秒東経144度26分52.4秒","■釧網本線","151.5 km（網走起点）","北海道旅客鉄道（JR北海道）","地上駅","1988年（昭和63年）7月23日","北海道釧路郡釧路町字トリトウシ原野南5線27-4北緯43度6分2.3秒東経144度26分52.4秒","1面1線","○B56","無人駅","シツ","12人/日-2014年-","","","","","","","",""
"櫛原駅","櫛原駅（くしわらえき）","https://ja.wikipedia.org/wiki/櫛原駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度19分11.79秒東経130度31分27.61秒","■天神大牟田線","37.7 km（西鉄福岡（天神）起点）","西日本鉄道","地上駅","1924年（大正13年）4月12日","福岡県久留米市南薫町北緯33度19分11.79秒東経130度31分27.61秒﻿ / ﻿北緯33.3199417度 東経130.5243361度﻿ /33.3199417; 130.5243361座標:北緯33度19分11.79秒東経130度31分27.61秒﻿ / ﻿北緯33.3199417度 東経130.5243361度﻿ /33.3199417; 130.5243361","2面2線","T  26 ","","","1,064人/日-2019年-","","","","","","","",""
"楠駅","楠駅（くすえき）","https://ja.wikipedia.org/wiki/楠駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度54分15.81秒東経136度37分52.1秒","E名古屋線","34.6 km（伊勢中川起点）","近畿日本鉄道（近鉄）","地上駅","1917年（大正6年）12月22日","三重県四日市市楠町南川22北緯34度54分15.81秒東経136度37分52.1秒﻿ / ﻿北緯34.9043917度 東経136.631139度﻿ /34.9043917; 136.631139座標:北緯34度54分15.81秒東経136度37分52.1秒﻿ / ﻿北緯34.9043917度 東経136.631139度﻿ /34.9043917; 136.631139","2面2線"," E26 ","","クス","","913人/日（降車客含まず）-2019年-","","","","","","",""
"葛駅","葛駅（くずえき）","https://ja.wikipedia.org/wiki/葛駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度25分53.33秒東経135度45分35.72秒","F吉野線","7.9km（橿原神宮前起点）大阪阿部野橋から47.6 km","近畿日本鉄道（近鉄）","地上駅","1923年（大正12年）12月5日","奈良県御所市戸毛981-3北緯34度25分53.33秒東経135度45分35.72秒﻿ / ﻿北緯34.4314806度 東経135.7599222度﻿ /34.4314806; 135.7599222座標:北緯34度25分53.33秒東経135度45分35.72秒﻿ / ﻿北緯34.4314806度 東経135.7599222度﻿ /34.4314806; 135.7599222","1面1線"," F47 ","無人駅","クツ","","201人/日（降車客含まず）-2018年-","","","","","","",""
"葛生駅","葛生駅（くずうえき）","https://ja.wikipedia.org/wiki/葛生駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度23分53.36秒東経139度36分32.13秒","■佐野線","22.1 km（館林起点）","東武鉄道","地上駅","1894年（明治27年）3月20日","栃木県佐野市葛生東一丁目1-5北緯36度23分53.36秒東経139度36分32.13秒﻿ / ﻿北緯36.3981556度 東経139.6089250度﻿ /36.3981556; 139.6089250﻿ (葛生駅)座標:北緯36度23分53.36秒東経139度36分32.13秒﻿ / ﻿北緯36.3981556度 東経139.6089250度﻿ /36.3981556; 139.6089250﻿ (葛生駅)","1面1線","TI39","","クズ","936人/日-2019年-","","","","","","","",""
"葛岡駅","葛岡駅（くずおかえき）","https://ja.wikipedia.org/wiki/葛岡駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯38度16分7.2秒東経140度49分4秒","■仙山線","10.1 km（仙台起点）","東日本旅客鉄道（JR東日本）","地上駅（盛土上）","1991年（平成3年）3月16日[1]","仙台市青葉区郷六字葛岡下49[1]北緯38度16分7.2秒東経140度49分4秒﻿ / ﻿北緯38.268667度 東経140.81778度﻿ /38.268667; 140.81778﻿ (葛岡駅)座標:北緯38度16分7.2秒東経140度49分4秒﻿ / ﻿北緯38.268667度 東経140.81778度﻿ /38.268667; 140.81778﻿ (葛岡駅)","1面1線[2]","","無人駅仙台市内駅","クオ","","426人/日（降車客含まず）-2007年-","","","","","","",""
"久寿川駅","久寿川駅（くすがわえき）","https://ja.wikipedia.org/wiki/久寿川駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度43分37.04秒東経135度21分24.62秒","本線","14.8 km（大阪梅田起点）","阪神電気鉄道","地上駅[1]","1905年（明治38年）4月12日[1]","兵庫県西宮市今津曙町13-25北緯34度43分37.04秒東経135度21分24.62秒﻿ / ﻿北緯34.7269556度 東経135.3568389度﻿ /34.7269556; 135.3568389﻿ (久寿川駅*)座標:北緯34度43分37.04秒東経135度21分24.62秒﻿ / ﻿北緯34.7269556度 東経135.3568389度﻿ /34.7269556; 135.3568389﻿ (久寿川駅*)","2面2線[1]","○HS 15","*1926年に今津駅から改称[1]","","","","","","","","","",""
"楠久駅","楠久駅（くすくえき）","https://ja.wikipedia.org/wiki/楠久駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度17分29.43秒東経129度49分35.73秒","■西九州線","18.6 km（有田起点）","松浦鉄道","地上駅","1930年（昭和5年）3月21日1988年（昭和63年）4月1日（転換）","佐賀県伊万里市山代町楠久北緯33度17分29.43秒東経129度49分35.73秒","2面2線","","","クス","74人/日-2017年-","39人/日（降車客含まず）-2017年-","","","","","","",""
"樟葉駅","樟葉駅（くずはえき）","https://ja.wikipedia.org/wiki/樟葉駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度51分43.16秒東経135度40分30.98秒","■京阪本線","27.7 km（淀屋橋起点）","京阪電気鉄道","高架駅","1910年（明治43年）4月15日","大阪府枚方市楠葉花園町14-1北緯34度51分43.16秒東経135度40分30.98秒﻿ / ﻿北緯34.8619889度 東経135.6752722度﻿ /34.8619889; 135.6752722﻿ (樟葉駅)","2面4線","KH  24","","樟（駅名略称方式）","60,402人/日-2019年-","","","","","","","",""
"楠橋駅","楠橋駅（くすばしえき）","https://ja.wikipedia.org/wiki/楠橋駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度47分21.01秒東経130度43分28.77秒","筑豊電気鉄道線","11.5 km（黒崎駅前起点）","筑豊電気鉄道","地上駅","1958年（昭和33年）4月29日","北九州市八幡西区楠橋下方三丁目1985-2北緯33度47分21.01秒東経130度43分28.77秒","2面2線","CK 16","無人駅","","530人/日-2019年-","","","","","","","",""
