"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","球場規模","所有者","グラウンド","照明","開場","管理・運用者","フェンス","スコアボード","設計者","起工","創設","監督","閉場","建設者","建設費","分類","面積","運営者"
"信濃グランセローズ","[信濃グランセローズ- 長野市営南長野運動公園総合運動場野球場（長野オリンピックスタジアム[注釈 2] 信濃グランセローズ （しなのグランセローズ、Shinano Grandserows）は、 プロ野球 独立リーグ ・ ベースボール・チャレンジ・リーグ （ルートインBCリーグ）に所属する 長野県 のプロ野球チーム。 2007年 加盟。","https://ja.wikipedia.org/wiki/信濃グランセローズ","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2006年","柳沢裕一","","","","","",""
"新潟アルビレックス・ベースボール・クラブ","[新潟アルビレックス・ベースボール・クラブ-新潟県立野球場（HARD OFF ECOスタジアム新潟[注釈 3] 新潟アルビレックス・ベースボール・クラブ （Niigata Albirex Baseball Club）は、 新潟県 に本拠を置く プロ野球 チームである。2007年より 独立リーグ ・ ベースボール・チャレンジ・リーグ （ルートインBCリーグ）に加盟している。","https://ja.wikipedia.org/wiki/新潟アルビレックス・ベースボール・クラブ","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2006年","橋上秀樹","","","","","",""
"富山GRNサンダーバーズ","[富山GRNサンダーバーズ-高岡西部総合公園野球場（ボールパーク高岡、富山県・高岡市）] 富山GRNサンダーバーズ （とやまGRNサンダーバーズ、Toyama GRN Thunderbirds）は、 プロ野球 独立リーグ ・ ベースボール・チャレンジ・リーグ （ルートインBCリーグ）に所属する 富山県 のプロ 野球 チーム。","https://ja.wikipedia.org/wiki/富山GRNサンダーバーズ","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度45分55.1秒 東経136度59分51.7秒","","","","","","","","","","","","2006年","吉岡雄二","","","","","",""
"石川ミリオンスターズ","[石川ミリオンスターズ-金沢市民球場（石川県・金沢市）] 石川ミリオンスターズ （いしかわミリオンスターズ、Ishikawa Million Stars）は、 プロ野球 独立リーグ ・ ベースボール・チャレンジ・リーグ （ルートインBCリーグ）に所属する 石川県 のプロ野球チーム。 2007年 加盟。「ミリスタ」または「M's」が 略称 として使用される。","https://ja.wikipedia.org/wiki/石川ミリオンスターズ","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2006年","田口竜二","","","","","",""
"福井ワイルドラプターズ","[福井ワイルドラプターズ-福井市スポーツ公園野球場（福井フェニックススタジアム、福井県・福井市）] 福井ワイルドラプターズ （ふくい ワイルドラプターズ、 Fukui Wilid Raptors ）は、 プロ野球 独立リーグ ・ ベースボール・チャレンジ・リーグ （ルートインBCリーグ）に所属する 福井県 のプロ野球チーム。 2008年 加盟。リーグ戦加盟から2019年シーズンまでのチーム名は 福井ミラクルエレファンツ であったが、後述する経営母体の変更に伴い、球団名を変更した  。","https://ja.wikipedia.org/wiki/福井ワイルドラプターズ","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2007年","福沢卓宏","","","","","",""
"オセアン滋賀ブラックス","[オセアン滋賀ブラックス-守山市民球場（滋賀県・守山市）] 2019年までの名称は「 滋賀ユナイテッドベースボールクラブ 」。後述の通り、2019年シーズンはパートナー契約に基づく 命名権 により、「 オセアン滋賀ユナイテッドベースボールクラブ 」の呼称が使用されていた。","https://ja.wikipedia.org/wiki/オセアン滋賀ブラックス","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2016年","柳川洋平","","","","","",""
"和歌山ファイティングバーズ","[和歌山ファイティングバーズ-田辺スポーツパーク野球場（和歌山県・田辺市）、上富田スポーツセンター野球場（和歌山県・西牟婁郡上富田町）] 和歌山ファイティングバーズ （わかやまファイティングバーズ、 Wakayama Fighthing Birds ）は、 さわかみ関西独立リーグ （旧・BASEBALL FIRST LEAGUE<ベースボール・ファースト・リーグ>）に加盟する 和歌山県 の プロ野球 チームで、 2017年 よりリーグ戦に参加している。","https://ja.wikipedia.org/wiki/和歌山ファイティングバーズ","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2016年","川原昭二","","","","","",""
"06BULLS","[06BULLS-花園中央公園野球場（花園セントラルスタジアム、大阪府・東大阪市）] 06BULLS （ゼロロクブルズ）は、 2011年 に 大阪府 東大阪市 で発足した野球チーム。 2011年 から 関西独立リーグ (初代) に加盟し、 2012年 のシーズンから公式戦に参加した。2013年のシーズン終了後に関西独立リーグ(初代)を脱退し、2014年からは兵庫ブルーサンダーズ（現・ 神戸三田ブレイバーズ ）とともに設立した 関西独立リーグ (2代目) （旧・BASEBALL FIRST LEAGUE<ベースボール・ファースト・リーグ>）に加盟している  。","https://ja.wikipedia.org/wiki/06BULLS","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2011年","桜井広大","","","","","",""
"堺シュライクス","[堺シュライクス-原池公園野球場（くら寿司スタジアム堺、大阪府・堺市）] リーグでは5番目の球団として設立された。球団社長の知人が運営する会社が、リーグと選手のセカンドキャリア支援イベントを共催したことで、新球団設立の勧誘があったとされる   。","https://ja.wikipedia.org/wiki/堺シュライクス","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2018年","大西宏明","","","","","",""
"神戸三田ブレイバーズ","[神戸三田ブレイバーズ-城山公園野球場（アメニスキッピースタジアム、兵庫県・三田市）] プロ野球 独立リーグ ・ 旧関西独立リーグ に 2011年 より参入。2013年シーズン終了後に関西独立リーグを脱退し、 2014年 からは 06BULLS とともに設立した さわかみ関西独立リーグ   に加盟している。","https://ja.wikipedia.org/wiki/神戸三田ブレイバーズ","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2011年","橋本大祐","","","","","",""
"香川オリーブガイナーズ","[香川オリーブガイナーズ-香川県営野球場（レクザムスタジアム、香川県・高松市）] 香川オリーブガイナーズ （かがわオリーブガイナーズ、 Kagawa Olive Guyners ）は、 プロ野球 独立リーグ ・ 四国アイランドリーグplus に所属する 香川県 の野球チーム。 2005年 加盟。略称「 香川OG 」。","https://ja.wikipedia.org/wiki/香川オリーブガイナーズ","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2005年","近藤智勝","","","","","",""
"徳島インディゴソックス","[徳島インディゴソックス-徳島県営蔵本球場（むつみスタジアム、徳島県・徳島市）] 徳島インディゴソックス （とくしまインディゴソックス 、 Tokushima Indigo Socks ）は、 プロ野球 独立リーグ ・ 四国アイランドリーグplus に所属する 徳島県 の野球チーム。 2005年 加盟。略称「 徳島IS 」。","https://ja.wikipedia.org/wiki/徳島インディゴソックス","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2005年","吉田篤史","","","","","",""
"高知ファイティングドッグス","[高知ファイティングドッグス-高知市野球場（高知県・高知市）] 高知ファイティングドッグス （こうちファイティングドッグス、 Kochi Fighting Dogs ）は、 プロ野球 独立リーグ ・ 四国アイランドリーグplus に所属する 高知県 の野球チーム。 2005年 加盟。略称「 高知FD 」。","https://ja.wikipedia.org/wiki/高知ファイティングドッグス","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2005年","吉田豊彦","","","","","",""
"愛媛マンダリンパイレーツ","[愛媛マンダリンパイレーツ-松山中央公園野球場（坊っちゃんスタジアム、愛媛県・松山市）] 愛媛マンダリンパイレーツ （えひめマンダリンパイレーツ、 Ehime Mandarin Pirates ）は、 プロ野球 独立リーグ ・ 四国アイランドリーグplus に所属する 愛媛県 の野球チーム。 2005年 加盟。略称「 愛媛MP 」。","https://ja.wikipedia.org/wiki/愛媛マンダリンパイレーツ","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2005年","河原純一","","","","","",""
"大分B-リングス","[大分B-リングス-大洲総合運動公園硬式野球場（別大興産スタジアム、大分県・大分市）] 大分県に所在する初のプロ野球チームである  。","https://ja.wikipedia.org/wiki/大分B-リングス","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2020年","廣田浩章","","","","","",""
"火の国サラマンダーズ","[火の国サラマンダーズ-藤崎台県営野球場（リプワーク藤崎台球場、熊本県・熊本市）] 熊本県 に所在する初のプロ野球チームである   。クラブチームが前身の独立リーグ球団は過去にも事例が存在するが  、 都市対抗野球大会 本戦に出場歴のあるチームのプロ化は初となる。","https://ja.wikipedia.org/wiki/火の国サラマンダーズ","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2020年","細川亨","","","","","",""
"埼玉アストライア","[埼玉アストライア- 埼玉県・さいたま市] 埼玉アストライア （SAITAMA Astraia）は、 日本女子プロ野球機構 （JWBL）に所属するプロ野球チーム。","https://ja.wikipedia.org/wiki/埼玉アストライア","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2013年","新原千恵","","","","","",""
