"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","初登頂","法人番号","最新噴火","国","地方","都道府県","市町村コード","面積","総人口","人口密度","隣接自治体","市の木","市の花","市長"
"安峰山 (存在しないページ)","[118安峰山あんぼさん1,058高屋市・飛騨市]","https://ja.wikipedia.org/w/index.php?title=安峰山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"観音山 (飛騨市) (存在しないページ)","[119観音山かんのんやま802.70　三等洞山飛騨市神岡町]","https://ja.wikipedia.org/w/index.php?title=観音山_(飛騨市)&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"穂高岳","[120涸沢岳からさわだけ3,110（三等・3,103.08）（奥穂高）飛騨市・長野県松本市飛騨山脈] 穂高岳 （ほたかだけ）は、 中部山岳国立公園  の 飛驒山脈 にある 標高 3,190 m の 山 （奥穂高岳）を主峰とする山々の総称。 日本第3位 の高峰。 日本百名山  、 新日本百名山  及び 花の百名山  に選定されている。これらの山々は 穂高連峰 とも称され、 槍ヶ岳 とともに 槍・穂高連峰 とも称される  。","https://ja.wikipedia.org/wiki/穂高岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度17分21秒東経137度38分53秒","長野県松本市、岐阜県高山市","3,190m","北緯36度17分21秒東経137度38分53秒﻿ / ﻿北緯36.28917度 東経137.64806度﻿ /36.28917; 137.64806座標:北緯36度17分21秒東経137度38分53秒﻿ / ﻿北緯36.28917度 東経137.64806度﻿ /36.28917; 137.64806","飛驒山脈","","1906年(阿部郡治)","","","","","","","","","","","","",""
"抜戸岳","[121抜戸岳ぬけどだけ2,812.80　三等奥笠ケ岳飛騨市飛騨山脈] 抜戸岳 （ぬけどだけ）は、 岐阜県 高山市  にある 飛騨山脈 南部の 標高 2,812.8 m の山。","https://ja.wikipedia.org/wiki/抜戸岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度19分40秒東経137度34分30秒","日本岐阜県高山市","2,812.80m","北緯36度19分40秒東経137度34分30秒﻿ / ﻿北緯36.32778度 東経137.57500度﻿ /36.32778; 137.57500座標:北緯36度19分40秒東経137度34分30秒﻿ / ﻿北緯36.32778度 東経137.57500度﻿ /36.32778; 137.57500","飛騨山脈","","","","","","","","","","","","","","",""
"南岳","[122南岳みなみだけ3,032.68　三等北穂高飛騨市・長野県松本市南岳小屋] 南岳 （みなみだけ）は、 長野県 松本市 と 岐阜県 高山市 にまたがる 飛騨山脈 南部に位置する 標高 3,033 m の 山 である。山域は 中部山岳国立公園 に指定されている  。南岳と 北穂高岳 との間には 大キレット （大切戸）と呼ばれる痩せ尾根の断崖絶壁が続く。","https://ja.wikipedia.org/wiki/南岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度19分08秒東経137度39分03秒","日本長野県松本市・岐阜県高山市","3,032.88m","北緯36度19分08秒東経137度39分03秒﻿ / ﻿北緯36.31889度 東経137.65083度﻿ /36.31889; 137.65083座標:北緯36度19分08秒東経137度39分03秒﻿ / ﻿北緯36.31889度 東経137.65083度﻿ /36.31889; 137.65083","飛騨山脈","","","","","","","","","","","","","","",""
"弓折岳","[123弓折岳ゆみおりだけ2,592（三等・2,588.37）中平飛騨市] 弓折岳 （ゆみおりだけ、ゆみおれだけ   ）は、 岐阜県 高山市 にある 飛騨山脈 南部の 標高 2,592 m の 山 。弓折岳を含む飛騨山脈の主な山域は 1934年 （ 昭和 9年）12月4日に 中部山岳国立公園 の指定を受けている  。山頂は台地状  。 花の百名山  、 続ぎふ百山  の一つに選定されている。東山腹にある鏡平が、新高山市100景の一つに選定されている  。","https://ja.wikipedia.org/wiki/弓折岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度20分58秒東経137度35分48秒","日本岐阜県高山市","2,592m","北緯36度20分58秒東経137度35分48秒﻿ / ﻿北緯36.34944度 東経137.59667度﻿ /36.34944; 137.59667座標:北緯36度20分58秒東経137度35分48秒﻿ / ﻿北緯36.34944度 東経137.59667度﻿ /36.34944; 137.59667","飛騨山脈（北アルプス）","","","","","","","","","","","","","","",""
"ハシゴの辻 (存在しないページ)","[124ハシゴの辻はしごのつじ1,793.77　二等本谷飛騨市]","https://ja.wikipedia.org/w/index.php?title=ハシゴの辻&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"大鼠山 (存在しないページ)","[125大鼠山おおねずみやま1,584.71　三等大鼠飛騨市最高点約1,590 m]","https://ja.wikipedia.org/w/index.php?title=大鼠山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"池ノ尾山 (存在しないページ)","[126池ノ尾山いけのおやま1,530.93　三等池尾高山市]","https://ja.wikipedia.org/w/index.php?title=池ノ尾山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"樅沢岳","[127樅沢岳もみさわだけ2,755裏銀座飛騨市・長野県大町市] 樅沢岳 （もみさわだけ）は、 岐阜県 高山市 と 長野県 大町市 にまたがる 飛騨山脈 の 標高 2,755 m  の 山 。山域は 中部山岳国立公園 の特別保護地区の指定を受けている  。","https://ja.wikipedia.org/wiki/樅沢岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度22分00秒東経137度36分28秒","日本岐阜県高山市、長野県大町市","2,755m","北緯36度22分00秒東経137度36分28秒﻿ / ﻿北緯36.36667度 東経137.60778度﻿ /36.36667; 137.60778座標:北緯36度22分00秒東経137度36分28秒﻿ / ﻿北緯36.36667度 東経137.60778度﻿ /36.36667; 137.60778","飛騨山脈","","","","","","","","","","","","","","",""
"池ノ山 (存在しないページ)","[128池ノ山いけのやま1,368.73　三等池ノ山飛騨市・富山県富山市]","https://ja.wikipedia.org/w/index.php?title=池ノ山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"高幡山 (存在しないページ)","[129高幡山たかはたやま1,332.24　三等佐古飛騨市・富山県富山市]","https://ja.wikipedia.org/w/index.php?title=高幡山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"六谷山","[130六谷山ろくたんやま1,397.64　一等六谷山飛騨市・富山県富山市] 六谷山 （ろくたんやま）は 岐阜県 飛騨市 と 富山県 富山市 にまたがる山。標高は1398m。山頂には一等三角点が存在する  。 富山の百山 の一つ。","https://ja.wikipedia.org/wiki/六谷山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度27分49秒東経137度18分31秒","日本岐阜県飛騨市、富山県富山市","1398m","北緯36度27分49秒東経137度18分31秒﻿ / ﻿北緯36.46361度 東経137.30861度﻿ /36.46361; 137.30861座標:北緯36度27分49秒東経137度18分31秒﻿ / ﻿北緯36.46361度 東経137.30861度﻿ /36.46361; 137.30861","","","","","","","","","","","","","","","",""
