"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","位置","所属事業者","所属路線","キロ程","電報略号","駅構造","ホーム","乗車人員,-統計年度-","開業年月日","備考","乗降人員,-統計年度-","駅番号","乗降人員,-統計年次-","乗換","乗車人員,-統計年次-","標高","Hidden","Hidden","Hidden","Hidden"
"幾寅駅","幾寅駅（いくとらえき）","https://ja.wikipedia.org/wiki/幾寅駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","北海道空知郡南富良野町字幾寅北緯43度9分41.67秒東経142度34分9.98秒﻿ / ﻿北緯43.1615750度 東経142.5694389度﻿ /43.1615750; 142.5694389﻿ (幾寅駅)座標:北緯43度9分41.67秒東経142度34分9.98秒﻿ / ﻿北緯43.1615750度 東経142.5694389度﻿ /43.1615750; 142.5694389﻿ (幾寅駅)","","北海道旅客鉄道（JR北海道）","■根室本線","98.8 km（滝川起点）","トラ","地上駅","1面1線","59人/日（降車客含まず）-2015年-","1902年（明治35年）12月6日","簡易委託駅(駅外)","","○T36","","","","","","",""
"生野駅 (兵庫県)","生野駅（いくのえき）","https://ja.wikipedia.org/wiki/生野駅_(兵庫県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","西日本旅客鉄道（JR西日本）","J播但線","43.6 km（姫路起点）","イク","地上駅[1]","2面2線[1]","273人/日（降車客含まず）-2016年-","1895年（明治28年）4月17日[1]","簡易委託駅[1]","","","","","","","","",""
"生野屋駅","生野屋駅（いくのやえき）","https://ja.wikipedia.org/wiki/生野屋駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","山口県下松市生野屋南三丁目北緯34度2分7.46秒東経131度53分13.80秒﻿ / ﻿北緯34.0354056度 東経131.8871667度﻿ /34.0354056; 131.8871667座標:北緯34度2分7.46秒東経131度53分13.80秒﻿ / ﻿北緯34.0354056度 東経131.8871667度﻿ /34.0354056; 131.8871667","","西日本旅客鉄道（JR西日本）","■岩徳線","38.0 km（岩国起点）","イヤ","地上駅","1面1線","109人/日（降車客含まず）-2019年-","1987年（昭和62年）3月27日","無人駅（自動券売機 有）","","","","","","","","",""
"居組駅","居組駅（いぐみえき）","https://ja.wikipedia.org/wiki/居組駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","兵庫県美方郡新温泉町居組字大坂1532-1[1]北緯35度36分24.62秒東経134度23分36.18秒﻿ / ﻿北緯35.6068389度 東経134.3933833度﻿ /35.6068389; 134.3933833﻿ (居組駅)","","西日本旅客鉄道（JR西日本）","A山陰本線","204.2 km（京都起点）","クミ","地上駅[1]","1面1線","11人/日（降車客含まず）-2016年-","1911年（明治44年）11月10日[1]","無人駅[1]","","","","","","","","",""
"井倉駅","井倉駅（いくらえき）","https://ja.wikipedia.org/wiki/井倉駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","岡山県新見市井倉706-4北緯34度55分54.01秒東経133度30分58.86秒﻿ / ﻿北緯34.9316694度 東経133.5163500度﻿ /34.9316694; 133.5163500﻿ (井倉駅)","","西日本旅客鉄道（JR西日本）","V伯備線","55.2km（倉敷起点）岡山から71.1 km","イク←イクラ","地上駅（盛土上）","2面3線","33人/日（降車客含まず）-2019年-","1928年（昭和3年）10月25日","簡易委託駅","","JR-V16","","","","","","",""
"池上駅","池上駅（いけがみえき）","https://ja.wikipedia.org/wiki/池上駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都大田区池上六丁目3番10号北緯35度34分19.5秒東経139度42分10.3秒﻿ / ﻿北緯35.572083度 東経139.702861度﻿ /35.572083; 139.702861座標:北緯35度34分19.5秒東経139度42分10.3秒﻿ / ﻿北緯35.572083度 東経139.702861度﻿ /35.572083; 139.702861","","東急電鉄","■池上線","9.1 km（五反田起点）","","地上駅（橋上駅）","2面2線","","1922年（大正11年）10月6日","","36,564人/日-2019年-","IK13","","","","","","",""
"池下駅","池下駅（いけしたえき）","https://ja.wikipedia.org/wiki/池下駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","名古屋市千種区覚王山通七丁目11北緯35度10分4.5秒東経136度56分46秒﻿ / ﻿北緯35.167917度 東経136.94611度﻿ /35.167917; 136.94611座標:北緯35度10分4.5秒東経136度56分46秒﻿ / ﻿北緯35.167917度 東経136.94611度﻿ /35.167917; 136.94611","","名古屋市交通局（名古屋市営地下鉄）","東山線[1]","12.6 km（高畑起点）","","地下駅","2面2線","13,734人/日（降車客含まず）-2019年-","1960年（昭和35年）6月15日[1]","","27,573[2]人/日-2019年-","H14","","","","","","",""
"池尻駅","池尻駅（いけじりえき）","https://ja.wikipedia.org/wiki/池尻駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福岡県田川郡川崎町大字池尻[1]1025北緯33度36分45.99秒東経130度48分21.40秒","","九州旅客鉄道（JR九州）","■日田彦山線","32.2 km（城野起点）","イケ","地上駅","1面2線[1]","","1899年（明治32年）7月10日[1]","無人駅[1]","","","","","","","","",""
"池尻大橋駅","池尻大橋駅（いけじりおおはしえき）","https://ja.wikipedia.org/wiki/池尻大橋駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都世田谷区池尻三丁目2番北緯35度39分2.1秒東経139度41分3.5秒﻿ / ﻿北緯35.650583度 東経139.684306度﻿ /35.650583; 139.684306座標:北緯35度39分2.1秒東経139度41分3.5秒﻿ / ﻿北緯35.650583度 東経139.684306度﻿ /35.650583; 139.684306","","東急電鉄","■田園都市線","1.9 km（渋谷起点）","","地下駅","2面2線","","1977年（昭和52年）4月7日[2]","東急電鉄直営駅駅カラーは「■柿色」","63,364人/日-2019年-","DT02","","","","","","",""
"池田駅 (北海道)","池田駅 (北海道)（いけだえき・北海道旅客鉄道根室本線）","https://ja.wikipedia.org/wiki/池田駅_(北海道)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","北海道（十勝総合振興局管内）中川郡池田町字東1条32番地1北緯42度55分17.24秒東経143度27分11.29秒﻿ / ﻿北緯42.9214556度 東経143.4531361度﻿ /42.9214556; 143.4531361﻿ (池田駅)","","北海道旅客鉄道（JR北海道）","■根室本線","204.3 km（滝川起点）","イケ","地上駅","2面3線","","1904年（明治37年）12月15日","直営駅（管理駅）みどりの窓口 有","470人/日-2018年-","○K36","","","","","","",""
"池田駅 (大阪府)","池田駅 (大阪府)（いけだえき・阪急宝塚線）","https://ja.wikipedia.org/wiki/池田駅_(大阪府)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","大阪府池田市栄町1番1号[1]北緯34度49分17.59秒東経135度25分32.92秒﻿ / ﻿北緯34.8215528度 東経135.4258111度﻿ /34.8215528; 135.4258111座標:北緯34度49分17.59秒東経135度25分32.92秒﻿ / ﻿北緯34.8215528度 東経135.4258111度﻿ /34.8215528; 135.4258111","","阪急電鉄","■宝塚本線","15.9 km（大阪梅田起点）","","高架駅","1面2線","","1910年（明治43年）3月10日","","（特定日）51,656人/日-2017年-","○HK-49","（通年平均）46,063人/日-2017年-","","","","","",""
"池田駅 (熊本県)","池田駅 (熊本県)（いけだえき・熊本電気鉄道菊池線）","https://ja.wikipedia.org/wiki/池田駅_(熊本県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","熊本県熊本市西区池田二丁目817-1北緯32度49分37.5秒東経130度42分26.93秒﻿ / ﻿北緯32.827083度 東経130.7074806度﻿ /32.827083; 130.7074806座標:北緯32度49分37.5秒東経130度42分26.93秒﻿ / ﻿北緯32.827083度 東経130.7074806度﻿ /32.827083; 130.7074806","","熊本電気鉄道","■菊池線","1.4 km（上熊本起点）","","地上駅","1面1線","","1950年（昭和25年）10月1日","無人駅","62人/日-2018年-","KD03","","","","","","",""
"池田園駅","池田園駅（いけだえんえき）","https://ja.wikipedia.org/wiki/池田園駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","北海道亀田郡七飯町軍川北緯41度59分26.38秒東経140度42分1.2秒﻿ / ﻿北緯41.9906611度 東経140.700333度﻿ /41.9906611; 140.700333﻿ (池田園駅)","","北海道旅客鉄道（JR北海道）","■函館本線（砂原支線）","3.4 km（大沼起点）","イタ","地上駅","1面1線","","1945年（昭和20年）6月1日","無人駅","","○N71","","","","","","",""
"池月駅","池月駅（いけづきえき）","https://ja.wikipedia.org/wiki/池月駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■陸羽東線","32.4 km（小牛田起点）","ケキ","地上駅","1面2線","","1914年（大正3年）4月19日","無人駅","","","","","","","","",""
"池野駅","池野駅（いけのえき）","https://ja.wikipedia.org/wiki/池野駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","岐阜県揖斐郡池田町池野259-4北緯35度26分11.53秒東経136度34分42.32秒﻿ / ﻿北緯35.4365361度 東経136.5784222度﻿ /35.4365361; 136.5784222座標:北緯35度26分11.53秒東経136度34分42.32秒﻿ / ﻿北緯35.4365361度 東経136.5784222度﻿ /35.4365361; 136.5784222","","養老鉄道","養老線","53.5 km（桑名起点）","イケ","地上駅","2面2線","","1913年（大正2年）7月31日","無人駅（自動券売機 有）","754人/日-2018年-","","","","","","","",""
"池ノ上駅","池ノ上駅（いけのうええき）","https://ja.wikipedia.org/wiki/池ノ上駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都世田谷区代沢二丁目43番8号北緯35度39分37.6秒東経139度40分23.2秒﻿ / ﻿北緯35.660444度 東経139.673111度﻿ /35.660444; 139.673111座標:北緯35度39分37.6秒東経139度40分23.2秒﻿ / ﻿北緯35.660444度 東経139.673111度﻿ /35.660444; 139.673111","","京王電鉄","■井の頭線","2.4 km（渋谷起点）","","地上駅","1面2線","","1933年（昭和8年）8月1日","","9,466人/日-2019年-","IN04","","","","","","",""
"池の浦駅","池の浦駅（いけのうらえき）","https://ja.wikipedia.org/wiki/池の浦駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","三重県鳥羽市堅神町字宮の前783北緯34度28分46.16秒東経136度49分7.59秒﻿ / ﻿北緯34.4794889度 東経136.8187750度﻿ /34.4794889; 136.8187750座標:北緯34度28分46.16秒東経136度49分7.59秒﻿ / ﻿北緯34.4794889度 東経136.8187750度﻿ /34.4794889; 136.8187750","","近畿日本鉄道（近鉄）","M鳥羽線","10.6km（宇治山田起点）伊勢中川から38.9 km","イケ","高架駅","2面2線","473人/日（降車客含まず）-2019年-","1970年（昭和45年）3月1日","無人駅（乗車駅証明書発行機 有）",""," M77 ","","","","","","",""
"池谷駅","池谷駅（いけのたにえき）","https://ja.wikipedia.org/wiki/池谷駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","徳島県鳴門市大麻町池谷字柳の本100番地北緯34度9分10.55秒東経134度31分44.06秒﻿ / ﻿北緯34.1529306度 東経134.5289056度﻿ /34.1529306; 134.5289056座標:北緯34度9分10.55秒東経134度31分44.06秒﻿ / ﻿北緯34.1529306度 東経134.5289056度﻿ /34.1529306; 134.5289056","","四国旅客鉄道（JR四国）","■高徳線","64.2 km（高松起点）","イタ","地上駅","2面4線","","1916年（大正5年）7月1日","無人駅","162[1]人/日-2019年-","○T04","","","","","","",""
"池戸駅","池戸駅（いけのべえき）","https://ja.wikipedia.org/wiki/池戸駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","高松琴平電気鉄道","■長尾線","9.6km（瓦町起点）高松築港から11.3 km","","地上駅","1面1線","","1912年（明治45年）4月30日","無人駅","505人/日-2018年-"," N10 ","","","","","","",""
"池場駅","池場駅（いけばえき）","https://ja.wikipedia.org/wiki/池場駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛知県新城市池場字渡津呂13北緯35度1分27.75秒東経137度42分14.61秒﻿ / ﻿北緯35.0243750度 東経137.7040583度﻿ /35.0243750; 137.7040583座標:北緯35度1分27.75秒東経137度42分14.61秒﻿ / ﻿北緯35.0243750度 東経137.7040583度﻿ /35.0243750; 137.7040583","","東海旅客鉄道（JR東海）","CD飯田線","50.1 km（豊橋起点）","イケ","地上駅","1面1線","4人/日（降車客含まず）-2019年-","1946年（昭和21年）12月1日*","駅員無配置駅","","","","","","","","",""
"池袋駅","池袋駅（いけぶくろえき）","https://ja.wikipedia.org/wiki/池袋駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都豊島区","","東日本旅客鉄道（JR東日本・駅詳細）東武鉄道（駅詳細）西武鉄道（駅詳細）東京地下鉄（東京メトロ・駅詳細）","","","イケ（各社とも）","","","","","","","","","","","","","",""
"池部駅","池部駅（いけべえき）","https://ja.wikipedia.org/wiki/池部駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","奈良県北葛城郡河合町池部一丁目1-3北緯34度34分43.13秒東経135度44分15.19秒﻿ / ﻿北緯34.5786472度 東経135.7375528度﻿ /34.5786472; 135.7375528座標:北緯34度34分43.13秒東経135度44分15.19秒﻿ / ﻿北緯34.5786472度 東経135.7375528度﻿ /34.5786472; 135.7375528","","近畿日本鉄道（近鉄）","I田原本線","4.0 km（新王寺起点）","イケヘ","地平駅","1面1線","698人/日（降車客含まず）-2018年-","1918年（大正7年）4月26日","無人駅",""," I40 ","","","","","","",""
"いこいの広場駅","いこいの広場駅（いこいのひろばえき）","https://ja.wikipedia.org/wiki/いこいの広場駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県掛川市細谷531-3北緯34度47分17.20秒東経137度57分49.53秒﻿ / ﻿北緯34.7881111度 東経137.9637583度﻿ /34.7881111; 137.9637583座標:北緯34度47分17.20秒東経137度57分49.53秒﻿ / ﻿北緯34.7881111度 東経137.9637583度﻿ /34.7881111; 137.9637583","","天竜浜名湖鉄道","天竜浜名湖線*","5.5 km（掛川起点）","","地上駅","1面1線","66人/日（降車客含まず）-2018年-","1988年（昭和63年）3月13日","","","","","","","","","",""
"いこいの村駅","いこいの村駅（いこいのむらえき）","https://ja.wikipedia.org/wiki/いこいの村駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","熊本県阿蘇市竹原[1]北緯32度56分11.78秒東経131度5分39.98秒﻿ / ﻿北緯32.9366056度 東経131.0944389度﻿ /32.9366056; 131.0944389座標:北緯32度56分11.78秒東経131度5分39.98秒﻿ / ﻿北緯32.9366056度 東経131.0944389度﻿ /32.9366056; 131.0944389","","九州旅客鉄道（JR九州）","■豊肥本線","96.6 km（大分起点）","イコ","地上駅","1面1線[1]","43人/日（降車客含まず）-2005年-","1989年（平成元年）3月11日[1][2]","無人駅[1]","","","","","","","","",""
"生駒駅","生駒駅（いこまえき）","https://ja.wikipedia.org/wiki/生駒駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","奈良県生駒市元町一丁目1-1北緯34度41分35.45秒東経135度41分52.86秒﻿ / ﻿北緯34.6931806度 東経135.6980167度﻿ /34.6931806; 135.6980167﻿ (生駒駅*)座標:北緯34度41分35.45秒東経135度41分52.86秒﻿ / ﻿北緯34.6931806度 東経135.6980167度﻿ /34.6931806; 135.6980167﻿ (生駒駅*)","","近畿日本鉄道（近鉄）","A奈良線","14.2km（布施起点）大阪難波から20.3 km","イコ","地上駅（橋上駅）","3面6線","（全日）22,505人/日（降車客含まず）-2018年-","1914年（大正3年）4月30日","","（特定日）47,254人/日-2018年-"," A17 ","","近鉄生駒鋼索線（宝山寺線） -鳥居前駅","","","","",""
