"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","開業年月日","駅構造","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","種類","本社所在地","業種","法人番号","代表者","外部リンク"
"栄駅 (岡山県)","栄駅 (岡山県)（さかええき・水島臨海鉄道水島本線）","https://ja.wikipedia.org/wiki/栄駅_(岡山県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度32分17.82秒東経133度44分42.36秒","水島本線","8.2 km（倉敷市起点）","水島臨海鉄道","岡山県倉敷市水島東栄町北緯34度32分17.82秒東経133度44分42.36秒座標:北緯34度32分17.82秒 東経133度44分42.36秒","1986年（昭和61年）3月3日","高架駅","1面1線","無人駅","MR6","サカ","276人/日（降車客含まず）-2018年-","552人/日-2018年-","","","","","","",""
"栄駅 (兵庫県)","栄駅 (兵庫県)（さかええき・神戸電鉄粟生線）","https://ja.wikipedia.org/wiki/栄駅_(兵庫県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","粟生線","9.6km（鈴蘭台起点）湊川から17.1km新開地から17.5 km","神戸電鉄","","1937年（昭和12年）6月15日[1][3]","地上駅[1]","2面2線[1]","無人駅[1]*1952年-1988年は電鉄栄駅[1]","○KB46","","669人/日（降車客含まず）-2019年-","1,317[2]人/日-2019年-","","","","","","",""
"寒河江駅","寒河江駅（さがええき）","https://ja.wikipedia.org/wiki/寒河江駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯38度22分18.46秒東経140度16分30.55秒","■左沢線","15.3 km（北山形起点）","東日本旅客鉄道（JR東日本）","山形県寒河江市本町一丁目1-1北緯38度22分18.46秒東経140度16分30.55秒﻿ / ﻿北緯38.3717944度 東経140.2751528度﻿ /38.3717944; 140.2751528座標:北緯38度22分18.46秒東経140度16分30.55秒﻿ / ﻿北緯38.3717944度 東経140.2751528度﻿ /38.3717944; 140.2751528","1921年（大正10年）12月11日","地上駅（橋上駅[1]）","1面2線","直営駅（管理駅）みどりの窓口有","","サエ","875人/日（降車客含まず）-2019年-","","","","","","","",""
"栄町駅 (千葉県)","栄町駅 (千葉県)（さかえちょうえき・千葉都市モノレール1号線）","https://ja.wikipedia.org/wiki/栄町駅_(千葉県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度36分46.8秒東経140度7分7秒","■1号線","2.0 km（千葉みなと起点）","千葉都市モノレール","千葉市中央区栄町29-9北緯35度36分46.8秒東経140度7分7秒座標:北緯35度36分46.8秒 東経140度7分7秒","1999年（平成11年）3月24日[1]","高架駅","島式、1面2線","無人駅","CM16","","262人/日（降車客含まず）-2018年-","","","","","","","",""
"栄町停留場 (東京都)","栄町停留場 (東京都)（さかえちょうていりゅうじょう・都電荒川線）","https://ja.wikipedia.org/wiki/栄町停留場_(東京都)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度45分3.3秒東経139度44分31.9秒","都電荒川線（東京さくらトラム）","5.5 km（三ノ輪橋起点）","東京都交通局","東京都北区栄町北緯35度45分3.3秒東経139度44分31.9秒﻿ / ﻿北緯35.750917度 東経139.742194度﻿ /35.750917; 139.742194座標:北緯35度45分3.3秒東経139度44分31.9秒﻿ / ﻿北緯35.750917度 東経139.742194度﻿ /35.750917; 139.742194","1913年（大正2年）4月1日","地上駅","2面2線","","SA15","","","789[1]人/日-2019年-","","","","","","",""
"栄町駅 (札幌市)","栄町駅 (北海道)（さかえまちえき・札幌市営地下鉄東豊線）","https://ja.wikipedia.org/wiki/栄町駅_(札幌市)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯43度6分46.78秒東経141度22分1.71秒","札幌市営地下鉄東豊線","0.0 km（栄町起点）","札幌市交通局","北海道札幌市東区北41条東15丁目北緯43度6分46.78秒東経141度22分1.71秒﻿ / ﻿北緯43.1129944度 東経141.3671417度﻿ /43.1129944; 141.3671417﻿ (栄町駅)座標:北緯43度6分46.78秒東経141度22分1.71秒﻿ / ﻿北緯43.1129944度 東経141.3671417度﻿ /43.1129944; 141.3671417﻿ (栄町駅)","1988年（昭和63年）12月2日[1]","地下駅","1面2線","","○H01","","8,184人/日（降車客含まず）-2019年-","","","","","","","",""
"栄町駅 (愛知県)","栄町駅 (愛知県)（さかえまちえき・名鉄瀬戸線）","https://ja.wikipedia.org/wiki/栄町駅_(愛知県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度10分14秒東経136度54分32秒","瀬戸線","0.0 km（栄町起点）","名古屋鉄道","名古屋市東区東桜一丁目12番地先北緯35度10分14秒東経136度54分32秒﻿ / ﻿北緯35.17056度 東経136.90889度﻿ /35.17056; 136.90889座標:北緯35度10分14秒東経136度54分32秒﻿ / ﻿北緯35.17056度 東経136.90889度﻿ /35.17056; 136.90889","1978年（昭和53年）8月20日","地下駅","島式 1面2線","","ST  01 ","","","42,090人/日-2019年[1]-","名古屋市営地下鉄-東山線（栄駅）-名城線（栄駅・久屋大通駅）-桜通線（久屋大通駅）","","","","","",""
"栄町駅 (富山県)","栄町駅 (富山県)（さかえまちえき・富山地方鉄道不二越線）","https://ja.wikipedia.org/wiki/栄町駅_(富山県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度41分29秒東経137度14分0秒","■不二越線","0.6 km（稲荷町駅起点）","富山地方鉄道","富山県富山市石金1丁目3-3北緯36度41分29秒東経137度14分0秒﻿ / ﻿北緯36.69139度 東経137.23333度﻿ /36.69139; 137.23333﻿ (栄町駅)座標:北緯36度41分29秒東経137度14分0秒﻿ / ﻿北緯36.69139度 東経137.23333度﻿ /36.69139; 137.23333﻿ (栄町駅)","2019年（平成31年）3月16日","地上駅","単式1面1線","","T58","","70人/日（降車客含まず）-2019年-","149人/日-2019年-","","","","","","",""
"酒折駅","酒折駅（さかおりえき）","https://ja.wikipedia.org/wiki/酒折駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度39分33.9秒東経138度35分57.1秒","■中央本線","131.2 km（東京起点）","東日本旅客鉄道（JR東日本）","山梨県甲府市酒折一丁目1-10北緯35度39分33.9秒東経138度35分57.1秒座標:北緯35度39分33.9秒 東経138度35分57.1秒","1926年（大正15年）2月11日[2]","地上駅","2面3線[2]","業務委託駅","CO42[1]","オリ←ヲリ","2,213人/日（降車客含まず）-2019年-","","","","","","","",""
"坂上駅","坂上駅（さかかみえき）","https://ja.wikipedia.org/wiki/坂上駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度19分40.24秒東経137度8分27.28秒","CG高山本線","166.6 km（岐阜起点）","東海旅客鉄道（JR東海）","岐阜県飛騨市宮川町林北緯36度19分40.24秒東経137度8分27.28秒","1933年（昭和8年）11月12日[2]","地上駅","2面3線[1]","駅員無配置駅[1]","","サミ","9人/日（降車客含まず）-2019年-","","","","","","","",""
"坂城駅","坂城駅（さかきえき）","https://ja.wikipedia.org/wiki/坂城駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度27分44.69秒東経138度10分52.14秒","■しなの鉄道線","50.4 km（軽井沢起点）","しなの鉄道[1]日本貨物鉄道（JR貨物）[1]","長野県埴科郡坂城町大字坂城[1]101-1北緯36度27分44.69秒東経138度10分52.14秒﻿ / ﻿北緯36.4624139度 東経138.1811500度﻿ /36.4624139; 138.1811500座標:北緯36度27分44.69秒東経138度10分52.14秒﻿ / ﻿北緯36.4624139度 東経138.1811500度﻿ /36.4624139; 138.1811500","1888年（明治21年）8月15日[1]","地上駅","1面2線[1]","簡易委託駅[1]標高：396m[1]","","サキ[1]","838人/日（降車客含まず）-2017年-","","","","","","","",""
"坂北駅","坂北駅（さかきたえき）","https://ja.wikipedia.org/wiki/坂北駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度25分52秒東経138度1分0秒","■篠ノ井線","25.8 km（篠ノ井起点）","東日本旅客鉄道（JR東日本）","長野県東筑摩郡筑北村坂北北緯36度25分52秒東経138度1分0秒﻿ / ﻿北緯36.43111度 東経138.01667度﻿ /36.43111; 138.01667座標:北緯36度25分52秒東経138度1分0秒﻿ / ﻿北緯36.43111度 東経138.01667度﻿ /36.43111; 138.01667","1927年（昭和2年）11月3日","地上駅","2面3線","簡易委託駅標高：601.0m[1]","","キタ","123人/日（降車客含まず）-2019年-","","","","","","","",""
"榊原温泉口駅","榊原温泉口駅（さかきばらおんせんぐちえき）","https://ja.wikipedia.org/wiki/榊原温泉口駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度40分29.298秒東経136度20分55.727秒","D大阪線","95.4 km（大阪上本町起点）","近畿日本鉄道（近鉄）","三重県津市白山町佐田1526-2北緯34度40分29.298秒東経136度20分55.727秒﻿ / ﻿北緯34.67480500度 東経136.34881306度﻿ /34.67480500; 136.34881306座標:北緯34度40分29.298秒東経136度20分55.727秒﻿ / ﻿北緯34.67480500度 東経136.34881306度﻿ /34.67480500; 136.34881306","1930年（昭和5年）11月19日","高架駅（盛土上）","2面2線","*1965年に佐田駅から改称。"," D57 ","サカ","554人/日（降車客含まず）-2019年-","","","","","","","",""
"佐賀公園駅","佐賀公園駅（さがこうえんえき）","https://ja.wikipedia.org/wiki/佐賀公園駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度3分50.77秒東経133度6分22.95秒","■中村線","22.9 km（窪川起点）","土佐くろしお鉄道（TKT）","高知県幡多郡黒潮町佐賀北緯33度3分50.77秒東経133度6分22.95秒","1993年（平成5年）10月1日[2]","地上駅","1面1線","無人駅","○TK31","コウ","","4[1]人/日-2019年-","","","","","","",""
"逆井駅","逆井駅（さかさいえき）","https://ja.wikipedia.org/wiki/逆井駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度49分23.6秒東経139度59分2秒","■野田線（東武アーバンパークライン）","48.0 km（大宮起点）","東武鉄道","千葉県柏市逆井848北緯35度49分23.6秒東経139度59分2秒﻿ / ﻿北緯35.823222度 東経139.98389度﻿ /35.823222; 139.98389座標:北緯35度49分23.6秒東経139度59分2秒﻿ / ﻿北緯35.823222度 東経139.98389度﻿ /35.823222; 139.98389","1933年（昭和8年）7月29日","地上駅（橋上駅）","2面2線","","TD27","サイ","","14,131人/日-2019年-","","","","","","",""
"坂下駅","坂下駅（さかしたえき）","https://ja.wikipedia.org/wiki/坂下駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度34分28.156秒東経137度31分51.726秒","CF中央本線","307.1km（東京起点）名古屋から89.8 km","東海旅客鉄道（JR東海）","岐阜県中津川市坂下[1]北緯35度34分28.156秒東経137度31分51.726秒","1908年（明治41年）8月1日[1]","地上駅","2面3線[1]","簡易委託駅標高326.6m[1]","","サタ[1]","346人/日（降車客含まず）-2019年-","","","","","","","",""
"坂下町停留場","坂下町停留場（さかしたまちていりゅうじょう）","https://ja.wikipedia.org/wiki/坂下町停留場","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度44分50.98秒東経137度0分53.15秒","高岡軌道線","0.9 km（高岡駅起点）","万葉線","富山県高岡市坂下町・片原中島町北緯36度44分50.98秒東経137度0分53.15秒﻿ / ﻿北緯36.7474944度 東経137.0147639度﻿ /36.7474944; 137.0147639座標:北緯36度44分50.98秒東経137度0分53.15秒﻿ / ﻿北緯36.7474944度 東経137.0147639度﻿ /36.7474944; 137.0147639","1948年（昭和23年）4月10日","地上駅","2面1線","","","","","","","","","","","",""
"逆瀬川駅","逆瀬川駅（さかせがわえき）","https://ja.wikipedia.org/wiki/逆瀬川駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度47分51.66秒東経135度21分1.57秒","■今津線","1.8 km（宝塚起点）大阪梅田（西宮北口経由）から21.5 km","阪急電鉄","兵庫県宝塚市逆瀬川二丁目1番17号[1]北緯34度47分51.66秒東経135度21分1.57秒﻿ / ﻿北緯34.7976833度 東経135.3504361度﻿ /34.7976833; 135.3504361﻿ (逆瀬川駅)座標:北緯34度47分51.66秒東経135度21分1.57秒﻿ / ﻿北緯34.7976833度 東経135.3504361度﻿ /34.7976833; 135.3504361﻿ (逆瀬川駅)","1921年（大正10年）9月2日[2]","地上駅（橋上駅）[2]","2面2線[2]","","HK27","","","（特定日）28,024人/日-2019年-","","","","","","",""
"坂田駅","坂田駅（さかたえき・西日本旅客鉄道北陸本線）","https://ja.wikipedia.org/wiki/坂田駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度20分10.11秒東経136度17分15.73秒","A北陸本線（琵琶湖線）","2.4 km（米原起点）","西日本旅客鉄道（JR西日本）","滋賀県米原市宇賀野842北緯35度20分10.11秒東経136度17分15.73秒﻿ / ﻿北緯35.3361417度 東経136.2877028度﻿ /35.3361417; 136.2877028座標:北緯35度20分10.11秒東経136度17分15.73秒﻿ / ﻿北緯35.3361417度 東経136.2877028度﻿ /35.3361417; 136.2877028","1931年（昭和6年）9月15日","地上駅","2面2線[1]","無人駅（自動券売機 有）*1954年に法性寺駅から改称。","JR-A11","サカ","636人/日（降車客含まず）-2019年-","","","","","","","",""
"酒田駅","酒田駅（さかたえき・東日本旅客鉄道羽越本線）","https://ja.wikipedia.org/wiki/酒田駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯38度55分18.5秒東経139度50分45.6秒","■羽越本線（■陸羽西線直通含む）","166.9km（新津起点）新庄から55.2 km","東日本旅客鉄道（JR東日本）","山形県酒田市幸町一丁目1-1北緯38度55分18.5秒東経139度50分45.6秒座標:北緯38度55分18.5秒 東経139度50分45.6秒","1914年（大正3年）12月24日","地上駅","2面4線","直営駅（管理駅）みどりの窓口有","","サカ","1,114人/日（降車客含まず）-2019年-","","","","","","","",""
"酒田港駅","酒田港駅（さかたこうえき）","https://ja.wikipedia.org/wiki/酒田港駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯38度55分18秒東経139度49分30秒","羽越本線貨物支線","2.7 km（酒田起点）","日本貨物鉄道（JR貨物）","山形県酒田市南新町2丁目7-37北緯38度55分18秒東経139度49分30秒﻿ / ﻿北緯38.92167度 東経139.82500度﻿ /38.92167; 139.82500座標:北緯38度55分18秒東経139度49分30秒﻿ / ﻿北緯38.92167度 東経139.82500度﻿ /38.92167; 139.82500","1915年（大正4年）4月25日","地上駅","","貨物専用駅","","サミ","","","","","","","","",""
