"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","専門分野","事業主体","管理運営","外部リンク","正式名称","延床面積","前身","アクセス","館長","愛称","建物設計","来館者数","収蔵作品数","閉館","公式サイト","研究職員"
"月形樺戸博物館","[月形樺戸博物館] 月形樺戸博物館 （つきがたかばとはくぶつかん）は、 北海道 樺戸郡 月形町 にある月形町立の博物館。","https://ja.wikipedia.org/wiki/月形樺戸博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度20分20.8秒東経141度40分8.3秒","〒061-0500北海道樺戸郡月形町字月形1219番地","北緯43度20分20.8秒東経141度40分8.3秒﻿ / ﻿北緯43.339111度 東経141.668972度﻿ /43.339111; 141.668972座標:北緯43度20分20.8秒東経141度40分8.3秒﻿ / ﻿北緯43.339111度 東経141.668972度﻿ /43.339111; 141.668972","1972年","刑務所","月形町","月形町","公式サイト","月形樺戸博物館","","北海道行刑資料館","","","","","","","","",""
"大鵬相撲記念館","[大鵬相撲記念館] 大鵬相撲記念館 （たいほうすもうきねんかん）は、 北海道 川上郡 弟子屈町 にある 博物館 である。旧名は『 弟子屈町川湯相撲記念館 』。","https://ja.wikipedia.org/wiki/大鵬相撲記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度38分07.09秒東経144度26分15.35秒","〒088-3465北海道川上郡弟子屈町川湯温泉2-1-20","北緯43度38分07.09秒東経144度26分15.35秒﻿ / ﻿北緯43.6353028度 東経144.4375972度﻿ /43.6353028; 144.4375972","1984年（弟子屈町川湯相撲記念館として）","大鵬幸喜","弟子屈町","有限会社やまな商店","","大鵬相撲記念館","","","","","","","","","","","山名政勝（館長）"
"弟子屈町屈斜路コタンアイヌ民俗資料館","[弟子屈町屈斜路コタンアイヌ民俗資料館] 弟子屈町屈斜路コタンアイヌ民族資料館 （てしかがちょうくっしゃろコタンアイヌみんぞくしりょうかん）は 北海道 川上郡 弟子屈町 にある資料館。","https://ja.wikipedia.org/wiki/弟子屈町屈斜路コタンアイヌ民俗資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度33分49.40秒 東経144度20分32.10秒","〒088-3351北海道川上郡弟子屈町屈斜路市街1条通14番地先","","1982年6月6日","歴史","弟子屈町","","","","","","","","","","","","","",""
"天体工場","[天体工場] 天体工場 （てんたいこうじょう）は、かつて 北海道 札幌市 中央区 にある複合商業施設 サッポロファクトリー 内に存在した天体 博物館 。","https://ja.wikipedia.org/wiki/天体工場","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度3分56秒東経141度21分47秒","日本北海道札幌市中央区","北緯43度3分56秒東経141度21分47秒﻿ / ﻿北緯43.06556度 東経141.36306度﻿ /43.06556; 141.36306","1993年","","","","","","","","","","","","","","","",""
"苫小牧市科学センター","[苫小牧市科学センター] 苫小牧市科学センター （とまこまいしかがくセンター）は、 苫小牧市 にある 天文学 系 博物館 。","https://ja.wikipedia.org/wiki/苫小牧市科学センター","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯42度37分55秒東経141度36分18秒","〒053-0018北海道苫小牧市旭町3-1-12","北緯42度37分55秒東経141度36分18秒﻿ / ﻿北緯42.63194度 東経141.60500度﻿ /42.63194; 141.60500","昭和45年","宇宙、航空、天文学","苫小牧市","","苫小牧市科学センター","","","苫小牧市青少年センター","","","","","","","","",""
"中標津町郷土館","[中標津町郷土館標津郡中標津町丸山] 中標津町郷土館 （なかしべつちょうきょうどかん）は、 北海道 標津郡 中標津町 にある、中標津町立の博物館類似施設。","https://ja.wikipedia.org/wiki/中標津町郷土館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ナリタブライアン記念館","[ナリタブライアン記念館] ナリタブライアン記念館 （ナリタブライアンきねんかん）とは、かつて 北海道 新冠郡 新冠町 朝日にあった 競走馬 ・ ナリタブライアン に関する 資料 などを展示する記念館である。ナリタブライアン自身が繋養されていた CBスタッド の パドック に建設された  。当施設の近くにはナリタブライアンショップもあり、関連グッズなどが販売されていた。","https://ja.wikipedia.org/wiki/ナリタブライアン記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","〒059-2414北海道新冠郡新冠町朝日","","2011年","オグリキャップ","","株式会社優駿","","優駿記念館","","ナリタブライアン記念館","","","","","","","","",""
"日本銀行旧小樽支店金融資料館","[日本銀行旧小樽支店金融資料館] 日本銀行旧小樽支店金融資料館 （にっぽんぎんこうきゅうおたるしてんきんゆうしりょうかん、英字表記： The Bank of Japan Otaru Museum ）は、 北海道 小樽市 にある資料館。元は 日本銀行 の小樽支店として機能していた建物であり、 2003年 から日本銀行の広報施設として再オープンした。建物は現在、小樽市指定文化財に指定されている。入場料無料。所在地は北海道小樽市色内1丁目11番16号。","https://ja.wikipedia.org/wiki/日本銀行旧小樽支店金融資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度11分46.3秒 東経141度0分1.2秒","〒047-0031北海道小樽市色内1丁目11番16号","","2003年5月14日","日本銀行","日本銀行","","","","","日本銀行小樽支店","","","","","","","","",""
"二風谷アイヌ文化博物館","[二風谷アイヌ文化博物館] 平取町立二風谷アイヌ文化博物館 （びらとりちょうりつにぶたにあいぬぶんかはくぶつかん）は 北海道 沙流郡 平取町 二風谷 にある 博物館 。平取町が管理・運営をおこなう。","https://ja.wikipedia.org/wiki/二風谷アイヌ文化博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯42度38分13.2秒 東経142度9分25.1秒","〒055-0101北海道沙流郡平取町字二風谷55","","","","平取町","平取町教育委員会","公式サイト","平取町立二風谷アイヌ文化博物館","","","","","","","","","","",""
"登別市郷土資料館","[登別市郷土資料館] 登別市郷土資料館 （のぼりべつしきょうどしりょうかん）は、 北海道 登別市 片倉町6丁目27番地2 （ 幌別ダム の向かい）にある地上3階建ての郷土 博物館 である。建物のモデルは 白石城 。","https://ja.wikipedia.org/wiki/登別市郷土資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯42度25分14.04秒東経141度4分55.3秒","〒059-0016北海道登別市片倉町6丁目27","北緯42度25分14.04秒東経141度4分55.3秒﻿ / ﻿北緯42.4205667度 東経141.082028度﻿ /42.4205667; 141.082028座標:北緯42度25分14.04秒東経141度4分55.3秒﻿ / ﻿北緯42.4205667度 東経141.082028度﻿ /42.4205667; 141.082028","1981年（昭和56年）9月1日","","","登別市","登別市郷土資料館","","","","","","","","","","","",""
"博物館網走監獄","[博物館網走監獄] 博物館網走監獄 （はくぶつかんあばしりかんごく）は、 北海道 網走市 にある 博物館 。","https://ja.wikipedia.org/wiki/博物館網走監獄","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度59分45秒東経144度13分46秒","〒099-2421日本北海道網走市字呼人1-1","北緯43度59分45秒東経144度13分46秒﻿ / ﻿北緯43.99583度 東経144.22944度﻿ /43.99583; 144.22944","1983年7月6日","人文科学、歴史学","網走監獄保存財団","網走監獄保存財団","博物館 網走監獄へようこそ！","","事業地：169,264m²建築面積：12,280m²（38件）","","北海道旅客鉄道（JR北海道）網走駅から車で約7分、バスで約10分女満別空港から車で約20分、バスで約25分","角幸博","","","195,904人（平成24年度）","展示施設数23資料総数5,755点","","",""
"函館市青函連絡船記念館摩周丸","[函館市青函連絡船記念館摩周丸] 函館市青函連絡船記念館摩周丸 （はこだてし せいかんれんらくせんきねんかん ましゅうまる）は 北海道 函館市 にある 博物館船 である。 日本国有鉄道 （→ 北海道旅客鉄道 ） 青函航路 に就航していた 津軽丸型 連絡船「 摩周丸 （2代目）」の船体を使用（ 博物館船 ）し、内部も一部現役当時のものを残している。","https://ja.wikipedia.org/wiki/函館市青函連絡船記念館摩周丸","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯41度46分22.6秒東経140度43分18.8秒","日本北海道函館市若松町12番地先公有水面","北緯41度46分22.6秒東経140度43分18.8秒﻿ / ﻿北緯41.772944度 東経140.721889度﻿ /41.772944; 140.721889﻿ (函館市青函連絡船記念館摩周丸)座標:北緯41度46分22.6秒東経140度43分18.8秒﻿ / ﻿北緯41.772944度 東経140.721889度﻿ /41.772944; 140.721889﻿ (函館市青函連絡船記念館摩周丸)","2003年","","函館市","指定管理者：特定非営利活動法人語りつぐ青函連絡船の会","","函館市青函連絡船記念館摩周丸","","","","","","","","","","",""
"函館市文学館","[函館市文学館] 函館市文学館 （はこだてしぶんがくかん）は、 北海道 函館市 末広町にある 文学館 。 石川啄木 など主に函館市にゆかりのある作家に関連する資料約250点  を収蔵・展示している。所在地は北海道函館市末広町22-5。","https://ja.wikipedia.org/wiki/函館市文学館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯41度45分58.8秒東経140度42分47.6秒","〒040-0053北海道函館市末広町22-5","北緯41度45分58.8秒東経140度42分47.6秒﻿ / ﻿北緯41.766333度 東経140.713222度﻿ /41.766333; 140.713222座標:北緯41度45分58.8秒東経140度42分47.6秒﻿ / ﻿北緯41.766333度 東経140.713222度﻿ /41.766333; 140.713222","1993年4月1日","文学関連","函館市","財団法人函館市文化･スポーツ振興財団（指定管理者）","函館市文学館ホームページ","函館市文学館","1,026.86m²","第一銀行函館支店、ジャックス本社","","","","","17,640人（2013年）","","","",""
"函館市北洋資料館","[函館市北洋資料館] 函館市北洋資料館 （はこだてしほくようしりょうかん）は、 北海道 函館市 にある博物館。 北洋漁業 の歴史をはじめとする資料を展示している。所在地は北海道函館市五稜郭町37-8。","https://ja.wikipedia.org/wiki/函館市北洋資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯41度47分37.2秒東経140度45分21.6秒","〒040-0001函館市五稜郭町37-8","北緯41度47分37.2秒東経140度45分21.6秒﻿ / ﻿北緯41.793667度 東経140.756000度﻿ /41.793667; 140.756000座標:北緯41度47分37.2秒東経140度45分21.6秒﻿ / ﻿北緯41.793667度 東経140.756000度﻿ /41.793667; 140.756000","1982年（昭和57年）9月25日","北洋漁業資料ほか","財団法人函館市文化・スポーツ振興財団","財団法人函館市文化・スポーツ振興財団","","函館市北洋資料館","","","","","","","","","","",""
"ピアソン記念館","[ピアソン記念館] ピアソン記念館 （ピアソンきねんかん）は、 北海道 北見市 にある歴史的建造物および 博物館 。","https://ja.wikipedia.org/wiki/ピアソン記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度48分23.3秒東経143度53分12.8秒","〒090-0036北見市幸町7-4-28","北緯43度48分23.3秒東経143度53分12.8秒﻿ / ﻿北緯43.806472度 東経143.886889度﻿ /43.806472; 143.886889座標:北緯43度48分23.3秒東経143度53分12.8秒﻿ / ﻿北緯43.806472度 東経143.886889度﻿ /43.806472; 143.886889","1971年（昭和46年）5月31日","","北見市","特定非営利活動法人ピアソン会（指定管理者）","NPO法人ピアソン会","ピアソン記念館","","ジョージ・ペック・ピアソン邸","「北見駅」より徒歩15分","","","ウィリアム・メレル・ヴォーリズ","","","","",""
