"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"だいどう豊里駅","だいどう豊里駅（だいどうとよさとえき）","https://ja.wikipedia.org/wiki/だいどう豊里駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度44分37.57秒東経135度32分40.72秒","●今里筋線","1.7 km（井高野起点）","大阪市高速電気軌道(Osaka Metro)","2006年（平成18年）12月24日","地下駅","大阪市東淀川区大桐1丁目1-7北緯34度44分37.57秒東経135度32分40.72秒﻿ / ﻿北緯34.7437694度 東経135.5446444度﻿ /34.7437694; 135.5446444座標:北緯34度44分37.57秒東経135度32分40.72秒﻿ / ﻿北緯34.7437694度 東経135.5446444度﻿ /34.7437694; 135.5446444","1面2線 ホームドア有り",""," I13 ","","4,402人/日（降車客含まず）-2020年-","8,579人/日-2020年-","","","","","","",""
"大日駅","大日駅（だいにちえき）","https://ja.wikipedia.org/wiki/大日駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度44分57.86秒東経135度34分41.79秒","","","大阪市高速電気軌道(Osaka Metro)大阪モノレール","","","大阪府守口市北緯34度44分57.86秒東経135度34分41.79秒﻿ / ﻿北緯34.7494056度 東経135.5782750度﻿ /34.7494056; 135.5782750﻿ (大日駅)座標:北緯34度44分57.86秒東経135度34分41.79秒﻿ / ﻿北緯34.7494056度 東経135.5782750度﻿ /34.7494056; 135.5782750﻿ (大日駅)","","","","","","","","","","","","",""
"大入駅","大入駅（だいにゅうえき）","https://ja.wikipedia.org/wiki/大入駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度30分32.17秒東経130度6分21.09秒","JK筑肥線","23.3 km（姪浜起点）","九州旅客鉄道（JR九州）","1925年（大正14年）4月15日","地上駅","福岡県糸島市二丈福井北緯33度30分32.17秒東経130度6分21.09秒﻿ / ﻿北緯33.5089361度 東経130.1058583度﻿ /33.5089361; 130.1058583﻿ (大入駅)","2面2線","無人駅（自動券売機 有）","JK  13 ","ニウ","121人/日（降車客含まず）-2016年-","235人/日-2016年-","","","","","","",""
"田井ノ瀬駅","田井ノ瀬駅（たいのせえき）","https://ja.wikipedia.org/wiki/田井ノ瀬駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度14分32.35秒東経135度13分47.9秒","T和歌山線**","82.9 km（王寺起点）","西日本旅客鉄道（JR西日本）","1898年（明治31年）5月4日[1]","地上駅","和歌山県和歌山市岩橋667-5北緯34度14分32.35秒東経135度13分47.9秒﻿ / ﻿北緯34.2423194度 東経135.229972度﻿ /34.2423194; 135.229972座標:北緯34度14分32.35秒東経135度13分47.9秒﻿ / ﻿北緯34.2423194度 東経135.229972度﻿ /34.2423194; 135.229972","2面2線","無人駅（自動券売機 有）","","ノセ","330人/日（降車客含まず）-2019年-","","","","","","","",""
"田井ノ浜駅","田井ノ浜駅（たいのはまえき・臨時）","https://ja.wikipedia.org/wiki/田井ノ浜駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度46分21.8秒東経134度35分1.9秒","■牟岐線","45.7 km（徳島起点）","四国旅客鉄道（JR四国）","1964年（昭和39年）7月11日","地上駅","徳島県海部郡美波町田井北緯33度46分21.8秒東経134度35分1.9秒﻿ / ﻿北緯33.772722度 東経134.583861度﻿ /33.772722; 134.583861座標:北緯33度46分21.8秒東経134度35分1.9秒﻿ / ﻿北緯33.772722度 東経134.583861度﻿ /33.772722; 134.583861","1面1線","臨時駅","","タイ","","","","","","","","",""
"台原駅","台原駅（だいのはらえき）","https://ja.wikipedia.org/wiki/台原駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯38度17分18.47秒東経140度52分42.70秒","■南北線","4.3 km（泉中央起点）","仙台市交通局（仙台市地下鉄）","1987年（昭和62年）7月15日","地下駅","仙台市青葉区台原森林公園1-1先北緯38度17分18.47秒東経140度52分42.70秒﻿ / ﻿北緯38.2884639度 東経140.8785278度﻿ /38.2884639; 140.8785278座標:北緯38度17分18.47秒東経140度52分42.70秒﻿ / ﻿北緯38.2884639度 東経140.8785278度﻿ /38.2884639; 140.8785278","1面2線","","○N05","","6,137人/日（降車客含まず）-2019年-","12,350[1]人/日-2019年-","","","","","","",""
"台場駅","台場駅（だいばえき・ゆりかもめ東京臨海新交通臨海線）","https://ja.wikipedia.org/wiki/台場駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度37分33.2秒東経139度46分17.1秒","東京臨海新交通臨海線","7.8 km（新橋起点）","ゆりかもめ","1995年（平成7年）11月1日[1]","高架駅","東京都港区台場二丁目6先北緯35度37分33.2秒東経139度46分17.1秒﻿ / ﻿北緯35.625889度 東経139.771417度﻿ /35.625889; 139.771417座標:北緯35度37分33.2秒東経139度46分17.1秒﻿ / ﻿北緯35.625889度 東経139.771417度﻿ /35.625889; 139.771417","島式 1面2線","無人駅","U07","","","21,421人/日-2019年-","","","","","","",""
"大場駅","大場駅（だいばえき・伊豆箱根鉄道駿豆線）","https://ja.wikipedia.org/wiki/大場駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度5分31.11秒東経138度56分21.62秒","■駿豆線","5.5 km（三島起点）","伊豆箱根鉄道","1898年（明治31年）5月20日","地上駅","静岡県三島市大場122番地の2北緯35度5分31.11秒東経138度56分21.62秒﻿ / ﻿北緯35.0919750度 東経138.9393389度﻿ /35.0919750; 138.9393389座標:北緯35度5分31.11秒東経138度56分21.62秒﻿ / ﻿北緯35.0919750度 東経138.9393389度﻿ /35.0919750; 138.9393389","2面3線","","IS05","","2,467人/日（降車客含まず）-2019年-","","","","","","","",""
"大福駅","大福駅（だいふくえき）","https://ja.wikipedia.org/wiki/大福駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度30分46.62秒東経135度49分46.66秒","D大阪線","38.2 km（大阪上本町起点）","近畿日本鉄道（近鉄）[1]","1929年（昭和4年）1月5日","地上駅（地下駅舎）","奈良県桜井市大福三丁目241-2[1]北緯34度30分46.62秒東経135度49分46.66秒﻿ / ﻿北緯34.5129500度 東経135.8296278度﻿ /34.5129500; 135.8296278座標:北緯34度30分46.62秒東経135度49分46.66秒﻿ / ﻿北緯34.5129500度 東経135.8296278度﻿ /34.5129500; 135.8296278","2面2線","無人駅[1]"," D41 ","タイフ","795人/日（降車客含まず）-2018年-","","","","","","","",""
"太平駅","太平駅（たいへいえき）","https://ja.wikipedia.org/wiki/太平駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯43度7分25.91秒東経141度20分56.75秒","■札沼線（学園都市線）","7.3 km（桑園起点）","北海道旅客鉄道（JR北海道）","1986年（昭和61年）11月1日[1]","地上駅","札幌市北区太平2条5丁目[注釈 1]北緯43度7分25.91秒東経141度20分56.75秒﻿ / ﻿北緯43.1238639度 東経141.3490972度﻿ /43.1238639; 141.3490972座標:北緯43度7分25.91秒東経141度20分56.75秒﻿ / ﻿北緯43.1238639度 東経141.3490972度﻿ /43.1238639; 141.3490972","2面2線","札幌市内駅*無人駅","○G06","タヘ","987人/日（降車客含まず）-2019年-","","","","","","","",""
"大宝駅","大宝駅（だいほうえき）","https://ja.wikipedia.org/wiki/大宝駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度12分11.12秒東経139度58分13.18秒","常総線","38.7 km（取手起点）","関東鉄道","1917年（大正6年）","地上駅","茨城県下妻市大宝233-9北緯36度12分11.12秒東経139度58分13.18秒﻿ / ﻿北緯36.2030889度 東経139.9703278度﻿ /36.2030889; 139.9703278﻿ (大宝駅)座標:北緯36度12分11.12秒東経139度58分13.18秒﻿ / ﻿北緯36.2030889度 東経139.9703278度﻿ /36.2030889; 139.9703278﻿ (大宝駅)","2面2線","無人駅","","","","65人/日-2019年[1]-","","","","","","",""
"当麻寺駅","当麻寺駅（たいまでらえき）","https://ja.wikipedia.org/wiki/当麻寺駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度30分57.61秒東経135度42分21.88秒","F南大阪線","30.4 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","1929年（昭和4年）3月29日","地上駅","奈良県葛城市當麻54-2北緯34度30分57.61秒東経135度42分21.88秒﻿ / ﻿北緯34.5160028度 東経135.7060778度﻿ /34.5160028; 135.7060778座標:北緯34度30分57.61秒東経135度42分21.88秒﻿ / ﻿北緯34.5160028度 東経135.7060778度﻿ /34.5160028; 135.7060778","2面2線","無人駅"," F21 ","タイマ","764人/日（降車客含まず）-2018年-","","","","","","","",""
"大物駅","大物駅（だいもつえき）","https://ja.wikipedia.org/wiki/大物駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度42分59.25秒東経135度25分33.68秒","本線","8.0 km（大阪梅田起点）","阪神電気鉄道","1905年（明治38年）4月12日[1]","高架駅[1]","兵庫県尼崎市大物町二丁目1-1北緯34度42分59.25秒東経135度25分33.68秒﻿ / ﻿北緯34.7164583度 東経135.4260222度﻿ /34.7164583; 135.4260222﻿ (大物駅)座標:北緯34度42分59.25秒東経135度25分33.68秒﻿ / ﻿北緯34.7164583度 東経135.4260222度﻿ /34.7164583; 135.4260222﻿ (大物駅)","3面4線[1]","","HS08","","","","","8,571人/日-2019年-","","","","",""
"大門駅 (広島県)","大門駅 (広島県)（だいもんえき・西日本旅客鉄道山陽本線）","https://ja.wikipedia.org/wiki/大門駅_(広島県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度29分54.5秒東経133度26分23.72秒","W山陽本線","194.2 km（神戸起点）","西日本旅客鉄道（JR西日本）","1897年（明治30年）12月26日","地上駅","広島県福山市大門町大門北緯34度29分54.5秒東経133度26分23.72秒﻿ / ﻿北緯34.498472度 東経133.4399222度﻿ /34.498472; 133.4399222座標:北緯34度29分54.5秒東経133度26分23.72秒﻿ / ﻿北緯34.498472度 東経133.4399222度﻿ /34.498472; 133.4399222","2面2線","無人駅(自動券売機有)","JR-W12","モン","2,433人/日（降車客含まず）-2018年-","","","","","","","",""
"大門駅 (東京都)","大門駅 (東京都)（だいもんえき・都営地下鉄浅草線・大江戸線）","https://ja.wikipedia.org/wiki/大門駅_(東京都)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","●[1]浅草線","9.5 km（西馬込起点）","東京都交通局（都営地下鉄）","1964年（昭和39年）10月1日","地下駅","","2面2線（浅草線）1面2線（大江戸線）","駅務管区所在駅直営駅","A09[1]","大（駅名略称）","","（浅草線）113,928人/日（大江戸線）137,102人/日（合計）251,030人/日-2019年-","浜松町駅（JR山手線・京浜東北線）MO01モノレール浜松町駅（東京モノレール羽田空港線）","","","","","",""
"大門駅 (愛知県)","大門駅 (愛知県)（だいもんえき・愛知環状鉄道線）","https://ja.wikipedia.org/wiki/大門駅_(愛知県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度58分56秒東経137度9分18秒","■愛知環状鉄道線","6.5 km（岡崎起点）","愛知環状鉄道","1988年（昭和63年）1月31日","高架駅","愛知県岡崎市大樹寺二丁目21北緯34度58分56秒東経137度9分18秒﻿ / ﻿北緯34.98222度 東経137.15500度﻿ /34.98222; 137.15500座標:北緯34度58分56秒東経137度9分18秒﻿ / ﻿北緯34.98222度 東経137.15500度﻿ /34.98222; 137.15500","1面1線","駅員時間配置駅","○05","モン","","2,858人/日-2019年[1]-","","","","","","",""
"大谷向駅","大谷向駅（だいやむこうえき）","https://ja.wikipedia.org/wiki/大谷向駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度43分57.0秒東経139度41分30.7秒","■鬼怒川線","0.8 km（下今市起点）","東武鉄道","1917年（大正6年）1月2日","地上駅","栃木県日光市今市1406北緯36度43分57.0秒東経139度41分30.7秒﻿ / ﻿北緯36.732500度 東経139.691861度﻿ /36.732500; 139.691861座標:北緯36度43分57.0秒東経139度41分30.7秒﻿ / ﻿北緯36.732500度 東経139.691861度﻿ /36.732500; 139.691861","2面2線","簡易委託駅","TN51","ムコ","","161人/日-2019年-","","","","","","",""
"大雄山駅","大雄山駅（だいゆうざんえき）","https://ja.wikipedia.org/wiki/大雄山駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度19分8.8秒東経139度6分11.3秒","■大雄山線","9.6 km（小田原起点）","伊豆箱根鉄道","1925年（大正14年）10月15日","地上駅","神奈川県南足柄市関本592-1北緯35度19分8.8秒東経139度6分11.3秒﻿ / ﻿北緯35.319111度 東経139.103139度﻿ /35.319111; 139.103139座標:北緯35度19分8.8秒東経139度6分11.3秒﻿ / ﻿北緯35.319111度 東経139.103139度﻿ /35.319111; 139.103139","1面2線","","ID12","","2,458人/日（降車客含まず）-2019年-","4,986[1]人/日-2019年-","","","","","","",""
"大洋駅","大洋駅（たいようえき）","https://ja.wikipedia.org/wiki/大洋駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度6分29.45秒東経140度34分35.88秒","大洗鹿島線","39.0 km（水戸起点）","鹿島臨海鉄道","1985年（昭和60年）3月14日","地上駅","茨城県鉾田市汲上2676-3北緯36度6分29.45秒東経140度34分35.88秒﻿ / ﻿北緯36.1081806度 東経140.5766333度﻿ /36.1081806; 140.5766333座標:北緯36度6分29.45秒東経140度34分35.88秒﻿ / ﻿北緯36.1081806度 東経140.5766333度﻿ /36.1081806; 140.5766333","1面2線","無人駅","","","","262人/日-2018年-","","","","","","",""
"平館駅","平館駅（たいらだてえき）","https://ja.wikipedia.org/wiki/平館駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯39度57分3.4秒東経141度5分7.5秒","■花輪線","13.7 km（好摩起点）","東日本旅客鉄道（JR東日本）","1922年（大正11年）8月27日","地上駅","岩手県八幡平市平舘第11地割北緯39度57分3.4秒東経141度5分7.5秒座標:北緯39度57分3.4秒 東経141度5分7.5秒","1面1線","無人駅","","ラタ","","","","","","","","",""
