"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"杉河内駅","杉河内駅（すぎかわちえき）","https://ja.wikipedia.org/wiki/杉河内駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度15分51.80秒東経131度3分56.21秒","■久大本線","63.6 km（久留米起点）","九州旅客鉄道（JR九州）","1957年（昭和32年）3月15日[3]","地上駅","1面1線[1]","大分県日田市天瀬町赤岩[1]北緯33度15分51.80秒東経131度3分56.21秒","無人駅[4]","","スカ","9人/日（降車客含まず）-2016年[2]-","17人/日-2016年[2]-","","","","","","",""
"杉崎駅","杉崎駅（すぎさきえき）","https://ja.wikipedia.org/wiki/杉崎駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度15分0.09秒東経137度10分7.14秒","CG高山本線","153.6 km（岐阜起点）","東海旅客鉄道（JR東海）","1952年（昭和27年）12月25日[1]","地上駅","1面1線[1]","岐阜県飛騨市古川町杉崎北緯36度15分0.09秒東経137度10分7.14秒","無人駅[1]","","サキ","25人/日（降車客含まず）-2019年-","","","","","","","",""
"杉田駅 (福島県)","杉田駅 (福島県)（すぎたえき・東日本旅客鉄道東北本線）","https://ja.wikipedia.org/wiki/杉田駅_(福島県)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯37度33分47.8秒東経140度24分49.1秒","■東北本線","246.6 km（東京起点）","東日本旅客鉄道（JR東日本）","1948年（昭和23年）12月19日[1]","地上駅","2面2線","福島県二本松市杉田町一丁目128北緯37度33分47.8秒東経140度24分49.1秒座標:北緯37度33分47.8秒 東経140度24分49.1秒","無人駅（乗車駅証明書発行機 有）","","スキ","452人/日（降車客含まず）-2004年-","","","","","","","",""
"杉田駅 (神奈川県)","杉田駅 (神奈川県)（すぎたえき・京急本線）","https://ja.wikipedia.org/wiki/杉田駅_(神奈川県)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度23分0.8秒東経139度36分57.1秒","■本線","34.3 km（品川起点）","京浜急行電鉄","1930年（昭和5年）7月10日","地上駅","2面2線","横浜市磯子区杉田二丁目1番9号北緯35度23分0.8秒東経139度36分57.1秒﻿ / ﻿北緯35.383556度 東経139.615861度﻿ /35.383556; 139.615861﻿ (杉田駅)座標:北緯35度23分0.8秒東経139度36分57.1秒﻿ / ﻿北緯35.383556度 東経139.615861度﻿ /35.383556; 139.615861﻿ (杉田駅)","","KK46","","","33,761人/日-2019年-","新杉田駅（根岸線・金沢シーサイドライン）","","","","","",""
"杉戸高野台駅","杉戸高野台駅（すぎとたかのだいえき）","https://ja.wikipedia.org/wiki/杉戸高野台駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","■日光線","3.2 km（東武動物公園起点）","東武鉄道","1986年（昭和61年）8月26日","地上駅（橋上駅舎）","2面4線","","","TN01","スギタ","","11,512人/日-2019年-","","","","","","",""
"杉塘停留場","杉塘停留場（すぎどもていりゅうじょう）","https://ja.wikipedia.org/wiki/杉塘停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度48分37.40秒東経130度41分29.20秒","上熊本線（■B系統）","2.0km（辛島町起点）健軍町から8.9 km","熊本市交通局","1939年（昭和14年）8月28日","地上駅","2面2線","熊本県熊本市中央区段山本町熊本県熊本市西区上熊本二丁目北緯32度48分37.40秒東経130度41分29.20秒﻿ / ﻿北緯32.8103889度 東経130.6914444度﻿ /32.8103889; 130.6914444座標:北緯32度48分37.40秒東経130度41分29.20秒﻿ / ﻿北緯32.8103889度 東経130.6914444度﻿ /32.8103889; 130.6914444","","□B4","","","172人/日-2015年-","","","","","","",""
"杉並町停留場","杉並町停留場（すぎなみちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/杉並町停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯41度47分19秒東経140度45分33.24秒","函館市電湯の川線","2.9 km（湯の川起点）","函館市企業局交通部","","地上駅（停留場）","2面2線","北海道函館市松陰町1-31先、杉並町21-16先北緯41度47分19秒東経140度45分33.24秒﻿ / ﻿北緯41.78861度 東経140.7592333度﻿ /41.78861; 140.7592333﻿ (杉並町停留場)座標:北緯41度47分19秒東経140度45分33.24秒﻿ / ﻿北緯41.78861度 東経140.7592333度﻿ /41.78861; 140.7592333﻿ (杉並町停留場)","","DY08","","","908[1]人/日-2019年-","","","","","","",""
"杉原駅","杉原駅（すぎはらえき）","https://ja.wikipedia.org/wiki/杉原駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度24分57.17秒東経137度11分32.39秒","CG高山本線","180.5 km（岐阜起点）","東海旅客鉄道（JR東海）","1932年（昭和7年）8月20日[1]","地上駅","2面2線[1]","岐阜県飛騨市宮川町杉原北緯36度24分57.17秒東経137度11分32.39秒","無人駅","","スキ","1人/日（降車客含まず）-2019年-","","","","","","","",""
"杉本町駅","杉本町駅（すぎもとちょうえき）","https://ja.wikipedia.org/wiki/杉本町駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度35分37.85秒東経135度30分10.54秒","R阪和線","6.9 km（天王寺起点）","西日本旅客鉄道（JR西日本）","1929年（昭和4年）7月18日","地上駅","2面4線（乗降は2面2線のみ）","大阪市住吉区杉本三丁目2-73北緯34度35分37.85秒東経135度30分10.54秒﻿ / ﻿北緯34.5938472度 東経135.5029278度﻿ /34.5938472; 135.5029278座標:北緯34度35分37.85秒東経135度30分10.54秒﻿ / ﻿北緯34.5938472度 東経135.5029278度﻿ /34.5938472; 135.5029278","直営駅みどりの窓口有大阪市内駅","JR-R26","スキ","9,095人/日（降車客含まず）-2018年-","","","","","","","",""
"杉山駅","杉山駅（すぎやまえき）","https://ja.wikipedia.org/wiki/杉山駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度40分49秒東経137度19分14.8秒","渥美線","12.7 km（新豊橋起点）","豊橋鉄道","1924年（大正13年）1月22日","地上駅","2面2線","愛知県豊橋市杉山町字前屋敷北緯34度40分49秒東経137度19分14.8秒﻿ / ﻿北緯34.68028度 東経137.320778度﻿ /34.68028; 137.320778座標:北緯34度40分49秒東経137度19分14.8秒﻿ / ﻿北緯34.68028度 東経137.320778度﻿ /34.68028; 137.320778","無人駅"," 12 ","","262人/日（降車客含まず）-2019年-","521人/日-2019年-","","","","","","",""
"宿毛駅","宿毛駅（すくもえき）","https://ja.wikipedia.org/wiki/宿毛駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度55分57.25秒東経132度42分47.95秒","■宿毛線","23.6 km（中村起点）","土佐くろしお鉄道（TKT）","1997年（平成9年）10月1日","高架駅[1]","2面2線[1]","高知県宿毛市駅前町一丁目703北緯32度55分57.25秒東経132度42分47.95秒","有人駅（窓口営業時間中のみ）みどりの窓口設置","○TK47","スク","","474人/日-2018年-","","","","","","",""
"スクリーン駅","スクリーン駅","https://ja.wikipedia.org/wiki/スクリーン駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度13分59.31秒東経136度16分1.93秒","■多賀線（彦根・多賀大社線）","0.8 km（高宮起点）","近江鉄道","2008年（平成20年）3月15日[1][2][3][4]","地上駅","単式　1面1線","滋賀県彦根市高宮町樋ノ戸458-1北緯35度13分59.31秒東経136度16分1.93秒﻿ / ﻿北緯35.2331417度 東経136.2672028度﻿ /35.2331417; 136.2672028座標:北緯35度13分59.31秒東経136度16分1.93秒﻿ / ﻿北緯35.2331417度 東経136.2672028度﻿ /35.2331417; 136.2672028","","OR08","","634人/日（降車客含まず）-2019年-","1,276人/日-2019年-","","","","","","",""
"助信駅","助信駅（すけのぶえき）","https://ja.wikipedia.org/wiki/助信駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度43分27.49秒東経137度44分19.31秒","鉄道線","2.4 km（新浜松駅起点）","遠州鉄道","1909年（明治42年）12月6日","高架駅","2面2線","浜松市中区助信町52-1北緯34度43分27.49秒東経137度44分19.31秒﻿ / ﻿北緯34.7243028度 東経137.7386972度﻿ /34.7243028; 137.7386972座標:北緯34度43分27.49秒東経137度44分19.31秒﻿ / ﻿北緯34.7243028度 東経137.7386972度﻿ /34.7243028; 137.7386972","* 1日当たりの乗車人員は、年間の乗車人員を日数で除することにより算出した。"," 05 ","","1,396人/日（降車客含まず）-2019年-","2,720人/日-2019年-","","","","","","",""
"巣子駅","巣子駅（すごえき）","https://ja.wikipedia.org/wiki/巣子駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","■いわて銀河鉄道線（■JR花輪線直通含む）","10.2km（盛岡起点）東京から545.5 km","IGRいわて銀河鉄道","2006年（平成18年）3月18日[1]","地上駅","2面2線（上下別）","","直営駅","","スコ","","1,001人/日-2019年-","","","","","","",""
"須佐駅","須佐駅（すさえき）","https://ja.wikipedia.org/wiki/須佐駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度37分19.27秒東経131度36分20.19秒","■山陰本線","540.4 km（京都起点）","西日本旅客鉄道（JR西日本）","1928年（昭和3年）3月25日[1]","地上駅","2面3線","山口県萩市大字須佐字水海4993北緯34度37分19.27秒東経131度36分20.19秒﻿ / ﻿北緯34.6220194度 東経131.6056083度﻿ /34.6220194; 131.6056083座標:北緯34度37分19.27秒東経131度36分20.19秒﻿ / ﻿北緯34.6220194度 東経131.6056083度﻿ /34.6220194; 131.6056083","簡易委託駅","","スサ","59人/日（降車客含まず）-2019年-","","","","","","","",""
"須坂駅","須坂駅（すざかえき）","https://ja.wikipedia.org/wiki/須坂駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度39分25.0秒東経138度18分15.3秒","長野線","12.5 km（長野起点）","長野電鉄","1922年（大正11年）6月10日[1]","地上駅（橋上駅）[1]","3面5線[1]","長野県須坂市大字須坂[1]1288-2北緯36度39分25.0秒東経138度18分15.3秒﻿ / ﻿北緯36.656944度 東経138.304250度﻿ /36.656944; 138.304250座標:北緯36度39分25.0秒東経138度18分15.3秒﻿ / ﻿北緯36.656944度 東経138.304250度﻿ /36.656944; 138.304250","終日駅員配置駅[1]","N13","スサ[1]","3,042人/日（降車客含まず）-2018年-","","","","","","","",""
"須崎駅","須崎駅（すさきえき）","https://ja.wikipedia.org/wiki/須崎駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度23分33.44秒東経133度17分35.62秒","■土讃線","168.7km（多度津起点）岡山から221.4km高松から201.4 km","四国旅客鉄道（JR四国）","1924年（大正13年）3月30日","地上駅","2面3線","高知県須崎市原町一丁目10-13北緯33度23分33.44秒東経133度17分35.62秒","直営駅（管理駅）みどりの窓口有","○K19","スキ","","832[1]人/日-2019年-","","","","","","",""
"洲先駅","洲先駅（すざきえき）","https://ja.wikipedia.org/wiki/洲先駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度42分32.1秒東経135度22分40.8秒","武庫川線","1.1 km（武庫川起点）","阪神電気鉄道","1943年（昭和18年）11月21日[1]","地上駅[1]","1面1線[1]","兵庫県西宮市東鳴尾町二丁目17-10北緯34度42分32.1秒東経135度22分40.8秒﻿ / ﻿北緯34.708917度 東経135.378000度﻿ /34.708917; 135.378000座標:北緯34度42分32.1秒東経135度22分40.8秒﻿ / ﻿北緯34.708917度 東経135.378000度﻿ /34.708917; 135.378000","無人駅[1]","HS52","","","","","","","","","",""
"周参見駅","周参見駅（すさみえき）","https://ja.wikipedia.org/wiki/周参見駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","W紀勢本線（きのくに線）","254.0km（亀山起点）新宮から73.8 km","西日本旅客鉄道（JR西日本）","1936年（昭和11年）10月30日[1]","地上駅","2面2線","","簡易委託駅みどりの窓口有","","スサ","115人/日（降車客含まず）-2019年-","","","","","","","",""
"逗子駅","逗子駅（ずしえき）","https://ja.wikipedia.org/wiki/逗子駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度17分51秒東経139度34分46秒","■横須賀線■■湘南新宿ライン（宇都宮線直通）","8.4km（大船起点）東京から品鶴線経由で57.8 km","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","1889年（明治22年）6月16日","地上駅（橋上駅）","2面3線","神奈川県逗子市逗子一丁目1-10北緯35度17分51秒東経139度34分46秒﻿ / ﻿北緯35.29750度 東経139.57944度﻿ /35.29750; 139.57944﻿ (逗子駅)","直営駅（管理駅）みどりの窓口有","JO06JS06","スシ","28,798人/日（降車客含まず）-2019年-","","","","","","","",""
"逗子・葉山駅","逗子・葉山駅（ずし・はやまえき）","https://ja.wikipedia.org/wiki/逗子・葉山駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度17分40秒東経139度34分49.5秒","■逗子線","5.9km（金沢八景起点）品川から46.8 km","京浜急行電鉄","1930年（昭和5年）4月1日","地上駅","1面1線","神奈川県逗子市逗子五丁目1番6号北緯35度17分40秒東経139度34分49.5秒﻿ / ﻿北緯35.29444度 東経139.580417度﻿ /35.29444; 139.580417﻿ (新逗子駅)座標:北緯35度17分40秒東経139度34分49.5秒﻿ / ﻿北緯35.29444度 東経139.580417度﻿ /35.29444; 139.580417﻿ (新逗子駅)","","KK53","","","25,136人/日-2019年-","逗子駅（JR横須賀線）","","","","","",""
"鈴鹿駅","鈴鹿駅（すずかえき）","https://ja.wikipedia.org/wiki/鈴鹿駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度52分41.8秒東経136度35分19.8秒","伊勢線","3.8 km（河原田起点）","伊勢鉄道","1973年9月1日[1]","高架駅[1]","2面2線[1]","三重県鈴鹿市矢橋一丁目11番1号北緯34度52分41.8秒東経136度35分19.8秒﻿ / ﻿北緯34.878278度 東経136.588833度﻿ /34.878278; 136.588833座標:北緯34度52分41.8秒東経136度35分19.8秒﻿ / ﻿北緯34.878278度 東経136.588833度﻿ /34.878278; 136.588833","","4","スカ","264人/日（降車客含まず）-2019年-","","","","","","","",""
