"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","所有者","位置","運用者","グラウンド","開場","大型映像装置","照明","ピッチサイズ","設計者","建設者","修繕","建設費","起工","拡張","運営者","分類","公式サイト","設備・遊具"
"栃木県グリーンスタジアム","[栃木県グリーンスタジアム/ 栃木グ -栃木SC] 栃木県グリーンスタジアム （とちぎけんグリーンスタジアム、Tochigi Green Stadium）は、 栃木県 宇都宮市 の 宇都宮清原工業団地 ・清原北公園内にある 球技場 。施設は栃木県が所有し、 北関東綜合警備保障 が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/栃木県グリーンスタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度33分23.87秒東経139度59分11.73秒","栃木県宇都宮市清原工業団地32","栃木県","北緯36度33分23.87秒東経139度59分11.73秒﻿ / ﻿北緯36.5566306度 東経139.9865917度﻿ /36.5566306; 139.9865917座標:北緯36度33分23.87秒東経139度59分11.73秒﻿ / ﻿北緯36.5566306度 東経139.9865917度﻿ /36.5566306; 139.9865917","北関東綜合警備保障","天然芝","1993年3月","オーロラビジョン","4基","","神谷五男＋都市環境建築設計所","佐藤工業渡辺建設柴田建設","2011年","34億5,100万円","1991年7月","2009年、2012年","","","",""
"フクダ電子アリーナ","[フクダ電子アリーナ（千葉市蘇我球技場） / フクアリ -ジェフユナイテッド千葉] 千葉市の 条例 上の名称は 千葉市蘇我球技場 （ちばしそがきゅうぎじょう）であるが、開業当初から医療機器の製造販売を行う フクダ電子 が施設 命名権 を取得し、「フクダ電子アリーナ」の名称を用いている（ 後述 ）。略称は フクアリ 。","https://ja.wikipedia.org/wiki/フクダ電子アリーナ","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度34分38.95秒東経140度7分22.34秒","千葉県千葉市中央区川崎町1-20","千葉市","北緯35度34分38.95秒東経140度7分22.34秒﻿ / ﻿北緯35.5774861度 東経140.1228722度﻿ /35.5774861; 140.1228722座標:北緯35度34分38.95秒東経140度7分22.34秒﻿ / ﻿北緯35.5774861度 東経140.1228722度﻿ /35.5774861; 140.1228722","SSP UNITED","天然芝","2005年10月","オーロラビジョン","","111m×74m","日本設計安宅防災設計都市再生機構","清水建設・大林組・新日本建設JV、関電工・JFE電制・モデン工業JV、日本電設工業・橋本電業社JV、川崎設備工業・芝工業JV、朝日工業社・川本工業・京葉工管JV","","81億円","2003年12月","","","","",""
"三ツ沢公園球技場","[ニッパツ三ツ沢球技場（三ツ沢公園球技場）/ ニッパツ -横浜FC、Y.S.C.C.横浜] 三ツ沢公園球技場 （みつざわこうえん きゅうぎじょう）は、 神奈川県 横浜市 神奈川区 の 三ツ沢公園 内にある 球技場 である。","https://ja.wikipedia.org/wiki/三ツ沢公園球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度28分8.96秒東経139度36分13.48秒","神奈川県横浜市神奈川区三ツ沢西町3-1 (三ツ沢公園内)","横浜市","北緯35度28分8.96秒東経139度36分13.48秒﻿ / ﻿北緯35.4691556度 東経139.6037444度﻿ /35.4691556; 139.6037444座標:北緯35度28分8.96秒東経139度36分13.48秒﻿ / ﻿北緯35.4691556度 東経139.6037444度﻿ /35.4691556; 139.6037444","横浜市緑の協会・スポーツ協会グループ（指定管理者）","#天然芝","1955年","あり (富士通フロンテック製。日本宝くじ協会寄贈)","4基 (鉄塔式)","","","","","","","1964年","","","",""
"南長野運動公園総合球技場","[長野Uスタジアム/ 長野U -AC長野パルセイロ] 南長野運動公園総合球技場 （みなみながのうんどうこうえん そうごうきゅうぎじょう）は、 長野県 長野市 の 南長野運動公園 にある サッカー ・ ラグビー 等の球技専用のスタジアムである。施設は長野市が所有し、南長野スポーツマネージメント共同事業体が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/南長野運動公園総合球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度34分49.27秒東経138度10分3.2秒","長野県長野市篠ノ井東福寺字上組北320","長野市","北緯36度34分49.27秒東経138度10分3.2秒﻿ / ﻿北緯36.5803528度 東経138.167556度﻿ /36.5803528; 138.167556座標:北緯36度34分49.27秒東経138度10分3.2秒﻿ / ﻿北緯36.5803528度 東経138.167556度﻿ /36.5803528; 138.167556","南長野スポーツマネージメント共同事業体","天然芝","2002年（旧スタジアム）2015年3月（新スタジアム）","","","120m×80m","竹中工務店・東畑建築事務所・アーキプラン","竹中工務店・北信土建・千広建設","2014年1月-2015年2月","71億4千万円","","","","","",""
"長野県松本平広域公園総合球技場","[サンプロ アルウィン（長野県松本平広域公園総合球技場）/ 松本 -松本山雅FC] 長野県松本平広域公園総合球技場 （ながのけんまつもとだいらこういきこうえん・そうごうきゅうぎじょう）は、 長野県 松本市 の 長野県松本平広域公園 （信州スカイパーク）内にあるサッカー、ラグビーなどに使用される フットボール 専用 スタジアム である。","https://ja.wikipedia.org/wiki/長野県松本平広域公園総合球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度10分46.93秒東経137度55分1.79秒","長野県松本市神林5300","長野県","北緯36度10分46.93秒東経137度55分1.79秒﻿ / ﻿北緯36.1797028度 東経137.9171639度﻿ /36.1797028; 137.9171639座標:北緯36度10分46.93秒東経137度55分1.79秒﻿ / ﻿北緯36.1797028度 東経137.9171639度﻿ /36.1797028; 137.9171639","TOY BOX","天然芝","2001年5月","オーロラビジョン","","130m×90m（天然芝：120m × 80m）","","","","約60億円","","","","","",""
"ヤマハスタジアム","[ヤマハスタジアム/ ヤマハ -ジュビロ磐田] ヤマハスタジアム （Yamaha Stadium）は、 静岡県 磐田市 にある サッカー や ラグビー に使用される球技専用 スタジアム である  。なお、施設は ヤマハ発動機 が所有し、運営管理も同社が行っている   。なお、磐田市（磐田市観光協会）やヤマハ発動機、 日本プロサッカーリーグ （Jリーグ）などのスタジアム呼称は ヤマハスタジアム（磐田） である    。","https://ja.wikipedia.org/wiki/ヤマハスタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度43分30.78秒東経137度52分30.02秒","静岡県磐田市新貝2500","ヤマハ発動機","北緯34度43分30.78秒東経137度52分30.02秒﻿ / ﻿北緯34.7252167度 東経137.8750056度﻿ /34.7252167; 137.8750056座標:北緯34度43分30.78秒東経137度52分30.02秒﻿ / ﻿北緯34.7252167度 東経137.8750056度﻿ /34.7252167; 137.8750056","","ティフトン芝（111m × 74.5m）","1978年","オーロラビジョン","4基","105m × 68 m","","","","","","1993年、1995年、1997年、2013年","","","",""
"豊田スタジアム","[豊田スタジアム/ 豊田ス -名古屋グランパス] 2002 FIFAワールドカップ の試合会場とすることを念頭に（ 後述 ）、豊田市が総事業費451億円を投じて建設した スタジアム であり  、陸上競技場ではない球技専用スタジアムとしては 埼玉スタジアム2002 に次ぎ、日本国内で2番目の規模を誇る。豊田市中央公園推進室と 黒川紀章 建築都市設計事務所が設計を担当し  、 大成建設 を代表企業とし 清水建設 ・ 矢作建設工業 などが参画した 共同企業体 が施工を手がけた  。","https://ja.wikipedia.org/wiki/豊田スタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度5分4.28秒東経137度10分15.41秒","愛知県豊田市千石町7-2","豊田市","北緯35度5分4.28秒東経137度10分15.41秒﻿ / ﻿北緯35.0845222度 東経137.1709472度﻿ /35.0845222; 137.1709472座標:北緯35度5分4.28秒東経137度10分15.41秒﻿ / ﻿北緯35.0845222度 東経137.1709472度﻿ /35.0845222; 137.1709472","株式会社豊田スタジアム","天然芝（115m x 78m）","2001年7月21日（竣工は2001年6月25日）","可動式ビジョン1基固定式ビジョン1基","シグニファイ製LED照明「Interact Sports」","105m x 68m","豊田市中央公園推進室黒川紀章建築都市設計事務所アラップジャパン建築設備設計研究所","大成・清水・矢作・太啓・豊田総建・三栄建設共同企業体","2019年","約340億円（公園整備費含）","1997年9月（造成工事着手）","","","","",""
"サンガスタジアム by KYOCERA","[サンガスタジアム by KYOCERA/ サンガS -京都サンガF.C.] サンガスタジアム by KYOCERA （サンガスタジアム バイ きょうセラ）は、 京都府 亀岡市 に存在する サッカー 、 ラグビー 、 アメリカンフットボール などの専用球技場である。条例上の名称は「 京都府立京都スタジアム 」（きょうとふりつきょうとスタジアム）  。なお、Jリーグでの略称は「 サンガS 」。","https://ja.wikipedia.org/wiki/サンガスタジアム_by_KYOCERA","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度1分1秒東経135度35分5秒","京都府亀岡市追分町","京都府","北緯35度1分1秒東経135度35分5秒﻿ / ﻿北緯35.01694度 東経135.58472度﻿ /35.01694; 135.58472座標:北緯35度1分1秒東経135度35分5秒﻿ / ﻿北緯35.01694度 東経135.58472度﻿ /35.01694; 135.58472","合同会社ビバ&サンガ","天然芝（120m x 77m）","2020年1月11日","2基（6.7m x 11.5m）","","","基本設計：日建設計一部修正基本設計・実施設計：東畑建築事務所","竹中工務店・公成建設・長村組JV","","156億円","2018年1月20日","","","","",""
"長居球技場","[長居球技場/ 長居球 -セレッソ大阪] 長居球技場 （ながいきゅうぎじょう）は、 大阪府 大阪市 東住吉区 の 長居公園 内にある フットボール 専用球技場である。施設は大阪市が所有し、 日本プロサッカーリーグ （Jリーグ）・ セレッソ大阪 の関連団体である 一般社団法人 セレッソ大阪スポーツクラブ が指定管理者として管理を行っている。","https://ja.wikipedia.org/wiki/長居球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","大阪府大阪市東住吉区長居公園1","大阪市","","長居公園スポーツの森プロジェクトグループ","天然芝（118m×71m）","1987年4月25日","電光掲示板（映像可）","","105m×68m","IAO竹田設計・竹中工務店（第3期改修）","竹中工務店（第3期改修）","","48億円","","2010年（第1期改修）2014年（第2期改修）2019年（第3期改修）","","","",""
"御崎公園球技場","[ノエビアスタジアム神戸（御崎公園球技場）/ ノエスタ -ヴィッセル神戸] 御崎公園球技場 （みさきこうえんきゅうぎじょう、Misaki Park Stadium）は、 兵庫県 神戸市 兵庫区 の 御崎公園 内にある 球技場 である。施設は神戸市が所有し、 日本プロサッカーリーグ （Jリーグ）・ ヴィッセル神戸 の運営会社であり、 楽天 の子会社である楽天ヴィッセル神戸が 都市公園法 に基づく管理許可制度により運営管理を行っている。","https://ja.wikipedia.org/wiki/御崎公園球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度39分24.15秒東経135度10分8.27秒","兵庫県神戸市兵庫区御崎町1-2-2","神戸市","北緯34度39分24.15秒東経135度10分8.27秒﻿ / ﻿北緯34.6567083度 東経135.1689639度﻿ /34.6567083; 135.1689639座標:北緯34度39分24.15秒東経135度10分8.27秒﻿ / ﻿北緯34.6567083度 東経135.1689639度﻿ /34.6567083; 135.1689639","楽天ヴィッセル神戸","SISGrass","2001年10月（竣工）","LED方式 2面","","105 x 68 m","大林組・神戸製鋼所JV","大林組・神戸製鋼所JV","","230億円","1999年10月","","","","",""
