"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","指定文化財","遺構","築城年","築城主","廃城年","城郭構造","築造時期","史跡","規模","主な城主","形状","別名","出土品","天守構造","埋葬施設","特記事項"
"元寇防塁","[元寇防塁（げんこうぼうるい）〔福岡市〕1931年3月30日] 元寇防塁 （げんこうぼうるい）は、 鎌倉時代 に 北部九州 の 博多湾 沿岸一帯に築かれた石による 防塁 。蒙古襲来（ 元寇 ）に備えて築かれた。弘安の役の際には防塁が築かれたところからはモンゴル・高麗軍は一切上陸することが出来なかった  。昭和六年( 1931年 )に国の 史跡 に指定  。","https://ja.wikipedia.org/wiki/元寇防塁","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鴻臚館","[鴻臚館跡（こうろかんあと）〔福岡市〕2004年9月30日] 筑紫の鴻臚館は現在の福岡県 福岡市 中央区 城内にあった。 福岡城 敷地内に位置する。遺構が見つかっている唯一の鴻臚館である。","https://ja.wikipedia.org/wiki/鴻臚館","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","〒810-0043福岡県福岡市中央区城内1","","","","","","","","","","","","","","","","",""
"聖福寺 (福岡市)","[聖福寺境内（しょうふくじけいだい）〔福岡市〕1969年11月7日] 聖福寺 （しょうふくじ）は、 福岡県 福岡市 博多区 にある 臨済宗妙心寺派 の 寺院 である。 栄西 創建で、日本最初の本格的な 禅寺 、「 扶桑最初禅窟 」として有名である。境内は国の史跡に指定されており、山門や仏殿などがある。 山号 は 安国山 （通称は安山）。","https://ja.wikipedia.org/wiki/聖福寺_(福岡市)","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度35分49.3秒東経130度24分50.8秒","北緯33度35分49.3秒東経130度24分50.8秒﻿ / ﻿北緯33.597028度 東経130.414111度﻿ /33.597028; 130.414111座標:北緯33度35分49.3秒東経130度24分50.8秒﻿ / ﻿北緯33.597028度 東経130.414111度﻿ /33.597028; 130.414111","福岡市博多区御供所町6-1","","","","","","","","","","","","","","","","",""
"野方遺跡","[野方遺跡（のかたいせき）〔福岡市〕1975年6月27日] 野方遺跡 （のかたいせき）は、 福岡県 福岡市 西区 野方 にある 弥生時代 後期・ 古墳時代 前期の遺跡である。国の 史跡 に指定されている（ 1975年 （ 昭和 50年） 6月27日 指定）。","https://ja.wikipedia.org/wiki/野方遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度33分19秒 東経130度18分22秒","","","","","","","","","","","","","","","","","","",""
"比恵遺跡","[比恵遺跡（ひえいせき）〔福岡市〕2001年8月13日] 比恵遺跡 （ひえいせき）は、 福岡市 博多区 博多駅南 五丁目にある 弥生時代 から 戦国時代 に至るまでの集落、墳墓などの 遺跡 。『 日本書紀 』宣化元年（ 536年 ）の条に記述されている「 那津官家 」に関連するものと考えられる。","https://ja.wikipedia.org/wiki/比恵遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"福岡城","[福岡城跡（ふくおかじょうあと）〔福岡市〕1957年8月29日] 福岡城 （ふくおかじょう）は、 筑前国 那珂郡  警固村 福崎のち福岡  （現在の 福岡県 福岡市 中央区 ）に築かれた 江戸時代 の 日本の城 。別名、舞鶴城、石城。国の 史跡 に指定されている。現在、城跡は 舞鶴公園 と 大濠公園 となっている。","https://ja.wikipedia.org/wiki/福岡城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度35分3.77秒東経130度22分59.17秒","北緯33度35分3.77秒東経130度22分59.17秒﻿ / ﻿北緯33.5843806度 東経130.3831028度﻿ /33.5843806; 130.3831028﻿ (福岡城)座標:北緯33度35分3.77秒東経130度22分59.17秒﻿ / ﻿北緯33.5843806度 東経130.3831028度﻿ /33.5843806; 130.3831028﻿ (福岡城)","","福岡城","国の重要文化財（多聞櫓・二の丸南隅櫓）国の史跡福岡県文化財（潮見櫓・大手門・祈念櫓・母里太兵衛邸長屋門）福岡市文化財（名島門）","櫓4棟・門3棟、石垣、堀","1601年","黒田長政","1871年","梯郭式平山城","","","","黒田氏","","舞鶴城、石城","","不明","",""
"吉武高木遺跡","[吉武高木遺跡（よしたけたかぎいせき）〔福岡市〕1993年10月4日] 吉武高木遺跡 （よしたけたかぎいせき）は、 福岡県 福岡市 西区 大字吉武にある 弥生時代 の 遺跡 。 1993年 （平成5年）10月4日に国の 史跡 に指定され、 2000年 （平成12年）9月6日と同年9月21日に指定区域が追加された。","https://ja.wikipedia.org/wiki/吉武高木遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度32分16.6秒 東経130度19分06.8秒","","","","","","","","","","","","","","","","","","",""
"老司古墳","[老司古墳（ろうじこふん）〔福岡市〕2000年12月20日] 老司古墳 （ろうじこふん）は、 福岡県 福岡市 南区 老司 にある 古墳 。2000年に国史跡に指定されている  。","https://ja.wikipedia.org/wiki/老司古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度31分49秒 東経130度25分12秒","","","","","","","","","","","","","","","","","","",""
"怡土城","[怡土城跡（いとじょうあと）〔糸島市〕1938年8月8日] 怡土城 （いとじょう / いとのき）は、 筑前国 怡土郡 の 高祖山 （現在の 福岡県 糸島市 高来寺・大門・高祖）にあった 日本 の 古代山城 （分類は中国式山城）。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/怡土城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度32分53.70秒東経130度16分7.05秒","北緯33度32分53.70秒東経130度16分7.05秒﻿ / ﻿北緯33.5482500度 東経130.2686250度﻿ /33.5482500; 130.2686250座標:北緯33度32分53.70秒東経130度16分7.05秒﻿ / ﻿北緯33.5482500度 東経130.2686250度﻿ /33.5482500; 130.2686250","","","国の史跡「怡土城跡」","土塁・石塁・濠・城門・水門・望楼","開始：天平勝宝8年（756年）完成：神護景雲2年（768年）","吉備真備→佐伯今毛人","不明","古代山城（中国式山城）","","","","","","","","","",""
"釜塚古墳","[釜塚古墳（かまつかこふん）〔糸島市〕1982年5月7日] 釜塚古墳 （かまつかこふん  /かまづかこふん  ）は、 福岡県 糸島市 神在にある 古墳 。形状は 円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/釜塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度32分37.04秒東経130度10分39.74秒","北緯33度32分37.04秒東経130度10分39.74秒﻿ / ﻿北緯33.5436222度 東経130.1777056度﻿ /33.5436222; 130.1777056座標:北緯33度32分37.04秒東経130度10分39.74秒﻿ / ﻿北緯33.5436222度 東経130.1777056度﻿ /33.5436222; 130.1777056","福岡県糸島市神在405番地（字釜塚）","釜塚古墳","","","","","","","5世紀前半","国の史跡「釜塚古墳」","直径56m高さ10m","","円墳","","埴輪片","","竪穴系横穴式石室（内部に箱式石棺か）",""
"志登支石墓群","[志登支石墓群（しとしぼせきぐん）〔糸島市〕1954年3月20日] 志登支石墓群 （しとしせきぼぐん）は、 福岡県 糸島市 大字志登字坂本に所在する 弥生時代 の外来墓制である。1954年（昭和29年）3月20日、国の史跡に指定される。","https://ja.wikipedia.org/wiki/志登支石墓群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度34分9.2秒 東経130度13分4.1秒","","","","","","","","","","","","","","","","","","",""
"平原遺跡","[平原遺跡（ひらばるいせき）] 平原遺跡 （ひらばるいせき）は、 福岡県 糸島市 にある 弥生時代 の 遺跡 。 曽根遺跡群 の一つとして、1982年（昭和57年）10月、国の 史跡 に指定。2000年（平成12年）10月追加指定。","https://ja.wikipedia.org/wiki/平原遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度32分32.3秒 東経130度13分42.3秒","","","","","","","","","","","","","","","","","","",""
"雷山神籠石","[雷山神籠石（らいざんこうごいし）〔糸島市〕1932年3月25日] 雷山神籠石 （らいざんこうごいし）は、 筑前国 怡土郡 の 雷山 中腹（現在の 福岡県 糸島市 雷山・飯原）にあった 日本 の 古代山城 （分類は 神籠石系山城 ）。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/雷山神籠石","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度30分0.16秒東経130度13分6.49秒","北緯33度30分0.16秒東経130度13分6.49秒﻿ / ﻿北緯33.5000444度 東経130.2184694度﻿ /33.5000444; 130.2184694座標:北緯33度30分0.16秒東経130度13分6.49秒﻿ / ﻿北緯33.5000444度 東経130.2184694度﻿ /33.5000444; 130.2184694","","","国の史跡「雷山神籠石」","水門・石塁・土塁","不明","","不明","古代山城（神籠石系山城）","","","","","","","","","",""
"新町支石墓群","[新町支石墓群（しんまちしせきぼぐん）〔糸島市〕2000年9月6日] 新町支石墓群 （しんまちしせきぼぐん）は、 福岡県 糸島市 志摩新町にある墓群。2000年9月6日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/新町支石墓群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度34分12秒 東経130度08分01秒","","","","","","","","","","","","","","","","","","",""
"三雲・井原遺跡","[三雲・井原遺跡（みくも・いはらいせき）〔糸島市〕2017年] 三雲・井原遺跡 （みくも・いわらいせき  ）は、 福岡県 糸島市 三雲および井原に位置する 弥生時代 の集落跡である。2017年10月13日、国史跡に指定された。","https://ja.wikipedia.org/wiki/三雲・井原遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度33分26秒 東経130度11分44秒","","","","","","","","","","","","","","","","","","",""
"一貴山銚子塚古墳","[銚子塚古墳（ちょうしづかこふん）〔糸島市〕1957年8月29日] 一貴山銚子塚古墳 （いきさんちょうしづかこふん）は、 福岡県 糸島市 二丈田中にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている（指定名称は「銚子塚古墳」）。","https://ja.wikipedia.org/wiki/一貴山銚子塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度32分11.09秒東経130度10分10.60秒","北緯33度32分11.09秒東経130度10分10.60秒﻿ / ﻿北緯33.5364139度 東経130.1696111度﻿ /33.5364139; 130.1696111座標:北緯33度32分11.09秒東経130度10分10.60秒﻿ / ﻿北緯33.5364139度 東経130.1696111度﻿ /33.5364139; 130.1696111","福岡県糸島市二丈田中字大塚100-1","一貴山銚子塚古墳","","","","","","","4世紀後半","国の史跡「銚子塚古墳」","墳丘長103m高さ9.5m（後円部）","","前方後円墳","","副葬品多数","","竪穴式石室（内部に木棺）",""
"奴国の丘歴史公園","[須玖岡本遺跡（すぐおかもといせき）〔春日市〕1986年6月24日] 奴国の丘歴史公園 （なこくのおかれきしこうえん）は、 福岡県 春日市 にある、 弥生時代 の遺跡を中心とした 公園 である。","https://ja.wikipedia.org/wiki/奴国の丘歴史公園","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度32分17.0秒 東経130度27分06.0秒","","","","","","","","","","","","","","","","","","",""
"日拝塚古墳","[日拝塚古墳（ひはいづかこふん）〔春日市〕1976年2月24日] 日拝塚古墳 （ひはいづかこふん）は、 福岡県 春日市 下白水南にある 古墳 。1976年2月24日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/日拝塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度31分23秒 東経130度26分19秒","","","","","","","","","","","","","","","","","","",""
"牛頸須恵器窯跡","[牛頸須恵器窯跡（うしくびすえきかまあと）〔大野城市〕2009年2月12日] 牛頸須恵器窯跡 （うしくびすえきかまあと）は、 福岡平野 の東南部、 福岡県 大野城市 上大利・牛頸に分布する 窯跡 群である。2009年（平成21年）2月12日、 国史跡 に指定された。また 日本遺産 の構成文化財の1つにも認定されている  。 牛頸窯跡群 （うしくびかまあとぐん）とも呼称される  。","https://ja.wikipedia.org/wiki/牛頸須恵器窯跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度30分52秒 東経130度28分40秒","","","","","","","","","","","","","","","","","","",""
