"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","公式サイト","外部リンク","法人番号","国","地方","総人口","人口密度","駐車場","開園","都道府県","市町村コード","隣接自治体","設備・遊具","市長","事務所"
"小松市","[42安宅公園市立歴史公園石川県小松市安宅の関] 小松市 （こまつし）は、 石川県 の南部に位置する 日本海 に面した 市 。","https://ja.wikipedia.org/wiki/小松市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度24分30秒東経136度26分43.9秒","〒923-8650石川県小松市小馬出町91番地北緯36度24分30秒東経136度26分43.9秒﻿ / ﻿北緯36.40833度 東経136.445528度﻿ /36.40833; 136.445528座標:北緯36度24分30秒東経136度26分43.9秒﻿ / ﻿北緯36.40833度 東経136.445528度﻿ /36.40833; 136.445528","371.05km2","","","","公式ウェブサイト","3000020172031","日本","中部地方、北陸地方","105,567人（推計人口、2021年6月1日）","285人/km2","","","石川県","17203-1","白山市、能美市、加賀市福井県勝山市","","宮橋勝栄",""
"岡津製塩遺跡","[43岡津製塩遺跡福井県小浜市岡津製塩遺跡] 岡津製塩遺跡 （おこづせいえんいせき）は、 福井県 小浜市 岡津にある、 古墳時代 から 奈良時代 にかけての製塩遺跡。 飯盛山 南西麓の 小浜湾 海岸線にあり、7世紀～8世紀にかけての製塩炉跡9面が検出されている。1979年5月21日、 国史跡 に指定された。さらに2015年4月24日には、「海と都をつなぐ若狭の往来文化遺産群 - 御食国（みけつくに）若狭と鯖街道 - 」の構成文化財として 日本遺産 に認定された  。","https://ja.wikipedia.org/wiki/岡津製塩遺跡","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度28分54秒 東経135度39分20秒","","","","","","","","","","","","","","","","","","",""
"養浩館庭園","[44養浩館庭園福井県福井市養浩館庭園] 養浩館庭園 （ようこうかんていえん）は、 福井県 福井市 宝永 3丁目にある 日本庭園 （ 大名庭園 ）。国の 名勝 に指定  されている。","https://ja.wikipedia.org/wiki/養浩館庭園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度4分6.6秒 東経136度13分27.9秒","日本福井県福井市宝永3丁目11-36","総面積 約9,500m2","回遊式林泉庭園","","","","","","","","","普通乗用車、バス","","","","","","",""
"大野市","[45亀山公園市立風致公園福井県大野市大野城] 大野市 （おおのし）は、 福井県 東部に位置する 市 である。","https://ja.wikipedia.org/wiki/大野市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度58分47秒東経136度29分15秒","〒912-8666福井県大野市天神町1番1号北緯35度58分47秒東経136度29分15秒﻿ / ﻿北緯35.97972度 東経136.48750度﻿ /35.97972; 136.48750座標:北緯35度58分47秒東経136度29分15秒﻿ / ﻿北緯35.97972度 東経136.48750度﻿ /35.97972; 136.48750","872.43km2","","","","公式ウェブサイト","6000020182052","日本","中部地方、北陸地方","30,914人（推計人口、2021年6月1日）","35.4人/km2","","","福井県","18205-2","福井市、勝山市、今立郡池田町石川県白山市岐阜県：高山市、郡上市、関市、本巣市、揖斐郡揖斐川町","","石山志保",""
"西山公園 (鯖江市)","[46西山公園市立総合公園福井県鯖江市嚮陽渓] 西山公園南側に 道の駅 が 2014年 （平成26年） 4月5日 に開業した    。鯖江市西山動物園へは道の駅内にある エレベーター と橋を利用して行くことができる。","https://ja.wikipedia.org/wiki/西山公園_(鯖江市)","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度56分55.3秒東経136度10分50.5秒","〒916-0027福井県鯖江市桜町3丁目950番","","","","","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","","",""
"坂井市","[47霞ヶ城公園市立地区公園福井県坂井市丸岡城] 坂井市 （さかいし）は、 福井県 の北部に位置する 市 である。","https://ja.wikipedia.org/wiki/坂井市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度10分1秒東経136度13分53.2秒","〒919-0592福井県坂井市坂井町下新庄第1号1番地北緯36度10分1秒東経136度13分53.2秒﻿ / ﻿北緯36.16694度 東経136.231444度﻿ /36.16694; 136.231444座標:北緯36度10分1秒東経136度13分53.2秒﻿ / ﻿北緯36.16694度 東経136.231444度﻿ /36.16694; 136.231444","209.67km2","","","","公式ウェブサイト","8000020182109","日本","中部地方、北陸地方","88,022人（推計人口、2021年6月1日）","420人/km2","","","福井県","18210-9","福井市、あわら市、勝山市、吉田郡永平寺町石川県：加賀市","","坂本憲男",""
"万力公園","[48万力公園市立総合公園山梨県山梨市万力林] 万力公園 （まんりきこうえん）は、 山梨県 山梨市 万力にある 都市公園 （総合公園）である。山梨市により維持管理されている。 根津公園 とも言う  。","https://ja.wikipedia.org/wiki/万力公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度41分29秒東経138度40分52秒","日本山梨県山梨市万力1828","14.1ha","都市公園（総合公園）","山梨市","山梨市のサイト","","","","","","","あり","","","","","ちどり湖せせらぎ広場シカ放飼場子どもの森散策路（春の道、夏の道、秋の道）山梨市市民会館","",""
"長野県","[49松本城公園市立総合公園長野県松本市松本城] 令制国 名の 信濃国 にちなみ「 信州 」とも呼ばれている。 海 に面していない 内陸県 であり、 日本アルプス を始め大規模な山岳地があるため 可住地面積 率は低い。キャッチフレーズは しあわせ信州  。","https://ja.wikipedia.org/wiki/長野県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度39分4.6秒東経138度10分51.4秒","〒380-8570長野県長野市大字南長野字幅下692番地2北緯36度39分4.6秒東経138度10分51.4秒﻿ / ﻿北緯36.651278度 東経138.180944度﻿ /36.651278; 138.180944座標:北緯36度39分4.6秒東経138度10分51.4秒﻿ / ﻿北緯36.651278度 東経138.180944度﻿ /36.651278; 138.180944長野県庁 本館棟","13,561.56km2（境界未定部分あり）","","","","長野県公式ホームページ","1000020200000","日本","中部地方、甲信越地方、信越地方","2,023,439人（推計人口、2021年6月1日）","149人/km2","","","","","","","",""
"上田城跡公園","[50上田城跡公園市立総合公園長野県上田市上田城] 上田城跡公園 （うえだじょうせきこうえん）は、 長野県 上田市 にある、 上田城 を中心に整備された 都市公園 （総合公園）である  。","https://ja.wikipedia.org/wiki/上田城跡公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度24分13.6秒東経138度14分39.9秒","日本長野県上田市二の丸6263番地イ","168,000 m2","都市公園（総合公園）","上田市","上田市のサイト","","","","","","","","","","","","野球場、陸上競技場、相撲場、体育館、プール、テニスコート、ゲートボール場、弓道場、児童遊園地","",""
"岐阜公園","[51岐阜公園市立総合公園岐阜県岐阜市岐阜城・板垣退助関連史跡] ","https://ja.wikipedia.org/wiki/岐阜公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度26分0.32秒東経136度46分30.76秒","日本岐阜県岐阜市大宮町1丁目","20.3ha","都市公園","岐阜市","岐阜公園（岐阜市HP）","","","","","","","あり（36台）","1887年(明治21年)11月","","","","","",""
"城山公園 (高山市)","[52城山公園市立総合公園岐阜県高山市高山城] 城山公園 （しろやまこうえん）は 岐阜県 高山市 にある 公園 。","https://ja.wikipedia.org/wiki/城山公園_(高山市)","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度8分13.29秒東経137度15分49.83秒","日本岐阜県高山市城山","24.29ha","総合公園","一般財団法人高山市施設振興公社（指定管理者）","城山公園（高山市HP）","","","","","","","あり（20台）","","","","","","",""
"旗本徳山陣屋公園 (存在しないページ)","[53旗本徳山陣屋公園岐阜県各務原市更木陣屋]","https://ja.wikipedia.org/w/index.php?title=旗本徳山陣屋公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"沼津御用邸記念公園","[54沼津御用邸記念公園市立総合公園静岡県沼津市沼津御用邸] 沼津御用邸記念公園 （ぬまづごようていきねんこうえん、英称: Numazu Goyotei Memorial Park ）は、静岡県沼津市下香貫島郷にある公園。","https://ja.wikipedia.org/wiki/沼津御用邸記念公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度4分22.27秒東経138度52分17.43秒","日本静岡県沼津市下香貫島郷2802番地-1","","都市公園、日本の歴史公園100選","沼津市都市計画部緑地公園課","http://www.numazu-goyotei.com/","","","","","","","","","","","","","","沼津御用邸記念公園管理事務所"
"三島市","[55楽寿園市立総合公園静岡県三島市楽寿園] 三島市 （みしまし）は、 静岡県 東部にある 市 。 伊豆半島 の北端部に位置し、かつて 伊豆国 の 国府 が置かれた。","https://ja.wikipedia.org/wiki/三島市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度7分6.6秒東経138度55分6.8秒","〒411-8666静岡県三島市北田町4番47号北緯35度7分6.6秒東経138度55分6.8秒﻿ / ﻿北緯35.118500度 東経138.918556度﻿ /35.118500; 138.918556座標:北緯35度7分6.6秒東経138度55分6.8秒﻿ / ﻿北緯35.118500度 東経138.918556度﻿ /35.118500; 138.918556","62.02km2","","","","www.city.mishima.shizuoka.jp","8000020222062","日本","中部地方、東海地方","107,345人（推計人口、2021年6月1日）","1,731人/km2","","","静岡県","22206-2","沼津市、裾野市、田方郡函南町、駿東郡清水町、長泉町神奈川県足柄下郡箱根町","","豊岡武士",""
"秩父宮記念公園","[56秩父宮記念公園市立総合公園静岡県御殿場市秩父宮家別邸] 秩父宮記念公園 （ちちぶのみや きねんこうえん）は、 秩父宮雍仁親王 ・ 勢津子妃 が過ごした元別邸を整備、公開した 公園 。 静岡県 御殿場市 の 箱根外輪山 の麓にあり、勢津子の 遺言 により御殿場市に寄贈されたのち公園となった。","https://ja.wikipedia.org/wiki/秩父宮記念公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度17分19.4秒 東経138度57分7.3秒","","","","","","","","","","","","","","","","","","",""
