"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","標高","位置","山系","最新噴火"
"本山駅 (愛知県)","本山駅 (愛知県)（もとやまえき・名古屋市営地下鉄東山線・名城線）","https://ja.wikipedia.org/wiki/本山駅_(愛知県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度9分50秒東経136度57分49秒","東山線","14.2 km（高畑起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1963年（昭和38年）4月1日","名古屋市千種区四谷通一丁目18-1北緯35度9分50秒東経136度57分49秒﻿ / ﻿北緯35.16389度 東経136.96361度﻿ /35.16389; 136.96361座標:北緯35度9分50秒東経136度57分49秒﻿ / ﻿北緯35.16389度 東経136.96361度﻿ /35.16389; 136.96361","2面2線（東山線）1面2線（名城線）","","H16","","15,726人/日（降車客含まず）-2019年-","30,862[1]人/日-2019年-","","","","","","",""
"本山駅 (香川県)","本山駅 (香川県)（もとやまえき・四国旅客鉄道予讃線）","https://ja.wikipedia.org/wiki/本山駅_(香川県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度8分45.87秒東経133度41分11.3秒","■予讃線","52.4 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1913年（大正2年）12月20日","香川県三豊市豊中町岡本北緯34度8分45.87秒東経133度41分11.3秒﻿ / ﻿北緯34.1460750度 東経133.686472度﻿ /34.1460750; 133.686472座標:北緯34度8分45.87秒東経133度41分11.3秒﻿ / ﻿北緯34.1460750度 東経133.686472度﻿ /34.1460750; 133.686472","1面2線","無人駅","○Y18","モト","268人/日（降車客含まず）-2019年-","","","","","","","",""
"本山駅 (長崎県)","本山駅 (長崎県)（もとやまえき・松浦鉄道西九州線）","https://ja.wikipedia.org/wiki/本山駅_(長崎県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度12分25.28秒東経129度40分54.74秒","■西九州線","83.5 km（有田起点）","松浦鉄道","地上駅","1994年（平成6年）10月3日","長崎県佐世保市下本山町北緯33度12分25.28秒東経129度40分54.74秒","1面1線","","","","","210人/日-2018年-","","","","","","",""
"元山駅 (千葉県)","元山駅 (千葉県)（もとやまえき・新京成電鉄新京成線）","https://ja.wikipedia.org/wiki/元山駅_(千葉県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度47分24.7秒東経139度58分33.1秒","■新京成線","8.7 km（松戸起点）","新京成電鉄","地上駅（橋上駅）","1955年（昭和30年）4月21日","千葉県松戸市五香南1丁目5番地の1北緯35度47分24.7秒東経139度58分33.1秒﻿ / ﻿北緯35.790194度 東経139.975861度﻿ /35.790194; 139.975861座標:北緯35度47分24.7秒東経139度58分33.1秒﻿ / ﻿北緯35.790194度 東経139.975861度﻿ /35.790194; 139.975861","2面2線","","SL08","","","18,159人/日-2019年-","","","","","","",""
"元山駅 (香川県)","元山駅 (香川県)（もとやまえき・高松琴平電気鉄道長尾線）","https://ja.wikipedia.org/wiki/元山駅_(香川県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度18分37.6秒東経134度5分1.6秒","■長尾線","4.5km（瓦町起点）高松築港から6.2 km","高松琴平電気鉄道","地上駅","1912年（明治45年）4月30日","香川県高松市元山町字大熊981番地3北緯34度18分37.6秒東経134度5分1.6秒﻿ / ﻿北緯34.310444度 東経134.083778度﻿ /34.310444; 134.083778座標:北緯34度18分37.6秒東経134度5分1.6秒﻿ / ﻿北緯34.310444度 東経134.083778度﻿ /34.310444; 134.083778","1面1線","無人駅"," N06 ","","","857人/日-2018年-","","","","","","",""
"本八幡駅","本八幡駅（もとやわたえき）","https://ja.wikipedia.org/wiki/本八幡駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京都交通局（駅詳細）","","","千葉県市川市八幡二丁目","","","","","","","","","","","","",""
"本吉駅","本吉駅（もとよしえき）","https://ja.wikipedia.org/wiki/本吉駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","■気仙沼線BRT","51.5 km（前谷地起点）","東日本旅客鉄道（JR東日本）","地上駅","2012年（平成24年）8月20日*","","","月2回のみ有人駅","","","199人/日（降車客含まず）-2019年-","","","","","","","",""
"本輪西駅","本輪西駅（もとわにしえき）","https://ja.wikipedia.org/wiki/本輪西駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯42度21分32.47秒東経140度58分39.91秒","■室蘭本線","72.7 km（長万部起点）","北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）","地上駅","1925年（大正14年）8月20日","北海道室蘭市本輪西町1丁目北緯42度21分32.47秒東経140度58分39.91秒﻿ / ﻿北緯42.3590194度 東経140.9777528度﻿ /42.3590194; 140.9777528﻿ (本輪西駅)","1面2線","無人駅","○H33","モワ","","","","","","","","",""
"物井駅","物井駅（ものいえき）","https://ja.wikipedia.org/wiki/物井駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度41分8.6秒東経140度12分1.3秒","■総武本線（■成田線直通含む）","51.1 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1937年（昭和12年）4月5日","千葉県四街道市物井428北緯35度41分8.6秒東経140度12分1.3秒座標:北緯35度41分8.6秒 東経140度12分1.3秒","2面2線","業務委託駅","JO32[報道 1]","モイ←モヰ","4,163人/日（降車客含まず）-2019年-","","","","","","","",""
"浜松町駅","モノレール浜松町駅（モノレールはままつちょうえき）","https://ja.wikipedia.org/wiki/浜松町駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京モノレール（駅詳細）","","","東京都港区","","","","","","","A09E20大門駅（都営地下鉄浅草線・大江戸線）","","","","","",""
"茂原駅","茂原駅（もばらえき）","https://ja.wikipedia.org/wiki/茂原駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度25分36.9秒東経140度18分14.3秒","■外房線","34.3 km（千葉起点）","東日本旅客鉄道（JR東日本）","高架駅","1897年（明治30年）4月17日[1]","千葉県茂原市町保1北緯35度25分36.9秒東経140度18分14.3秒座標:北緯35度25分36.9秒 東経140度18分14.3秒","2面4線","直営駅（管理駅）みどりの窓口有","","モハ","10,901人/日（降車客含まず）-2019年-","","","","","","","",""
"茂辺地駅","茂辺地駅（もへじえき）","https://ja.wikipedia.org/wiki/茂辺地駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯41度45分59.4秒東経140度36分3.0秒","■道南いさりび鉄道線","17.6 km（五稜郭起点）","道南いさりび鉄道","地上駅","1930年（昭和5年）10月25日[1]","北海道北斗市茂辺地鉄道用地[1]北緯41度45分59.4秒東経140度36分3.0秒﻿ / ﻿北緯41.766500度 東経140.600833度﻿ /41.766500; 140.600833﻿ (茂辺地駅)","2面3線[1]","簡易委託駅","●sh06","モチ","","30[2]人/日-2019年-","","","","","","",""
"広島観光開発","紅葉谷駅（もみじだにえき）","https://ja.wikipedia.org/wiki/広島観光開発#宮島ロープウエー","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","","","","","","","","","","","","","","","株式会社","","","",""
"樅山駅","樅山駅（もみやまえき）","https://ja.wikipedia.org/wiki/樅山駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度31分59.68秒東経139度44分30.75秒","■日光線","64.2 km（東武動物公園起点）","東武鉄道","地上駅","1929年（昭和4年）4月1日","栃木県鹿沼市樅山町702-2北緯36度31分59.68秒東経139度44分30.75秒﻿ / ﻿北緯36.5332444度 東経139.7418750度﻿ /36.5332444; 139.7418750﻿ (樅山駅)座標:北緯36度31分59.68秒東経139度44分30.75秒﻿ / ﻿北緯36.5332444度 東経139.7418750度﻿ /36.5332444; 139.7418750﻿ (樅山駅)","2面2線","簡易委託駅","TN17","モミ","","546人/日-2019年-","","","","","","",""
"桃内駅","桃内駅（ももうちえき）","https://ja.wikipedia.org/wiki/桃内駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯37度31分43.49秒東経140度59分4.28秒","■常磐線","273.5 km（日暮里起点）","東日本旅客鉄道（JR東日本）","地上駅","1948年（昭和23年）8月10日[1]","福島県南相馬市小高区耳谷字桃内2[1]北緯37度31分43.49秒東経140度59分4.28秒座標:北緯37度31分43.49秒 東経140度59分4.28秒","2面2線[1]","無人駅（乗車駅証明書発行機 有）","","モモ","41人/日（降車客含まず）-2004年-","","","","","","","",""
"桃園駅","桃園駅（ももぞのえき）","https://ja.wikipedia.org/wiki/桃園駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度39分48.93秒東経136度28分38.81秒","E名古屋線","3.3 km（伊勢中川起点）","近畿日本鉄道（近鉄）","地上駅","1930年（昭和5年）5月18日","三重県津市牧町375北緯34度39分48.93秒東経136度28分38.81秒﻿ / ﻿北緯34.6635917度 東経136.4774472度﻿ /34.6635917; 136.4774472座標:北緯34度39分48.93秒東経136度28分38.81秒﻿ / ﻿北緯34.6635917度 東経136.4774472度﻿ /34.6635917; 136.4774472","2面2線","無人駅（乗車駅証明書発行機有）"," E43 ","モソノ","333人/日（降車客含まず）-2019年-","","","","","","","",""
"桃谷駅","桃谷駅（ももだにえき）","https://ja.wikipedia.org/wiki/桃谷駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度39分30.78秒東経135度31分40.41秒","O大阪環状線","天王寺駅経由：13.2km京橋駅経由：8.5 km（大阪起点）","西日本旅客鉄道（JR西日本）","高架駅","1895年（明治28年）5月28日","大阪市天王寺区堂ケ芝一丁目8-27北緯34度39分30.78秒東経135度31分40.41秒﻿ / ﻿北緯34.6585500度 東経135.5278917度﻿ /34.6585500; 135.5278917﻿ (桃谷駅*)","2面2線","業務委託駅みどりの窓口有大阪市内駅*1905年に桃山駅から改称。","JR-O03","モニ","18,140人/日（降車客含まず）-2019年-","","","","","","","",""
"桃川駅","桃川駅（もものかわえき）","https://ja.wikipedia.org/wiki/桃川駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度16分18.52秒東経129度57分24.07秒","筑肥線","17.4 km（山本起点）","九州旅客鉄道（JR九州）","地上駅","1935年（昭和10年）3月1日","佐賀県伊万里市松浦町桃川5569北緯33度16分18.52秒東経129度57分24.07秒﻿ / ﻿北緯33.2718111度 東経129.9566861度﻿ /33.2718111; 129.9566861﻿ (桃川駅*)","1面1線","無人駅*1937年に松浦駅から改称。","","モモ","49人/日（降車客含まず）-2016年-","100人/日-2016年-","","","","","","",""
"桃山駅","桃山駅（ももやまえき）","https://ja.wikipedia.org/wiki/桃山駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度55分57.42秒東経135度46分16秒","D奈良線","27.5 km（木津起点）","西日本旅客鉄道（JR西日本）","地上駅","1895年（明治28年）11月3日","京都市伏見区桃山町鍋島34北緯34度55分57.42秒東経135度46分16秒﻿ / ﻿北緯34.9326167度 東経135.77111度﻿ /34.9326167; 135.77111座標:北緯34度55分57.42秒東経135度46分16秒﻿ / ﻿北緯34.9326167度 東経135.77111度﻿ /34.9326167; 135.77111","2面2線","業務委託駅京都市内駅","JR-D05","モモ","2,098人/日（降車客含まず）-2019年-","","","","","","","",""
"桃山御陵前駅","桃山御陵前駅（ももやまごりょうまええき）","https://ja.wikipedia.org/wiki/桃山御陵前駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度56分0.07秒東経135度45分55.69秒","B京都線","6.5 km（京都起点）","近畿日本鉄道（近鉄）","高架駅","1928年（昭和3年）11月3日","京都市伏見区観音寺町29北緯34度56分0.07秒東経135度45分55.69秒﻿ / ﻿北緯34.9333528度 東経135.7654694度﻿ /34.9333528; 135.7654694座標:北緯34度56分0.07秒東経135度45分55.69秒﻿ / ﻿北緯34.9333528度 東経135.7654694度﻿ /34.9333528; 135.7654694","2面2線",""," B08 ","モモ","","（全日）14,787人/日-2019年-","","","","","","",""
"桃山台駅","桃山台駅（ももやまだいえき）","https://ja.wikipedia.org/wiki/桃山台駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度47分33.45秒東経135度29分50.60秒","□南北線","3.9 km（江坂起点）千里中央から2.0 km","北大阪急行電鉄","地上駅（掘割構造の橋上駅）","1970年（昭和45年）2月24日","大阪府吹田市桃山台五丁目1-1北緯34度47分33.45秒東経135度29分50.60秒﻿ / ﻿北緯34.7926250度 東経135.4973889度﻿ /34.7926250; 135.4973889座標:北緯34度47分33.45秒東経135度29分50.60秒﻿ / ﻿北緯34.7926250度 東経135.4973889度﻿ /34.7926250; 135.4973889","島式1面2線",""," M09 ","","（特定日）20,449人/日（降車客含まず）-2019年-","（特定日）39,902人/日-2019年-","","（全日）40,522人/日-2016年-","","","","",""
"桃山南口駅","桃山南口駅（ももやまみなみぐちえき）","https://ja.wikipedia.org/wiki/桃山南口駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度55分51.61秒東経135度47分1.23秒","■宇治線","2.3 km（中書島起点）","京阪電気鉄道","地上駅","1913年（大正2年）6月1日","京都市伏見区桃山町丹後11番地北緯34度55分51.61秒東経135度47分1.23秒﻿ / ﻿北緯34.9310028度 東経135.7836750度﻿ /34.9310028; 135.7836750座標:北緯34度55分51.61秒東経135度47分1.23秒﻿ / ﻿北緯34.9310028度 東経135.7836750度﻿ /34.9310028; 135.7836750","2面2線","*1949年に御陵前駅から改称無人駅（自動券売機有）","KH  72","桃（駅名略称方式）","","4,467人/日-2019年-","","","","","","",""
"森駅 (北海道)","森駅 (北海道)（もりえき・北海道旅客鉄道函館本線）","https://ja.wikipedia.org/wiki/森駅_(北海道)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯42度6分32秒東経140度34分26.3秒","■函館本線（本線）","49.5 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1903年（明治36年）6月28日","北海道茅部郡森町字本町北緯42度6分32秒東経140度34分26.3秒﻿ / ﻿北緯42.10889度 東経140.573972度﻿ /42.10889; 140.573972﻿ (森駅)","2面3線","直営駅（管理駅）みどりの窓口 有","○H62","モリ","277人/日（降車客含まず）-2019年-","","","","","","","",""
"森駅 (大阪府)","森駅 (大阪府)（もりえき・水間鉄道水間線）","https://ja.wikipedia.org/wiki/森駅_(大阪府)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度24分51.67秒東経135度22分54.47秒","水間線","4.3 km（貝塚起点）","水間鉄道","地上駅","1926年（大正15年）1月30日","大阪府貝塚市森47-7北緯34度24分51.67秒東経135度22分54.47秒﻿ / ﻿北緯34.4143528度 東経135.3817972度﻿ /34.4143528; 135.3817972座標:北緯34度24分51.67秒東経135度22分54.47秒﻿ / ﻿北緯34.4143528度 東経135.3817972度﻿ /34.4143528; 135.3817972","単式 1面1線","無人駅","","","","","","737人/日-2019年-","","","","",""
"森石駅","森石駅（もりいしえき）","https://ja.wikipedia.org/wiki/森石駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度47分30.73秒東経137度36分46.86秒","黒部峡谷鉄道本線","5.1 km（宇奈月起点）","黒部峡谷鉄道","地上駅","1953年11月16日","富山県黒部市宇奈月町舟見明日音澤北緯36度47分30.73秒東経137度36分46.86秒座標:北緯36度47分30.73秒 東経137度36分46.86秒","島式 1面2線","専用駅","","","","","","","","","","",""
"盛岡駅","盛岡駅（もりおかえき）","https://ja.wikipedia.org/wiki/盛岡駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）IGRいわて銀河鉄道（駅詳細）","","","岩手県盛岡市盛岡駅前通","","","","","","","","","","","","",""
"盛岡貨物ターミナル駅","盛岡貨物ターミナル駅（もりおかかもつターミナルえき）","https://ja.wikipedia.org/wiki/盛岡貨物ターミナル駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯39度38分38.4秒東経141度8分42.6秒","東北本線","528.8 km（東京起点）","日本貨物鉄道（JR貨物）","地上駅","1974年（昭和49年）7月20日[1]","岩手県盛岡市永井30-39北緯39度38分38.4秒東経141度8分42.6秒﻿ / ﻿北緯39.644000度 東経141.145167度﻿ /39.644000; 141.145167座標:北緯39度38分38.4秒東経141度8分42.6秒﻿ / ﻿北緯39.644000度 東経141.145167度﻿ /39.644000; 141.145167","なし","貨物専用駅","","モカ","","","","","","","","",""
"森上駅","森上駅（もりかみえき）","https://ja.wikipedia.org/wiki/森上駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度14分51秒東経136度44分13秒","尾西線","16.2 km（弥富起点）","名古屋鉄道","地上駅","1899年（明治32年）2月17日","愛知県稲沢市祖父江町森上本郷七30番地北緯35度14分51秒東経136度44分13秒﻿ / ﻿北緯35.24750度 東経136.73694度﻿ /35.24750; 136.73694座標:北緯35度14分51秒東経136度44分13秒﻿ / ﻿北緯35.24750度 東経136.73694度﻿ /35.24750; 136.73694","2面3線","終日有人駅","BS  06 ","","","3,062人/日-2019年-","","","","","","",""
"守口駅","守口駅（もりぐちえき・Osaka Metro谷町線）","https://ja.wikipedia.org/wiki/守口駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度44分17.07秒東経135度33分49.60秒","●谷町線","1.8 km（大日起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1977年（昭和52年）4月6日","大阪府守口市京阪本通2丁目北緯34度44分17.07秒東経135度33分49.60秒﻿ / ﻿北緯34.7380750度 東経135.5637778度﻿ /34.7380750; 135.5637778﻿ (守口駅)座標:北緯34度44分17.07秒東経135度33分49.60秒﻿ / ﻿北緯34.7380750度 東経135.5637778度﻿ /34.7380750; 135.5637778﻿ (守口駅)","島式 1面2線",""," T12 ","","7,808人/日（降車客含まず）-2020年-","15,445人/日-2020年-","","","","","","",""
"森口駅","森口駅（もりぐちえき・アルピコ交通上高地線）","https://ja.wikipedia.org/wiki/森口駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度12分29.3秒東経137度52分52.73秒","上高地線","8.6 km（松本起点）","アルピコ交通","地上駅","1922年（大正11年）5月10日[1]","長野県松本市波田森口4417-25北緯36度12分29.3秒東経137度52分52.73秒﻿ / ﻿北緯36.208139度 東経137.8813139度﻿ /36.208139; 137.8813139座標:北緯36度12分29.3秒東経137度52分52.73秒﻿ / ﻿北緯36.208139度 東経137.8813139度﻿ /36.208139; 137.8813139","2面2線[1]","","AK-10","","277人/日（降車客含まず）-2017年-","575人/日-2017年-","","","","","","",""
"守口市駅","守口市駅（もりぐちしえき）","https://ja.wikipedia.org/wiki/守口市駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度44分7.34秒東経135度33分54.64秒","■京阪本線","8.3 km（淀屋橋起点）","京阪電気鉄道","高架駅","1910年（明治43年）4月15日","大阪府守口市河原町1番1号北緯34度44分7.34秒東経135度33分54.64秒﻿ / ﻿北緯34.7353722度 東経135.5651778度﻿ /34.7353722; 135.5651778﻿ (守口市駅*)座標:北緯34度44分7.34秒東経135度33分54.64秒﻿ / ﻿北緯34.7353722度 東経135.5651778度﻿ /34.7353722; 135.5651778﻿ (守口市駅*)","2面4線","*1971年（昭和46年）6月20日に守口駅から改称","KH  11","守（駅名略称方式）","","36,161人/日-2019年-","","","","","","",""
"森下駅 (東京都)","森下駅 (東京都)（もりしたえき・都営地下鉄新宿線・大江戸線）","https://ja.wikipedia.org/wiki/森下駅_(東京都)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","●[1]新宿線","9.5 km（新宿起点）","東京都交通局（都営地下鉄）","地下駅","1978年（昭和53年）12月21日","","各1面2線（計2面4線）","業務委託駅","S11[1]","森（駅名略称）","","（新宿線）79,392人/日（大江戸線）71,964人/日（合計）151,356人/日-2019年-","","","","","","",""
"森下駅 (愛知県)","森下駅 (愛知県)（もりしたえき・名古屋鉄道瀬戸線）","https://ja.wikipedia.org/wiki/森下駅_(愛知県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度11分18秒東経136度55分46秒","瀬戸線","3.6 km（栄町起点）","名古屋鉄道","高架駅","1915年（大正4年）6月16日","名古屋市東区徳川二丁目25-4北緯35度11分18秒東経136度55分46秒﻿ / ﻿北緯35.18833度 東経136.92944度﻿ /35.18833; 136.92944座標:北緯35度11分18秒東経136度55分46秒﻿ / ﻿北緯35.18833度 東経136.92944度﻿ /35.18833; 136.92944","相対式 2面2線","2006年より無人駅システム導入","ST  05 ","","","2,867人/日-2019年[1]-","","","","","","",""
"森下駅 (福岡県)","森下駅 (福岡県)（もりしたえき・筑豊電気鉄道線）","https://ja.wikipedia.org/wiki/森下駅_(福岡県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度51分13.6秒東経130度44分27.69秒","筑豊電気鉄道線","2.8 km（黒崎駅前起点）","筑豊電気鉄道","地上駅","1956年（昭和31年）10月15日","北九州市八幡西区森下町13-1北緯33度51分13.6秒東経130度44分27.69秒","2面2線","無人駅","CK 06","","","550人/日-2019年-","","","","","","",""
"森小路駅","森小路駅（もりしょうじえき）","https://ja.wikipedia.org/wiki/森小路駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度43分10.53秒東経135度33分5.63秒","■京阪本線","6.2 km（淀屋橋起点）","京阪電気鉄道","高架駅","1931年（昭和6年）10月14日","大阪市旭区森小路一丁目4番15号北緯34度43分10.53秒東経135度33分5.63秒﻿ / ﻿北緯34.7195917度 東経135.5515639度﻿ /34.7195917; 135.5515639﻿ (森小路駅*)座標:北緯34度43分10.53秒東経135度33分5.63秒﻿ / ﻿北緯34.7195917度 東経135.5515639度﻿ /34.7195917; 135.5515639﻿ (森小路駅*)","2面4線（乗降は2面2線のみ）","*1942年に新森小路駅から改称無人駅（自動券売機有）","KH  07","森（駅名略称方式）","","10,035人/日-2019年-","","","","","","",""
"杜せきのした駅","杜せきのした駅（もりせきのしたえき）","https://ja.wikipedia.org/wiki/杜せきのした駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯38度9分55.19秒東経140度53分46.28秒","仙台空港線（仙台空港アクセス線）","仙台空港線 - 1.8 km （名取起点）仙台空港アクセス線 -仙台から12.2 km","仙台空港鉄道","高架駅","2007年（平成19年）3月18日","宮城県名取市杜せきのした五丁目34北緯38度9分55.19秒東経140度53分46.28秒﻿ / ﻿北緯38.1653306度 東経140.8961889度﻿ /38.1653306; 140.8961889座標:北緯38度9分55.19秒東経140度53分46.28秒﻿ / ﻿北緯38.1653306度 東経140.8961889度﻿ /38.1653306; 140.8961889","1面1線","","","モセ","","3,674人/日-2019年-","","","","","","",""
"森田駅","森田駅（もりたえき）","https://ja.wikipedia.org/wiki/森田駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度6分34秒東経136度13分21.5秒","■北陸本線","105.8 km（米原起点）","西日本旅客鉄道（JR西日本）","地上駅","1897年（明治30年）9月20日","福井県福井市栄町10-46北緯36度6分34秒東経136度13分21.5秒﻿ / ﻿北緯36.10944度 東経136.222639度﻿ /36.10944; 136.222639座標:北緯36度6分34秒東経136度13分21.5秒﻿ / ﻿北緯36.10944度 東経136.222639度﻿ /36.10944; 136.222639","2面2線","簡易委託駅","","モタ","933人/日（降車客含まず）-2019年-","","","","","","","",""
"森岳駅","森岳駅（もりたけえき）","https://ja.wikipedia.org/wiki/森岳駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯40度6分11.48秒東経140度4分15.19秒","■奥羽本線","345.1 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1902年（明治35年）8月1日[1]","秋田県山本郡三種町森岳字町尻[1]北緯40度6分11.48秒東経140度4分15.19秒座標:北緯40度6分11.48秒 東経140度4分15.19秒","2面2線[1]","簡易委託駅","","モケ","161人/日（降車客含まず）-2019年-","","","","","","","",""
"守恒駅","守恒駅（もりつねえき）","https://ja.wikipedia.org/wiki/守恒駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度50分11.7秒東経130度52分22.2秒","■小倉線","5.7 km（小倉起点）","北九州高速鉄道（モノレール）","高架駅","1985年（昭和60年）1月9日[1]","北九州市小倉南区守恒本町一丁目北緯33度50分11.7秒東経130度52分22.2秒","2面2線","","09","","","4,836人/日-2019年-","","","","","","",""
"森ノ宮駅","森ノ宮駅（もりのみやえき）","https://ja.wikipedia.org/wiki/森ノ宮駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）大阪市高速電気軌道(Osaka Metro)（駅詳細）","","","大阪市中央区森ノ宮中央一丁目","","","","","","","","","","","","",""
