"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","地方","都道府県","面積","総人口","人口密度","所在地","市町村コード","隣接自治体","外部リンク","法人番号","市長","市の花","市の木","市の鳥","特記事項","他のシンボル","区の木","区の花"
"苫小牧市","[苫小牧市] 苫小牧市 （とまこまいし）は、 北海道 中南部（ 道央地方 ）の 胆振総合振興局 にある 市 。 計量特定市 。","https://ja.wikipedia.org/wiki/苫小牧市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯42度38分2.6秒東経141度36分19.9秒","日本","北海道地方","北海道（胆振総合振興局）","561.57km2（境界未定部分あり）","169,902人（住民基本台帳人口、2021年5月31日）","303人/km2","〒053-8722北海道苫小牧市旭町4丁目5-6北緯42度38分2.6秒東経141度36分19.9秒﻿ / ﻿北緯42.634056度 東経141.605528度﻿ /42.634056; 141.605528","01213-1","胆振総合振興局：白老郡白老町、勇払郡厚真町、安平町石狩振興局：千歳市","北海道苫小牧市","1000020012131","岩倉博文","木の花 :ハスカップ草の花 :ハナショウブ","ナナカマド","","","市の鳥 :ハクチョウ市の貝 :ホッキ貝マスコットキャラクター:とまチョップ","",""
"登別市","[登別市] 登別市 （のぼりべつし）は、 北海道 中南部（ 道央地方 ）に位置し、 胆振総合振興局 に属する 市 。","https://ja.wikipedia.org/wiki/登別市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯42度24分45.9秒東経141度6分23.7秒","日本","北海道地方","北海道（胆振総合振興局）","212.21km2","46,421人（住民基本台帳人口、2021年5月31日）","219人/km2","〒059-8701北海道登別市中央町6丁目11北緯42度24分45.9秒東経141度6分23.7秒﻿ / ﻿北緯42.412750度 東経141.106583度﻿ /42.412750; 141.106583","01230-1","室蘭市、伊達市、有珠郡壮瞥町、白老郡白老町","公式ウェブサイト","5000020012301","小笠原春一","キク","プラタナス","","","","",""
"伊達市 (北海道)","[伊達市] 伊達市 （だてし）は、 北海道 の 道央地方 南部に位置し、 胆振総合振興局 の 西いぶり地域 に属する 市 。市名は、 明治時代 初期に 東北地方 から入植した 亘理伊達氏 が開拓したことに由来する。","https://ja.wikipedia.org/wiki/伊達市_(北海道)","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯42度28分18.8秒東経140度51分52.9秒","日本","北海道地方","北海道（胆振総合振興局）","444.21km2（境界未定部分あり）","33,112人（住民基本台帳人口、2021年5月31日）","74.5人/km2","〒052-0024北海道伊達市鹿島町20-1北緯42度28分18.8秒東経140度51分52.9秒﻿ / ﻿北緯42.471889度 東経140.864694度﻿ /42.471889; 140.864694","01233-5","胆振総合振興局：室蘭市、登別市、白老郡白老町、虻田郡洞爺湖町、有珠郡壮瞥町後志総合振興局：虻田郡喜茂別町、留寿都村石狩振興局：札幌市、千歳市","公式ウェブサイト","4000020012335","菊谷秀吉","ツツジ","エゾヤマザクラ","","2006年（平成18年）1月1日、福島県に同名の伊達市が生まれた。2013年（平成25年）の時点で、日本の同名市は他に府中市があるのみ。","","",""
"虻田郡","[虻田郡：豊浦町-洞爺湖町] 虻田郡 （あぶたぐん）は、 北海道 （ 胆振国 ） 胆振総合振興局 ・ 後志総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/虻田郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"有珠郡","[有珠郡：壮瞥町] 有珠郡 （うすぐん）は、 北海道 （ 胆振国 ） 胆振総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/有珠郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白老郡","[白老郡：白老町] 白老郡 （しらおいぐん）は、 北海道 （ 胆振国 ） 胆振総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/白老郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"勇払郡","[勇払郡：厚真町-安平町-むかわ町] 勇払郡 （ゆうふつぐん）は、 北海道 （ 胆振国 ） 胆振総合振興局 ・ 上川総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/勇払郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"沙流郡","[沙流郡：日高町-平取町] 沙流郡 （さるぐん）は、 北海道 （ 日高国 ） 日高振興局 の 郡 。","https://ja.wikipedia.org/wiki/沙流郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新冠郡","[新冠郡：新冠町] 新冠郡 （にいかっぷぐん）は、 北海道 （ 日高国 ） 日高振興局 の 郡 。","https://ja.wikipedia.org/wiki/新冠郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浦河郡","[浦河郡：浦河町] 浦河郡 （うらかわぐん）は、 北海道 （ 日高国 ） 日高振興局 の 郡 。","https://ja.wikipedia.org/wiki/浦河郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"様似郡","[様似郡：様似町] 様似郡 （さまにぐん）は、 北海道 （ 日高国 ） 日高振興局 の 郡 。","https://ja.wikipedia.org/wiki/様似郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"幌泉郡","[幌泉郡：えりも町] 幌泉郡 （ほろいずみぐん）は、 北海道 （ 日高国 ） 日高振興局 の 郡 。","https://ja.wikipedia.org/wiki/幌泉郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日高郡 (北海道)","[日高郡：新ひだか町] 日高郡 （ひだかぐん）は、 北海道 日高振興局 の 郡 。","https://ja.wikipedia.org/wiki/日高郡_(北海道)","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"旭川市","[旭川市] 旭川市 （あさひかわし）は、 北海道 北中部（ 道北地方 ）に位置し、 上川総合振興局 に属する 市 。 上川盆地 に広がる振興局所在地であり、 札幌市 に次ぐ北海道第2位の人口（約33万人）を有する 中核市 である  。","https://ja.wikipedia.org/wiki/旭川市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度46分14.3秒東経142度21分54.0秒","日本","北海道地方","北海道（上川総合振興局）","747.66km2","329,413人（住民基本台帳人口、2021年5月31日）","441人/km2","〒070-8525北海道旭川市6条通9丁目北緯43度46分14.3秒東経142度21分54.0秒﻿ / ﻿北緯43.770639度 東経142.365000度﻿ /43.770639; 142.365000座標:北緯43度46分14.3秒東経142度21分54.0秒﻿ / ﻿北緯43.770639度 東経142.365000度﻿ /43.770639; 142.365000","01204-1","上川総合振興局:石狩上川郡鷹栖町・東神楽町・当麻町・比布町・上川町・東川町・美瑛町、天塩国上川郡和寒町、雨竜郡幌加内町空知総合振興局:芦別市、深川市","旭川市","9000020012041","西川将人","ツツジ","ナナカマド","","","市民の鳥：キレンジャク市民の虫：カンタン","",""
"士別市","[士別市] 士別市 （しべつし）は、 北海道 上川地方 北部にある 市 。","https://ja.wikipedia.org/wiki/士別市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯44度10分43.0秒東経142度24分0.3秒","日本","北海道地方","北海道（上川総合振興局）","1,119.22km2","17,886人（住民基本台帳人口、2021年5月31日）","16人/km2","〒095-8686北海道士別市東6条4丁目1番地北緯44度10分43.0秒東経142度24分0.3秒﻿ / ﻿北緯44.178611度 東経142.400083度﻿ /44.178611; 142.400083座標:北緯44度10分43.0秒東経142度24分0.3秒﻿ / ﻿北緯44.178611度 東経142.400083度﻿ /44.178611; 142.400083","01220-3","上川総合振興局名寄市天塩国上川郡：和寒町、剣淵町、下川町石狩国上川郡：比布町、上川町、愛別町雨竜郡：幌加内町オホーツク総合振興局紋別郡：滝上町","公式ウェブサイト","4000020012203","牧野勇司","エゾノリュウキンカ、コスモス、エゾムラサキツツジ","ナナカマド、アカエゾマツ","","","","",""
"名寄市","[名寄市] 名寄市 （なよろし）は、 北海道 北部（ 道北地方 ）に位置し、 上川総合振興局 に属する市である。","https://ja.wikipedia.org/wiki/名寄市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯44度21分21秒 東経142度27分48秒","日本","北海道地方","北海道（上川総合振興局）","535.20km2","26,759人（住民基本台帳人口、2021年5月31日）","50人/km2","〒096-8686北海道名寄市大通南1丁目1","01221-1","上川総合振興局士別市天塩国上川郡：下川町中川郡：美深町雨竜郡：幌加内町オホーツク総合振興局紋別郡：雄武町","公式ウェブサイト","4000020012211","加藤剛士","オオバナノエンレイソウ","シラカバ","アカゲラ","","","",""
"富良野市","[富良野市] 富良野市 （ふらのし）は、 北海道 北部（ 道北地方南部 ）に位置し、 上川総合振興局 に属する 市 。","https://ja.wikipedia.org/wiki/富良野市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度20分31秒東経142度23分00秒","日本","北海道地方","北海道（上川総合振興局）","600.71km2","20,862人（住民基本台帳人口、2021年5月31日）","34.7人/km2","〒076-8555北海道富良野市弥生町1-1北緯43度20分31秒東経142度23分00秒﻿ / ﻿北緯43.34194度 東経142.38333度﻿ /43.34194; 142.38333座標:北緯43度20分31秒東経142度23分00秒﻿ / ﻿北緯43.34194度 東経142.38333度﻿ /43.34194; 142.38333","01229-7","上川総合振興局空知郡：上富良野町、中富良野町、南富良野町空知総合振興局芦別市","公式ウェブサイト","9000020012297","北猛俊","エゾムラサキツツジ","イチイホオノキ","","","市の鳥：クマゲラ市の獣：エゾリス","",""
"上川郡 (石狩国)","[石狩国上川郡：鷹栖町-東神楽町-当麻町-比布町-愛別町-上川町-東川町-美瑛町] 上川郡 （かみかわぐん）は、 北海道 （ 石狩国 ） 上川総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/上川郡_(石狩国)","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上川郡 (天塩国)","[天塩国上川郡：和寒町-剣淵町-下川町] 上川郡 （かみかわぐん）は、 北海道 （ 天塩国 ） 上川総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/上川郡_(天塩国)","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"空知郡","[空知郡：上富良野町-中富良野町-南富良野町] 空知郡 （そらちぐん）は、 北海道 ・ 空知総合振興局 ・ 上川総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/空知郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"勇払郡","[勇払郡：占冠村] 勇払郡 （ゆうふつぐん）は、 北海道 （ 胆振国 ） 胆振総合振興局 ・ 上川総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/勇払郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中川郡 (天塩国)","[天塩国中川郡：美深町-音威子府村-中川町] 中川郡 （なかがわぐん）は、 北海道 （ 天塩国 ） 上川総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/中川郡_(天塩国)","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
