"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","法人番号","位置","創建年","山号","本尊","宗派","文化財","開基","札所等","正式名","別称","公式HP","寺格","開山","宗旨","院号","中興","中興年"
"恵林寺","[恵林寺（えりんじ）（山梨県甲州市）] 恵林寺 （えりんじ）は、 山梨県 甲州市 塩山小屋敷にある 寺院 。山号は乾徳山（けんとくさん）。 臨済宗妙心寺派 に属する寺院である。甲斐武田氏の菩提寺として知られる。","https://ja.wikipedia.org/wiki/恵林寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度43分47.9秒東経138度42分49.8秒","山梨県甲州市塩山小屋敷2280","8090005003825","北緯35度43分47.9秒東経138度42分49.8秒﻿ / ﻿北緯35.729972度 東経138.713833度﻿ /35.729972; 138.713833座標:北緯35度43分47.9秒東経138度42分49.8秒﻿ / ﻿北緯35.729972度 東経138.713833度﻿ /35.729972; 138.713833","元徳2年（1330年）","乾徳山","釈迦如来","臨済宗妙心寺派","四脚門ほか（重要文化財）庭園（名勝）","夢窓疎石","甲斐百八霊場9番","","","","","","","","",""
"円覚寺","[円覚寺（えんがくじ）（神奈川県鎌倉市山ノ内）] 円覚寺 （えんがくじ）は、 神奈川県 鎌倉市 山ノ内 にある 寺院 。正式には 瑞鹿山円覚興聖禅寺 （ずいろくさんえんがくこうしょうぜんじ 山号 : 瑞鹿山 ）と号する。 臨済宗円覚寺派 の 大本山 であり、 鎌倉五山 第二位に列せられる。本尊は宝冠 釈迦如来 、開基は 北条時宗 、開山は 無学祖元 である。","https://ja.wikipedia.org/wiki/円覚寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度20分15.73秒東経139度32分50.99秒","神奈川県鎌倉市山ノ内409","2021005001847","北緯35度20分15.73秒東経139度32分50.99秒﻿ / ﻿北緯35.3377028度 東経139.5474972度﻿ /35.3377028; 139.5474972座標:北緯35度20分15.73秒東経139度32分50.99秒﻿ / ﻿北緯35.3377028度 東経139.5474972度﻿ /35.3377028; 139.5474972","弘安5年（1282年）","瑞鹿山（ずいろくさん）","宝冠釈迦如来","円覚寺派","舎利殿、梵鐘（国宝）絹本著色五百羅漢像33幅、絹本著色被帽地蔵菩薩像ほか（重文）","北条時宗","鎌倉観音霊場第三十三番鎌倉地蔵霊場十四番東国花の寺百ヶ寺鎌倉11番","瑞鹿山円覚興聖禅寺","","engakuji.or.jp","大本山鎌倉五山二位","無学祖元","臨済宗","","",""
"圓教寺","[圓教寺（えんぎょうじ）（兵庫県姫路市）] 圓教寺 （円教寺、えんぎょうじ）は、 兵庫県 姫路市 書写にある 天台宗 の 別格本山 の 寺院  。 書写山 （しょしゃざん）に位置し、 山号 は書寫山（書写山）  。本尊は 如意輪観世音菩薩 。 西国三十三所 第27番札所   。現住職は第140世長吏（ちょうり）。 宗教法人 としての名称は常用漢字体の「円教寺」である  。","https://ja.wikipedia.org/wiki/圓教寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度53分28.1秒東経134度39分29.3秒","兵庫県姫路市書写2968（本坊・事務所）","3140005013922","北緯34度53分28.1秒東経134度39分29.3秒﻿ / ﻿北緯34.891139度 東経134.658139度﻿ /34.891139; 134.658139座標:北緯34度53分28.1秒東経134度39分29.3秒﻿ / ﻿北緯34.891139度 東経134.658139度﻿ /34.891139; 134.658139","康保3年（966年）","書寫山（書写山）","如意輪観音（摩尼殿安置）","天台宗","大講堂、鐘楼、金剛堂、食堂、常行堂、奥之院、寿量院、釈迦如来及両脇侍像、四天王立像、阿弥陀如来坐像、性空坐像（重要文化財）ほか","","西国三十三所第27番播磨西国三十三箇所第1番播州薬師霊場第16番神仏霊場巡拝の道第75番（兵庫第10番）播磨天台六山","書寫山 圓教寺","西の比叡山","書寫山圓教寺","別格本山","性空","","","",""
"円成寺","[円成寺（えんじょうじ）（奈良県奈良市）] 円成寺 （えんじょうじ）は、 奈良県 奈良市 忍辱山町（にんにくせんちょう）にある 真言宗御室派 の 寺院 。 山号 は忍辱山（にんにくせん）。 本尊 は 阿弥陀如来 。奈良市街東方の 柳生街道 沿いに位置する 古寺 で、 仏師 ・ 運慶 のもっとも初期の作品である 国宝 ・ 大日如来 像を所蔵する。","https://ja.wikipedia.org/wiki/円成寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度41分44.98秒東経135度54分55.42秒","奈良県奈良市忍辱山町1273","1150005000054","北緯34度41分44.98秒東経135度54分55.42秒﻿ / ﻿北緯34.6958278度 東経135.9153944度﻿ /34.6958278; 135.9153944座標:北緯34度41分44.98秒東経135度54分55.42秒﻿ / ﻿北緯34.6958278度 東経135.9153944度﻿ /34.6958278; 135.9153944","伝・天平勝宝8年（756年）","忍辱山","阿弥陀如来（重要文化財）","真言宗御室派","春日堂、白山堂、木造大日如来坐像（国宝）本堂、楼門、宇賀神本殿、石造五輪塔、木造阿弥陀如来坐像、木造四天王立像（重要文化財）庭園（名勝）","聖武・孝謙両天皇（勅願）","大和十三仏霊場第12番","忍辱山円成寺","","忍辱山 円成寺","","伝・虚瀧","","","命禅","万寿3年（1026年）"
"円通寺 (京都市左京区)","[円通寺（えんつうじ）（京都市左京区）] 圓通寺 （えんつうじ）は 京都市 左京区 岩倉 幡枝町 にある 臨済宗妙心寺派 の仏教寺院。 山号 は大悲山。","https://ja.wikipedia.org/wiki/円通寺_(京都市左京区)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度3分52.2秒東経135度46分8.2秒","京都府京都市左京区岩倉幡枝町389","9130005001138","北緯35度3分52.2秒東経135度46分8.2秒﻿ / ﻿北緯35.064500度 東経135.768944度﻿ /35.064500; 135.768944座標:北緯35度3分52.2秒東経135度46分8.2秒﻿ / ﻿北緯35.064500度 東経135.768944度﻿ /35.064500; 135.768944","","大悲山","聖観音","臨済宗妙心寺派","庭園（国の名勝）、霊元天皇宸翰消息（重要文化財）","圓光院殿瑞雲文英尼大師（文英尼）","","","","","","","","","",""
"延暦寺","[延暦寺（えんりゃくじ）（滋賀県大津市）] 延暦寺 （えんりゃくじ、 正字 : 延曆 寺 ）は、 滋賀県 大津市 坂本本町 にある、 標高 848mの 比叡山 全域を境内とする 天台宗 の 総本山 の 寺院 。正式には 比叡山延暦寺 （ひえいざんえんりゃくじ）と号する。 比叡山 、または 叡山 （えいざん）とも呼ばれる。 平安京 （ 京都 ）の北にあったので 南都 の 興福寺 と対に 北嶺 （ほくれい）と称された。 平安時代 初期の 僧 ・ 最澄 （ 767年 - 822年 ）により開かれた 日本 天台宗 の本山寺院である。 住職 （貫主）は 天台座主 と呼ばれ、末寺を統括する。 1994年 （ 平成 6年）には、 古都京都の文化財 の一部として、（1,200年の歴史と伝統が世界に高い評価を受け） ユネスコ世界文化遺産 にも登録された。寺紋は天台宗菊輪宝。","https://ja.wikipedia.org/wiki/延暦寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度4分13.62秒東経135度50分27.33秒","滋賀県大津市坂本本町4220","2160005000614","北緯35度4分13.62秒東経135度50分27.33秒﻿ / ﻿北緯35.0704500度 東経135.8409250度﻿ /35.0704500; 135.8409250﻿ (延暦寺)座標:北緯35度4分13.62秒東経135度50分27.33秒﻿ / ﻿北緯35.0704500度 東経135.8409250度﻿ /35.0704500; 135.8409250﻿ (延暦寺)","延暦7年（788年）","比叡山","薬師如来","天台宗","根本中堂、金銅経箱ほか（国宝）根本中堂廻廊、絹本著色天台大師像ほか（重要文化財）世界遺産","","新西国三十三箇所第18番（横川中堂）西国薬師四十九霊場第49番播州薬師霊場特別札所東海四十九薬師霊場特別札所近畿三十六不動尊霊場26番（無動寺）びわ湖百八霊場第108番（横川中堂）法然上人二十五霊場特別霊場（青龍寺）西山国師遺跡霊場客番(文殊楼)真盛上人二十五霊場第2番（青龍寺）・第3番（浄土院）神仏霊場巡拝の道第150番（滋賀第18番）","比叡山延暦寺","比叡山、叡山","天台宗総本山 比叡山延暦寺","総本山","最澄","","","",""
"大須観音","[大須観音（宝生院、おおすかんのん）（愛知県名古屋市）] 大須観音 （おおすかんのん）は、 名古屋市 中区 大須 にある 真言宗智山派 の 別格本山 の 寺院 。本尊は 聖観音 。寺号は 北野山真福寺宝生院 である。 宗教法人 としての公称は「宝生院」（ほうしょういん）だが、一般には「大須観音」の名で知られる。 日本三大観音 の1つともいわれる 観音 霊場 である。なごや 七福神 の一である 布袋 像を安置する。寺内に、『 古事記 』の最古 写本 をはじめとする貴重書を多数蔵する「真福寺文庫」がある。","https://ja.wikipedia.org/wiki/大須観音","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度9分35.13秒東経136度53分58.23秒","愛知県名古屋市中区大須2丁目21-47","8180005000334","北緯35度9分35.13秒東経136度53分58.23秒﻿ / ﻿北緯35.1597583度 東経136.8995083度﻿ /35.1597583; 136.8995083座標:北緯35度9分35.13秒東経136度53分58.23秒﻿ / ﻿北緯35.1597583度 東経136.8995083度﻿ /35.1597583; 136.8995083","元弘3年（1333年）","北野山","聖観音","真言宗智山派","真福寺文庫〔古事記写本他（国宝）、絹本著色仏涅槃図他（重要文化財）〕","","日本三大観音東海三十六不動尊10番尾張三十三観音1番なごや七福神布袋霊場大名古屋十二支主管寺","北野山 真福寺 寶生院","","大須観音","別格本山","能信","","宝生院（寶生院）","",""
"大峯山寺","[大峯山寺（おおみねさんじ）（奈良県吉野郡天川村）] 大峯山寺 （おおみねさんじ）は、 奈良県 吉野郡 天川村 にある 修験道 の寺院である。 大峯山 山上ヶ岳の山頂に建つ。 平安時代 初期から現在に至るまで 女人禁制 で、毎年5月3日に戸開式（とあけしき）、9月23日に戸閉式（とじめしき）が行われる。世界遺産「 紀伊山地の霊場と参詣道 」の一部として登録されている。 役行者霊蹟札所 。","https://ja.wikipedia.org/wiki/大峯山寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度15分10.6秒東経135度56分28.6秒","奈良県吉野郡天川村洞川（大峯山頂）","2150005007362","北緯34度15分10.6秒東経135度56分28.6秒﻿ / ﻿北緯34.252944度 東経135.941278度﻿ /34.252944; 135.941278座標:北緯34度15分10.6秒東経135度56分28.6秒﻿ / ﻿北緯34.252944度 東経135.941278度﻿ /34.252944; 135.941278","伝・白鳳年間（7世紀末）","一乗菩提峰","金剛蔵王権現","修験道","本堂・奈良県大峯山頂遺跡出土品ほか（重要文化財）大峯山寺境内（国の史跡）","伝・役小角","役行者霊蹟","","","","","","","","",""
"大谷寺 (宇都宮市)","[大谷寺（おおやじ）（栃木県宇都宮市）] 大谷寺 （おおやじ）は、 栃木県 宇都宮市 大谷町 にある 天台宗 の 寺院 である。 山号 は天開山。 院号 は千手院。本尊は 千手観音 で、 坂東三十三箇所 第19番札所。国の 特別史跡 および 重要文化財 に指定されている「 大谷磨崖仏 」の所有者となっている。","https://ja.wikipedia.org/wiki/大谷寺_(宇都宮市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯36度35分46.4秒東経139度49分15.3秒","栃木県宇都宮市大谷町1198番地","9060005000196","北緯36度35分46.4秒東経139度49分15.3秒﻿ / ﻿北緯36.596222度 東経139.820917度﻿ /36.596222; 139.820917座標:北緯36度35分46.4秒東経139度49分15.3秒﻿ / ﻿北緯36.596222度 東経139.820917度﻿ /36.596222; 139.820917","不詳（奈良時代後期から平安時代初期と云われる）","天開山","石造千手観音菩薩立像","天台宗","石造千手観音菩薩立像、同釈迦三尊像、同薬師三尊像、同阿弥陀三尊像（以上、国の特別史跡及び重要文化財）、銅鐘（県指定有形文化財）、銅製灯篭、銅製鰐口（以上、市指定有形文化財）","不詳","坂東三十三箇所第19番下野七福神（弁財天）","天開山千手院大谷寺","大谷観音","","","","","千手院","",""
"大山寺 (伊勢原市)","[大山寺（おおやまでら）（神奈川県伊勢原市）] 大山寺 （おおやまでら）は、 神奈川県 伊勢原市 にある 真言宗大覚寺派 の寺院である。大山不動の通称で知られる。山号は雨降山（あぶりさん）。本尊は 不動明王 。開基（創立者）は 良弁 と伝える。","https://ja.wikipedia.org/wiki/大山寺_(伊勢原市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度25分45.4秒東経139度14分21.7秒","神奈川県伊勢原市大山724","9021005003738","北緯35度25分45.4秒東経139度14分21.7秒﻿ / ﻿北緯35.429278度 東経139.239361度﻿ /35.429278; 139.239361座標:北緯35度25分45.4秒東経139度14分21.7秒﻿ / ﻿北緯35.429278度 東経139.239361度﻿ /35.429278; 139.239361","伝・天平勝宝7年（755年）","雨降山（あぶりさん）","鉄造不動明王（重要文化財）","真言宗大覚寺派","鉄造不動明王二童子像（重要文化財）","伝・良弁","関東三大不動関東三十六不動1番関東八十八箇所60番","雨降山大山寺","大山不動、大山不動尊","","石尊大権現の神宮寺・別当寺","","古義真言宗","","","明治18年（1885年）（明王院として）大正4年（1915年）（大山寺として）"
