"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","公式サイト","管理運営","位置","面積","事業主体","前身","愛称","閉園","キャッチコピー","来園者数","運営者","テーマ","所有者","分類","外部リンク","住所","開業"
"よみうりランド","[よみうりランド13東京1964] よみうりランド は、 株式会社よみうりランド が運営する 東京都 稲城市 と 神奈川県 川崎市 多摩区 にまたがる場所にある 遊園地 。","https://ja.wikipedia.org/wiki/よみうりランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度37分33秒東経139度31分7秒","〒206-8725本社：東京都稲城市矢野口4015-1（株式会社よみうりランド本社ビル）施設：神奈川県川崎市多摩区菅仙谷4丁目","1964年9月24日","https://www.yomiuriland.com/","株式会社よみうりランド","北緯35度37分33秒東経139度31分7秒﻿ / ﻿北緯35.62583度 東経139.51861度﻿ /35.62583; 139.51861座標:北緯35度37分33秒東経139度31分7秒﻿ / ﻿北緯35.62583度 東経139.51861度﻿ /35.62583; 139.51861","","株式会社よみうりランド","","","","空から行けちゃう遊園地","","","","","","","",""
"ナムコ・ナンジャタウン","[ナムコ・ナンジャタウン13東京19962013年1月15日より約半年休園となる] ナンジャタウン （NAMJATOWN / NAMCO NAMJATOWN）は、アミューズメントスポット事業会社 バンダイナムコアミューズメント が運営する屋内型 テーマパーク 。 1996年 7月6日 に 東京 ・ 池袋 の サンシャインシティ に開園した。開園当初の正式名称は「ナムコ・ナンジャタウン」だったが、2013年7月の大幅リニューアルにより、正式名称を「ナンジャタウン」に変更している（詳細は後述）。","https://ja.wikipedia.org/wiki/ナムコ・ナンジャタウン","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度43分43秒 東経139度43分12秒","","","","","","","","","","","","","","","","","","",""
"東京ジョイポリス","[東京ジョイポリス東京1996] ジョイポリス （Joypolis）は、 CAセガジョイポリス 株式会社（2016年12月までは株式会社セガ・ライブクリエイション）     が運営する アミューズメントパーク 。","https://ja.wikipedia.org/wiki/東京ジョイポリス","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"サンリオピューロランド","[サンリオピューロランド13東京1990] 1990年12月7日に開園した全国初の屋内型テーマパークで  、世界でも1989年7月12日に開園した 韓国 ソウル の ロッテワールド に次ぐ2例目の屋内型テーマパークである  。また、当園は学習施設としての側面も合わせ持っている（後述）。初代館長は株式会社サンリオ常務の西口由一で二代目館長は株式会社サンリオ常務・経理部長の佐藤誠(※後のサンリオエンターテイメント社長)が担当した。2017年現在の館長はサンリオエンターテイメント取締役でもある 小巻亜矢 である  。","https://ja.wikipedia.org/wiki/サンリオピューロランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度37分28.6秒東経139度25分44.9秒","〒206-0033東京都多摩市落合1丁目31番地","1990年12月7日","サンリオピューロランド","","北緯35度37分28.6秒東経139度25分44.9秒﻿ / ﻿北緯35.624611度 東経139.429139度﻿ /35.624611; 139.429139座標:北緯35度37分28.6秒東経139度25分44.9秒﻿ / ﻿北緯35.624611度 東経139.429139度﻿ /35.624611; 139.429139","45,900m2","株式会社サンリオエンターテイメント","","","","愛と夢とで、できた国。世界でいちばん、サンリオな場所。ずっとすき。これからもだいすき。","","","サンリオキャラクター","","","","",""
"よこはまコスモワールド","[よこはまコスモワールド14神奈川1989] よこはまコスモワールド は、 泉陽興業 株式会社が経営する、 神奈川県 横浜市 中区 の みなとみらい地区 にある都市型 遊園地 。入園料は無料、 アトラクション は チケット 購入制となっており、入園無料の遊園地では数少ない、フリーパスといえるチケットが存在しない場所である。また、エリア内ではショップなども営業している。","https://ja.wikipedia.org/wiki/よこはまコスモワールド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度27分18.73秒東経139度38分12.05秒","神奈川県横浜市中区新港二丁目8番1号※23街区側はみなとみらい二丁目にある。","1990年8月11日","http://cosmoworld.jp/","","北緯35度27分18.73秒東経139度38分12.05秒﻿ / ﻿北緯35.4552028度 東経139.6366806度﻿ /35.4552028; 139.6366806座標:北緯35度27分18.73秒東経139度38分12.05秒﻿ / ﻿北緯35.4552028度 東経139.6366806度﻿ /35.4552028; 139.6366806","約20,500m2","泉陽興業株式会社","","コスモワールド","","","","","未来志向の都市型立体遊園地","","","","",""
"プレジャーフォレスト","[さがみ湖リゾートプレジャーフォレスト14神奈川1972旧・さがみ湖ピクニックランド] さがみ湖リゾート プレジャーフォレスト （さがみこリゾート プレジャーフォレスト、 Sagamiko Resort Pleasure Forest ）は、 神奈川県 相模原市 緑区 若柳 にある自然に親しむことをコンセプトとした レジャーランド 。 アウトドア スポーツなどの施設がある。","https://ja.wikipedia.org/wiki/プレジャーフォレスト","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度36分17.53秒 東経139度12分22.08秒","","","","","","","","","","","","","","","","","http://www.sagamiko-resort.jp/","",""
"横浜・八景島シーパラダイス","[横浜・八景島シーパラダイス（プレジャーランド）14神奈川1993] 横浜・八景島シーパラダイス （よこはまはっけいじまシーパラダイス）は、 神奈川県 横浜市 金沢区 八景島 にある 水族館 ・ 遊園地 ・ ショッピングモール ・ ホテル ・ マリーナ などで構成した複合型海洋 レジャー施設 である。","https://ja.wikipedia.org/wiki/横浜・八景島シーパラダイス","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度20分9.8秒東経139度38分40.5秒","〒236-0006神奈川県横浜市金沢区八景島","1993年5月8日","http://www.seaparadise.co.jp/","株式会社 横浜八景島","北緯35度20分9.8秒東経139度38分40.5秒﻿ / ﻿北緯35.336056度 東経139.644583度﻿ /35.336056; 139.644583座標:北緯35度20分9.8秒東経139度38分40.5秒﻿ / ﻿北緯35.336056度 東経139.644583度﻿ /35.336056; 139.644583","76,385.68m²","株式会社 横浜八景島","","シーパラ、八景島","","恋する遊び島","4,500,000人","","","","","","",""
"サントピアワールド","[サントピアワールド15新潟1976旧・安田アイランド] サントピアワールド （SUNTOPIA WORLD）は、 新潟県 阿賀野市 にある 遊園地 。","https://ja.wikipedia.org/wiki/サントピアワールド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯37度45分53.7秒東経139度15分10.2秒","〒959-2212新潟県阿賀野市久保1-1","1976年4月","https://www.suntopi.com/","","サントピアワールド新津駅新潟県地図北緯37度45分53.7秒東経139度15分10.2秒﻿ / ﻿北緯37.764917度 東経139.252833度﻿ /37.764917; 139.252833座標:北緯37度45分53.7秒東経139度15分10.2秒﻿ / ﻿北緯37.764917度 東経139.252833度﻿ /37.764917; 139.252833","","","安田アイランド","","","「水と緑と太陽のユートピア」","","","","","","","",""
"妙高サンシャインランド","[妙高サンシャインランド15新潟1991] 妙高サンシャインランド （みょうこうサンシャインランド）は、 新潟県 上越市 中郷区 にある 遊園地 である。 1989年 （ 平成 元年）7月に開園した  。","https://ja.wikipedia.org/wiki/妙高サンシャインランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","新潟県上越市","","妙高サンシャインランド","","","","","","","","","","","","","","","中郷区","1989年7月"
"富山市ファミリーパーク","[富山市ファミリーパーク16富山1984] 富山市ファミリーパーク （とやましファミリーパーク）は、 富山県 富山市 古沢にある 動物園 である。","https://ja.wikipedia.org/wiki/富山市ファミリーパーク","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯36度41分27.1秒東経137度8分53.6秒","〒930-0151富山県富山市古沢254番地","1984年4月28日","","公益財団法人富山市ファミリーパーク公社","北緯36度41分27.1秒東経137度8分53.6秒﻿ / ﻿北緯36.690861度 東経137.148222度﻿ /36.690861; 137.148222座標:北緯36度41分27.1秒東経137度8分53.6秒﻿ / ﻿北緯36.690861度 東経137.148222度﻿ /36.690861; 137.148222","","","","","","","348,101人(2019年度)","","","富山市","","","",""
"ミラージュランド","[ミラージュランド16富山1982] ミラージュランド は、 富山県 魚津市 三ケにある 遊園地 である。 魚津総合公園 の中の施設のひとつで、富山県内では唯一の遊園地である  。 1982年 4月 にオープン  。1996年度に初めて夜間営業が実施され  、 2006年 の 夏 からは、 個人 や 団体 への園内夜間貸切も行っている。入場はかつては有料であったが、2019年現在は無料である。隣接の施設として 魚津水族館 がある。","https://ja.wikipedia.org/wiki/ミラージュランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯36度48分0秒東経137度23分9秒","〒937-0857富山県魚津市三ケ1181番地1","1982年4月","http://www.mirageland.net/","一般財団法人魚津市施設管理公社","北緯36度48分0秒東経137度23分9秒﻿ / ﻿北緯36.80000度 東経137.38583度﻿ /36.80000; 137.38583座標:北緯36度48分0秒東経137度23分9秒﻿ / ﻿北緯36.80000度 東経137.38583度﻿ /36.80000; 137.38583","","魚津市","","","","","","","","","","","",""
"手取フィッシュランド","[手取フィッシュランド17石川1967] 手取フィッシュランド （てどりフィッシュランド）は、 石川県 能美市 粟生町 にある 遊園地 。運営は手取観光。","https://ja.wikipedia.org/wiki/手取フィッシュランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯36度27分32.7秒 東経136度30分33.3秒","〒923-1101石川県能美市粟生町","1967年3月","手取フィッシュランド","手取観光株式会社","","","手取観光株式会社","手取釣堀センター","","","北陸最大規模の総合レジャーランド","","","犬、猫、熱帯魚、金魚、錦鯉、昆虫の取扱いからフード販売、各種ペット用品販売のペットショップと遊園地の総合レジャーランド","","","","",""
"芝政ワールド","[芝政ワールド18福井1977] 芝政ワールド （しばまさワールド）とは、 福井県 坂井市 三国町 にある テーマパーク である。","https://ja.wikipedia.org/wiki/芝政ワールド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯36度15分2.72秒東経136度10分34.16秒","〒913-0005　福井県坂井市三国町浜地45-1","1977年","http://shibamasa.com/","","北緯36度15分2.72秒東経136度10分34.16秒﻿ / ﻿北緯36.2507556度 東経136.1761556度﻿ /36.2507556; 136.1761556座標:北緯36度15分2.72秒東経136度10分34.16秒﻿ / ﻿北緯36.2507556度 東経136.1761556度﻿ /36.2507556; 136.1761556","","芝政観光開発株式会社","","","","日本海と芝生の『遊ぶテーマパーク』 芝政ワールド","35万人(2010年度)","","","","","","",""
