"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"中川駅 (神奈川県)","中川駅 (神奈川県)（なかがわえき・横浜市営地下鉄ブルーライン）","https://ja.wikipedia.org/wiki/中川駅_(神奈川県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度33分46.5秒東経139度34分11.3秒","■ブルーライン（3号線）","19.2 km（関内*起点）湘南台から38.9 km","横浜市交通局（横浜市営地下鉄）","地下駅","1993年（平成5年）3月18日","2面2線","横浜市都筑区中川一丁目1番1号[1]北緯35度33分46.5秒東経139度34分11.3秒﻿ / ﻿北緯35.562917度 東経139.569806度﻿ /35.562917; 139.569806﻿ (中川駅)座標:北緯35度33分46.5秒東経139度34分11.3秒﻿ / ﻿北緯35.562917度 東経139.569806度﻿ /35.562917; 139.569806﻿ (中川駅)","業務委託駅（横浜市交通局協力会）[2]*3号線の起点。","","9,328人/日（降車客含まず）-2019年-","B31","18,872人/日-2019年-","","","","","","",""
"中川辺駅","中川辺駅（なかかわべえき）","https://ja.wikipedia.org/wiki/中川辺駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度29分15.10秒東経137度3分55.16秒","CG高山本線","34.1 km（岐阜起点）","東海旅客鉄道（JR東海）","地上駅","1922年（大正11年）11月25日[1]","2面2線[1]","岐阜県加茂郡川辺町中川辺470北緯35度29分15.10秒東経137度3分55.16秒","無人駅[1]","ナヘ","130人/日（降車客含まず）-2019年-","","","","","","","","",""
"中河原駅","中河原駅（なかがわらえき・京王電鉄京王線）","https://ja.wikipedia.org/wiki/中河原駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度39分34.5秒東経139度27分28秒","■京王線","24.7 km（新宿駅起点）","京王電鉄","高架駅","1925年（大正14年）3月24日","2面2線","東京都府中市住吉町二丁目1-16北緯35度39分34.5秒東経139度27分28秒﻿ / ﻿北緯35.659583度 東経139.45778度﻿ /35.659583; 139.45778﻿ (中河原駅)座標:北緯35度39分34.5秒東経139度27分28秒﻿ / ﻿北緯35.659583度 東経139.45778度﻿ /35.659583; 139.45778﻿ (中河原駅)","","","","KO26","25,845人/日-2019年-","","","","","","",""
"中川原駅","中川原駅（なかがわらえき・近鉄湯の山線）","https://ja.wikipedia.org/wiki/中川原駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度58分8.8秒東経136度36分8.8秒","K湯の山線","1.7 km（近鉄四日市起点）","近畿日本鉄道（近鉄）","地上駅","1913年（大正2年）9月24日","2面2線","三重県四日市市中川原二丁目2-14北緯34度58分8.8秒東経136度36分8.8秒﻿ / ﻿北緯34.969111度 東経136.602444度﻿ /34.969111; 136.602444座標:北緯34度58分8.8秒東経136度36分8.8秒﻿ / ﻿北緯34.969111度 東経136.602444度﻿ /34.969111; 136.602444","無人駅（自動券売機 有）","ナハラ","1,147人/日（降車客含まず）-2019年-"," K22 ","","","","","","","",""
"長久手古戦場駅","長久手古戦場駅（ながくてこせんじょうえき）","https://ja.wikipedia.org/wiki/長久手古戦場駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度10分17秒東経137度2分59秒","■東部丘陵線（リニモ）","3.4 km（藤が丘起点）","愛知高速交通","高架駅","2005年（平成17年）3月6日[1]","1面2線","愛知県長久手市横道41北緯35度10分17秒東経137度2分59秒﻿ / ﻿北緯35.17139度 東経137.04972度﻿ /35.17139; 137.04972座標:北緯35度10分17秒東経137度2分59秒﻿ / ﻿北緯35.17139度 東経137.04972度﻿ /35.17139; 137.04972","シンボルマーク：","","3,404人/日（降車客含まず）-2019年-","L04","6,809人/日-2019年-","","","","","","",""
"中公園駅","中公園駅（なかこうえんえき）","https://ja.wikipedia.org/wiki/中公園駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度40分23.70秒東経135度12分26.62秒","ポートアイランド線（ポートライナー）","2.8 km（三宮起点）","神戸新交通","高架駅[1]","1981年（昭和56年）2月5日[1]","3面3線[1]","神戸市中央区港島中町四丁目[1]北緯34度40分23.70秒東経135度12分26.62秒﻿ / ﻿北緯34.6732500度 東経135.2073944度﻿ /34.6732500; 135.2073944﻿ (中公園駅)座標:北緯34度40分23.70秒東経135度12分26.62秒﻿ / ﻿北緯34.6732500度 東経135.2073944度﻿ /34.6732500; 135.2073944﻿ (中公園駅)","","","4,123人/日（降車客含まず）-2019年-"," P04 ","","","","","","","",""
"中強羅駅","中強羅駅（なかごうらえき）","https://ja.wikipedia.org/wiki/中強羅駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度14分53.4秒東経139度2分26.0秒","鋼索線（箱根登山ケーブルカー）","0.72 km（強羅起点）","箱根登山鉄道","地上駅","1921年（大正10年）12月1日","相対式 2面1線","神奈川県足柄下郡箱根町北緯35度14分53.4秒東経139度2分26.0秒﻿ / ﻿北緯35.248167度 東経139.040556度﻿ /35.248167; 139.040556座標:北緯35度14分53.4秒東経139度2分26.0秒﻿ / ﻿北緯35.248167度 東経139.040556度﻿ /35.248167; 139.040556","標高：654m[2]","","7人/日（降車客含まず）-2018年[1]-","OH60","90人/日-2018年[1]-","","","","","","",""
"中郡停留場","中郡停留場（なかごおりていりゅうじょう・鹿児島市電）","https://ja.wikipedia.org/wiki/中郡停留場","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯31度33分54.08秒東経130度32分42.19秒","鹿児島市電唐湊線（2系統）","2.2km（鹿児島中央駅前起点）鹿児島駅前から5.2 km","鹿児島市交通局","地上駅","1959年12月20日","2面2線","鹿児島県鹿児島市郡元一丁目北緯31度33分54.08秒東経130度32分42.19秒﻿ / ﻿北緯31.5650222度 東経130.5450528度﻿ /31.5650222; 130.5450528﻿ (中郡停留場)","","","","●N19","1,217人/日-2015年-","","","","","","",""
"中込駅","中込駅（なかごみえき）","https://ja.wikipedia.org/wiki/中込駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度13分49.58秒東経138度28分45.54秒","■小海線","65.5 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","地上駅","1915年（大正4年）8月8日[1]","2面3線[1]","長野県佐久市中込[1]北緯36度13分49.58秒東経138度28分45.54秒﻿ / ﻿北緯36.2304389度 東経138.4793167度﻿ /36.2304389; 138.4793167座標:北緯36度13分49.58秒東経138度28分45.54秒﻿ / ﻿北緯36.2304389度 東経138.4793167度﻿ /36.2304389; 138.4793167","直営駅（管理駅）みどりの窓口有[1]標高：673.4m[1]","コメ[1]","954人/日（降車客含まず）-2019年-","","","","","","","","",""
"中菰野駅","中菰野駅（なかこものえき）","https://ja.wikipedia.org/wiki/中菰野駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","K湯の山線","12.6 km（近鉄四日市起点）","近畿日本鉄道（近鉄）","地上駅","1913年（大正2年）6月1日","1面2線","","無人駅（乗車駅証明書発行機 有）","ナコモ","693人/日（降車客含まず）-2019年-"," K28 ","","","","","","","",""
"国土交通省立山砂防工事専用軌道","中小屋駅（なかごやえき）","https://ja.wikipedia.org/wiki/国土交通省立山砂防工事専用軌道","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長坂駅","長坂駅（ながさかえき）","https://ja.wikipedia.org/wiki/長坂駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度49分38.7秒東経138度22分0.8秒","■中央本線","166.3 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1918年（大正7年）12月11日","2面2線","山梨県北杜市長坂町長坂上条2575北緯35度49分38.7秒東経138度22分0.8秒座標:北緯35度49分38.7秒 東経138度22分0.8秒","無人駅（自動券売機 有）","ナサ","1,131人/日（降車客含まず）-2015年-","CO50[1]","","","","","","","",""
"長崎駅","長崎駅（ながさきえき・九州旅客鉄道長崎本線）","https://ja.wikipedia.org/wiki/長崎駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","","","九州旅客鉄道（JR九州・駅詳細）日本貨物鉄道（JR貨物・駅詳細）長崎電気軌道（長崎電鉄・駅詳細）","","","","長崎県長崎市尾上町","","","","","","","","","","","",""
"長崎停留場","長崎停留場（ながさきていりゅうじょう・とさでん交通後免線）","https://ja.wikipedia.org/wiki/長崎停留場","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度34分30.32秒東経133度37分14.95秒","後免線","2.8 km（後免町起点）","とさでん交通","地上駅","1911年（明治44年）1月27日","2面2線","高知県高知市大津北緯33度34分30.32秒東経133度37分14.95秒﻿ / ﻿北緯33.5750889度 東経133.6208194度﻿ /33.5750889; 133.6208194﻿ (長崎停留場)","","","","","","","","","","","",""
"長崎駅","長崎駅前停留場（ながさきえきまえていりゅうじょう）","https://ja.wikipedia.org/wiki/長崎駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","","","九州旅客鉄道（JR九州・駅詳細）日本貨物鉄道（JR貨物・駅詳細）長崎電気軌道（長崎電鉄・駅詳細）","","","","長崎県長崎市尾上町","","","","","","","","","","","",""
"長崎大学停留場","長崎大学停留場（ながさきだいがくていりゅうじょう）","https://ja.wikipedia.org/wiki/長崎大学停留場","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯32度47分5.7秒東経129度51分44.6秒","本線（■1号系統・□2号系統・■3号系統）","0.9km（住吉起点）赤迫から1.1 km","長崎電気軌道","地上駅","1950年（昭和25年）9月16日","2面2線","長崎県長崎市若葉町1番23号先北緯32度47分5.7秒東経129度51分44.6秒﻿ / ﻿北緯32.784917度 東経129.862389度﻿ /32.784917; 129.862389﻿ (長崎大学停留場)","","","","15","3,400人/日-2015年-","","","","","","",""
"中崎町駅","中崎町駅（なかざきちょうえき）","https://ja.wikipedia.org/wiki/中崎町駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度42分24.71秒東経135度30分18.88秒","●谷町線","9.3 km（大日起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1974年（昭和49年）5月29日","島式 1面2線","大阪市北区中崎1丁目北緯34度42分24.71秒東経135度30分18.88秒﻿ / ﻿北緯34.7068639度 東経135.5052444度﻿ /34.7068639; 135.5052444﻿ (中崎町駅)","","","6,633人/日（降車客含まず）-2020年-"," T19 ","13,744人/日-2020年-","","","","","","",""
"中佐世保駅","中佐世保駅（なかさせぼえき）","https://ja.wikipedia.org/wiki/中佐世保駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度10分19.86秒東経129度43分20.54秒","■西九州線","92.6 km（有田起点）","松浦鉄道","高架駅","1961年（昭和36年）7月15日","1面1線","長崎県佐世保市島瀬町北緯33度10分19.86秒東経129度43分20.54秒","","ナセ","","","183人/日-2018年-","","","","","","",""
"中佐都駅","中佐都駅（なかさとえき）","https://ja.wikipedia.org/wiki/中佐都駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度16分51.48秒東経138度27分12.34秒","■小海線","72.4 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","地上駅","1915年（大正4年）8月8日[1]","1面1線[1]","長野県佐久市長土呂[1]北緯36度16分51.48秒東経138度27分12.34秒﻿ / ﻿北緯36.2809667度 東経138.4534278度﻿ /36.2809667; 138.4534278座標:北緯36度16分51.48秒東経138度27分12.34秒﻿ / ﻿北緯36.2809667度 東経138.4534278度﻿ /36.2809667; 138.4534278","無人駅[1]標高：699.3m[1]","ナト[1]","57人/日（降車客含まず）-2011年-","","","","","","","","",""
"中里駅 (長崎県)","中里駅（なかざとえき）","https://ja.wikipedia.org/wiki/中里駅_(長崎県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度12分29.88秒東経129度41分16.77秒","■西九州線","84.0 km（有田起点）","松浦鉄道","地上駅","1920年（大正9年）3月27日1988年（昭和63年）4月1日（転換）","1面2線","長崎県佐世保市上本山町北緯33度12分29.88秒東経129度41分16.77秒﻿ / ﻿北緯33.2083000度 東経129.6879917度﻿ /33.2083000; 129.6879917座標:北緯33度12分29.88秒東経129度41分16.77秒﻿ / ﻿北緯33.2083000度 東経129.6879917度﻿ /33.2083000; 129.6879917","","ナサ","","","271人/日-2018年-","","","","","","",""
"長里駅","長里駅（ながさとえき）","https://ja.wikipedia.org/wiki/長里駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯32度54分55.03秒東経130度9分57.9秒","■長崎本線","84.7 km（鳥栖起点）","九州旅客鉄道（JR九州）","地上駅（盛土上）","1990年（平成2年）3月10日[1]","1面2線","長崎県諫早市小長井町打越北緯32度54分55.03秒東経130度9分57.9秒﻿ / ﻿北緯32.9152861度 東経130.166083度﻿ /32.9152861; 130.166083﻿ (長里駅)","無人駅[1]","ナト","49人/日（降車客含まず）-2016年-","","","","","","","","",""
"中沢駅","中沢駅（なかさわえき）","https://ja.wikipedia.org/wiki/中沢駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","■津軽線","16.8 km（青森起点）","東日本旅客鉄道（JR東日本）","地上駅","1959年（昭和34年）11月25日[1]","2面3線[1]","","無人駅[1]","ナサ","69人/日（降車客含まず）-2004年-","","","","","","","","",""
"長沢駅","長沢駅（ながさわえき）","https://ja.wikipedia.org/wiki/長沢駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯38度42分34.89秒東経140度21分57.08秒","■陸羽東線","82.8 km（小牛田起点）","東日本旅客鉄道（JR東日本）","地上駅","1915年（大正4年）11月1日","1面1線","山形県最上郡舟形町長沢北緯38度42分34.89秒東経140度21分57.08秒座標:北緯38度42分34.89秒 東経140度21分57.08秒","無人駅","ナサ","30人/日（降車客含まず）-2004年-","","","","","","","","",""
