"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","形状","史跡","規模","出土品","埋葬施設","法人番号","文化財","創建年","宗派","山号","別名","本尊","開基","所属","札所等"
"中江藤樹","[藤樹書院跡（とうじゅしょいんあと）〔高島市〕] 中江 藤樹 （なかえ とうじゅ、 1608年 4月21日 （ 慶長 13年 3月7日 ） - 1648年 10月11日 （ 慶安 元年 8月25日 ））は、 近江国 （ 滋賀県 ）出身の 江戸時代 初期の 陽明学 者。 近江聖人 と称えられた。 諱 は原（はじめ）、 字 は惟命（これなが）、通称は与右衛門、藤樹と号した。 ","https://ja.wikipedia.org/wiki/中江藤樹","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","近江聖人","","","",""
"穴太廃寺","[穴太廃寺跡（あのうはいじあと）〔大津市〕] 穴太廃寺 （あのうはいじ）は、現在の 滋賀県 大津市 の 穴太 ・ 唐崎 にまたがる 飛鳥時代 のものと推定される 仏教遺跡 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/穴太廃寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度3分12.6秒 東経135度51分59.3秒","","","","","","","","","","","","","","","","","","",""
"円満院","[円満院庭園（えんまんいんていえん）〔大津市〕] 円満院 （えんまんいん、旧字体： 圓滿院 、新旧混用： 圓満院 ）は、 滋賀県 大津市 園城寺町にある 天台宗 系 単立 の 寺院 。 門跡 寺院。 近畿三十六不動尊 第25番札所。かつては天台宗寺門派（ 天台寺門宗 ）三門跡の一つであった。","https://ja.wikipedia.org/wiki/円満院","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度0分52.3秒東経135度51分11.9秒","北緯35度0分52.3秒東経135度51分11.9秒﻿ / ﻿北緯35.014528度 東経135.853306度﻿ /35.014528; 135.853306座標:北緯35度0分52.3秒東経135度51分11.9秒﻿ / ﻿北緯35.014528度 東経135.853306度﻿ /35.014528; 135.853306","滋賀県大津市園城寺町33番地","","","","","","","","8160005000617","宸殿（重要文化財）、庭園（国史跡・国名勝）","寛和3年（987年）","","長等山","","不動明王","悟円法親王","","近畿三十六不動尊第25番"
"延暦寺","[延暦寺境内（えんりゃくじけいだい）〔滋賀県大津市・京都府京都市左京区〕（世界遺産「古都京都の文化財」の構成資産）] 最澄 の開創以来、 高野山 金剛峯寺 と並んで 平安仏教 の中心寺院であった。天台法華の教えのほか、 密教 、 禅 （ 止観 ）、 念仏 も行なわれ仏教の総合大学の様相を呈し、 平安時代 には 皇室 や 貴族 の尊崇を得て大きな力を持った。特に密教による 加持祈祷 は平安貴族の支持を集め、 真言宗 の 東寺 の密教（ 東密 ）に対して延暦寺の密教は「 台密 」と呼ばれ覇を競った。","https://ja.wikipedia.org/wiki/延暦寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度4分13.62秒東経135度50分27.33秒","北緯35度4分13.62秒東経135度50分27.33秒﻿ / ﻿北緯35.0704500度 東経135.8409250度﻿ /35.0704500; 135.8409250﻿ (延暦寺)座標:北緯35度4分13.62秒東経135度50分27.33秒﻿ / ﻿北緯35.0704500度 東経135.8409250度﻿ /35.0704500; 135.8409250﻿ (延暦寺)","滋賀県大津市坂本本町4220","","","","","","","","2160005000614","根本中堂、金銅経箱ほか（国宝）根本中堂廻廊、絹本著色天台大師像ほか（重要文化財）世界遺産","延暦7年（788年）","天台宗","比叡山","","薬師如来","","","新西国三十三箇所第18番（横川中堂）西国薬師四十九霊場第49番播州薬師霊場特別札所東海四十九薬師霊場特別札所近畿三十六不動尊霊場26番（無動寺）びわ湖百八霊場第108番（横川中堂）法然上人二十五霊場特別霊場（青龍寺）西山国師遺跡霊場客番(文殊楼)真盛上人二十五霊場第2番（青龍寺）・第3番（浄土院）神仏霊場巡拝の道第150番（滋賀第18番）"
"皇子山古墳","[皇子山古墳（おうじやまこふん）〔大津市〕] 皇子山1号墳 は、丘陵の最高所に位置する皇子山古墳群の主墳。形状は 前方後方墳 。","https://ja.wikipedia.org/wiki/皇子山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度1分42.78秒東経135度51分2.43秒","北緯35度1分42.78秒東経135度51分2.43秒﻿ / ﻿北緯35.0285500度 東経135.8506750度﻿ /35.0285500; 135.8506750﻿ (皇子山1号墳)","滋賀県大津市錦織1丁目","","4世紀後半","前方後方墳","","墳丘長60m","","後方部：不明4基前方部：粘土槨（推定）1基","","","","","","","","","",""
"近江宮","[近江大津宮錦織遺跡（おうみおおつのみやにしこおりいせき）〔大津市〕] 近江大津宮 （おうみおおつのみや/おうみのおおつのみや）は、 飛鳥時代 に 天智天皇 が 近江国 滋賀郡 に営んだ都。天智天皇6年（ 667年 ）に 飛鳥 から近江に遷都した天智天皇はこの宮で正式に即位し、 近江令 や 庚午年籍 など 律令制 の基礎となる施策を実行。天皇崩後に朝廷の首班となった大友皇子（ 弘文天皇 ）は 天武天皇 元年（ 672年 ）の 壬申の乱 で 大海人皇子 に敗れたため、5年余りで廃都となった。","https://ja.wikipedia.org/wiki/近江宮","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度1分41.9秒 東経135度51分18.0秒","","","","","","","","","","","","","","","","","","",""
"近江国庁跡","[国庁跡（こくちょうあと）] 近江国庁跡 （おうみこくちょうあと、三大寺遺跡）は、 滋賀県 大津市 大江三丁目・大江六丁目・三大寺に所在する、 律令制 下の地方行政機関の施設跡である。国の 史跡 に指定されている（史跡「近江国府跡」のうち）。","https://ja.wikipedia.org/wiki/近江国庁跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度58分28.4秒 東経135度55分12.4秒","","","","","","","","","","","","","","","","","","",""
"惣山遺跡","[惣山遺跡（そうやまいせき）] 惣山遺跡 （そうやまいせき）は、 滋賀県 大津市 三大寺にある、 瀬田川 の右岸に位置する 近江国庁跡 に隣接する大型倉庫群である  。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/惣山遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"春日山古墳群","[春日山古墳群（かすがやまこふんぐん） 〔大津市〕] 春日山古墳群 （かすがやまこふんぐん）は、 滋賀県 大津市 真野谷口町にある 古墳群 。 1974年 （昭和49年）12月23日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/春日山古墳群","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度07分14.9秒 東経135度54分24.5秒","","","","","","","","","","","","","","","","","","",""
"義仲寺","[義仲寺境内（ぎちゅうじけいだい）〔大津市〕] 義仲寺 （ぎちゅうじ）は、 滋賀県 大津市 にある 天台宗 系 単立 の 寺院 。 山号 は朝日山。 本尊 は 聖観音菩薩 。境内全域が 1967年 （ 昭和 42年）に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/義仲寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度0分10.5秒東経135度52分48.7秒","北緯35度0分10.5秒東経135度52分48.7秒﻿ / ﻿北緯35.002917度 東経135.880194度﻿ /35.002917; 135.880194座標:北緯35度0分10.5秒東経135度52分48.7秒﻿ / ﻿北緯35.002917度 東経135.880194度﻿ /35.002917; 135.880194","滋賀県大津市馬場1丁目5-12","","","","","","","","7160005000980","義仲寺境内（国の史跡）など","","","朝日山","","聖観音菩薩","","",""
"衣川廃寺跡","[衣川廃寺跡（きぬがわはいじあと）〔大津市〕] 衣川廃寺跡 （きぬがわはいじあと）は、 滋賀県 大津市 衣川2丁目にある古代寺院の 遺跡 。 1977年 3月8日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/衣川廃寺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"光浄院庭園 (存在しないページ)","[光浄院庭園（こうじょういんていえん）〔大津市〕]","https://ja.wikipedia.org/w/index.php?title=光浄院庭園&amp;action=edit&amp;redlink=1","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"崇福寺跡","[崇福寺跡（すうふくじあと）〔大津市〕] 崇福寺跡 （すうふくじあと）は、 滋賀県 大津市 にある 飛鳥時代 後期から 室町時代 にかけて存在した 寺院 の遺跡  。3つの 尾根 にまたがって建築群があり、崇福寺と 奈良時代 末期に建立された 梵釈寺 の複合遺跡とする説が有力である。また出土した崇福寺塔心礎納置品は 国宝 に指定されており、遺跡は国の 史跡 と 歴史的風土特別保存地区 に指定されている。本記事では史跡としての崇福寺跡と、文献資料にみる崇福寺について記述する。","https://ja.wikipedia.org/wiki/崇福寺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度2分43.9秒 東経135度50分46.2秒","","","","","","","","","","","","","","","","","","",""
"善法院庭園 (存在しないページ)","[善法院庭園（ぜんぽういんていえん）〔大津市〕]","https://ja.wikipedia.org/w/index.php?title=善法院庭園&amp;action=edit&amp;redlink=1","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"茶臼山古墳 (大津市)","[茶臼山古墳・小茶臼山古墳（ちゃうすやまこふん・こちゃうすやまこふん）〔大津市〕] 茶臼山古墳 （ちゃうすやまこふん）または 膳所茶臼山古墳 （ぜぜちゃうすやまこふん）は、 滋賀県 大津市 秋葉台にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/茶臼山古墳_(大津市)","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度59分25.17秒東経135度53分2.45秒","北緯34度59分25.17秒東経135度53分2.45秒﻿ / ﻿北緯34.9903250度 東経135.8840139度﻿ /34.9903250; 135.8840139座標:北緯34度59分25.17秒東経135度53分2.45秒﻿ / ﻿北緯34.9903250度 東経135.8840139度﻿ /34.9903250; 135.8840139","滋賀県大津市秋葉台（茶臼山公園内）","荒神山古墳安土瓢箪山古墳茶臼山古墳","4世紀末-5世紀初頭","前方後円墳","国の史跡「茶臼山古墳・小茶臼山古墳」","墳丘長122m高さ8m（後円部）","円筒埴輪・形象埴輪","不明","","","","","","膳所茶臼山古墳","","","",""
"堂ノ上遺跡","[堂ノ上遺跡（どうのうえいせき）〔大津市〕] 堂ノ上遺跡 （どうのうえいせき）は、 滋賀県 大津市 神領にある官衙跡。1978年3月14日に国の 史跡 に指定され、2002年3月19日に指定範囲が追加された。","https://ja.wikipedia.org/wiki/堂ノ上遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度58分19秒 東経135度54分41秒","","","","","","","","","","","","","","","","","","",""
"日吉大社","[日吉神社境内（ひよしじんじゃけいだい）〔大津市〕] 日吉大社 （ひよしたいしゃ）は、 滋賀県 大津市 坂本 にある 神社 。 式内社 （ 名神大社 ）、 二十二社 （下八社）の一社。かつては 日吉社 （ひえしゃ）と呼ばれていた。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。 境内 大宮橋は 日本百名橋 に選定されている。","https://ja.wikipedia.org/wiki/日吉大社","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度4分24.4秒東経135度51分53.9秒","北緯35度4分24.4秒東経135度51分53.9秒﻿ / ﻿北緯35.073444度 東経135.864972度﻿ /35.073444; 135.864972﻿ (日吉大社)座標:北緯35度4分24.4秒東経135度51分53.9秒﻿ / ﻿北緯35.073444度 東経135.864972度﻿ /35.073444; 135.864972﻿ (日吉大社)","滋賀県大津市坂本5丁目1-1","日吉大社","","","","","","","","","","","","山王権現","","","","神仏霊場巡拝の道第149番（滋賀第17番）"
