"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","淡水・汽水","成因","周囲長","水面の,標高","最大水深","位置","湖沼型","平均水深","透明度","貯水量","国","人口密度","推計人口"," • 合計","最大都市","流出河川","凍結"
"チミケップ湖","[チミケップ湖ちみけっぷこ北海道その他1.0521.30.0143崖崩れによる堰止湖。] チミケップ湖 は、 北海道 東部、 オホーツク管内 網走郡 津別町 字沼沢にある 湖 である。","https://ja.wikipedia.org/wiki/チミケップ湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度38分12秒東経143度52分33秒","日本北海道津別町","1.05km2","淡水","堰止湖","7.5km","290  m","21.3m","北緯43度38分12秒東経143度52分33秒﻿ / ﻿北緯43.63667度 東経143.87583度﻿ /43.63667; 143.87583座標:北緯43度38分12秒東経143度52分33秒﻿ / ﻿北緯43.63667度 東経143.87583度﻿ /43.63667; 143.87583","貧～中栄養湖","12.2 m","3.1 m","0.0143km3","","","","","","",""
"長節湖 (存在しないページ)","[長節湖ちょうぶしこ北海道海跡1.122.0-十勝総合振興局管内。]","https://ja.wikipedia.org/w/index.php?title=長節湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"長節湖 (存在しないページ)","[長節湖ちょうぼしこ[2]北海道海跡0.417.10.0011長節沼とも。根室振興局管内。]","https://ja.wikipedia.org/w/index.php?title=長節湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"チョマトー","[チョマトーちょまとー北海道----] チョマトー は、 北海道 帯広市 西15条北2丁目  （ 十勝国 河西郡 ）にある沼である。 アイヌ民族 の 聖地 とされる。 チョマト沼 ・ チョチョマ沼 とも。語源は アイヌ語 の「チ・ホマ・ト　ci-homa-to（我々・忌み嫌う・沼）」で、沼の名前の成立に関する伝説が残されている。","https://ja.wikipedia.org/wiki/チョマトー","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯42度55分54.7秒東経143度10分37秒","北海道帯広市西15条北2丁目","","","","","","","北緯42度55分54.7秒東経143度10分37秒﻿ / ﻿北緯42.931861度 東経143.17694度﻿ /42.931861; 143.17694座標:北緯42度55分54.7秒東経143度10分37秒﻿ / ﻿北緯42.931861度 東経143.17694度﻿ /42.931861; 143.17694","","","","","","","","","","",""
"濤沸湖","[濤沸湖とうふつこ北海道海跡8.192.50.00996] 濤沸湖 （とうふつこ）は 北海道 東部、 網走市 と 小清水町 にまたがる 汽水湖  。面積は約900ha  。 網走国定公園 に含まれる。ラムサール条約に登録されている（2005年）  。","https://ja.wikipedia.org/wiki/濤沸湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度56分0秒東経144度24分0秒","北海道（オホーツク総合振興局）","9.25km2","汽水","海跡湖","27km","1  m","2.5m","北緯43度56分0秒東経144度24分0秒﻿ / ﻿北緯43.93333度 東経144.40000度﻿ /43.93333; 144.40000座標:北緯43度56分0秒東経144度24分0秒﻿ / ﻿北緯43.93333度 東経144.40000度﻿ /43.93333; 144.40000","-","0.7 m","- m","-km3","","","","","","",""
"東沸湖 (存在しないページ)","[東沸湖とうふつこ北海道8.13北方領土・国後島にある。]","https://ja.wikipedia.org/w/index.php?title=東沸湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"洞爺湖","[洞爺湖とうやこ北海道火山70.72180.08.19二級河川・長流川水系。面積は日本で9番目に広い。] 洞爺湖 （とうやこ）は、 北海道 虻田郡 洞爺湖町 と 有珠郡 壮瞥町 にまたがる 湖 。 二級河川 長流川 水系に属する。周辺が 支笏洞爺国立公園 に指定されており  、 洞爺湖有珠山ジオパーク として「日本ジオパーク」「世界ジオパーク」に登録されている  。また、「 日本百景 」「 新日本旅行地100選 」「 美しい日本の歩きたくなるみち500選 」にも選定されている   。","https://ja.wikipedia.org/wiki/洞爺湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯42度35分0秒東経140度51分0秒","北海道（胆振総合振興局）北緯42度35分0秒東経140度51分0秒﻿ / ﻿北緯42.58333度 東経140.85000度﻿ /42.58333; 140.85000﻿ (洞爺湖)洞爺湖-地理院地図洞爺湖-Google マップ洞爺湖の位置北海道南部の地図を表示洞爺湖 (北海道)北海道の地図を表示洞爺湖 (日本)日本の地図を表示","70.72km2","淡水","カルデラ湖","50km","84  m","180.0m","","貧栄養湖","117.0 m","10.0 m","8.19km3","","","","","","",""
"塘路湖","[塘路湖とうろこ北海道海跡6.277.00.02一級河川・釧路川水系。] 塘路湖 （とうろこ）は 北海道 東部、 標茶町 にある 淡水湖 。 釧路湿原国立公園 に含まれる。","https://ja.wikipedia.org/wiki/塘路湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度09分東経144度33分","日本北海道（釧路総合振興局）","6.27km2","淡水","海跡湖","17.9km","8  m","7.0m","北緯43度09分東経144度33分﻿ / ﻿北緯43.150度 東経144.550度﻿ /43.150; 144.550座標:北緯43度09分東経144度33分﻿ / ﻿北緯43.150度 東経144.550度﻿ /43.150; 144.550","腐食型","3.1 m","","0.02km3","","","","","","",""
"トウロ沼 (存在しないページ)","[トウロ沼とうろぬま北海道1.38北方領土・択捉島にある。]","https://ja.wikipedia.org/w/index.php?title=トウロ沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"年萌湖 (存在しないページ)","[年萌湖としもいこ北海道4.36北方領土・択捉島にある。]","https://ja.wikipedia.org/w/index.php?title=年萌湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"豊似湖","[豊似湖とよにこ北海道その他0.0318.60.0003日高山脈襟裳国定公園内で唯一の自然湖。堰止湖。流出入河川がない内陸湖。] 豊似湖 （とよにこ）は 北海道 （ 日高振興局 管内） 幌泉郡 えりも町 字目黒地内にある 日高山脈襟裳国定公園 内で唯一の 自然湖 である。","https://ja.wikipedia.org/wiki/豊似湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯42度05分22秒東経143度16分17秒","日本北海道えりも町","","淡水","堰止湖","1km","260  m","18m","北緯42度05分22秒東経143度16分17秒﻿ / ﻿北緯42.08944度 東経143.27139度﻿ /42.08944; 143.27139座標:北緯42度05分22秒東経143度16分17秒﻿ / ﻿北緯42.08944度 東経143.27139度﻿ /42.08944; 143.27139","貧栄養湖","","","","","","","","","",""
"内保沼 (存在しないページ)","[内保沼ないぼぬま北海道2.55北方領土・択捉島にある。]","https://ja.wikipedia.org/w/index.php?title=内保沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ニキショロ湖 (存在しないページ)","[ニキショロ湖にきしょろこ北海道3.44北方領土・国後島にある。]","https://ja.wikipedia.org/w/index.php?title=ニキショロ湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"西ビロク湖 (存在しないページ)","[西ビロク湖にしびろくこ北海道2.40北方領土・国後島にある。]","https://ja.wikipedia.org/w/index.php?title=西ビロク湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"能取湖","[能取湖のとろこのとりこ北海道海跡58.2023.10.50] 能取湖 （のとろこ／のとりこ）は 北海道 網走市 にある 湖 である。 網走国定公園 に含まれる。湖名は アイヌ語 の「ノッ・オロ」（ 岬 のところ）に由来するが、これは本来、北東側の 能取岬 のことを指していた。能取岬に近い湖の意で、この湖名になったものである。 2018年 （平成30年）9月1日より、 漁業法 上で 海面 として扱われている。 ","https://ja.wikipedia.org/wiki/能取湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯44度3分0秒東経144度9分0秒","日本北海道（オホーツク総合振興局）","58.20km2","汽水","海跡湖","33.3km","0  m","23.1m","北緯44度3分0秒東経144度9分0秒﻿ / ﻿北緯44.05000度 東経144.15000度﻿ /44.05000; 144.15000座標:北緯44度3分0秒東経144度9分0秒﻿ / ﻿北緯44.05000度 東経144.15000度﻿ /44.05000; 144.15000","富栄養湖","8.6 m","5.5 m","","","","","","","",""
"ノトロ湖 (存在しないページ)","[ノトロ湖のとろこ北海道1.00北方領土・色丹島にある。]","https://ja.wikipedia.org/w/index.php?title=ノトロ湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"馬主来沼 (存在しないページ)","[馬主来沼ぱしくるぬま北海道海跡0.284.0-]","https://ja.wikipedia.org/w/index.php?title=馬主来沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"春採湖","[春採湖はるとりこ北海道海跡0.388.50.0013] 春採湖 （はるとりこ）は、日本の 北海道 釧路市 にある 湖 である。海面下降の際に取り残された 海跡湖 で、 春採川 を通じて海水が入りこむ 汽水湖 でもある。国の 天然記念物 である ヒブナ が生息する。12月から4月まで結氷する  。「はるとり」の湖名は アイヌ語 に由来するが、「アルトル」（岬の向こうの土地）、「ハルトル」（山菜を採る斜面）などの説がある  。","https://ja.wikipedia.org/wiki/春採湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯42度58分20秒 東経144度24分13秒","北海道釧路市","0.36km2","","","4.7km","","5.2m","","","","","","","","","","","",""
"パンケ沼","[パンケ沼ぱんけとう北海道海跡3.553.60.0035幌延町にある。] パンケ沼 （パンケぬま、パンケトウ  ）は、 北海道 幌延町 字下沼、 サロベツ原野 に位置する円形の 塩沼 （ 汽水湖 ）。 天塩川 の下流域に位置する。水深は約1.8mほどで概して浅く、 沼 と名付けられているものの、面積は3.55 km 2  もある大きなものである。","https://ja.wikipedia.org/wiki/パンケ沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯45度1分54.9秒 東経141度43分0.9秒","","","","","","","","","","","","","","","","","","",""
"パンケトー","[パンケトーぱんけとー北海道火山2.8654.00.067二級河川・阿寒川水系。] パンケトー は 北海道 東部、 釧路市 にある 淡水湖 である。パンケトーの湖水は 阿寒湖 に注いだ後、最終的には 阿寒川 に流出する。 以前は 交通困難地 に指定されていたが、現在は交通困難地から外されている。しかし、現在も陸路で湖に接近するのは困難である。","https://ja.wikipedia.org/wiki/パンケトー","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度29分0秒東経144度10分40秒","北海道（釧路総合振興局）","2.86km2","淡水","堰止湖","12.4km","450  m","54.0m","北緯43度29分0秒東経144度10分40秒﻿ / ﻿北緯43.48333度 東経144.17778度﻿ /43.48333; 144.17778座標:北緯43度29分0秒東経144度10分40秒﻿ / ﻿北緯43.48333度 東経144.17778度﻿ /43.48333; 144.17778","-","23.9 m","- m","0.067km3","","","","","","",""
"東ビロク湖 (存在しないページ)","[東ビロク湖ひがしびろくこ北海道3.49北方領土・国後島にある。]","https://ja.wikipedia.org/w/index.php?title=東ビロク湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"火散布沼 (存在しないページ)","[火散布沼ひちりっぷぬま北海道海跡3.762.00.00353]","https://ja.wikipedia.org/w/index.php?title=火散布沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"風蓮湖","[風蓮湖ふうれんこ北海道海跡59.0111.00.0563] 風蓮湖 （ふうれんこ）は、 北海道 根室市 、 野付郡 別海町 にまたがる 湖 である。 野付風蓮道立自然公園 に含まれる。 ラムサール条約 登録 湿地 。","https://ja.wikipedia.org/wiki/風蓮湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度18分0秒東経145度21分0秒","日本北海道（根室振興局）","59.01km2","汽水","海跡湖","96km","0  m","11.0m","北緯43度18分0秒東経145度21分0秒﻿ / ﻿北緯43.30000度 東経145.35000度﻿ /43.30000; 145.35000座標:北緯43度18分0秒東経145度21分0秒﻿ / ﻿北緯43.30000度 東経145.35000度﻿ /43.30000; 145.35000","貧栄養湖","1.0 m","4.0 m","-km3","","","","","","",""
"ペケレット湖","[ペケレット湖ぺけれっとこ北海道河跡0.121.20.000096] ペケレット湖 （ペケレットこ）は、 北海道 札幌市 北区 篠路町篠路にある沼である。「 ペケレット沼 」（ペケレットぬま）とも呼ばれている。 湖名の由来は、 アイヌ語 の「ペケレ・ト」（明るい沼）。","https://ja.wikipedia.org/wiki/ペケレット湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度10分05秒東経141度22分40秒","日本北海道札幌市北区","0.12km2","","","","2  m","1.2m","北緯43度10分05秒東経141度22分40秒﻿ / ﻿北緯43.16806度 東経141.37778度﻿ /43.16806; 141.37778座標:北緯43度10分05秒東経141度22分40秒﻿ / ﻿北緯43.16806度 東経141.37778度﻿ /43.16806; 141.37778","","","","","","","","","","",""
