"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種別","起終点","駅数","開業","所有者"
"青梅街道駅","青梅街道駅（おうめかいどうえき）","https://ja.wikipedia.org/wiki/青梅街道駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度43分50.21秒東経139度28分35.54秒","■多摩湖線","3.4 km（国分寺起点）","西武鉄道","1928年（昭和3年）4月6日","地上駅","1面1線","東京都小平市小川町二丁目1846北緯35度43分50.21秒東経139度28分35.54秒﻿ / ﻿北緯35.7306139度 東経139.4765389度﻿ /35.7306139; 139.4765389﻿ (青梅街道駅)座標:北緯35度43分50.21秒東経139度28分35.54秒﻿ / ﻿北緯35.7306139度 東経139.4765389度﻿ /35.7306139; 139.4765389﻿ (青梅街道駅)","","","","ST03","8,367人/日-2019年-","","","","","","",""
"小江駅","小江駅（おええき）","https://ja.wikipedia.org/wiki/小江駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯32度53分30.21秒東経130度6分46.86秒","■長崎本線","90.9 km（鳥栖起点）","九州旅客鉄道（JR九州）","1934年（昭和9年）3月24日","地上駅","1面2線","長崎県諫早市高来町上与313北緯32度53分30.21秒東経130度6分46.86秒﻿ / ﻿北緯32.8917250度 東経130.1130167度﻿ /32.8917250; 130.1130167﻿ (小江駅)","無人駅（自動券売機 有）","オエ","120人/日（降車客含まず）-2016年-","","","","","","","","",""
"麻植塚駅","麻植塚駅（おえづかえき）","https://ja.wikipedia.org/wiki/麻植塚駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度4分30.57秒東経134度22分33.4秒","■徳島線","51.8 km（佃起点）","四国旅客鉄道（JR四国）","1934年（昭和9年）9月20日","地上駅","1面1線","徳島県吉野川市鴨島町牛島1523番地北緯34度4分30.57秒東経134度22分33.4秒﻿ / ﻿北緯34.0751583度 東経134.375944度﻿ /34.0751583; 134.375944座標:北緯34度4分30.57秒東経134度22分33.4秒﻿ / ﻿北緯34.0751583度 東経134.375944度﻿ /34.0751583; 134.375944","無人駅","オツ","","○B08","","","","","","","",""
"大麻駅","大麻駅（おおあさえき）","https://ja.wikipedia.org/wiki/大麻駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯43度4分20.97秒東経141度29分50.13秒","■函館本線","300.8 km（函館起点）","北海道旅客鉄道（JR北海道）","1966年（昭和41年）12月15日[1]","地上駅","2面2線","北海道江別市大麻中町北緯43度4分20.97秒東経141度29分50.13秒﻿ / ﻿北緯43.0724917度 東経141.4972583度﻿ /43.0724917; 141.4972583﻿ (大麻駅)","業務委託駅みどりの窓口有","オア","7,109人/日（降車客含まず）-2019年-","○A06","","","","","","","",""
"大麻生駅","大麻生駅（おおあそうえき）","https://ja.wikipedia.org/wiki/大麻生駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度8分41.29秒東経139度19分56.49秒","■秩父本線","20.3 km（羽生起点）","秩父鉄道","1901年（明治34年）10月7日","地上駅","1面2線","埼玉県熊谷市大麻生1921-6北緯36度8分41.29秒東経139度19分56.49秒﻿ / ﻿北緯36.1448028度 東経139.3323583度﻿ /36.1448028; 139.3323583座標:北緯36度8分41.29秒東経139度19分56.49秒﻿ / ﻿北緯36.1448028度 東経139.3323583度﻿ /36.1448028; 139.3323583","","アソ","111人/日（降車客含まず）-2019年-","","237人/日-2019年-","","","","","","",""
"大阿太駅","大阿太駅（おおあだえき）","https://ja.wikipedia.org/wiki/大阿太駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度23分17.5秒東経135度45分58.9秒","F吉野線","14.6km（橿原神宮前起点）大阪阿部野橋から54.3 km","近畿日本鉄道（近鉄）","1929年（昭和4年）3月31日","地上駅","2面2線","奈良県吉野郡大淀町佐名伝1066北緯34度23分17.5秒東経135度45分58.9秒﻿ / ﻿北緯34.388194度 東経135.766361度﻿ /34.388194; 135.766361座標:北緯34度23分17.5秒東経135度45分58.9秒﻿ / ﻿北緯34.388194度 東経135.766361度﻿ /34.388194; 135.766361","無人駅","アタ","54人/日（降車客含まず）-2018年-"," F51 ","","","","","","","",""
"大網駅","大網駅（おおあみえき）","https://ja.wikipedia.org/wiki/大網駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度31分22秒東経140度18分38.9秒","■外房線","22.9 km（千葉起点）","東日本旅客鉄道（JR東日本）","1896年（明治29年）1月20日[1]","高架駅","2面2線（外房線）1面2線（東金線）","千葉県大網白里市南玉21-7北緯35度31分22秒東経140度18分38.9秒座標:北緯35度31分22秒 東経140度18分38.9秒","直営駅（管理駅）みどりの窓口有","アミ","10,057人/日（降車客含まず）-2019年-","","","","","","","","",""
"大洗駅","大洗駅（おおあらいえき）","https://ja.wikipedia.org/wiki/大洗駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度18分54.99秒東経140度33分45.77秒","大洗鹿島線","11.6 km（水戸起点）","鹿島臨海鉄道","1985年（昭和60年）3月14日","高架駅","2面3線","茨城県東茨城郡大洗町桜道301北緯36度18分54.99秒東経140度33分45.77秒﻿ / ﻿北緯36.3152750度 東経140.5627139度﻿ /36.3152750; 140.5627139座標:北緯36度18分54.99秒東経140度33分45.77秒﻿ / ﻿北緯36.3152750度 東経140.5627139度﻿ /36.3152750; 140.5627139","社員配置駅","","","","2,210人/日-2018年-","","","","","","",""
"大池駅","大池駅（おおいけえき）","https://ja.wikipedia.org/wiki/大池駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","有馬線","17.1km（湊川起点）新開地から17.5 km","神戸電鉄","1928年（昭和3年）11月28日[1]","地上駅[1]","2面2線[1]","","無人駅[1]（但し売店有）","","1,669人/日（降車客含まず）-2019年-","○KB12","3,281[2]人/日-2019年-","","","","","","",""
"大池いこいの森駅","大池いこいの森駅（おおいけいこいのもりえき）","https://ja.wikipedia.org/wiki/大池いこいの森駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度11分3.78秒東経138度22分24.23秒","■ほくほく線","51.7 km（六日町起点）","北越急行","1997年（平成9年）3月22日[1]","高架駅","1面1線[1]","新潟県上越市頸城区大蒲生田1210-3北緯37度11分3.78秒東経138度22分24.23秒﻿ / ﻿北緯37.1843833度 東経138.3733972度﻿ /37.1843833; 138.3733972﻿ (大池いこいの森駅)座標:北緯37度11分3.78秒東経138度22分24.23秒﻿ / ﻿北緯37.1843833度 東経138.3733972度﻿ /37.1843833; 138.3733972﻿ (大池いこいの森駅)","標高19.9m[1]","オイ[1]","9人/日（降車客含まず）-2018年-","","","","","","","","",""
"大井競馬場前駅","大井競馬場前駅（おおいけいばじょうまええき）","https://ja.wikipedia.org/wiki/大井競馬場前駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度35分42.1秒東経139度44分49.4秒","東京モノレール羽田空港線","7.1 km（モノレール浜松町起点）","東京モノレール","1965年（昭和40年）5月27日[1][2]","高架駅","2面2線","東京都品川区勝島二丁目2-35北緯35度35分42.1秒東経139度44分49.4秒﻿ / ﻿北緯35.595028度 東経139.747056度﻿ /35.595028; 139.747056﻿ (大井競馬場前駅)座標:北緯35度35分42.1秒東経139度44分49.4秒﻿ / ﻿北緯35.595028度 東経139.747056度﻿ /35.595028; 139.747056﻿ (大井競馬場前駅)","","","","MO03","9,183人/日-2015年-","","","","","","",""
"大石駅","大石駅（おおいしえき）","https://ja.wikipedia.org/wiki/大石駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度42分27.98秒東経135度13分51.57秒","本線","28.5 km（大阪梅田起点）","阪神電気鉄道","1905年（明治38年）4月12日[1]","高架駅[1]","2面4線[1]","神戸市灘区船寺通一丁目4番2号北緯34度42分27.98秒東経135度13分51.57秒﻿ / ﻿北緯34.7077722度 東経135.2309917度﻿ /34.7077722; 135.2309917﻿ (大石駅)座標:北緯34度42分27.98秒東経135度13分51.57秒﻿ / ﻿北緯34.7077722度 東経135.2309917度﻿ /34.7077722; 135.2309917﻿ (大石駅)","","","4,801人/日（降車客含まず）-2019年-","○HS 28","","","","","","","",""
"大石田駅","大石田駅（おおいしだえき）","https://ja.wikipedia.org/wiki/大石田駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■山形新幹線","126.9km（福島起点）東京から399.7 km","東日本旅客鉄道（JR東日本）","1901年（明治34年）10月21日","地上駅","2面2線","","業務委託駅みどりの窓口有","オイ←ヲイ","746人/日（降車客含まず）-2019年-","","","","","","","","",""
"大泉駅 (福島県)","大泉駅 (福島県)（おおいずみえき・阿武隈急行線）","https://ja.wikipedia.org/wiki/大泉駅_(福島県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度49分12.23秒東経140度34分0.78秒","■阿武隈急行線","13.9 km（福島起点）","阿武隈急行","1988年（昭和63年）7月1日","地上駅","1面1線","福島県伊達市保原町大泉大地内北緯37度49分12.23秒東経140度34分0.78秒﻿ / ﻿北緯37.8200639度 東経140.5668833度﻿ /37.8200639; 140.5668833座標:北緯37度49分12.23秒東経140度34分0.78秒﻿ / ﻿北緯37.8200639度 東経140.5668833度﻿ /37.8200639; 140.5668833","無人駅","","271人/日（降車客含まず）-2016年-","","","","","","","","",""
"大泉駅 (富山県)","大泉駅 (富山県)（おおいずみえき・富山地方鉄道不二越線）","https://ja.wikipedia.org/wiki/大泉駅_(富山県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度40分41.4秒東経137度13分46.1秒","■不二越線","2.2 km（稲荷町駅起点）","富山地方鉄道","1952年（昭和27年）9月26日","地上駅","1面1線","富山県富山市大泉1520北緯36度40分41.4秒東経137度13分46.1秒﻿ / ﻿北緯36.678167度 東経137.229472度﻿ /36.678167; 137.229472﻿ (大泉駅)座標:北緯36度40分41.4秒東経137度13分46.1秒﻿ / ﻿北緯36.678167度 東経137.229472度﻿ /36.678167; 137.229472﻿ (大泉駅)","無人駅","","104人/日（降車客含まず）-2019年-","T60","205人/日-2019年-","","","","","","",""
"大泉駅 (三重県)","大泉駅 (三重県)（おおいずみえき・三岐鉄道北勢線）","https://ja.wikipedia.org/wiki/大泉駅_(三重県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度5分42.14秒東経136度34分12.68秒","■北勢線","12.4 km（西桑名起点）","三岐鉄道","2004年（平成16年）4月1日","地上駅","1面2線","三重県いなべ市員弁町大泉2516北緯35度5分42.14秒東経136度34分12.68秒﻿ / ﻿北緯35.0950389度 東経136.5701889度﻿ /35.0950389; 136.5701889座標:北緯35度5分42.14秒東経136度34分12.68秒﻿ / ﻿北緯35.0950389度 東経136.5701889度﻿ /35.0950389; 136.5701889","無人駅（自動券売機 有）","オイス","270人/日（降車客含まず）-2019年-","","","","","","","","",""
"大泉学園駅","大泉学園駅（おおいずみがくえんえき）","https://ja.wikipedia.org/wiki/大泉学園駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度44分58.3秒東経139度35分11.6秒","■池袋線","12.5km（池袋起点）小竹向原から9.1 km","西武鉄道","1924年（大正13年）11月1日","地上駅（橋上駅）","1面2線","東京都練馬区東大泉一丁目29-7北緯35度44分58.3秒東経139度35分11.6秒﻿ / ﻿北緯35.749528度 東経139.586556度﻿ /35.749528; 139.586556座標:北緯35度44分58.3秒東経139度35分11.6秒﻿ / ﻿北緯35.749528度 東経139.586556度﻿ /35.749528; 139.586556","*1933年東大泉駅から改称","","","SI11","87,359人/日-2019年-","","","","","","",""
"大磯駅","大磯駅（おおいそえき）","https://ja.wikipedia.org/wiki/大磯駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度18分40.4秒東経139度18分48.6秒","■東海道本線","67.8 km（東京起点）","東日本旅客鉄道（JR東日本）","1887年（明治20年）7月11日","地上駅","1面2線","神奈川県中郡大磯町東小磯1北緯35度18分40.4秒東経139度18分48.6秒﻿ / ﻿北緯35.311222度 東経139.313500度﻿ /35.311222; 139.313500﻿ (大磯駅)座標:北緯35度18分40.4秒東経139度18分48.6秒﻿ / ﻿北緯35.311222度 東経139.313500度﻿ /35.311222; 139.313500﻿ (大磯駅)","業務委託駅みどりの窓口有","オイ","8,053人/日（降車客含まず）-2019年-","JT12","","","","","","","",""
"大分駅","大分駅（おおいたえき）","https://ja.wikipedia.org/wiki/大分駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度14分0.15秒東経131度36分23.23秒","■日豊本線","132.9 km（小倉起点）","九州旅客鉄道（JR九州）","1911年（明治44年）11月1日[1][2][3]","高架駅","4面8線","大分県大分市要町1番1号北緯33度14分0.15秒東経131度36分23.23秒﻿ / ﻿北緯33.2333750度 東経131.6064528度﻿ /33.2333750; 131.6064528座標:北緯33度14分0.15秒東経131度36分23.23秒﻿ / ﻿北緯33.2333750度 東経131.6064528度﻿ /33.2333750; 131.6064528","直営駅みどりの窓口有","オイ←ヲウ","18,660人/日（降車客含まず）-2019年-","","","","","","","","",""
"大板井駅","大板井駅（おおいたいえき）","https://ja.wikipedia.org/wiki/大板井駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度23分54.69秒東経130度33分39.65秒","■甘木線","4.5 km（基山起点）","■甘木鉄道","1987年（昭和62年）11月1日","高架駅[1]","1面1線","福岡県小郡市大板井北緯33度23分54.69秒東経130度33分39.65秒﻿ / ﻿北緯33.3985250度 東経130.5610139度﻿ /33.3985250; 130.5610139座標:北緯33度23分54.69秒東経130度33分39.65秒﻿ / ﻿北緯33.3985250度 東経130.5610139度﻿ /33.3985250; 130.5610139","無人駅","","60人/日（降車客含まず）-2018年-","","","","","","","","",""
"大分大学前駅","大分大学前駅（おおいただいがくまええき）","https://ja.wikipedia.org/wiki/大分大学前駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度10分37.68秒東経131度37分7.68秒","■豊肥本線","9.2 km（大分起点）","九州旅客鉄道（JR九州）","2002年（平成14年）3月23日[2]","地上駅","1面1線[1]","大分県大分市大字旦野原[1]北緯33度10分37.68秒東経131度37分7.68秒","無人駅駅集中管理システム（Smart Support Station）採用[3]","オマ","1,639人/日（降車客含まず）-2019年-","","","","","","","","",""
